Callisto X	Callisto Y
-6.362239685241761E11	-5.023387107219062E11
-6.06326135050077E11	-5.398898340493898E11
-5.74822149138859E11	-5.68200827713324E11
-5.413843338384938E11	-6.021968859910249E11
-5.059668956752823E11	-6.267168571155956E11
-4.694198501783693E11	-6.566952022598318E11
-4.305182349241908E11	-6.770401539989563E11
-3.9130533131002136E11	-7.025906721972261E11
-3.4939852970146893E11	-7.18416817429615E11
-3.080073664483312E11	-7.391739393118696E11
-2.6361986463740567E11	-7.501831912952506E11
-2.2057919747538547E11	-7.658324538695426E11
-1.742782145589027E11	-7.717780123330894E11
-1.301548612437334E11	-7.820611217047662E11
-8.254647760156345E10	-7.827529920378347E11
-3.794130739294232E10	-7.874748768894763E11
1.0334059877227736E10	-7.827867777602396E11
5.4790965713881905E10	-7.818214848392869E11
1.0306573049490543E11	-7.716968816873234E11
1.4672250016891156E11	-7.649944646762251E11
1.9430887007888312E11	-7.494527709551556E11
2.364994839051127E11	-7.370442111755516E11
2.8269875771595776E11	-7.161856246046418E11
3.227523950032395E11	-6.98188673558201E11
3.668648935324657E11	-6.721989368303757E11
4.041170424886603E11	-6.488212760448645E11
4.4545478486987164E11	-6.179753654298083E11
4.7925938722685095E11	-5.895175750328508E11
5.17159156940515E11	-5.541804800267296E11
5.4690279605847327E11	-5.21036326190819E11
5.807403967289993E11	-4.8166292528508215E11
6.05856371543874E11	-4.4431681547639233E11
6.350618174025446E11	-4.014480514248054E11
6.55044801139115E11	-3.604708261264954E11
6.790959055451638E11	-3.1470316086722186E11
6.934859083093469E11	-2.707067760014821E11
7.119807397260328E11	-2.227575454976031E11
7.204692870733088E11	-1.764980253299003E11
7.330880436713479E11	-1.2711463548442555E11
7.354357369212405E11	-7.936322831101004E10
7.41963280088847E11	-2.9340370532528103E10
7.380417892389847E11	1.9093686975940014E10
7.383783078579415E11	6.893462344508858E10
7.2817672458792E11	1.1722262970863312E11
7.223423948416929E11	1.6605254151613843E11
7.059698795063108E11	2.1336619464158743E11
6.941057785395002E11	2.6036819677702667E11
6.71790105210533E11	3.058997570769503E11
6.541549691962583E11	3.502891335070526E11
6.262372318467122E11	3.932709129139882E11
6.032002810255199E11	4.3431390066980835E11
5.701259074640824E11	4.740363154051927E11
5.421561846814596E11	5.110669116242084E11
5.0446269681267474E11	5.4689421306042975E11
4.721155371129536E11	5.79328312311252E11
4.304178140949826E11	6.107113296695206E11
3.943192003593748E11	6.380576481345192E11
3.4929305341718396E11	6.645431492908795E11
3.10122720531078E11	6.864106944974559E11
2.6248767394098312E11	7.076472414020496E11
2.2096182847654532E11	7.237492952075889E11
1.71463917684194E11	7.394896694999257E11
1.2831833159594493E11	7.496444814826931E11
7.771363492288266E10	7.597450006574386E11
3.3687779756464256E10	7.638735810999873E11
-1.7272735258395313E10	7.682907312735796E11
-6.145003884070365E10	7.664122007243392E11
-1.12033974551828E11	7.651971057262761E11
-1.5565708710985577E11	7.574221726985542E11
-2.0516212625564612E11	7.507134706625443E11
-2.4755914075144092E11	7.372365689268616E11
-2.953225310381899E11	7.252521981577383E11
-3.3586385447898596E11	7.063428165616602E11
-3.8126991396342017E11	6.893711831684708E11
-4.193749078757921E11	6.653649055734553E11
-4.618607348514463E11	6.437557729667217E11
-4.970024851251007E11	6.150451884339875E11
-5.360621890925176E11	5.892007973620156E11
-5.677709272661688E11	5.562265729900723E11
-6.029582749294482E11	5.2659325524724835E11
-6.308235884261465E11	4.8983575529862274E11
-6.617533622772076E11	4.5689589921939056E11
-6.8542539352325E11	4.168674402845838E11
-7.117740791220524E11	3.8113181167638293E11
-7.309637276698531E11	3.383697302386271E11
-7.524697286966792E11	3.003709385617205E11
-7.669481879790135E11	2.5543075221703857E11
-7.834109208130911E11	2.157173105807256E11
-7.930094558595206E11	1.691669167373202E11
