Deimos X	Deimos Y
-2.7046690800540512E11	1.276703927288125E11
-3.2146838027344977E11	4.7484383442714166E11
-3.688628892803555E11	8.176131332786936E11
-4.153244785107928E11	1.1584355067739631E12
-4.6140258780050543E11	1.498216692972449E12
-5.072798088902407E11	1.8373549828891248E12
-5.530357502924492E11	2.1760578343923296E12
-5.987113891891411E11	2.514446511804572E12
-6.443303072600063E11	2.8525979051246504E12
-6.899072062288129E11	3.1905637890868926E12
-7.354518202184393E11	3.5283806736442754E12
-7.80970903452732E11	3.866075262192998E12
-8.264693215458701E11	4.2036676726069775E12
-8.719506887350753E11	4.5411734371051E12
-9.174177591380386E11	4.878604796968117E12
-9.62872677212938E11	5.215971570645516E12
-1.0083171438299269E12	5.55328175342626E12
-1.0537525297534054E12	5.890541942442166E12
-1.0991799552326874E12	6.227757644676857E12
-1.1446003471057893E12	6.564933504600163E12
-1.1900144805989277E12	6.902073475342517E12
-1.235423010472017E12	7.239180949416959E12
-1.280826494597404E12	7.576258859941043E12
-1.326225412066681E12	7.913309760002014E12
-1.371620177275674E12	8.250335885593095E12
-1.417011151010293E12	8.587339206039399E12
-1.462398649265556E12	8.924321464783598E12
-1.5077829503300942E12	9.261284212661264E12
-1.5531643005287021E12	9.598228835266438E12
-1.5985429189158027E12	9.935156575623742E12
-1.6439190011410532E12	1.0272068553100693E13
-1.6892927226558938E12	1.0608965779284848E13
-1.7346642413908838E12	1.0945849171391768E13
-1.7800337000050537E12	1.1282719563650855E13
-1.8254012277866914E12	1.1619577717024365E13
-1.8707669422681477E12	1.195642432754382E13
-1.9161309506047375E12	1.2293260033493582E13
-1.9614933507577769E12	1.2630085421627816E13
-2.0068542325140847E12	1.2966901032572684E13
-2.0522136783684397E12	1.3303707365538324E13
-2.0975717642903179E12	1.364050488244456E13
-2.1429285603926882E12	1.397729401154516E13
-2.1882841315174805E12	1.4314075150622125E13
-2.2336385377497773E12	1.4650848669810014E13
-2.278991834871009E12	1.498761491410042E13
-2.324344074759503E12	1.5324374205569045E13
-2.3696953057455527E12	1.5661126845361652E13
-2.415045572927113E12	1.5997873115469291E13
-2.460394918451241E12	1.6334613280319402E13
-2.5057433817655537E12	1.6671347588204746E13
-2.5510909998435137E12	1.7008076272570326E13
-2.5964378073867524E12	1.7344799553174139E13
-2.641783837007123E12	1.768151763713683E13
-2.6871291193909517E12	1.8018230719892645E13
-2.7324736834474263E12	1.8354938986052395E13
-2.777817556443007E12	1.869164261018853E13
-2.8231607641233813E12	1.902834175754984E13
-2.8685033308243076E12	1.9365036584714062E13
-2.9138452795725767E12	1.970172724018407E13
-2.9591866321780894E12	2.0038413864934152E13
