Eris X	Eris Y
1.2934665104399574E13	5.519782136230272E12
1.2932250222451629E13	5.525360199781403E12
1.2929827855038295E13	5.530935065097939E12
1.2927398001634729E13	5.536506728131096E12
1.2924960661715285E13	5.5420751848294375E12
1.2922515834753633E13	5.547640431138904E12
1.2920063520222623E13	5.553202463002686E12
1.2917603717594338E13	5.558761276361159E12
1.2915136426339885E13	5.564316867151925E12
1.2912661645929566E13	5.569869231309703E12
1.2910179375832666E13	5.575418364766264E12
1.2907689615517475E13	5.580964263450425E12
1.2905192364451152E13	5.586506923288005E12
1.2902687622099734E13	5.59204634020179E12
1.2900175387928047E13	5.597582510111505E12
1.2897655661399654E13	5.603115428933791E12
1.289512844197674E13	5.608645092582134E12
1.289259372912003E13	5.61417149696694E12
1.2890051522288814E13	5.619694637995508E12
1.2887501820940752E13	5.625214511571909E12
1.288494462453191E13	5.630731113597186E12
1.2882379932516672E13	5.636244439969207E12
1.2879807744347678E13	5.641754486582765E12
1.2877228059475668E13	5.647261249329589E12
1.2874640877349645E13	5.65276472409834E12
1.287204619741655E13	5.658264906774733E12
1.2869444019121533E13	5.663761793241506E12
1.2866834341907715E13	5.669255379378544E12
1.2864217165216252E13	5.674745661062877E12
1.2861592488486309E13	5.680232634168741E12
1.2858960311155094E13	5.685716294567729E12
1.285632063265786E13	5.691196638128776E12
1.2853673452428014E13	5.696673660718282E12
1.2851018769896982E13	5.702147358200157E12
1.284835658449446E13	5.707617726435867E12
1.2845686895648414E13	5.713084761284594E12
1.284300970278509E13	5.718548458603201E12
1.2840325005329287E13	5.724008814246339E12
1.2837632802704254E13	5.729465824066475E12
1.283493309433193E13	5.734919483913969E12
1.283222587963293E13	5.740369789637056E12
1.2829511158026828E13	5.745816737081864E12
1.2826788928932078E13	5.751260322092508E12
1.2824059191766312E13	5.756700540510922E12
1.282132194594623E13	5.762137388176952E12
1.281857719088781E13	5.7675708609282705E12
1.2815824926006486E13	5.773000954600388E12
1.2813065150717057E13	5.778427665026492E12
1.2810297864433803E13	5.783850988037453E12
1.280752306657066E13	5.789270919461802E12
1.2804740756541033E13	5.794687455125462E12
1.2801950933757982E13	5.80010059085183E12
1.2799153597634139E13	5.805510322461639E12
1.279634874758176E13	5.810916645772836E12
1.2793536383012643E13	5.816319556600479E12
1.27907165033381E13	5.821719050756728E12
1.278788910796888E13	5.827115124050664E12
1.2785054196315111E13	5.832507772288262E12
1.2782211767786248E13	5.837896991272329E12
1.2779361821790947E13	5.843282776802388E12
1.2776504357737002E13	5.848665124674645E12
