Europa X	Europa Y
-6.367069345598718E11	-5.040306848545742E11
-6.066611761545392E11	-5.3740080657666016E11
-5.748133901146152E11	-5.694230624902383E11
-5.4149953331980853E11	-5.996896775956221E11
-5.0667452804472076E11	-6.283488778768923E11
-4.694536653123598E11	-6.55417552596238E11
-4.301381454175033E11	-6.787552723441073E11
-3.915694141237454E11	-7.007665520176774E11
-3.4926508801868414E11	-7.198955537440483E11
-3.072556967723472E11	-7.379484638305322E11
-2.644962127550994E11	-7.525110436496702E11
-2.2030247078820953E11	-7.645579415374542E11
-1.7482224734147998E11	-7.741393258509487E11
-1.2882141826064513E11	-7.800635332697755E11
-8.393927453586531E10	-7.845832205462095E11
-3.674729833151913E10	-7.852857361895586E11
1.001086751439994E10	-7.844232083557804E11
5.6402218507389565E10	-7.801231759948563E11
1.0190932603589143E11	-7.726835590568298E11
1.4794138844746152E11	-7.640598679239752E11
1.925930125965873E11	-7.510085768036017E11
2.3721481249117206E11	-7.358123903981863E11
2.819074027404821E11	-7.178928522984829E11
3.2366189750604364E11	-6.97188247819001E11
3.653503210167099E11	-6.740105481331493E11
4.0556692612182635E11	-6.470538955582433E11
4.4382901341286084E11	-6.186984815550857E11
4.8127607302013684E11	-5.884048792564946E11
5.1522139435241547E11	-5.550388923179595E11
5.4857297206629486E11	-5.20463429636315E11
5.788415255399089E11	-4.82336012420386E11
6.074808569172593E11	-4.438069476479542E11
6.33743814120324E11	-4.0214510548554004E11
6.56998484072082E11	-3.597262078343963E11
1.6387273316731663E12	-1.3465553780623323E12
2.7512796942459126E12	-2.4737137632301606E12
3.8637281955315557E12	-3.6007799607278315E12
4.976129307840828E12	-4.727802162868056E12
6.088503179465869E12	-5.85479852556837E12
7.200859339808915E12	-6.981777871050073E12
8.31320305588931E12	-8.108745156740307E12
9.425537547022938E12	-9.235703447119887E12
1.053786492535302E13	-1.0362654769375023E13
1.1650186651662695E13	-1.1489600534377195E13
1.2762503778384115E13	-1.2616541763659955E13
1.387481708889729E13	-1.3743479220669535E13
1.4987127182075062E13	-1.4870413490985768E13
1.6099434526027174E13	-1.5997345033611006E13
1.721173949359811E13	-1.7124274215009955E13
1.832404238658184E13	-1.8251201332424707E13
1.9436343452700676E13	-1.937812663028039E13
2.054864289779716E13	-2.0505050312001293E13
2.1660940894772527E13	-2.163197254869752E13
2.277323759026091E13	-2.2758893485665777E13
2.388553310969426E13	-2.3885813247334066E13
2.4997827561202652E13	-2.5012731941076027E13
2.6110121038656664E13	-2.613964966019188E13
2.7222413624069844E13	-2.7266566486265234E13
2.8334705389514777E13	-2.839348249104635E13
2.9446996398667742E13	-2.952039773797139E13
3.0559286708064086E13	-3.0647312283399562E13
3.1671576368127715E13	-3.1774226177627863E13
3.2783865424021367E13	-3.2901139465730715E13
3.3896153916353906E13	-3.40280521882588E13
3.5008441881772902E13	-3.5154964381824895E13
3.61207293534636E13	-3.628187607959787E13
3.723301636157119E13	-3.7408787311721125E13
3.834530293356231E13	-3.8535698105670016E13
3.945758909453237E13	-3.966260848655806E13
4.0569874867471055E13	-4.07895184773995E13
4.168216027349172E13	-4.191642809933721E13
4.279444533203005E13	-4.3043337371840164E13
4.3906730061017336E13	-4.41702463128759E13
4.501901447703154E13	-4.5297154939060695E13
4.613129859543029E13	-4.642406326579188E13
4.724358243046824E13	-4.7550971307363945E13
4.8355865995399555E13	-4.867787907707235E13
4.9468149302569734E13	-4.9804786587303016E13
5.058043236349653E13	-5.093169384961505E13
5.1692715188942734E13	-5.205860087481147E13
5.280499778898068E13	-5.31855076730043E13
5.391728017305E13	-5.431241425367212E13
5.502956235000933E13	-5.543932062571222E13
5.614184432818329E13	-5.65662267974868E13
5.725412611540411E13	-5.769313277686521E13
5.836640771905059E13	-5.882003857126169E13
5.947868914608182E13	-5.9946944187670164E13
6.059097040306828E13	-6.107384963269527E13
6.170325149622084E13	-6.220075491258079E13
6.281553243141573E13	-6.33276600332351E13
6.392781321421892E13	-6.4454565000255305E13
6.50400938499072E13	-6.5581469818948445E13
6.61523743434879E13	-6.6708374494351086E13
6.726465469971717E13	-6.7835279031247805E13
6.8376934923116016E13	-6.89621834341873E13
6.948921501798586E13	-7.008908770749792E13
7.060149498842275E13	-7.121599185530138E13
7.171377483832972E13	-7.234289588152598E13
7.282605457142934E13	-7.346979978991847E13
7.393833419127427E13	-7.459670358405497E13
7.50506137012571E13	-7.572360726735111E13
7.616289310462055E13	-7.685051084307192E13
7.727517240446598E13	-7.797741431434017E13
7.83874516037613E13	-7.91043176841444E13
7.949973070534811E13	-8.023122095534678E13
8.061200971195002E13	-8.135812413069052E13
8.172428862617762E13	-8.248502721280483E13
8.283656745053592E13	-8.361193020421317E13
8.394884618742911E13	-8.473883310733752E13
8.506112483916583E13	-8.586573592450422E13
8.617340340796497E13	-8.6992638657949E13
8.728568189595973E13	-8.811954130982128E13
8.839796030520228E13	-8.924644388218955E13
8.951023863766697E13	-9.03733463770424E13
9.062251689525516E13	-9.15002487962969E13
9.173479507979861E13	-9.262715114179911E13
9.284707319306242E13	-9.375405341532834E13
9.395935123674884E13	-9.488095561860048E13
9.507162921249945E13	-9.600785775327044E13
9.618390712189858E13	-9.713475982093555E13
9.72961849664756E13	-9.826166182313784E13
9.840846274770811E13	-9.938856376136698E13
9.952074046702303E13	-1.0051546563706173E14
1.006330181258E14	-1.0164236745161378E14
1.017452957253732E14	-1.0276926920636812E14
1.0285757326703281E14	-1.0389617090262611E14
1.0396985075202772E14	-1.0502307254164731E14
1.0508212818156647E14	-1.0614997412465053E14
1.0619440555681964E14	-1.0727687565281653E14
1.0730668287892116E14	-1.084037771272889E14
1.0841896014896933E14	-1.0953067854917603E14
1.0953123736802917E14	-1.1065757991955173E14
1.1064351453713325E14	-1.1178448123945803E14
1.1175579165728305E14	-1.129113825099053E14
1.1286806872945017E14	-1.1403828373187388E14
1.1398034575457742E14	-1.151651849063147E14
1.1509262273358105E14	-1.1629208603415261E14
1.1620489966734977E14	-1.1741898711628412E14
1.1731717655674711E14	-1.1854588815358058E14
1.1842945340261203E14	-1.1967278914688892E14
1.1954173020576027E14	-1.2079969009703184E14
1.206540069669846E14	-1.2192659100480983E14
1.21766283687056E14	-1.2305349187100058E14
1.2287856036672395E14	-1.24180392696361E14
1.2399083700671842E14	-1.2530729348162748E14
1.2510311360774916E14	-1.2643419422751645E14
1.262153901705073E14	-1.2756109493472573E14
1.2732766669566558E14	-1.2868799560393431E14
1.2843994318387944E14	-1.2981489623580389E14
1.2955221963578708E14	-1.3094179683097844E14
1.306644960520104E14	-1.3206869739008598E14
1.3177677243315555E14	-1.331955979137385E14
1.3288904877981316E14	-1.3432249840253211E14
1.3400132509255927E14	-1.3544939885704834E14
1.3511360137195536E14	-1.3657629927785417E14
1.3622587761854928E14	-1.377031996655028E14
1.3733815383287556E14	-1.3883010002053372E14
1.38450430015455E14	-1.3995700034347342E14
1.3956270616679723E14	-1.4108390063483644E14
1.4067498228739912E14	-1.4221080089512312E14
1.417872583777453E14	-1.43337701124824E14
1.4289953443830966E14	-1.4446460132441725E14
1.4401181046955478E14	-1.455915014943699E14
1.4512408647193212E14	-1.4671840163513838E14
1.4623636244588344E14	-1.4784530174716878E14
1.473486383918406E14	-1.4897220183089666E14
1.484609143102249E14	-1.5009910188674797E14
1.495731902014484E14	-1.5122600191513897E14
1.506854660659148E14	-1.5235290191647694E14
1.5179774190401803E14	-1.5347980189116E14
1.5291001771614347E14	-1.5460670183957738E14
1.540222935026684E14	-1.557336017621102E14
1.551345692639615E14	-1.568605016591311E14
1.562468450003843E14	-1.5798740153100466E14
1.5735912071229E14	-1.591143013780883E14
1.5847139640002447E14	-1.602412012007309E14
1.5958367206392622E14	-1.6136810099927475E14
1.606959477043274E14	-1.624950007740547E14
1.618082233215516E14	-1.636219005253988E14
1.6292049891591738E14	-1.6474880025362822E14
1.6403277448773628E14	-1.6587569995905788E14
1.651450500373136E14	-1.670025996419961E14
1.6625732556494834E14	-1.6812949930274462E14
1.6736960107093334E14	-1.692563989415998E14
1.6848187655555594E14	-1.7038329855885172E14
1.6959415201909772E14	-1.715101981547848E14
1.707064274618344E14	-1.7263709772967803E14
1.718187028840369E14	-1.7376399728380475E14
1.7293097828597044E14	-1.7489089681743312E14
1.740432536678952E14	-1.760177963308258E14
1.7515552903006697E14	-1.77144695824241E14
1.7626780437273547E14	-1.782715952979317E14
1.7738007969614653E14	-1.7939849475214628E14
1.784923550005415E14	-1.8052539418712828E14
1.7960463028615694E14	-1.8165229360311675E14
1.807169055532249E14	-1.8277919300034647E14
1.8182918080197325E14	-1.839060923790474E14
1.8294145603262575E14	-1.8503299173944575E14
1.8405373124540228E14	-1.8615989108176375E14
1.8516600644051806E14	-1.8728679040621938E14
1.8627828161818534E14	-1.8841368971302616E14
1.87390556778612E14	-1.8954058900239488E14
1.8850283192200228E14	-1.9066748827453166E14
1.896151070485569E14	-1.9179438752963938E14
1.9072738215847322E14	-1.9292128676791753E14
1.9183965725194466E14	-1.9404818598956178E14
1.9295193232916188E14	-1.9517508519476456E14
1.940642073903119E14	-1.9630198438371503E14
1.951764824355785E14	-1.9742888355659894E14
1.9628875746514416E14	-1.985557827135991E14
1.9740103247918322E14	-1.9968268185489494E14
1.98513307477872E14	-2.00809580980663E14
1.9962558246138222E14	-2.019364800910769E14
2.007378574298828E14	-2.0306337918630734E14
2.0185013238353988E14	-2.0419027826652234E14
2.029624073225166E14	-2.053171773318868E14
2.0407468224697347E14	-2.0644407638256325E14
2.0518695715706897E14	-2.0757097541871125E14
2.0629923205295825E14	-2.0869787444048825E14
2.0741150693479438E14	-2.0982477344804862E14
2.0852378180272778E14	-2.1095167244154453E14
2.096360566569065E14	-2.120785714211255E14
2.107483314974764E14	-2.1320547038693925E14
2.1186060632458122E14	-2.1433236933913047E14
2.1297288113836138E14	-2.1545926827784178E14
2.140851559389563E14	-2.1658616720321403E14
2.1519743072650256E14	-2.1771306611538528E14
2.1630970550113516E14	-2.1883996501449172E14
2.1742198026298656E14	-2.1996686390066747E14
2.1853425501218728E14	-2.2109376277404472E14
2.1964652974886644E14	-2.2222066163475316E14
2.2075880447314975E14	-2.2334756048292125E14
2.2187107918516234E14	-2.2447445931867438E14
2.229833538850272E14	-2.2560135814213728E14
2.2409562857286512E14	-2.2672825695343206E14
2.2520790324879547E14	-2.2785515575267956E14
2.2632017791293597E14	-2.289820545399982E14
2.274324525654019E14	-2.3010895331550494E14
2.2854472720630734E14	-2.3123585207931544E14
2.2965700183576475E14	-2.3236275083154316E14
2.30769276453885E14	-2.334896495723002E14
2.3188155106077697E14	-2.3461654830169666E14
2.3299382565654853E14	-2.3574344701984125E14
2.341061002413055E14	-2.3687034572684125E14
2.352183748151525E14	-2.3799724442280247E14
2.3633064937819247E14	-2.3912414310782906E14
2.3744292393052706E14	-2.402510417820237E14
2.385551984722565E14	-2.413779404454877E14
2.3966747300348003E14	-2.425048390983209E14
2.4077974752429403E14	-2.4363173774062156E14
2.4189202203479475E14	-2.4475863637248772E14
2.430042965350772E14	-2.4588553499401394E14
2.441165710252346E14	-2.4701243360529525E14
2.452288455053594E14	-2.4813933220642478E14
2.4634111997554234E14	-2.4926623079749456E14
2.4745339443587306E14	-2.503931293785951E14
2.4856566888643994E14	-2.5152002794981578E14
2.496779433273303E14	-2.52646926511245E14
2.5079021775863044E14	-2.5377382506296978E14
2.519024921804251E14	-2.5490072360507612E14
2.5301476659279803E14	-2.5602762213764878E14
2.5412704099583228E14	-2.571545206607714E14
2.5523931538960925E14	-2.5828141917452647E14
2.5635158977420966E14	-2.5940831767899556E14
2.5746386414971294E14	-2.6053521617425906E14
2.585761385161976E14	-2.6166211466039634E14
2.596884128737411E14	-2.6278901313748594E14
2.608006872224202E14	-2.6391591160560488E14
2.619129615623102E14	-2.6504281006482994E14
2.630252358934856E14	-2.661697085152364E14
2.641375102160202E14	-2.6729660695689856E14
2.6524978452998647E14	-2.6842350538989E14
2.6636205883545628E14	-2.6955040381428334E14
2.674743331325006E14	-2.7067730223015022E14
2.6858660742118944E14	-2.7180420063756162E14
2.6969888170159175E14	-2.7293109903658725E14
2.708111559737759E14	-2.740579974272961E14
2.7192343023780912E14	-2.7518489580975647E14
2.730357044937584E14	-2.7631179418403572E14
2.7414797874168916E14	-2.774386925502006E14
2.7526025298166656E14	-2.7856559090831644E14
2.7637252721375462E14	-2.7969248925844834E14
2.7748480143801694E14	-2.8081938760066047E14
2.7859707565451638E14	-2.819462859350156E14
2.7970934986331466E14	-2.8307318426157775E14
2.808216240644729E14	-2.842000825804078E14
2.8193389825805144E14	-2.853269808915674E14
2.830461724441104E14	-2.864538791951166E14
2.841584466227085E14	-2.8758077749111525E14
2.8527072079390456E14	-2.887076757796221E14
2.863829949577555E14	-2.898345740606959E14
2.8749526911431856E14	-2.9096147233439375E14
2.886075432636503E14	-2.920883706007731E14
2.897198174058061E14	-2.932152688598902E14
2.908320915408413E14	-2.943421671118006E14
2.9194436566881E14	-2.9546906535655956E14
2.930566397897662E14	-2.965959635942212E14
2.9416891390376425E14	-2.977228618248394E14
2.952811880108544E14	-2.9884976004846694E14
2.9639346211108944E14	-2.9997665826515694E14
2.9750573620452125E14	-3.0110355647496144E14
2.9861801029120044E14	-3.0223045467793156E14
2.997302843711772E14	-3.0335735287411825E14
3.008425584445012E14	-3.0448425106357206E14
3.0195483251122175E14	-3.0561114924634206E14
3.030671065713873E14	-3.0673804742247806E14
3.041793806250462E14	-3.0786494559202844E14
3.052916546722455E14	-3.089918437550409E14
3.0640392871303256E14	-3.1011874191156325E14
3.075162027474536E14	-3.1124564006164275E14
3.08628476775555E14	-3.1237253820532575E14
3.097407507973817E14	-3.134994363426585E14
3.1085302481297944E14	-3.1462633447368644E14
3.119652988223925E14	-3.1575323259845356E14
3.1307757282566494E14	-3.168801307170063E14
3.1418984682284006E14	-3.180070288293878E14
3.153021208139612E14	-3.1913392693564175E14
3.16414394799071E14	-3.202608250358114E14
