Ganymede X	Ganymede Y
-6.359370103983693E11	-5.052735161521253E11
-6.072773898701642E11	-5.386076817312104E11
-5.757388988164978E11	-5.696176564558325E11
-5.414073524851567E11	-5.992495622880858E11
-5.0522687499436914E11	-6.279378240265629E11
-4.6817845113308734E11	-6.551705205703843E11
-4.304946157473331E11	-6.79932625860522E11
-3.916175002452701E11	-7.015542238672904E11
-3.508571433481385E11	-7.201748551796095E11
-3.080711853090967E11	-7.364630838471243E11
-2.6380800614687592E11	-7.509744965459641E11
-2.1892313095075436E11	-7.636971073017704E11
-1.7402805706055023E11	-7.740683353267765E11
-1.2917911854776382E11	-7.813881047583184E11
-8.400079292618526E10	-7.852871251389114E11
-3.809267675179435E10	-7.859058861865416E11
8.610590276214102E9	-7.837157217212896E11
5.575162706021392E10	-7.791719598582772E11
1.0271804353031052E11	-7.724488017682567E11
1.4891964384019476E11	-7.6337320088796E11
1.9401375147981622E11	-7.515619335076693E11
2.3796657419580368E11	-7.36655550270043E11
2.809418800361432E11	-7.185105850464211E11
3.2311127256511786E11	-6.972540061749717E11
3.644957212876953E11	-6.732050621735417E11
4.049106848774981E11	-6.467298227425396E11
4.44008281979377E11	-6.181152964908606E11
4.8137508447398566E11	-5.875045186010193E11
5.1663482604028876E11	-5.549017824919077E11
5.49522080067113E11	-5.2022857044164056E11
5.799037163220374E11	-4.8340421562843274E11
6.077552572772823E11	-4.4441376981444E11
6.331070079938229E11	-4.033437147197533E11
6.559895841397833E11	-3.603803557016087E11
6.763775753832816E11	-3.15778244259648E11
6.941990731763292E11	-2.6983408722615567E11
7.093496087114004E11	-2.2282609143807462E11
7.217001615435374E11	-1.750107457117965E11
7.311183075499417E11	-1.2661697013020322E11
7.374859714264724E11	-7.78467256635499E10
7.407111306190189E11	-2.888144663138069E10
7.407346155970808E11	2.010996920747782E10
7.375309130044703E11	6.896222876034488E10
7.311076987811693E11	1.1750797180083214E11
7.214993627999315E11	1.6557319809581943E11
7.087644842944952E11	2.1297642294161978E11
6.929785160915806E11	2.5952944656115762E11
6.742318867064763E11	3.050396188914997E11
6.526256400439204E11	3.4931345817661633E11
6.282705122925626E11	3.921594575494409E11
6.012855821892802E11	4.333917542263546E11
5.717978534636072E11	4.728323339601891E11
5.39942228818498E11	5.1031334802639197E11
5.0586130965145856E11	5.4567857316594E11
4.697052279866563E11	5.787843843344106E11
4.316315577675423E11	6.095005998757279E11
3.9180444314306195E11	6.377106793990961E11
3.5039456814739984E11	6.633121272972837E11
3.075776628459442E11	6.862163899205862E11
2.6353446455594952E11	7.06348990171744E11
2.1844891673014453E11	7.23649349756979E11
1.7250801551121042E11	7.380708162008936E11
1.2590001760384656E11	7.495804626601771E11
7.881400333078427E10	7.581591095155745E11
3.1438298369018867E10	7.638010710981002E11
-1.604045137521259E10	7.665141405336252E11
-6.343860806254683E10	7.66319251030065E11
-1.1057702630466685E11	7.632501340367407E11
-1.5728231914985556E11	7.573528526510535E11
-2.0338852394216708E11	7.486845205938037E11
-2.4873865869608118E11	7.373125721699668E11
-2.9318545058750226E11	7.233119176170846E11
-3.3659315469172455E11	7.067636773398756E11
-3.788358229765812E11	6.877508374180667E11
-4.197981084122866E11	6.663566418213158E11
-4.593702889537865E11	6.426604006753446E11
-4.974462004778033E11	6.167370529399907E11
-5.339161802590305E11	5.886566358706287E11
-5.686627290109701E11	5.584878183815594E11
-6.015552316998964E11	5.263037907745437E11
-6.324489373975468E11	4.921921935692807E11
-6.611874290336681E11	4.5626517744488855E11
-6.876135716434495E11	4.1867166927191907E11
-7.115845847025817E11	3.7960150825171185E11
-7.329950984768269E11	3.392844393504505E11
-7.517973562705134E11	2.979735065764484E11
-7.680153180055826E11	2.559166472699277E11
-7.817402436197952E11	2.1331733773017258E11
-7.931021312454663E11	1.702990326201455E11
-8.022153085448402E11	1.2688710766917879E11
-8.091183381394572E11	8.303076394600182E10
-8.1372952556668E11	3.86615806666289E10
-8.158476940599331E11	-6.221298694438214E9
-8.152084226163455E11	-5.147479953829627E10
