Halley's Comet X	Halley's Comet Y
-3.056501785788311E12	3.907816714599547E12
-3.0557810062459556E12	3.91225688098048E12
-3.0550223977742925E12	3.9166486157606035E12
-3.0542260355480264E12	3.920991949179434E12
-3.0533919936707114E12	3.9252869103034424E12
-3.0525203451872524E12	3.9295335270318315E12
-3.0516111620955874E12	3.9337318261025913E12
-3.0506645153583276E12	3.9378818330987954E12
-3.0496804749132817E12	3.9419835724549736E12
-3.0486591096836426E12	3.9460370674623726E12
-3.047600487589199E12	3.950042340274924E12
-3.0465046755562803E12	3.953999411916082E12
-3.045371739526964E12	3.957908302284625E12
-3.04420174446831E12	3.96176903016043E12
-3.0429947543812E12	3.965581613210077E12
-3.041750832309504E12	3.9693460679926816E12
-3.0404700403480586E12	3.9730624099663403E12
-3.039152439649711E12	3.9767306534930435E12
-3.0377980904331323E12	3.980350811843503E12
-3.0364070519901772E12	3.983922897202653E12
-3.0349793826926216E12	3.9874469206746836E12
-3.0335151399983354E12	3.990922892287994E12
-3.0320143804567856E12	3.994350820999232E12
-3.030477159715236E12	3.9977307146970513E12
-3.028903532524468E12	4.001062580206988E12
-3.027293552742939E12	4.0043464232950454E12
-3.02564727334139E12	4.0075822486706294E12
-3.0239647464071123E12	4.010770059989474E12
-3.0222460231481943E12	4.0139098598561733E12
-3.0204911538974287E12	4.017001649827205E12
-3.0187001881147676E12	4.0200454304128516E12
-3.0168731743904326E12	4.023041201077892E12
-3.0150101604482466E12	4.0259889602432617E12
-3.0131111931478667E12	4.0288887052871123E12
-3.0111763184868276E12	4.0317404325450776E12
-3.009205581602152E12	4.0345441373100195E12
-3.0071990267721987E12	4.0372998138307593E12
-3.0051566974190996E12	4.0400074553117793E12
-3.003078636109752E12	4.0426670539123687E12
-3.0009648845567554E12	4.045278600744109E12
-2.9988154836201997E12	4.0478420858685024E12
-2.9966304733089097E12	4.0503574982944575E12
-2.9944098927819766E12	4.052824825975325E12
-2.9921537803496562E12	4.0552440558056523E12
-2.9898621734743125E12	4.057615173616443E12
-2.9875351087728394E12	4.059938164170794E12
-2.9851726220183955E12	4.0622130111600645E12
-2.982774748141922E12	4.0644396971987407E12
-2.980341521234323E12	4.066618203819129E12
-2.9778729745489404E12	4.0687485114656543E12
-2.9753691405050195E12	4.070830599489342E12
-2.972830050690864E12	4.072864446142942E12
-2.9702557358668623E12	4.0748500285747036E12
-2.967646225970025E12	4.0767873228221763E12
-2.9650015501189336E12	4.0786763038069927E12
-2.962321736618877E12	4.080516945329622E12
-2.9596068129673516E12	4.0823092200644653E12
-2.956856805859523E12	4.0840530995545864E12
-2.9540717411953105E12	4.085748554206781E12
-2.9512516440865806E12	4.087395553288484E12
-2.948396538863747E12	4.088994064924322E12
