Io X	Io Y
-6.357018026301085E11	-5.0433601750246136E11
-6.066336654656022E11	-5.380977143696672E11
-4.726804894469086E11	-3.097045676711915E11
-3.1875890903071844E11	-4.004231180358914E10
-1.4913075914555542E11	2.2876420443188602E11
3.2845589075583763E10	4.834737120559087E11
2.1512102814937598E11	7.301621700901118E11
3.965903647908982E11	9.737955093860034E11
5.774671081436045E11	1.215929591122952E12
7.579315574670632E11	1.4571849342067703E12
9.380987241676809E11	1.6978652907627493E12
1.1180429634691943E12	1.9381408091471921E12
1.2978143688576228E12	2.1781160811896545E12
1.4774480675541501E12	2.417859891663276E12
1.6569695582683013E12	2.6574198532975117E12
1.836397899274421E12	2.896830275018773E12
2.0157476936606594E12	3.1361166926207114E12
2.1950303718496204E12	3.375298623228191E12
2.374255046121255E12	3.61439131704531E12
2.553429096147564E12	3.853406915098353E12
2.73255858086733E12	4.0923552396632583E12
2.9116485350709434E12	4.3312443488630312E12
3.090703187358503E12	4.570080935012825E12
3.2697261231881914E12	4.808870616644045E12
3.448720408780757E12	5.047618156492703E12
3.627688686615581E12	5.28632762686991E12
3.8066332499756597E12	5.525002536942546E12
3.985556101814443E12	5.763645931983207E12
4.1644590017352896E12	6.002260471681784E12
4.343343503848041E12	6.240848492603437E12
4.522210987546563E12	6.479412058494103E12
4.701062682737234E12	6.717953001163784E12
4.879899690675514E12	6.956472953988524E12
5.058723001296711E12	7.194973379574461E12
5.237533507724966E12	7.433455592763662E12
5.416332018494488E12	7.671920779892047E12
5.595119267902053E12	7.910370015009109E12
5.773895924823527E12	8.148804273616577E12
5.952662600259617E12	8.387224444368366E12
6.13141985382467E12	8.625631339084179E12
6.310168199351185E12	8.864025701360252E12
6.488908109750707E12	9.10240821400669E12
6.66764002124633E12	9.340779505497938E12
6.84636433707196E12	9.579140155589953E12
7.0250814307169375E12	9.817490700229582E12
7.203791648781318E12	1.0055831635860684E13
7.382495313496651E12	1.0294163423213783E13
7.561192724958098E12	1.0532486490651887E13
7.739884163106756E12	1.0770801237133414E13
7.91856988949503E12	1.1009108034843547E13
8.097250148862739E12	1.124740723153789E13
8.27592517054796E12	1.1485699152634725E13
8.45459516975289E12	1.1723984103088377E13
8.63326034868227E12	1.1962262369069867E13
8.811920897569537E12	1.220053421947862E13
8.990576995603537E12	1.2438799907305154E13
9.169228811767365E12	1.267705967086173E13
9.347876505598896E12	1.291531373489647E13
9.526520227882053E12	1.3153562311603582E13
9.705160121275559E12	1.3391805601541396E13
9.883796320886504E12	1.3630043794467799E13
1.0062428954794229E13	1.3868277070102158E13
1.0241058144529293E13	1.4106505598821111E13
1.041968400551251E13	1.434472954229523E13
1.0598306647457729E13	1.4582949054072264E13
1.0776926174741883E13	1.4821164280112406E13
1.0955542686745818E13	1.5059375359279865E13
1.113415627816791E13	1.5297582423796004E13
1.131276703931377E13	1.553578559965611E13
1.149137505636377E13	1.5773985007014318E13
1.1669980411620648E13	1.6012180760539299E13
1.1848583183738424E13	1.6250372969743127E13
1.2027183447935223E13	1.6488561739286041E13
1.2205781276190303E13	1.6726747169258754E13
1.2384376737427521E13	1.6964929355444832E13
1.2562969897685762E13	1.7203108389564305E13
1.274156082027779E13	1.7441284359500266E13
1.2920149565938178E13	1.7679457349510164E13
1.3098736192961562E13	1.7917627440422402E13
1.3277320757331447E13	1.8155794709820117E13
1.3455903312840902E13	1.8393959232212438E13
1.363448391120532E13	1.863212107919495E13
1.3813062602168127E13	1.8870280319599598E13
1.3991639433599707E13	1.9108437019635215E13
1.4170214451590266E13	1.9346591243019086E13
1.4348787700537105E13	1.9584743051100516E13
1.4527359223226545E13	1.982289250297652E13
1.4705929060910805E13	2.0061039655601312E13
1.4884497253380623E13	2.0299184563888086E13
1.506306383903351E13	2.0537327280805668E13
1.5241628854937938E13	2.0775467857469215E13
1.5420192336894072E13	2.101360634322589E13
1.5598754319490924E13	2.1251742785735215E13
1.5777314836160506E13	2.148987723104527E13
1.5955873919228662E13	2.172800972366475E13
1.6134431599963559E13	2.1966140306630484E13
1.6312987908621217E13	2.2204269021571977E13
1.6491542874488818E13	2.2442395908771785E13
1.667009652592554E13	2.268052100722328E13
1.6848648890401455E13	2.291864435468498E13
1.7027199994534266E13	2.3156765987732164E13
1.7205749864124164E13	2.3394885941805836E13
1.7384298524187121E13	2.3633004251259094E13
1.7562845998986297E13	2.387112094940115E13
1.774139231206177E13	2.4109236068539496E13
1.791993748625947E13	2.434734964001926E13
1.809848154375756E13	2.458546169426141E13
1.827702450609265E13	2.482357226079858E13
1.845556639418431E13	2.5061681368309234E13
1.8634107228358234E13	2.5299789044650535E13
1.881264702836867E13	2.553789531688919E13
1.8991185813419414E13	2.577600021133121E13
1.916972360218431E13	2.6014103753550004E13
1.9348260412826617E13	2.625220596841356E13
1.952679626301713E13	2.6490306880109848E13
1.970533116995215E13	2.6728406512171844E13
1.988386515037024E13	2.696650488750038E13
2.00623982205682E13	2.7204602028387E13
2.0240930396416652E13	2.7442697956535406E13
2.041946169337459E13	2.768079269308163E13
2.059799212650371E13	2.7918886258614117E13
2.077652171048169E13	2.8156978673191758E13
2.0955050459615285E13	2.839506995636266E13
2.113357838785267E13	2.863316012718103E13
2.13121055087953E13	2.8871249204223656E13
2.1490631835709363E13	2.910933720560552E13
2.1669157381536617E13	2.9347424148995477E13
2.184768215890501E13	2.958551005163037E13
2.202620618013863E13	2.9823594930329207E13
2.2204729457267434E13	3.0061678801506383E13
2.2383252002036582E13	3.0299761681184723E13
2.2561773825915125E13	3.0537843585007805E13
2.274029494010483E13	3.0775924528251773E13
2.2918815355548504E13	3.10140045258368E13
2.309733508293758E13	3.125208359233806E13
2.3275854132719895E13	3.1490161741996285E13
2.3454372515107297E13	3.172823898872782E13
2.363289024008229E13	3.1966315346134566E13
2.3811407317405098E13	3.2204390827513406E13
2.398992375662009E13	3.244246544586506E13
2.416843956706232E13	3.268053921390282E13
2.434695475786325E13	3.2918612144061363E13
2.4525469337956977E13	3.315668424850432E13
2.4703983316085668E13	3.3394755539132387E13
2.4882496700805086E13	3.3632826027590758E13
2.5061009500489785E13	3.387089572527641E13
2.5239521723338465E13	3.4108964643345207E13
2.5418033377378336E13	3.4347032792718473E13
2.559654447047033E13	3.458510018408967E13
2.577505501031362E13	3.4823166827930613E13
2.5953565004449812E13	3.5061232734497438E13
2.6132074460267312E13	3.529929791383684E13
2.6310583385005535E13	3.553736237579156E13
2.6489091785758812E13	3.5775426130005516E13
2.6667599669480168E13	3.601348918592981E13
2.6846107042985188E13	3.625155155282725E13
2.7024613912955688E13	3.6489613239777836E13
2.720312028594277E13	3.672767425568248E13
2.7381626168370797E13	3.696573460926931E13
2.7560131566540152E13	3.7203794309096875E13
2.7738636486630742E13	3.744185336355891E13
2.7917140934704727E13	3.767991178088828E13
2.8095644916709953E13	3.7917969569161914E13
2.8274148438482363E13	3.815602673630335E13
2.8452651505748918E13	3.8394083290088016E13
2.8631154124130508E13	3.863213923814584E13
2.8809656299144266E13	3.887019458796519E13
2.8988158036206285E13	3.9108249346896734E13
2.9166659340633965E13	3.934630352215617E13
2.9345160217648434E13	3.958435712082813E13
2.9523660672376934E13	3.982241014986873E13
2.9702160709854883E13	4.006046261610891E13
2.9880660335028344E13	4.029851452625767E13
3.0059159552755703E13	4.053656588690447E13
3.0237658367810105E13	4.077461670452276E13
3.0416156784881312E13	4.101266698547188E13
3.0594654808577652E13	4.125071673600027E13
3.0773152443427664E13	4.1488765962247695E13
3.095164969388246E13	4.172681467024806E13
3.113014656431683E13	4.1964862865931664E13
3.130864305903152E13	4.2202910555127555E13
3.148713918225451E13	4.2440957743565766E13
3.1665634938142887E13	4.267900443687981E13
3.184413033078438E13	4.291705064060866E13
