Jupiter X	Jupiter Y
-6.360622795209801E11	-5.042137607939078E11
-6.063906374659825E11	-5.38008613446265E11
-5.74772524242472E11	-5.700828406892773E11
-5.4129807675504175E11	-6.00314306741435E11
-5.0606692412585815E11	-6.28595566229832E11
-4.6918537027535156E11	-6.54823975363778E11
-4.3076576449220416E11	-6.789036342477867E11
-3.9092604219805176E11	-7.007420880764703E11
-3.497902156776931E11	-7.202542371473055E11
-3.074871912071115E11	-7.37359168679273E11
-2.6415161571137027E11	-7.519841069513013E11
-2.1992273285967996E11	-7.64061322424845E11
-1.7494512883454028E11	-7.735319017002266E11
-1.2936741672922575E11	-7.803428767029246E11
-8.33431165183041E10	-7.844506605034384E11
-3.70291181928485E10	-7.858184882423157E11
9.413572545048286E9	-7.844196831604707E11
5.58215831697614E10	-7.802352530316259E11
1.0202804910943741E11	-7.732571128642765E11
1.4786480405595135E11	-7.634855477241335E11
1.9316117565699878E11	-7.509325703623647E11
2.377463918844855E11	-7.356191676490693E11
2.8144827802815594E11	-7.175784909713392E11
3.2409618734202997E11	-6.96853381805135E11
3.6551926537960486E11	-6.734991411410281E11
4.055498467536078E11	-6.4758126758937E11
4.4402171012398413E11	-6.191778138995887E11
4.807734333578909E11	-5.883772840578201E11
5.156468179102254E11	-5.552807435332788E11
5.484902324345277E11	-5.199994787793488E11
5.791570755690258E11	-4.826569983433271E11
6.07509288093335E11	-4.433865486560243E11
6.334155742484362E11	-4.0233285286686694E11
6.567552025434796E11	-3.5964960740890533E11
6.773915854120511E11	-3.154747083507845E11
6.952455563064973E11	-2.700024718703392E11
7.102303269308175E11	-2.2341695025321643E11
7.222697795225824E11	-1.759051370977558E11
7.312992900503447E11	-1.276608142044562E11
7.372695479225906E11	-7.888239071136623E10
7.401438094002117E11	-2.9772838341627903E10
7.399015847958552E11	1.946239658800418E10
7.365356163010986E11	6.8615770497946945E10
7.30055386913539E11	1.1747960882375566E11
7.204838121435114E11	1.6584673906680917E11
7.078605310998656E11	2.1351227627324332E11
6.922383135185112E11	2.6027445736283966E11
6.736861292489585E11	3.05936186210433E11
6.522852891850309E11	3.503060008013985E11
6.28132291816339E11	3.93199321847632E11
