Neptune X	Neptune Y
4.290929645604469E12	-1.2845394327288992E12
4.2963699065044927E12	-1.265665834285992E12
4.3017278591712607E12	-1.2467679642143438E12
4.3070034121278296E12	-1.227846174989583E12
4.3121964734299526E12	-1.2089008331973037E12
4.3173069379762056E12	-1.1899323216970215E12
4.322334679276249E12	-1.1709410303789373E12
4.327279556469548E12	-1.151927336089679E12
4.332141440027919E12	-1.1328915844187976E12
4.336920240677192E12	-1.113834094178368E12
4.3416159104543936E12	-1.094755193176485E12
4.346228399322106E12	-1.0756552597868868E12
4.3507575985913164E12	-1.0565347216625562E12
4.3552033384071333E12	-1.0373939921983662E12
4.359565469279642E12	-1.0182334026653812E12
4.363843946022255E12	-9.990532293319998E11
4.3680387822740996E12	-9.798538146155253E11
4.372149899162869E12	-9.606356197965269E11
4.376177088335617E12	-9.413990934941422E11
4.3801201980563677E12	-9.221445257573619E11
4.3839792664101733E12	-9.028721619462527E11
4.387754316250498E12	-8.835824340810701E11
4.391445137233322E12	-8.642758628067981E11
4.3950515237243613E12	-8.449527477214255E11
4.398573556781089E12	-8.256132897593657E11
4.402011273373602E12	-8.062579699220748E11
4.405364386338907E12	-7.868873171082039E11
4.408632777976195E12	-7.675015154936206E11
4.411816634435136E12	-7.481008519207925E11
4.414915781662829E12	-7.286859528080142E11
4.417929941032873E12	-7.092571055243665E11
4.420859323991507E12	-6.898144713197428E11
4.42370384628632E12	-6.703586981613829E11
4.426463166488483E12	-6.508901146839476E11
4.429137537861945E12	-6.314088481216168E11
4.431726830992229E12	-6.119155981007142E11
4.434230745868033E12	-5.924105914020985E11
4.436649612745364E12	-5.728940562097845E11
4.438983090091995E12	-5.53366715273522E11
4.441231150470132E12	-5.33828583443249E11
4.443393989864238E12	-5.1428022948307446E11
4.445471145691037E12	-4.9472207568243567E11
4.447463000641703E12	-4.751542302566945E11
4.449369185982604E12	-4.5557746712939E11
4.451189804646567E12	-4.3599173070667737E11
4.45292485595836E12	-4.1639777835277094E11
4.45457409386619E12	-3.9679570070475665E11
4.456137807092335E12	-3.7718604674950757E11
4.457615550903641E12	-3.575691252529775E11
4.459007743543593E12	-3.3794529535206555E11
4.460313874547287E12	-3.183150111602511E11
4.461534397852369E12	-2.986785396977022E11
4.462668795802606E12	-2.79036375017885E11
4.463717521250728E12	-2.5938879802794897E11
4.464680081669376E12	-2.397362365044202E11
4.465556882368322E12	-2.200790921934088E11
4.466347532859994E12	-2.0041762210468878E11
4.467052273418431E12	-1.8075243788105496E11
4.467670970023233E12	-1.6108357751658438E11
4.468203532924501E12	-1.414118325196613E11
4.468650203949383E12	-1.2173716851064491E11
4.469010570282574E12	-1.0206027712854958E11
4.469285038481458E12	-8.238142512553738E10
4.469473307321261E12	-6.270085631421607E10
4.469575393983346E12	-4.301927538884237E10
4.469591535271793E12	-2.3336716498475414E10
4.469521357799256E12	-3.653715269818646E9
4.469365084634532E12	1.6029215124020403E10
4.469122792290761E12	3.571200016670178E10
4.468794178283848E12	5.539406316901289E10
4.468379450688614E12	7.507492932012807E10
4.467878710359471E12	9.475447768729028E10
4.467291701497904E12	1.1443223094748941E11
4.466618492079395E12	1.3410763870197762E11
4.465859282721191E12	1.5378048632785214E11
4.4650139599581875E12	1.7345048395577625E11
4.464082395786542E12	1.9311709389767563E11
4.463064714740077E12	2.1277987830535165E11
4.461961043063599E12	2.324385842616685E11
4.460771321995305E12	2.5209289706400806E11
4.459495460370336E12	2.7174235629393884E11
4.458133491711843E12	2.9138650353072424E11
4.456685522134476E12	3.110249816446855E11
4.455151611937002E12	3.306574808031167E11
4.453531750677577E12	3.502836536422387E11
