Phobos X	Phobos Y
-2.307668810205949E11	-7.231227551238048E10
-1.8732489206864496E11	-1.5469300211954007E11
-1.2190563423420699E11	-2.189710033886936E11
-4.33155872428269E10	-2.5993411582511377E11
3.947775522288197E10	-2.769858620178365E11
1.1942790944172958E11	-2.726266385535113E11
1.9185834612235626E11	-2.5066738810292905E11
2.540317450086804E11	-2.15076508867145E11
3.0454035237162933E11	-1.6946349313978293E11
3.428096392964128E11	-1.1693747475814409E11
3.6876287971083167E11	-6.013327464961737E10
3.8261398289256573E11	-1.294381002068233E9
3.847470818753926E11	5.7635070371044464E10
3.756516851064323E11	1.1492640144198282E11
3.55893627371299E11	1.6899455695840866E11
3.2611054236733795E11	2.1833755625378146E11
2.870266131429747E11	2.6148539354209482E11
2.3948559835423685E11	2.9695706961581116E11
1.8450457144963547E11	3.232261662374659E11
1.233539627865533E11	3.38698621857937E11
5.7672558068235825E10	3.417124898530793E11
-1.0372402617948862E10	3.3058034380002905E11
-7.787439272155713E10	3.037146124050429E11
-1.4094266321521573E11	2.5990664477518103E11
-1.9450630661951202E11	1.9886284690449615E11
-2.323967973260273E11	1.220839264277919E11
-2.4814044820981094E11	3.3962121005859776E10
-2.3685592423040985E11	-5.758878428959507E10
-1.977795806407322E11	-1.4217904559510156E11
-1.355242055859512E11	-2.1002084099078198E11
-5.853365200254754E10	-2.5511238005220697E11
2.408228527263887E10	-2.7615127050498346E11
1.0489728233500133E11	-2.752379356002821E11
1.788541223505563E11	-2.5605036761641684E11
2.4292822682364185E11	-2.2257299693856186E11
2.955224881501694E11	-1.7849018421586298E11
3.359465645684953E11	-1.2699705835149065E11
3.640561671346387E11	-7.080549847339052E10
3.8002696090158685E11	-1.2220664522232038E10
3.8422144371794006E11	4.676779690253404E10
3.7711582064669244E11	1.0440061593459572E11
3.592653969243848E11	1.5907529218303833E11
3.3129592255388E11	2.092838024502056E11
2.939147434543757E11	2.5355991364232132E11
2.4794005604511832E11	2.9043461225744366E11
1.9435001697159802E11	3.183996382452061E11
1.3435680309428079E11	3.3588205643597614E11
6.95138738084033E10	3.412380192007524E11
1.8666601065439706E9	3.327835769445926E11
-6.5845523231843895E10	3.088981879908858E11
-1.2994548944410344E11	2.6826533632591187E11
-1.8559619006836282E11	2.1034988557626755E11
-2.267948562709035E11	1.3621407269904265E11
-2.4698444401383755E11	4.961736324939929E10
-2.407450082180556E11	-4.215550510803073E10
-2.0634613001235846E11	-1.2892914647828723E11
-1.4745814174075684E11	-2.0044475369906787E11
-7.212312074426387E10	-2.498053595704165E11
1.036222432779218E10	-2.7491739895438495E11
9.21196155140031E10	-2.7745771661380096E11
1.676589996434845E11	-2.6099113017448376E11
2.3364562369718845E11	-2.2954950117011102E11
2.8828967609101416E11	-1.8691729261851663E11
3.30790277288522E11	-1.3639037630502841E11
