Saturn X	Saturn Y
8.479248141858513E9	-1.50450526278295E12
4.133745911627427E10	-1.5040417393721155E12
7.417343307852815E10	-1.5028184837684646E12
1.069724273902875E11	-1.5008365261711658E12
1.397161747479184E11	-1.4980975701344897E12
1.723887556641888E11	-1.4946013217030928E12
2.049742770486248E11	-1.4903509861823613E12
2.3745455832673932E11	-1.4853475550178066E12
2.698149623980029E11	-1.4795929793986985E12
3.0203784282309375E11	-1.4730910738168147E12
3.341067048879187E11	-1.4658429888042637E12
3.6600647623184344E11	-1.4578531725543901E12
3.977189425980235E11	-1.4491248171914912E12
4.292293975975117E11	-1.439660815359029E12
4.60521131496814E11	-1.4294668849273086E12
4.9157719419016534E11	-1.4185458742758142E12
5.223832574108108E11	-1.4069032552929246E12
5.529215053932922E11	-1.3945444754242764E12
5.831770442750508E11	-1.3814735046221658E12
6.131343371388682E11	-1.367697706830485E12
6.427762437355338E11	-1.3532218995091062E12
6.720890473850914E11	-1.3380524702546655E12
7.010557963548177E11	-1.3221970979697942E12
7.296613908889281E11	-1.305661094303591E12
7.578915860655032E11	-1.288453230641942E12
7.857294338085427E11	-1.2705805611138083E12
8.131616515381101E11	-1.252050435510429E12
8.40172549047946E11	-1.232872661410351E12
8.667468841970519E11	-1.2130542396727468E12
8.928716434758099E11	-1.1926051458011736E12
9.185304846276167E11	-1.1715348347900322E12
9.437103437832823E11	-1.1498517546281123E12
9.683970356050006E11	-1.1275675917327334E12
9.92575334557358E11	-1.1046913279487961E12
1.0162332602523191E12	-1.0812339368025099E12
1.0393555165165444E12	-1.057207227488198E12
1.0619291289262731E12	-1.0326209106062532E12
1.083941548402655E12	-1.0074881774920677E12
1.1053779092128674E12	-9.818201844390884E11
1.1262270603416094E12	-9.55628773710003E11
1.1464752241646084E12	-9.289278995351145E11
1.1661095743743066E12	-9.017287701448357E11
1.1851192343920972E12	-8.740457212145457E11
1.2034902094638914E12	-8.458921964945542E11
1.2212120248061626E12	-8.172809341465547E11
1.2382728355829592E12	-7.882277238112378E11
1.2546602105842517E12	-7.587455556650171E11
1.2703648713489932E12	-7.28849637878508E11
1.2853742850175051E12	-6.985556871145436E11
1.2996785878830293E12	-6.678775012824126E11
