Sun X	Sun Y
2.6822242463469407E8	9.183498430609486E8
2.307428114137873E8	9.486248691637859E8
1.9156334011051226E8	9.770578722153846E8
1.5057609536700526E8	1.0037547688426282E9
1.0765925187287794E8	1.0284651140660001E9
6.2845350060092956E7	1.0507740459650688E9
1.665620062967406E7	1.0702968842859628E9
-3.0395175989537247E7	1.0872371179968765E9
-7.813054116703334E7	1.101945794929501E9
-1.2684627895079777E8	1.1147269161983478E9
-1.7687929353014934E8	1.1252311976851256E9
-2.28114856559114E8	1.1330098542978547E9
-2.801145116472973E8	1.137715703265398E9
-3.3240064994242376E8	1.139524219850633E9
-3.8491554893411213E8	1.1386051975197244E9
-4.376648439974779E8	1.134977711828789E9
-4.905778711871601E8	1.128371737738087E9
-5.431834559488164E8	1.1187331673539174E9
-5.952262698218124E8	1.1063018427128468E9
-6.466625612117424E8	1.0913930102354739E9
-6.978290861228871E8	1.074006864438154E9
-7.487003100146153E8	1.0537074348003584E9
-7.988931406219378E8	1.0301443375501888E9
-8.476823437712889E8	1.0033302955374788E9
-8.947027197788354E8	9.737911676791224E8
-9.399616601931193E8	9.419288360486119E8
-9.837241432618393E8	9.078960948519417E8
-1.0259646127831463E9	8.714161635079894E8
-1.0663675453555243E9	8.324728795221161E8
-1.1046167052240827E9	7.911939375022699E8
-1.1406259957837605E9	7.479500673438318E8
-1.1745241433302958E9	7.027372391123673E8
-1.2061469082741182E9	6.554455487788247E8
-1.2350858133581882E9	6.060097807696441E8
-1.2608227645273957E9	5.548908428776329E8
-1.283376982641508E9	5.026986023913276E8
-1.3030557277161627E9	4.498383681581559E8
-1.3202759767265606E9	3.9617533389915025E8
-1.3348469006204288E9	3.413969044049408E8
-1.346371566924708E9	2.8552238613127327E8
-1.3544184183737981E9	2.2895886322772062E8
-1.359077589433761E9	1.722764397956915E8
-1.360544127154626E9	1.1568722595853122E8
-1.3589521676577818E9	5.925747273965316E7
-1.3541090446121058E9	3046340.0026691915
-1.345952065554747E9	-5.2486071228629604E7
-1.3346883073128994E9	-1.0697882188246135E8
-1.3207471558119137E9	-1.602312499405547E8
-1.304345034130637E9	-2.1254457717102125E8
-1.2852303062853763E9	-2.6401512415088E8
-1.263054471377898E9	-3.1444395542023724E8
-1.2377083205733726E9	-3.631417757667794E8
-1.2096653235035465E9	-4.096212055855711E8
-1.1794508429504418E9	-4.5375779020693153E8
-1.1474120651697023E9	-4.9583015267254317E8
-1.1133972484424865E9	-5.3593871450632864E8
-1.0773813769772415E9	-5.738866922407517E8
-1.0394769633867241E9	-6.09356246271352E8
-1.0001308058217201E9	-6.422523611524158E8
-9.594625752347883E8	-6.727697558704977E8
-9.174202253229091E8	-7.009140529962028E8
-8.738626855754914E8	-7.264118426146685E8
-8.291445799669416E8	-7.487522711029621E8
-7.838795602248225E8	-7.678626471833249E8
-7.38626027976927E8	-7.840368142320681E8
-6.933987097799214E8	-7.978388980533695E8
-6.479057285164218E8	-8.093279299568775E8
-6.020042338463309E8	-8.182920126805176E8
-5.559350601724416E8	-8.243077536689849E8
-5.1021398606095594E8	-8.274182171138915E8
-4.650892217249734E8	-8.278302089905763E8
-4.206202923840623E8	-8.25795353070938E8
-3.767472582251336E8	-8.212148048061275E8
-3.3378741066270334E8	-8.139992168593029E8
-2.920885166845552E8	-8.042664662915941E8
-2.519224477569549E8	-7.924693932988579E8
-2.1300492573109013E8	-7.789663286509877E8
-1.7508568881735128E8	-7.63669002686189E8
-1.3811586270187E8	-7.462132499106312E8
-1.0264405811526167E8	-7.2632778042883E8
-6.918827308695418E7	-7.043270392229949E8
-3.7976562358024314E7	-6.807290332960538E8
-8740239.495714499	-6.559786558808737E8
1.8732553200342394E7	-6.299997775948368E8
4.439107765069383E7	-6.027185594649655E8
6.795830302885728E7	-5.74145527970781E8
8.932908797038516E7	-5.446892753857605E8
1.0871379154002634E8	-5.144936196114259E8
1.2624012984251833E8	-4.835208159359963E8
1.4177082035931543E8	-4.515024022540876E8
1.5480312546846345E8	-4.185920618895351E8
1.651229864262455E8	-3.852742691248022E8
1.7287926512889904E8	-3.521544066501706E8
1.7863230545806542E8	-3.1937853172879136E8
1.8259792593361408E8	-2.867005764679377E8
1.8468846621291742E8	-2.5383453737370473E8
1.8444960854813877E8	-2.2084711080710718E8
1.8178890859132743E8	-1.8817043923217916E8
1.7681836442723593E8	-1.5610927606461698E8
1.6982149679546797E8	-1.247653618361093E8
1.6074249007327253E8	-9.402134360673678E7
1.4943758735316855E8	-6.40947848396317E7
1.3589122361599958E8	-3.5337949599700905E7
1.2050155042340286E8	-8136123.845204802
1.0370627802833466E8	1.769257950968471E7
8.557324644837976E7	4.244401701350896E7
6.576528781771869E7	6.635100573422157E7
4.387898115899622E7	8.899389896851096E7
2.0039955802948397E7	1.098398600938769E8
-5320716.615320602	1.2851137912281829E8
-3.1697016206699688E7	1.4516199592403975E8
-5.906712814650051E7	1.6001261306206462E8
-8.750897084277113E7	1.7309095544450426E8
-1.1708692353721079E8	1.8412750132982558E8
-1.4744557460503677E8	1.929455303462691E8
-1.7838209041828677E8	1.9966654717496148E8
-2.098400737814209E8	2.0446128468730798E8
-2.4210932239613056E8	2.0729157550695854E8
-2.7516781433056533E8	2.0767769491932148E8
-3.086406342846896E8	2.0526042578217223E8
-3.4185015570970947E8	1.999947726442448E8
-3.744452307086962E8	1.923769301940209E8
-4.065082004281425E8	1.8274758875727093E8
-4.383486265520573E8	1.711777013120172E8
-4.7000636672435635E8	1.57244982282449E8
-5.011076832730849E8	1.4077413762128797E8
-5.312702791060333E8	1.2179245611729641E8
-5.602949031298934E8	1.0062276874771419E8
-5.88289727654303E8	7.728099975371607E7
-6.150909551255865E8	5.163014269692611E7
-6.40342606901154E8	2.3567444725238714E7
-6.635384240990375E8	-6570892.308907128
-6.846861157080445E8	-3.827754665240615E7
-7.040298460252872E8	-7.129082962662907E7
-7.218986585355806E8	-1.0581809350099112E8
-7.380069105941181E8	-1.4226824021780232E8
-7.518413402387831E8	-1.8064739228049517E8
-7.628766478711677E8	-2.205844117777328E8
-7.71110395617567E8	-2.6147547193007883E8
-7.767266861976359E8	-3.031126370206533E8
-7.798397833507241E8	-3.454559027972806E8
-7.802438260889935E8	-3.885576742092656E8
-7.777362080102674E8	-4.320585804295283E8
-7.723756581164134E8	-4.7564477694260037E8
-7.644030135803754E8	-5.190828614404558E8
-7.53950467640955E8	-5.625963513292328E8
-7.406756224847702E8	-6.062324738918734E8
-7.241939196005772E8	-6.497316837902141E8
-7.043304063816497E8	-6.923820386463559E8
-6.815356045415965E8	-7.336450566079954E8
-6.562899612074617E8	-7.734145994012038E8
-6.288783474247615E8	-8.119657441947398E8
-5.990279283565965E8	-8.494228791644061E8
-5.665729086546781E8	-8.855074826357905E8
-5.315170481905076E8	-9.198051608127934E8
-4.942493747764907E8	-9.520487369871718E8
-4.5491714077714586E8	-9.823270769610119E8
-4.134949642702031E8	-1.0105574019483507E9
-3.698779829982076E8	-1.0364629785210308E9
-3.2437071933940244E8	-1.0595103237083114E9
-2.7754534646634096E8	-1.0795950587887418E9
-2.2988016848273286E8	-1.0969211258337743E9
-1.8138454625691435E8	-1.1119553444384358E9
-1.3172755204959561E8	-1.1246545830468898E9
-8.079526557679382E7	-1.1346839239445643E9
-2.884844635923385E7	-1.1415083955353918E9
2.3484566034228865E7	-1.1450620478155696E9
7.586641437567085E7	-1.1455473485343897E9
1.2817291520211442E8	-1.1432300968599937E9
1.80499104189048E8	-1.1380542108275259E9
2.3257719259756845E8	-1.1298600297038686E9
2.84081881855133E8	-1.1186803490017178E9
3.34698251603259E8	-1.104827292490069E9
3.846219370690107E8	-1.0885991302149198E9
4.340193719580402E8	-1.0698385130776166E9
4.828413572056715E8	-1.0481823275511492E9
5.3047933826663196E8	-1.0233416751242934E9
5.763436079963871E8	-9.956651820418713E8
6.202032590725814E8	-9.656770939924635E8
6.623095234062238E8	-9.338293378676153E8
7.029063967774429E8	-8.999948051382078E8
7.418950201616719E8	-8.640197750738264E8
7.789406626920841E8	-8.258293869447788E8
8.137782769297727E8	-7.85785450455692E8
8.465065504198915E8	-7.440800563231384E8
8.77157574304743E8	-7.00747677801821E8
9.056081827507732E8	-6.556128828451498E8
9.313693762984744E8	-6.088251707681961E8
9.542386470311766E8	-5.608617618903947E8
9.743268456298542E8	-5.1227147255457956E8
9.921507301975094E8	-4.631980937220064E8
