Titan X	Titan Y
8.79376972718183E9	-1.5055501314097527E12
4.0261821194555855E10	-1.5034283850819346E12
7.534006915700589E10	-1.5026762479102273E12
1.0612301939431215E11	-1.5015993673965374E12
1.3965190229668463E11	-1.4970010656070935E12
1.7312872020814023E11	-1.4954613337220542E12
2.0373941380394907E11	-1.4901175188621052E12
2.3844530894791418E11	-1.4847929090677136E12
2.6937304712117148E11	-1.480589351941584E12
3.01511585423658E11	-1.4720684186298643E12
3.351565758261506E11	-1.4663720174180967E12
3.6478720771088086E11	-1.4580400382459438E12
3.983655648968029E11	-1.44824239551712E12
4.292715662621928E11	-1.4407376364454644E12
4.596040787047891E11	-1.4286743978975923E12
4.927588151510756E11	-1.4186456695586917E12
5.213636739833557E11	-1.4074895737709658E12
5.531091735822186E11	-1.3934761743476655E12
5.837041649173761E11	-1.3824500484637744E12
6.119607313953579E11	-1.3672615556795996E12
6.438777256353131E11	-1.3528668512063694E12
6.714352515769434E11	-1.3389512893745464E12
7.00744584568004E11	-1.3211190783722249E12
7.3058614490937E11	-1.3063593809319817E12
7.566426773379332E11	-1.2884485503094136E12
7.865454773884083E11	-1.269828350686001E12
8.129909548593958E11	-1.253113527540582E12
8.394060393578668E11	-1.231966483897127E12
8.678991084496722E11	-1.2133364008532815E12
8.917516839366522E11	-1.1930398267405725E12
9.189037783222948E11	-1.1705187695286628E12
9.440614198803721E11	-1.1508873326022478E12
9.672978056879474E11	-1.1269903884834614E12
9.937294587930767E11	-1.1044943803375034E12
1.0154383591092104E12	-1.0820395840671509E12
1.039208634704369E12	-1.0561122492863696E12
1.0627411909172657E12	-1.0334259424440515E12
1.0826948589062638E12	-1.0073455462784668E12
1.1062986343529255E12	-9.811762761703824E11
1.1259087354049033E12	-9.56662378142166E11
1.1458265925624297E12	-9.279566564002415E11
1.167220987786023E12	-9.021326163753667E11
1.183946392064542E12	-8.74370094278244E11
1.2039841672748064E12	-8.449262233764541E11
1.2214400815743323E12	-8.183415579027892E11
1.2372354055625017E12	-7.87563882180067E11
1.255834268342572E12	-7.586543410711504E11
1.2694875411522263E12	-7.295870052751755E11
1.2853327937284216E12	-6.974606067546416E11
1.3004124705846172E12	-6.687409706690892E11
1.3120324993425884E12	-6.36606674706032E11
1.327107230438586E12	-6.04861368576257E11
1.3378578556517131E12	-5.747109754105431E11
1.3490672811197427E12	-5.4064798505539154E11
1.3613567405523445E12	-5.0976498897164044E11
1.3689486527676458E12	-4.769195787218961E11
1.379797124853062E12	-4.42814102364578E11
1.3877269593166958E12	-4.11659645431228E11
1.394092217105893E12	-3.764973844999549E11
1.403015275120692E12	-3.435546035669777E11
1.4068652406360269E12	-3.105007963821349E11
1.412912423819707E12	-2.7472544258020892E11
1.41793228596395E12	-2.4256557270425946E11
1.4195033305707207E12	-2.0715069484047937E11
1.4244037069161946E12	-1.7245997363243732E11
1.4248353494019053E12	-1.3951438028777478E11
1.4257196498852798E12	-1.0292769092148483E11
1.427533992029253E12	-6.978113082298262E10
1.4246013430371284E12	-3.487514598794509E10
1.4248568418869065E12	1.0090212873914597E9
1.4221117830465E12	3.370676245982501E10
1.4177464549805798E12	7.015320110872359E10
1.4158848336307852E12	1.0413656422592879E11
1.408909127511723E12	1.3794594653849982E11
1.4040496857239778E12	1.7424124875924072E11
1.3981880169731108E12	2.0665903658420944E11
1.3887873424403274E12	2.420193717395097E11
1.3826995844028655E12	2.764715946023347E11
1.372191653462088E12	3.0882353998131415E11
1.3619986962413213E12	3.4457803496639307E11
1.3528577176041038E12	3.766761912422433E11
1.3389127034908564E12	4.101232666597852E11
1.3281014863075244E12	4.444232146649023E11
1.314481591766717E12	4.7517296436812256E11
1.2990552559615862E12	5.0935753663164014E11
1.286288808577992E12	5.409629196701561E11
1.2684787760341147E12	5.718920929708224E11
1.2526336950683887E12	6.051899675923708E11
1.2361175553861257E12	6.343258044875117E11
1.215899088631245E12	6.659535437987488E11
1.1990909277275608E12	6.966663028565867E11
1.1781373593818005E12	7.247528355251237E11
1.1572429141648992E12	7.560455483606349E11
1.1378009518965376E12	7.83554376619297E11
1.1135317989384233E12	8.11813555992208E11
1.0923476221439958E12	8.409782917346572E11
1.0688490314350378E12	8.661552223241863E11
1.043250698147533E12	8.944005414673287E11
1.0206637975291685E12	9.201276254903761E11
9.932672839917051E11	9.444968207029102E11
9.676010067980957E11	9.712437936307421E11
9.419089104023618E11	9.93595072094151E11
9.123214833566738E11	1.0178543177118971E12
8.863183478609705E11	1.0414096882687102E12
8.567184606067704E11	1.061708491183464E12
8.268016009697833E11	1.0850513000415651E12
7.989909827941957E11	1.1046522157943518E12
7.664271304475353E11	1.1242414410168403E12
7.368550955934911E11	1.144985745038318E12
7.057870851742119E11	1.1613258421629954E12
6.72243721277951E11	1.1803003545178752E12
6.421969194136442E11	1.197064913475417E12
6.078051418729712E11	1.2116710282709995E12
5.74782291169371E11	1.228780048515548E12
5.426695136667827E11	1.2414210917845022E12
5.06496780214626E11	1.2552512665674844E12
4.740705129162693E11	1.2688468133224932E12
4.389132709859244E11	1.278552661807502E12
4.0292987180382227E11	1.291140919123296E12
3.698830016752768E11	1.3003011843780266E12
3.3233255088679877E11	1.3085604942030793E12
2.975445063666238E11	1.3184174796312812E12
2.6239355878508478E11	1.3236051771698086E12
2.2434364165731747E11	1.3308906384826636E12
1.9028747683587457E11	1.3365887383708486E12
1.5264826541430737E11	1.339297730327772E12
1.1582685550777397E11	1.3447031068348464E12
8.106311474915912E10	1.345859789752117E12
4.218050781329409E10	1.3473482462855154E12
7.054547373574617E9	1.3493386533513115E12
-2.9604941483208115E10	1.346937527550335E12
-6.77375236978979E10	1.3471867413684746E12
-1.0207073701746179E11	1.3446880133583306E12
-1.4039429131829874E11	1.3403280820312327E12
-1.7643949670686862E11	1.3381449880076318E12
-2.114667217849001E11	1.331327622872494E12
-2.4980101022805685E11	1.3259143962705007E12
-2.8381369112171735E11	1.3198765062656626E12
-3.2030297638576776E11	1.3101090887084727E12
-3.567679904359674E11	1.3031941159812258E12
-3.899681682814239E11	1.2926600457002048E12
-4.271349835417802E11	1.2814686865356184E12
-4.608581624488845E11	1.271723017730591E12
-4.9462516147341235E11	1.257371545986673E12
-5.306096612952445E11	1.2452573409004058E12
-5.621104300490391E11	1.231486084340114E12
-5.967371022753567E11	1.2149123935497063E12
-6.299272898841439E11	1.2010947870485413E12
-6.606145029884202E11	1.183118103758217E12
-6.948820196519165E11	1.1656401562801685E12
-7.248861335727432E11	1.148782218846026E12
-7.559120280963163E11	1.1276982245194749E12
-7.87938235497891E11	1.109418123148885E12
-8.156596895455376E11	1.0886256965709886E12
-8.468494122752319E11	1.0661012763052037E12
-8.753837206440458E11	1.0460130318013917E12
-9.02297473493667E11	1.0215525235654451E12
-9.321407507914519E11	9.986120392238445E11
-9.572475048583665E11	9.754676880851185E11
-9.842015691407788E11	9.487420602484312E11
-1.01093969817836E12	9.251322264010089E11
-1.0338142855402776E12	8.983739627659536E11
-1.0602198822622334E12	8.709894294526364E11
-1.0830041074390292E12	8.455767450477595E11
-1.1050806857075315E12	8.158676590240474E11
-1.1292770379934082E12	7.885161518098215E11
-1.14857726988808E12	7.60207703394527E11
-1.1703646323878784E12	7.291345237018022E11
-1.1908163281862483E12	7.012706200651473E11
-1.20802573012805E12	6.698493473557305E11
-1.2286019507453132E12	6.388581793595533E11
-1.244862303631812E12	6.093012897338652E11
-1.2612901774649924E12	5.757551823587089E11
-1.2789652428717837E12	5.452040927925623E11
-1.2918448075625493E12	5.1305550237667737E11
-1.3076614646575215E12	4.790430032191815E11
-1.3211794906024768E12	4.4816282990806775E11
-1.3321804432753738E12	4.1352652076414386E11
-1.346220979992614E12	3.802697300519779E11
-1.3555103344300598E12	3.478934493005063E11
-1.3657591763234028E12	3.120006787530674E11
-1.376396992375191E12	2.795482651946829E11
-1.3825382446074678E12	2.4498863758526566E11
-1.3918936183681697E12	2.094767989917263E11
-1.3981727824471235E12	1.768999707148481E11
-1.4026998164260469E12	1.4054560070983032E11
-1.4098400509638347E12	1.0638131857283992E11
-1.4120207013723777E12	7.256874214136855E10
-1.415844942590752E12	3.581334118256228E10
-1.4192691759159985E12	2.7751905271000533E9
-1.4186322083198845E12	-3.274865035775396E10
-1.4213433437089004E12	-6.83576182461599E10
-1.4203898976870027E12	-1.0130336664945694E11
-1.4184392243515652E12	-1.3791148196347876E11
-1.4186328905000925E12	-1.7166846641673203E11
-1.413842812488052E12	-2.0555144523040845E11
-1.4112652054400754E12	-2.4176014919235297E11
-1.4076017146362178E12	-2.7411172039185306E11
-1.4003929424291208E12	-3.092083803146828E11
-1.3965594225326868E12	-3.4360520245412354E11
-1.388649301167995E12	-3.756468159578194E11
-1.3804523723091577E12	-4.111418004153125E11
-1.3739348848289333E12	-4.4326944217874835E11
-1.3625487207526934E12	-4.759361008404769E11
-1.3538349401184846E12	-5.103150243299973E11
-1.3434697210443528E12	-5.408002693083687E11
-1.3301096632096086E12	-5.74190196516379E11
-1.3200829028815332E12	-6.06198451380695E11
-1.3057216663365168E12	-6.361653365004469E11
-1.2917190607011638E12	-6.693222384712251E11
-1.278970058807861E12	-6.987248688661075E11
-1.2615637261025242E12	-7.29009626668808E11
-1.2471950790027874E12	-7.604313598215059E11
-1.2307334104448757E12	-7.879930166515823E11
-1.2118249589695615E12	-8.185405407845825E11
-1.1961723256822988E12	-8.471349294558154E11
-1.1760532825275369E12	-8.739844142937294E11
-1.1568620081983662E12	-9.037399307553035E11
-1.1385600970814858E12	-9.294625109096917E11
-1.1158686915377722E12	-9.563415645892815E11
-1.096502629079217E12	-9.838446019562869E11
