Triton X	Triton Y
4.2907284612268726E12	-1.2844226520664297E12
4.296342835777252E12	-1.2654175866594795E12
4.301896478385148E12	-1.2464844778975454E12
4.3072983862912783E12	-1.22765981218495E12
4.312467187304623E12	-1.208915444466483E12
4.317391658491672E12	-1.190148233877931E12
4.322169983381055E12	-1.1712240925198408E12
4.326976266109939E12	-1.152073693816146E12
4.3319379316009443E12	-1.1327793110097761E12
4.3369977561872153E12	-1.1135534106903416E12
4.341908810607308E12	-1.094567964028657E12
4.3464414063462505E12	-1.0757561160601385E12
4.3506529571331855E12	-1.0568182771012095E12
4.3548999652638433E12	-1.0375251401188771E12
4.359449120631523E12	-1.0180413443177501E12
4.364076915819554E12	-9.987960514478522E11
4.3682865809266743E12	-9.799050077065863E11
4.3720299524962456E12	-9.609190521936187E11
4.3758838112940986E12	-9.4145141787684E11
4.3801622263396743E12	-9.218736408189956E11
4.384281199933054E12	-9.027722968954233E11
4.387736773968473E12	-8.83845425589501E11
4.391144734785136E12	-8.643700937657268E11
4.3951058389767524E12	-8.446794384007788E11
4.398860827880187E12	-8.255788417170345E11
4.401868267225661E12	-8.06539365155075E11
4.40514038719058E12	-7.868051237500306E11
4.408888733723126E12	-7.672659936989397E11
4.411883208938241E12	-7.483235524498115E11
4.414619619376442E12	-7.287609925534922E11
4.418100430119985E12	-7.089800680390867E11
4.42099842488265E12	-6.899854060606277E11
4.423404842864908E12	-6.704612984390903E11
4.426645716466075E12	-6.506164693939077E11
4.429218608653087E12	-6.316215393928362E11
4.431454663917345E12	-6.119181061378958E11
4.434507068786538E12	-5.922044418803025E11
4.436531056029622E12	-5.731733510199366E11
4.438894631825311E12	-5.531598505093126E11
4.441476038634025E12	-5.3387685875509814E11
4.443096274311345E12	-5.143964712260319E11
4.445726116455165E12	-4.9449077104162415E11
4.447312920197489E12	-4.7543127758225055E11
4.449396721043558E12	-4.5531548574257263E11
4.4512761626336455E12	-4.361989744359895E11
4.452752452841676E12	-4.16260940897032E11
4.454805541748824E12	-3.9686215702611676E11
4.455872818390055E12	-3.771784403213855E11
4.457898390056042E12	-3.575327506095248E11
4.458718179133934E12	-3.3800906252093365E11
4.460606032994385E12	-3.1823955749133575E11
4.461243699356703E12	-2.987500194679412E11
4.462955308529189E12	-2.7898444016036914E11
4.463443656145822E12	-2.5940457950768292E11
4.464928780283026E12	-2.3977265555747974E11
4.465355944130145E12	-2.1997599509699066E11
4.466474097233694E12	-2.0059318130142023E11
4.467031299515391E12	-1.8051204222312366E11
4.467568727081656E12	-1.613574067454645E11
4.468424148474585E12	-1.4116058081051306E11
4.46836150619637E12	-1.2189289293084091E11
4.469275100646201E12	-1.020631769824706E11
4.469158677769446E12	-8.220742852703456E10
4.46938983444854E12	-6.297149365392157E10
4.469835210941624E12	-4.280322395051674E10
4.469321711257716E12	-2.3349231435279533E10
4.469594662565604E12	-3.8643992410329514E9
4.469562233767468E12	1.6289064193563583E10
4.468839567550124E12	3.565641976645638E10
4.468857535450379E12	5.51781141837224E10
4.468619665423948E12	7.530854841047746E10
4.467648918659514E12	9.481409565327841E10
4.467177480371329E12	1.1416106045006989E11
4.466901220058085E12	1.3416433290524324E11
4.465891403667718E12	1.540372310381333E11
4.46472554747587E12	1.7335207354439044E11
4.464058643906783E12	1.9286336671512106E11
4.463349250134543E12	2.128495366394644E11
4.462055934877861E12	2.327070855239524E11
4.460527927077692E12	2.5212743110296875E11
4.45927721577285E12	2.7149727617204523E11
4.458229257239164E12	2.9119406386381305E11
4.456971489790023E12	3.111123843568245E11
4.455318137460653E12	3.30921549964461E11
4.453429110290619E12	3.5047024405496674E11
4.451551759371569E12	3.698647897734224E11
4.44979005678702E12	3.892926903552978E11
4.448083610758537E12	4.0885691102422943E11
4.446312451872377E12	4.285440428923384E11
4.444390431560894E12	4.482816518999371E11
4.442293237196876E12	4.680012126277941E11
4.440040227899095E12	4.8766690456702405E11
4.437665539060736E12	5.072740358226944E11
4.43519867098882E12	5.2683517035668884E11
4.43265781311156E12	5.463672748110957E11
4.43005123073548E12	5.658845159580149E11
4.427381403771744E12	5.853959039565596E11
4.424648698139011E12	6.049053428367903E11
4.421853275081493E12	6.244120697183867E11
4.418994876279934E12	6.439104820921371E11
4.416070398880156E12	6.633894340801996E11
4.4130695660591045E12	6.828322743899929E11
4.409970349485448E12	7.022201708865875E11
4.406738506760067E12	7.215417364068883E11
4.403338357563947E12	7.408093628830344E11
4.399760085672325E12	7.600743169837756E11
4.3960551606642803E12	7.794201186088439E11
4.392344897765067E12	7.989108011131292E11
4.3887520418015E12	8.185039092690596E11
4.3852575097141865E12	8.380138364681229E11
4.381622566738107E12	8.572462131386101E11
4.3775823615951167E12	8.762640919707802E11
4.373237330757999E12	8.954387663057052E11
4.3690737701550596E12	9.149836724320367E11
4.365245670196665E12	9.344862244048168E11
4.361129566263602E12	9.534788801987904E11
4.3563967589561436E12	9.724318235095857E11
4.3518739715708213E12	9.919532970135206E11
4.3477979692353833E12	1.0113046923260986E12
4.3430420555967275E12	1.0300448243491139E12
4.3380189448495938E12	1.0493345978971572E12
4.3337143400010996E12	1.0687554397554154E12
4.328695417055708E12	1.0873986502540417E12
4.3235121754709146E12	1.10675961887234E12
4.3189820082506953E12	1.1258801366133884E12
4.313383718994325E12	1.1445790389784084E12
4.3085339516943926E12	1.1640772038118767E12
4.303131443118518E12	1.1825798685100503E12
4.2977294009756953E12	1.201989961321764E12
4.292462889608724E12	1.220569395556981E12
4.2867085926338164E12	1.2398193324412026E12
4.2813471553003296E12	1.2584034516752864E12
4.2754657398510234E12	1.277632014089223E12
4.269786028128005E12	1.296069962270965E12
4.2640122571824507E12	1.315374509809472E12
4.257793652808418E12	1.3336900910740823E12
4.2522395477210244E12	1.3528422334599963E12
4.245645241664541E12	1.3714803753330647E12
4.2397443102392754E12	1.3899702982077742E12
4.2336145788765254E12	1.4091089193515068E12
4.2268253873679053E12	1.4274941114364287E12
4.2206936698365215E12	1.445970283297514E12
4.214395930689221E12	1.4649793951771697E12
4.2074229009928013E12	1.4835212109801067E12
4.2006598929960703E12	1.5017285745946003E12
4.194246915426573E12	1.5203038841397917E12
4.187559683558063E12	1.5391088017602917E12
4.1804281753915713E12	1.557668880478209E12
4.1731789585799873E12	1.5759241729336743E12
4.166055192495743E12	1.594113482170809E12
4.159027495869167E12	1.612404425605663E12
4.151960566532824E12	1.6307951138793813E12
4.144766416492163E12	1.6492095404480522E12
4.1374296248997E12	1.6675855557430618E12
4.129971232229081E12	1.6858969941482634E12
4.1224154030168354E12	1.7041401025424219E12
4.114774512513032E12	1.7223164773600847E12
4.1070452101354287E12	1.7404246762070557E12
4.099208652353092E12	1.7584625304937117E12
4.0912376749606514E12	1.7764409166028342E12
4.083122272017488E12	1.7944049148850007E12
4.07491649965897E12	1.8124374540449478E12
4.0667603056419067E12	1.830594596001339E12
4.058765634749525E12	1.848768053893277E12
4.0507655298168643E12	1.866672733755992E12
4.042345683601493E12	1.8842385944053135E12
4.0335535926423525E12	1.9019703471408838E12
4.025132278374423E12	1.92012717785725E12
4.0169163125487803E12	1.9378676717875696E12
4.0079019344269272E12	1.9552236688172717E12
3.9991363389369395E12	1.9732898824433513E12
3.9906728321685E12	1.9908061715429246E12
3.9812886043478457E12	2.0082704131384636E12
3.972789541654139E12	2.026156891115447E12
3.963311153485753E12	2.043290555295406E12
3.954593653425176E12	2.0611908211581538E12
3.9449473469482017E12	2.0782667167253315E12
3.9361505508950693E12	2.0959364537904695E12
