Uranus X	Uranus Y
2.650911197620889E12	1.3566335840604001E12
2.6394754631174546E12	1.3772707636275E12
2.6278675012660137E12	1.397818099401852E12
2.6160879498385264E12	1.4182741884663513E12
2.6041374576347915E12	1.4386376312779414E12
2.5920166844812754E12	1.458907031731901E12
2.579726301231715E12	1.4790809972304229E12
2.567266989763281E12	1.499158138749015E12
2.554639442975337E12	1.5191370709119182E12
2.5418443647995107E12	1.5390164120631409E12
2.5288824701932363E12	1.5587947843261287E12
2.515754485130172E12	1.578470813675746E12
2.502461146602283E12	1.5980431300112878E12
2.489003202617803E12	1.6175103672238882E12
2.475381412201157E12	1.6368711632636853E12
2.4615965453837964E12	1.656124160197921E12
2.4476493831845474E12	1.6752680042790806E12
2.433540717605063E12	1.6943013460226023E12
2.4192713516227646E12	1.7132228402724568E12
2.404842099174007E12	1.7320311462676367E12
2.390253785141354E12	1.7507249277118762E12
2.3755072453374E12	1.7693028528424617E12
2.3606033264946133E12	1.7877635945034756E12
2.345542886252276E12	1.8061058302084653E12
2.3303267931280986E12	1.8243282422035867E12
2.3149559264976655E12	1.8424295175438027E12
2.2994311765776987E12	1.8604083481637532E12
2.2837534444034697E12	1.878263430947379E12
2.267923641804399E12	1.895993467795989E12
2.2519426913693027E12	1.9135971656971296E12
2.2358115264174014E12	1.9310732368072944E12
2.219531090977177E12	1.9484203985299353E12
2.2031023397499272E12	1.965637373587471E12
2.186526238072918E12	1.9827228901055269E12
2.1698037618846682E12	1.999675681700305E12
2.1529358976887126E12	2.016494487574759E12
2.1359236425248743E12	2.033178052616146E12
2.1187680039295857E12	2.0497251274867412E12
2.1014699998936606E12	2.0661344687363718E12
2.084030658836129E12	2.0824048389258223E12
2.0664510195747612E12	2.098535006747615E12
2.048732131297761E12	2.1145237471590073E12
2.0308750535408088E12	2.1303698415204626E12
2.0128808561646145E12	2.1460720777475513E12
1.994750619354477E12	2.1616292504791978E12
1.9764854336260469E12	2.1770401612361577E12
1.9580863998267078E12	2.1923036185865032E12
1.9395546291571956E12	2.207418438325926E12
1.9208912432053489E12	2.222383443653073E12
1.9020973739914756E12	2.2371974653454717E12
1.8831741640251199E12	2.251859341922236E12
1.8641227663576985E12	2.266367919794689E12
1.8449443446480437E12	2.2807220534197505E12
1.8256400732398943E12	2.294920605430176E12
1.8062111372271055E12	2.3089624467380283E12
1.7866587325133684E12	2.3228464566241157E12
1.766984065861016E12	2.3365715228068125E12
1.7471883549293574E12	2.350136541500602E12
1.7272728283061184E12	2.363540417454499E12
1.7072387255089697E12	2.376782063965162E12
1.6870872969662612E12	2.389860402892996E12
1.66681980398844E12	2.4027743646755005E12
1.6464375187203047E12	2.4155228883346904E12
1.6259417240797407E12	2.4281049214867847E12
1.6053337136770208E12	2.4405194203489507E12
1.5846147917199333E12	2.452765349765781E12
1.5637862729266426E12	2.4648416832514956E12
1.5428494824298816E12	2.476747403027525E12
1.5218057556719006E12	2.488481500074638E12
1.5006564383040652E12	2.500042974198996E12
1.4794028860849685E12	2.5114308341089727E12
1.4580464647907224E12	2.5226440975086777E12
1.4365885501284016E12	2.533681791183786E12
1.4150305276391335E12	2.5445429510952007E12
1.3933737926156877E12	2.5552266224959087E12
1.3716197500292793E12	2.5657318600431416E12
1.3497698144552026E12	2.5760577279140303E12
1.3278254100053218E12	2.5862032999230435E12
1.3057879702555754E12	2.5961676596377065E12
1.283658938180415E12	2.605949900512239E12
1.261439766101433E12	2.615549126015267E12
1.2391319156244568E12	2.624964449744366E12
1.2167368575765293E12	2.634194995554282E12
1.1942560719497456E12	2.643239897685626E12
1.1716910478439692E12	2.6520983008942793E12
1.1490432834165347E12	2.6607693605807495E12
1.1263142858236497E12	2.66925224290511E12
1.1035055711554563E12	2.6775461249150103E12
1.0806186643831678E12	2.6856501946802534E12
1.0576550993037397E12	2.6935636514138477E12
1.0346164184785183E12	2.7012857055939243E12
1.011504173170559E12	2.7088155790841743E12
9.883199232765818E11	2.7161525052598027E12
9.650652372684686E11	2.7232957291412495E12
9.417416921325714E11	2.7302445075102466E12
9.183508732960184E11	2.7369981090268955E12
8.948943745569991E11	2.7435558143575234E12
8.713737980143778E11	2.7499169162982476E12
8.477907539978193E11	2.756080719901415E12
8.24146860996729E11	2.7620465425914897E12
8.004437455758706E11	2.767813714280725E12
7.766830422960486E11	2.7733815775036465E12
7.528663936418167E11	2.7787494875406978E12
7.289954499381433E11	2.783916812534906E12
7.050718692667986E11	2.7888829336146763E12
6.810973173782471E11	2.7936472450130996E12
6.570734676027086E11	2.798209154199757E12
6.330020007711504E11	2.8025680820068164E12
6.088846051226995E11	2.80672346273846E12
5.847229762061677E11	2.8106747442987573E12
5.605188167911881E11	2.814421388322078E12
5.362738367752947E11	2.8179628702958315E12
5.119897530919505E11	2.821298679686336E12
4.8766828961486444E11	2.8244283200527188E12
4.6331117705252875E11	2.827351309172064E12
4.3892015285537305E11	2.830067179174867E12
4.1449696112289294E11	2.832575476660013E12
3.900433524993857E11	2.8348757628116465E12
3.655610840735773E11	2.8369676135227617E12
3.410519192763221E11	2.838850619515839E12
3.165176277828073E11	2.840524386469168E12
2.919599854176109E11	2.8419885351266294E12
2.673807740463959E11	2.8432427014032427E12
2.427817814708798E11	2.8442865365072593E12
2.181648013309394E11	2.845119707051281E12
1.9353163300198688E11	2.845741895156851E12
1.6888408149204755E11	2.8461527985544937E12
1.4422395733182205E11	2.846352130679419E12
1.1955307646595378E11	2.8463396207795273E12
9.487326015455667E10	2.8461150140108823E12
7.01863348640254E10	2.8456780715157754E12
4.5494132152874756E10	2.8450285705091177E12
2.0798488559138466E10	2.844166304360718E12
-3.898754514978606E9	2.843091082677448E12
-2.859575091260966E10	2.8418027313786685E12
-5.329064984155322E10	2.84030109275212E12
-7.798159600386658E10	2.8385860255243525E12
-1.0266672971529877E11	2.8366574049323613E12
-1.2734418702825531E11	2.834515122776782E12
-1.5201209986174045E11	2.8321590874761177E12
-1.7666859613273264E11	2.829589224113074E12
-2.0131179989898282E11	2.826805474484495E12
-2.2593983149429233E11	2.8238077971603555E12
-2.5055080766262323E11	2.820596167517863E12
-2.751428417103984E11	2.817170577776038E12
-2.9971404365683545E11	2.8135310370436426E12
-3.2426252038420886E11	2.809677571356689E12
-3.4878637579278876E11	2.805610223718072E12
-3.7328371095450616E11	2.801329054126867E12
-3.977526242820098E11	2.796834139602093E12
-4.22191211702551E11	2.7921255742280923E12
-4.465975668219712E11	2.787203469190201E12
-4.7096978110110785E11	2.78206795279862E12
-4.953059440399214E11	2.776719170521832E12
-5.196041433664187E11	2.7711572850192563E12
-5.438624652332172E11	2.7653824761847847E12
-5.680789944087831E11	2.759394941188641E12
-5.922518144809293E11	2.7531948945053247E12
-6.163790080766128E11	2.7467825679611924E12
-6.404586570801573E11	2.740158210792671E12
-6.644888428567577E11	2.733322089703789E12
-6.884676464814211E11	2.7262744889316E12
-7.123931489753787E11	2.7190157103105767E12
-7.362634315571432E11	2.7115460733593784E12
-7.600765758858059E11	2.7038659153856904E12
-7.838306643026903E11	2.6959755915830005E12
-8.075237800834888E11	2.6878754751414683E12
-8.311540076862681E11	2.6795659573743926E12
-8.547194329984119E11	2.671047447855136E12
-8.782181435705237E11	2.662320374570174E12
-9.016482288335602E11	2.6533851840588213E12
-9.250077803195109E11	2.6442423415553223E12
-9.482948918661954E11	2.634892331149227E12
-9.715076597964014E11	2.625335655927672E12
-9.946441830868795E11	2.615572838105109E12
-1.0177025635187225E12	2.605604419136919E12
-1.0406809058214945E12	2.5954309598092026E12
-1.0635773178104626E12	2.585053040326689E12
-1.0863899104973334E12	2.5744712603687925E12
-1.1091167982034749E12	2.5636862391032397E12
-1.13175609868066E12	2.552698615191054E12
-1.1543059332267478E12	2.541509046767851E12
-1.1767644268099053E12	2.5301182114042124E12
-1.1991297081935713E12	2.518526806049556E12
-1.2213999100725427E12	2.506735546944873E12
-1.243573169235993E12	2.4947451695400156E12
-1.265647626731617E12	2.4825564284143096E12
-1.2876214280350786E12	2.4701700971772397E12
-1.3094927232389053E12	2.4575869683702383E12
-1.3312596672500334E12	2.4448078533697485E12
-1.352920420004269E12	2.431833582297816E12
-1.3744731466818945E12	2.418665003947277E12
-1.39591601792023E12	2.405302985693768E12
-1.4172472100461885E12	2.3917484134128696E12
-1.4384649053139727E12	2.3780021914174824E12
-1.459567292140462E12	2.364065242396337E12
-1.480552565341703E12	2.349938507359238E12
-1.5014189263646316E12	2.335622945576717E12
-1.5221645835314675E12	2.321119534520661E12
-1.54278775228797E12	2.306429269827623E12
-1.5632866554349722E12	2.291553165254334E12
-1.583659523365923E12	2.276492252625611E12
-1.6039045943063499E12	2.261247581789544E12
-1.624020114553881E12	2.2458202205699497E12
-1.6440043387225667E12	2.230211254730612E12
-1.6638555299691353E12	2.2144217879340645E12
-1.6835719602227302E12	2.1984529416801892E12
-1.7031519104289797E12	2.1823058552605366E12
-1.72259367078156E12	2.1659816857142517E12
-1.741895540951968E12	2.1494816077730447E12
-1.7610558303182373E12	2.1328068138078586E12
-1.780072858189251E12	2.1159585137610713E12
-1.7989449540455994E12	2.098937935086264E12
-1.817670457768491E12	2.0817463226982468E12
-1.8362477198544775E12	2.0643849388991687E12
-1.8546751016448364E12	2.0468550633021545E12
-1.8729509755524282E12	2.0291579927604333E12
-1.8910737252883367E12	2.0112950412900066E12
-1.9090417460867239E12	1.9932675399974727E12
-1.9268534449155183E12	1.9750768369915786E12
-1.9445072407011152E12	1.9567242972860657E12
-1.9620015645589446E12	1.9382113027192417E12
-1.9793348600068623E12	1.9195392518638862E12
-1.9965055831802332E12	1.900709559927583E12
-2.0135122030452937E12	1.8817236586496284E12
-2.0303532016166477E12	1.862582996191218E12
-2.0470270741811824E12	1.843289037036625E12
-2.0635323295020322E12	1.8238432618870886E12
-2.0798674900241665E12	1.8042471675362664E12
-2.0960310920906104E12	1.7845022667529297E12
-2.1120216861522122E12	1.764610088162501E12
-2.1278378369768508E12	1.7445721761268113E12
-2.143478123846477E12	1.7243900906195762E12
-2.1589411407526565E12	1.704065407083082E12
-2.1742254966094146E12	1.6835997162947605E12
-2.1893298154521685E12	1.6629946242388608E12
-2.2042527366264946E12	1.6422517519615176E12
-2.2189929149824136E12	1.6213727354249675E12
-2.2335490210623584E12	1.6003592253555334E12
-2.247919741299584E12	1.5792128870919287E12
-2.262103778205998E12	1.5579354004429927E12
-2.2760998505397695E12	1.5365284595233801E12
