Time-step	Difference in L
1000.0	1.1491824343612057E35
1500.0	3.088364127147392E35
2250.0	6.999799842936754E35
3375.0	1.079095377069638E36
5062.5	1.0528946959051008E36
7593.75	2.78588708411169E36
11390.625	2.7290581526450146E36
17085.9375	1.218311443354347E37
25628.90625	3.4991934234830985E37
38443.359375	6.58282300014618E36
57665.0390625	8.385758526750087E36
86497.55859375	2.196797772378009E37
129746.337890625	6.251414202998257E37
194619.5068359375	2.823028198950713E39
291929.26025390625	1.126917520575161E39
437893.8903808594	1.4527825458930616E39
656840.8355712891	5.995374399050829E39
985261.2533569336	2.783992175637942E40
1477891.8800354004	3.1943784361687294E42
2216837.8200531006	4.064348917560455E40
3325256.730079651	3.7940704509693784E40
4987885.095119476	1.4141361052155405E40
7481827.6426792145	1.8301538567186225E40
1.1222741464018822E7	4.63820956220614E40
1.6834112196028233E7	1.2190531417583478E41
2.525116829404235E7	2.8533301879772712E41
