Time-step	Difference in E
3600.0	5.266729550252459E33
5400.0	1.999147556087911E32
8100.0	1.053941228757412E36
12150.0	2.3219843439627626E34
18225.0	2.1989493362354197E34
27337.5	1.7186332534725045E33
41006.25	7.91488409207685E33
61509.375	3.2175833445792184E34
92264.0625	2.830370282869316E34
138396.09375	2.3978579299132684E33
207594.140625	6.690439017390574E34
311391.2109375	1.7831038821855959E34
467086.81640625	3.1780847467751704E34
700630.224609375	3.359730377106697E34
1050945.3369140625	2.5232083969984284E35
1576418.0053710938	9.487313002787767E34
2364627.0080566406	6.4583223089072305E35
3546940.512084961	3.1849935168808368E35
5320410.768127441	6.927803204466954E35
7980616.152191162	1.4341208342134067E36
1.1970924228286743E7	3.2182458836317473E36
1.7956386342430115E7	7.228398541885534E36
2.6934579513645172E7	1.6250777002919975E37
