Time-step	Difference in L
3600.0	1.0928692978718433E36
5400.0	1.1918155907657765E36
8100.0	1.9852622427381704E35
12150.0	3.5841720060456714E36
18225.0	2.98799921448131E36
27337.5	4.967180157405754E36
41006.25	7.570164068789124E36
61509.375	9.746557672286287E36
92264.0625	2.3473668395612817E37
138396.09375	1.0876054155908307E38
207594.140625	9.286347295148963E38
311391.2109375	1.3361848665800197E39
467086.81640625	1.8298949888644518E39
700630.224609375	2.0117014284305593E40
1050945.3369140625	2.1346946635267984E40
1576418.0053710938	4.7509270511711E40
2364627.0080566406	6.471418740211478E40
3546940.512084961	3.4436524020179333E40
5320410.768127441	4.797207567744645E40
7980616.152191162	2.046473189085548E40
1.1970924228286743E7	5.417618156604567E40
1.7956386342430115E7	1.4293916730254856E41
2.6934579513645172E7	3.12080531520825E41
