Time-step	Difference in E
500.0	1.0980369295062602E30
750.0	2.1671771108274684E30
1125.0	3.580664714151275E33
1687.5	1.9239694114948004E33
2531.25	5.031297678389859E33
3796.875	1.428433908933037E33
5695.3125	1.0311234788138471E34
8542.96875	4.61651914064226E34
12814.453125	7.481808087659604E33
19221.6796875	8.71957736360915E34
28832.51953125	6.854518074255418E33
43248.779296875	5.698682849781327E33
64873.1689453125	8.628705435823943E33
97309.75341796875	3.3480918694175855E32
145964.63012695312	7.563948901904274E33
218946.9451904297	3.636157915418632E34
328420.41778564453	3.484816125373217E33
492630.6266784668	6.373545283929034E33
738945.9400177002	8.325835729844716E34
1108418.9100265503	4.275901273573555E34
1662628.3650398254	9.560691737939527E34
2493942.547559738	2.467787075033588E35
3740913.8213396072	3.340154062885714E35
5611370.732009411	7.127266243879913E35
8417056.098014116	1.5945832920151088E36
1.2625584147021174E7	3.578856061205161E36
1.893837622053176E7	8.039388779042595E36
2.8407564330797642E7	1.8075427739100988E37
