Callisto X	Callisto Y
-6.369805174074229E11	-5.066328892495841E11
-6.041116023766853E11	-5.36255414766553E11
-5.750576065099243E11	-5.667770217078108E11
-5.417121575379503E11	-5.967275716336943E11
-5.042161660997385E11	-6.25333321945023E11
-4.6537445844155554E11	-6.553703466885386E11
-4.313675293362355E11	-6.830738154417933E11
-3.9543343941910767E11	-6.996512739157477E11
-3.471513077828064E11	-7.166194736380859E11
-3.0717211873819464E11	-7.419664962490825E11
-2.6826359503298923E11	-7.489280771293754E11
-2.152185539653759E11	-7.647698887080251E11
-1.8019536453863904E11	-7.746018386516594E11
-1.2512575748518819E11	-7.774711794705895E11
-8.792752752165628E10	-7.874909006022932E11
-3.3332629453816006E10	-7.818396063671338E11
4.673972475984771E9	-7.875787843641292E11
6.029585506777716E10	-7.768463257043264E11
9.62517951617863E10	-7.74866975955724E11
1.5347953005685614E11	-7.628235042319828E11
1.870873381638355E11	-7.490438223318314E11
2.4189635130039664E11	-7.394300791781366E11
2.784208878455588E11	-7.11680821539801E11
3.2248285037957947E11	-7.025511679125344E11
3.6911141870039813E11	-6.680746483273546E11
3.989160180197536E11	-6.48404337940515E11
4.4938166770531104E11	-6.217488243094192E11
4.7747921972071594E11	-5.819420892550182E11
5.123727376391961E11	-5.606725912672747E11
5.541984827187881E11	-5.165999582795132E11
5.724688664475277E11	-4.792585118302932E11
6.081245795020068E11	-4.4942552660608417E11
6.367966123200383E11	-3.9585468281661255E11
6.491772392309395E11	-3.586316046392488E11
6.800469150889956E11	-3.209218548698909E11
6.971908528886282E11	-2.6254514868674762E11
7.024170622470076E11	-2.2324144068062997E11
7.25198975239914E11	-1.813728822378112E11
7.33488886223112E11	-1.2013749489978842E11
7.291529169509384E11	-7.794397066742389E10
7.416516555295406E11	-3.60523206844695E10
7.439142929706204E11	2.598539773949269E10
7.285630535223303E11	7.18578826714795E10
7.283710722499596E11	1.106545054763193E11
7.268310298663589E11	1.6912382828600836E11
7.018382658754934E11	2.2001751069556195E11
6.862525783033009E11	2.5498375746983423E11
6.798919967784875E11	3.033508331062514E11
6.515836980639391E11	3.5896437402830066E11
6.188409608041477E11	3.93596326182253E11
6.00728756142225E11	4.2685383049070264E11
5.786778023308312E11	4.771962936554067E11
5.3514587406259174E11	5.1965969632224805E11
4.9650128642466125E11	5.447568273446004E11
4.704459210969002E11	5.716595218314985E11
4.390429087172219E11	6.138038688802203E11
3.87488765662315E11	6.469696040625315E11
3.409861344139947E11	6.62566981215048E11
3.075324906857779E11	6.78519114519971E11
2.716939525509446E11	7.089024660843075E11
2.158949880139273E11	7.334344849331232E11
1.6274943213262317E11	7.391588092595934E11
1.2325604766850024E11	7.4187759109162E11
8.70022122113802E10	7.574222190016279E11
3.206177204357857E10	7.738918578532834E11
-2.558011217137072E10	7.70957785398391E11
-7.003639406035089E10	7.602309271447834E11
