Ceres X	Ceres Y
-2.1498812363637097E11	3.174740241520084E11
-2.660564171794933E11	2.7165666311765665E11
-3.0906442032325653E11	2.1764523886741367E11
-3.4263197196521735E11	1.5701651952346155E11
-3.657170928268682E11	9.161088474661784E10
-3.776712087752932E11	2.3440571710228027E10
-3.782646966972471E11	-4.5414044369805275E10
-3.676809874794022E11	-1.1290845637474118E11
-3.464824477013458E11	-1.7712732137707007E11
-3.155549393312367E11	-2.3635893556319745E11
-2.760398193270092E11	-2.891467543174386E11
-2.2926203265653464E11	-3.343177229188975E11
-1.766613912531273E11	-3.709901528914246E11
-1.1973179135667737E11	-3.985655365017961E11
-5.997085085412857E10	-4.1670927728865594E11
1.1594330407139256E9	-4.2532488766538654E11
6.226174424620076E10	-4.2452545543029095E11
1.2202359807332912E11	-4.146052376346643E11
1.7923026477102597E11	-3.960132403358625E11
2.327721942671052E11	-3.693298085104236E11
2.816486125787723E11	-3.3524660787217975E11
3.249687827578456E11	-2.9455004947179834E11
3.619521467513063E11	-2.4810790555163828E11
3.9192832884324426E11	-1.9685868392129645E11
4.143377717984369E11	-1.4180322587987955E11
4.2873360461158594E11	-8.399792856304646E10
4.347851324415013E11	-2.4548921975856598E10
4.3228324794332623E11	3.53935911255092E10
4.211479922363507E11	9.464162958840462E10
4.0143827163755707E11	1.5197726481982022E11
3.73363550254134E11	2.0616301682816293E11
3.3729708942968677E11	2.559559445968439E11
2.93789960733709E11	3.0012661888322095E11
2.4358454813250473E11	3.374841118702428E11
1.8762567505847595E11	3.669079989706464E11
1.2706687999386095E11	3.873879093051738E11
6.326868826690455E10	3.980703487362642E11
-2.214681554347024E9	3.9831130630623254E11
-6.766373664958145E10	3.877314563843868E11
-1.3124007176204585E11	3.662689687599684E11
-1.91051626982841E11	3.342231533731681E11
-2.4523505436133017E11	2.922810737304063E11
-2.920498452905443E11	2.4151973398124237E11
-3.299753656697841E11	1.8337862208140433E11
-3.577996322499552E11	1.1960148503071634E11
-3.7468849010149994E11	5.215137018649521E10
-3.8022630309949506E11	-1.689217942068505E10
-3.74423849082432E11	-8.544176414640858E10
-3.576944988894864E11	-1.5150419220017755E11
-3.3080465062344354E11	-2.1326581430006952E11
-2.948072921479389E11	-2.6915485776365228E11
-2.5096817476704797E11	-3.178789804625524E11
-2.0069298347206055E11	-3.5844000217572156E11
-1.4546156562432455E11	-3.9013010991273505E11
-8.67726787533366E10	-4.1251483425536725E11
-2.6100478099662678E10	-4.2540793487340173E11
3.513772055372691E10	-4.2884250387572186E11
9.560382457274426E10	-4.2304158548563745E11
1.5405335837524643E11	-4.0839048414526416E11
2.0934382974646344E11	-3.854120208676307E11
2.6043887927539783E11	-3.5474531381421185E11
3.0640977861635565E11	-3.1712818555893915E11
3.4643554842424023E11	-2.7338299460855786E11
3.798026724463754E11	-2.2440544210718488E11
4.059052362157306E11	-1.71155802328953E11
4.242461203478617E11	-1.1465202609321207E11
4.3443969168306256E11	-5.5964062350196785E10
4.362163337724681E11	3.7913127136494846E9
4.294290467908903E11	6.345592454006991E10
4.140622276343988E11	1.218367403732236E11
3.9024258891976685E11	1.7771446859806805E11
3.582519161249168E11	2.2985526651340622E11
3.1854107553153424E11	2.770267415400408E11
2.7174431056280493E11	3.180194492688588E11
2.1869230173564667E11	3.516749986998566E11
1.6042180602172952E11	3.76921567900863E11
9.817900744049919E10	3.928170815226289E11
3.341317793371569E10	3.985993095834329E11
-3.224305153601962E10	3.9374067380775507E11
-9.70101876894013E10	3.780036751623377E11
-1.5901732940048712E11	3.514909344134341E11
-2.1637638643749677E11	3.146823365410653E11
-2.672715599412031E11	2.6845120375789627E11
-3.100568575135899E11	2.1405266631813776E11
-3.433512429721863E11	1.5308067585419238E11
-3.6611959896232654E11	8.739504286302678E10
-3.777288524385163E11	1.902532632179136E10
-3.779723574915212E11	-4.993724005104799E10
-3.6706090702539526E11	-1.1744685554822473E11
-3.455843425163849E11	-1.8159763589942337E11
-3.144518021821925E11	-2.4069720121090225E11
-2.7482027798738028E11	-2.9331561753384467E11
-2.2802066560603552E11	-3.383101712000058E11
-1.7548850875250748E11	-3.7482948262977185E11
-1.1870403511724141E11	-4.023020242719554E11
-5.9143602425001E10	-4.204143923725932E11
1.7572482359384174E9	-4.29084067606422E11
6.263023476647558E10	-4.284303568819272E11
1.2219201463021443E11	-4.187461739966187E11
1.7925503801840332E11	-4.0047228735095447E11
2.3273345903949796E11	-3.741748772964396E11
2.8164574390171326E11	-3.405266796395478E11
3.25115359541113E11	-3.0029158665336456E11
3.623706825954072E11	-2.543123909620185E11
3.9274500144524884E11	-2.0350121991151825E11
4.1567726471825037E11	-1.488320922686078E11
4.307141021815412E11	-9.133495890739258E10
4.375135372157731E11	-3.209058441903601E10
4.3585066560805945E11	2.7774442527388416E10
4.256254637636599E11	8.709336887248299E10
4.068727588915576E11	1.4466649459960663E11
3.797742076131045E11	1.992709417242597E11
3.4467187573756323E11	2.496740847820162E11
3.02082684285401E11	2.9465182398576166E11
2.5271248590533508E11	3.330128200600968E11
1.9746792402138345E11	3.636296898605389E11
1.374636669939844E11	3.854777693997718E11
7.402195167761726E10	3.976812232629937E11
8.660894124450632E9	3.995650971804335E11
-5.6931975547668236E10	3.907103190656591E11
-1.2094377616167706E11	3.710067963792538E11
-1.8149907758209232E11	3.406980128963659E11
-2.3673987058855243E11	3.004094874168541E11
-2.849176552298662E11	2.5115370183007175E11
-3.244892089135789E11	1.9430615160713864E11
-3.542052487953258E11	1.3155114842660367E11
-3.731808439882183E11	6.4800935977187355E10
-3.809386678933208E11	-3.9035529688031683E9
-3.774204643795388E11	-7.249878677179732E10
-3.629673512396716E11	-1.3899950534235806E11
-3.3827437209104474E11	-2.015842504524542E11
