Enceladus X	Enceladus Y
4.861246450206043E9	-1.503120156500172E12
3.878816015287253E10	-1.5058423939969443E12
6.593786718736521E10	-1.500220816320768E12
9.400268290964143E10	-1.499399608596437E12
1.2506101664739987E11	-1.4982117265929622E12
1.583636660287161E11	-1.4962539235482283E12
1.9401503898876672E11	-1.4932388212758381E12
2.3341318043336194E11	-1.488270116890545E12
2.6208963211043777E11	-1.475149301388884E12
2.855190778097355E11	-1.4667006884177715E12
3.104167828917501E11	-1.4581633143549019E12
3.3593241837937384E11	-1.4491268338141936E12
3.617612965341936E11	-1.439476308677369E12
3.877449495145394E11	-1.4291615030140652E12
4.137841843288982E11	-1.4181556880094993E12
4.3980917541005145E11	-1.4064429769454233E12
4.657665383637426E11	-1.394013280258193E12
4.9161288348912225E11	-1.380859949669847E12
5.173112639734079E11	-1.36697855279983E12
5.4282906819307745E11	-1.3523661847213472E12
5.681366944825477E11	-1.337021058750814E12
5.932066780359352E11	-1.320942253402716E12
6.18013092567491E11	-1.3041295519401987E12
6.425311259676101E11	-1.2865833391726501E12
6.667367701609529E11	-1.2683045353075928E12
6.906065876749988E11	-1.2492945541579578E12
7.141175314972856E11	-1.2295552772953652E12
7.372468031499631E11	-1.2090890393944785E12
7.599717385458657E11	-1.187898621528771E12
7.8226971469755E11	-1.1659872500205996E12
8.041180727185875E11	-1.1433585996522332E12
8.254940536665032E11	-1.1200168007109622E12
8.463747447244517E11	-1.0959664493600044E12
8.667370340922351E11	-1.0712126215994403E12
8.865575727625037E11	-1.0457608909209147E12
9.058127417648798E11	-1.0196173491826705E12
9.244786243735144E11	-9.927886308285511E11
9.425309825432786E11	-9.652819408959071E11
9.599452366120715E11	-9.371050864787528E11
9.766964480708344E11	-9.08266511548812E11
9.927593051186151E11	-8.787753353388152E11
1.0081081106201825E12	-8.486413940171462E11
1.0227167726966772E12	-8.17875285686476E11
1.0365587981035465E12	-7.864884191778751E11
1.0496072878339507E12	-7.544930664894158E11
1.061834935234298E12	-7.219024184558427E11
1.0732140273988309E12	-6.887306441814285E11
1.0837164497176472E12	-6.549929544902206E11
1.0933136937281943E12	-6.207056691909562E11
1.1019768688831606E12	-5.858862882492181E11
1.1096767185232114E12	-5.505535671189952E11
1.1163836403410205E12	-5.1472759592371936E11
1.1220677124959392E12	-4.784298826077337E11
1.1266987259087764E12	-4.416834405625805E11
1.1302462226632607E12	-4.0451288029784937E11
1.1326795415876238E12	-3.669445045904106E11
1.1339678725853079E12	-3.2900640732816425E11
1.134080320156585E12	-2.907285761359998E11
1.1329859767719714E12	-2.5214299795045712E11
1.1306540076160532E12	-2.132837671554671E11
1.127053747586904E12	-1.7418719584568192E11
1.1221548115160356E12	-1.3489192512125716E11
1.1159272194800015E12	-9.543903636892073E10
1.1083415387620408E12	-5.587216195831995E10
