Eris X	Eris Y
1.2934665108145787E13	5.51978213782896E12
1.2932250229940838E13	5.525360202981239E12
1.2929827866271031E13	5.530935069902972E12
1.2927398016611533E13	5.536506734545341E12
1.2924960680436697E13	5.542075192856986E12
1.29225158572202E13	5.547640440783833E12
1.2920063546434922E13	5.55320247426903E12
1.2917603747552926E13	5.558761289252999E12
1.2915136460045334E13	5.5643168816733545E12
1.291266168338243E13	5.56986924746477E12
1.2910179417033545E13	5.575418382559052E12
1.290768966046699E13	5.580964282884997E12
1.290519241314989E13	5.586506944368433E12
1.2902687674548328E13	5.592046362932166E12
1.2900175444127113E13	5.597582534495919E12
1.2897655721349826E13	5.603115454976301E12
1.2895128505678672E13	5.608645120286825E12
1.2892593796574379E13	5.61417152633789E12
1.2890051593496246E13	5.619694669036764E12
1.2887501895902008E13	5.625214544287584E12
1.2884944703247717E13	5.630731147991296E12
1.2882380014987768E13	5.636244476045781E12
1.2879807830574762E13	5.641754524345857E12
1.287722814945953E13	5.647261288783213E12
1.2874640971091025E13	5.652764765246529E12
1.2872046294916207E13	5.658264949621474E12
1.2869444120380303E13	5.663761837790786E12
1.286683444692643E13	5.669255425634332E12
1.286421727399566E13	5.6747457090291E12
1.2861592601027309E13	5.680232683849343E12
1.2858960427458568E13	5.685716345966606E12
1.285632075272468E13	5.691196691249791E12
1.2853673576259031E13	5.696673715565309E12
1.2851018897493086E13	5.702147414777007E12
1.2848356715856541E13	5.707617784746356E12
1.2845687030777373E13	5.713084821332476E12
1.2843009841681816E13	5.718548520392196E12
1.284032514799464E13	5.724008877780133E12
1.283763294913908E13	5.729465889348715E12
1.2834933244536982E13	5.734919550948253E12
1.2832226033609045E13	5.740369858426885E12
1.2829511315774742E13	5.745816807630714E12
1.2826789090452523E13	5.751260394403735E12
1.2824059357059879E13	5.756700614587804E12
1.282132211501354E13	5.762137464022698E12
1.281857736372949E13	5.767570938546029E12
1.2815825102623014E13	5.773001033993201E12
1.2813065331108918E13	5.778427746197379E12
1.2810298048601486E13	5.783851070989348E12
1.2807523254514514E13	5.789271004197523E12
1.2804740948261453E13	5.794687541647807E12
1.2801951129255299E13	5.800100679163595E12
1.2799153796908646E13	5.805510412565497E12
1.2796348950633658E13	5.810916737671446E12
1.2793536589842098E13	5.816319650296509E12
1.279071671394518E13	5.82171914625275E12
1.2787889322353682E13	5.827115221349222E12
1.2785054414477629E13	5.832507871391908E12
1.2782211989726434E13	5.837897092183553E12
1.2779362047508666E13	5.843282879523673E12
1.2776504587232113E13	5.84866522920848E12
1.277363960830358E13	5.854044137030826E12
1.2770767110128762E13	5.85941959878016E12
1.2767887092112264E13	5.864791610242578E12
1.2764999553657387E13	5.870160167200713E12
1.2762104494166182E13	5.875525265433814E12
1.2759201913039256E13	5.880886900717677E12
1.2756291809675736E13	5.886245068824688E12
1.2753374183473252E13	5.891599765523901E12
1.275044903382776E13	5.896950986580961E12
1.2747516360133639E13	5.902298727758231E12
1.2744576161783592E13	5.907642984814824E12
1.2741628438168574E13	5.912983753506553E12
1.2738673188677826E13	5.918321029586106E12
1.2735710412698912E13	5.923654808803029E12
1.2732740109617604E13	5.928985086903769E12
1.2729762278818078E13	5.934311859631761E12
1.2726776919682701E13	5.939635122727411E12
1.2723784031592252E13	5.944954871928261E12
1.2720783613925824E13	5.950271102968932E12
1.2717775666061E13	5.955583811581195E12
1.2714760187373803E13	5.9608929934940205E12
1.2711737177238773E13	5.966198644433627E12
1.270870663502903E13	5.971500760123483E12
1.2705668560116393E13	5.976799336284365E12
1.270262295187131E13	5.9820943686344E12
1.2699569809663033E13	5.987385852889E12
1.2696509132859594E13	5.992673784760976E12
1.2693440920828088E13	5.997958159960483E12
1.269036517293445E13	6.00323897419509E12
1.2687281888543686E13	6.008516223169664E12
1.2684191067019877E13	6.013789902586488E12
1.268109270772631E13	6.019060008145201E12
1.2677986810025482E13	6.024326535542761E12
1.2674873373279174E13	6.02958948047346E12
1.26717523968485E13	6.034848838628881E12
1.2668623880093994E13	6.040104605697873E12
1.2665487822375557E13	6.045356777366543E12
1.2662344223052594E13	6.050605349318154E12
1.2659193081484027E13	6.055850317233171E12
1.2656034397028297E13	6.061091676789164E12
1.265286816904343E13	6.06632942366072E12
1.2649694396887006E13	6.071563553519485E12
1.264651307991614E13	6.076794062034052E12
1.2643324217487748E13	6.082020944869939E12
1.2640127808958135E13	6.087244197689509E12
1.2636923853683352E13	6.0924638161519E12
1.2633712351018885E13	6.097679795912973E12
1.26304933003199E13	6.102892132625251E12
1.2627266700941045E13	6.108100821937905E12
1.2624032552236537E13	6.113305859496614E12
1.26207908535601E13	6.118507240943548E12
1.2617541604264785E13	6.123704961917285E12
1.261428480370304E13	6.128899018052792E12
1.2611020451226676E13	6.134089404981319E12
1.2607748546186777E13	6.139276118330378E12
1.2604469087933668E13	6.144459153723662E12
1.260118207581673E13	6.149638506781045E12
1.2597887509184385E13	6.154814173118506E12
1.2594585387384227E13	6.159986148348066E12
1.2591275709762584E13	6.165154428077792E12
1.2587958475664701E13	6.170319007911807E12
1.258463368443448E13	6.175479883450141E12
1.2581301335414607E13	6.180637050288834E12
1.257796142794626E13	6.185790504019914E12
1.2574613961369273E13	6.190940240231359E12
1.2571258935021822E13	6.196086254507122E12
1.256789634824044E13	6.201228542427122E12
1.2564526200359957E13	6.206367099567339E12
1.2561148490713576E13	6.211501921499775E12
1.2557763218632572E13	6.216633003792564E12
1.2554370383446473E13	6.221760342009917E12
1.2550969984482883E13	6.226883931712283E12
1.2547562021067541E13	6.232003768456364E12
1.2544146492524295E13	6.237119847795225E12
1.2540723398175068E13	6.242232165278263E12
1.2537292737340031E13	6.247340716451426E12
1.2533854509337396E13	6.25244549685715E12
1.2530408713483658E13	6.257546502034564E12
1.2526955349093615E13	6.262643727519451E12
1.252349441548034E13	6.267737168844476E12
1.25200259119554E13	6.27282682153907E12
1.251654983782885E13	6.277912681129591E12
1.251306619240939E13	6.2829947431393955E12
1.2509574975004473E13	6.288073003088853E12
1.2506076184920375E13	6.29314745649538E12
1.250256982146239E13	6.298218098873465E12
1.2499055883934861E13	6.30328492573464E12
1.2495534371641398E13	6.308347932587586E12
1.2492005283884861E13	6.313407114937984E12
1.2488468619967602E13	6.318462468288545E12
1.2484924379191385E13	6.323513988138948E12
1.2481372560857617E13	6.328561669985805E12
1.2477813164267455E13	6.333605509322528E12
1.247424618872161E13	6.338645501639299E12
1.2470671633520562E13	6.343681642422979E12
1.2467089497964701E13	6.348713927157029E12
1.246349978135403E13	6.353742351321356E12
1.2459902482988332E13	6.358766910392216E12
1.245629760216707E13	6.3637875998421455E12
1.245268513818939E13	6.368804415139881E12
1.2449065090354062E13	6.373817351750213E12
1.2445437457959346E13	6.378826405133941E12
1.244180224030296E13	6.383831570747725E12
1.2438159436682E13	6.388832844044089E12
1.2434509046392754E13	6.39383022047137E12
1.2430851068730635E13	6.398823695473586E12
1.2427185502990305E13	6.403813264490397E12
1.242351234846518E13	6.408798922957202E12
1.2419831604447586E13	6.413780666304968E12
1.2416143270228602E13	6.418758489960302E12
1.2412447345097988E13	6.423732389345457E12
1.2408743828344127E13	6.428702359878308E12
1.2405032719253861E13	6.433668396972393E12
1.2401314017112514E13	6.438630496036942E12
1.2397587721203875E13	6.443588652476918E12
1.2393853830810053E13	6.448542861693014E12
1.2390112345211508E13	6.453493119081811E12
1.238636326368701E13	6.458439420035694E12
1.2382606585513676E13	6.463381759942966E12
1.2378842309966877E13	6.468320134187916E12
1.2375070436320283E13	6.473254538150843E12
1.2371290963845979E13	6.478184967208155E12
1.236750389181436E13	6.483111416732392E12
1.2363709219494303E13	6.488033882092255E12
1.235990694615303E13	6.492952358652679E12
1.2356097071056326E13	6.497866841774952E12
1.2352279593468482E13	6.502777326816621E12
1.2348454512652441E13	6.507683809131638E12
1.234462182786979E13	6.512586284070376E12
1.2340781538380852E13	6.517484746979636E12
1.2336933643444812E13	6.522379193202679E12
1.2333078142319654E13	6.527269618079321E12
1.2329215034262383E13	6.532156016945801E12
1.2325344318528959E13	6.537038385134965E12
1.2321465994374514E13	6.541916717976159E12
1.2317580061053338E13	6.546791010795258E12
1.231368651781888E13	6.551661258914667E12
1.2309785363923965E13	6.556527457653326E12
1.2305876598620707E13	6.561389602326702E12
1.2301960221160791E13	6.566247688246762E12
1.2298036230795273E13	6.571101710721925E12
1.2294104626774723E13	6.575951665057069E12
1.22901654083494E13	6.580797546553453E12
1.2286218574769146E13	6.585639350508795E12
1.2282264125283502E13	6.590477072217092E12
1.2278302059141691E13	6.595310706968628E12
1.2274332375592658E13	6.6001402500499795E12
1.227035507388515E13	6.60496569674386E12
1.22663701532677E13	6.609787042329139E12
1.2262377612988545E13	6.614604282080802E12
1.2258377452295818E13	6.619417411269877E12
1.2254369670437365E13	6.62422642516329E12
1.2250354266660865E13	6.629031319023921E12
1.224633124021373E13	6.633832088110448E12
1.2242300590343105E13	6.638628727677338E12
1.2238262316295885E13	6.643421232974786E12
1.2234216417318648E13	6.648209599248589E12
1.2230162892657584E13	6.652993821740176E12
1.2226101741558463E13	6.65777389568641E12
1.2222032963266654E13	6.662549816319684E12
1.221795655702697E13	6.667321578867767E12
1.2213872522083652E13	6.672089178553766E12
1.2209780857680307E13	6.676852610596063E12
1.2205681563059762E13	6.681611870208294E12
1.2201574637464178E13	6.686366952599301E12
1.219746008013474E13	6.691117852973096E12
1.2193337890311756E13	6.695864566528827E12
1.218920806723446E13	6.700607088460787E12
1.2185070610141021E13	6.705345413958302E12
1.2180925518268488E13	6.710079538205828E12
1.2176772790852586E13	6.714809456382941E12
1.21726124271277E13	6.719535163664257E12
1.2168444426327004E13	6.724256655219579E12
1.2164268787682084E13	6.728973926213822E12
1.2160085510423104E13	6.733686971807093E12
1.2155894593778674E13	6.738395787154741E12
1.2151696036975896E13	6.743100367407389E12
1.214748983924027E13	6.747800707711017E12
1.2143275999795768E13	6.752496803206988E12
1.2139054517864805E13	6.757188649032183E12
1.2134825392668234E13	6.761876240319E12
1.213058862342537E13	6.766559572195502E12
1.2126344209354129E13	6.771238639785436E12
1.212209214967098E13	6.775913438208401E12
1.2117832443591174E13	6.780583962579804E12
1.2113565090328613E13	6.78525020801102E12
1.2109290089096193E13	6.789912169609409E12
1.2105007439105707E13	6.794569842478411E12
1.210071713956807E13	6.799223221717556E12
1.209641918969344E13	6.803872302422549E12
1.2092113588691379E13	6.808517079685184E12
1.2087800335770865E13	6.813157548593517E12
1.208347943014045E13	6.817793704231689E12
1.207915087100838E13	6.822425541679991E12
1.2074814657582852E13	6.827053056014839E12
1.2070470789071855E13	6.83167624230867E12
1.2066119264683443E13	6.836295095629906E12
1.206176008362576E13	6.840909611042834E12
1.205739324510704E13	6.84551978360756E12
1.205301874833567E13	6.850125608379887E12
1.2048636592520219E13	6.85472708041121E12
1.2044246776869412E13	6.859324194748391E12
1.2039849300592291E13	6.863916946433673E12
1.203544416289782E13	6.868505330504503E12
1.2031031362995133E13	6.873089341993437E12
1.2026610900093271E13	6.8776689759281045E12
1.2022182773401193E13	6.882244227330997E12
1.20177469821278E13	6.886815091219452E12
1.201330352548161E13	6.891381562605491E12
1.2008852402670756E13	6.895943636495786E12
1.2004393612902855E13	6.9005013078916E12
1.1999927155384889E13	6.905054571788706E12
1.1995453029323086E13	6.909603423177371E12
1.199097123392288E13	6.914147857042317E12
1.1986481768388656E13	6.918687868362677E12
1.19819846319238E13	6.923223452112031E12
1.1977479823730555E13	6.927754603258358E12
1.1972967343009885E13	6.932281316764112E12
1.1968447188961406E13	6.936803587586182E12
1.1963919360783363E13	6.941321410676006E12
1.195938385767261E13	6.945834780979534E12
1.1954840678824506E13	6.9503436934373125E12
1.195028982343284E13	6.954848142984482E12
1.1945731290689852E13	6.959348124550916E12
1.1941165079786361E13	6.963843633061195E12
1.1936591189911543E13	6.968334663434775E12
1.1932009620253055E13	6.97282121058592E12
1.192742036999705E13	6.977303269423797E12
1.1922823438328213E13	6.981780834852555E12
1.1918218824429717E13	6.986253901771446E12
1.1913606527483396E13	6.990722465074779E12
1.1908986546669672E13	6.995186519651996E12
1.1904358881167746E13	6.999646060387749E12
1.1899723530155479E13	7.004101082161913E12
1.1895080492809723E13	7.008551579849646E12
1.189042976830599E13	7.012997548321432E12
1.1885771355818918E13	7.017438982443098E12
1.188110525452215E13	7.021875877075852E12
1.187643146358841E13	7.026308227076305E12
1.1871749982189611E13	7.030736027296452E12
1.1867060809496896E13	7.035159272583769E12
1.1862363944680764E13	7.039577957781102E12
1.1857659386911092E13	7.04399207772679E12
1.1852947135357201E13	7.048401627254552E12
1.1848227189187902E13	7.052806601193553E12
1.184349954757176E13	7.05720699436836E12
1.1838764209676771E13	7.061602801598906E12
1.1834021174670758E13	7.065994017700496E12
1.182927044172125E13	7.070380637483793E12
1.1824512009995508E13	7.07476265575474E12
1.181974587866081E13	7.079140067314556E12
1.1814972046884186E13	7.083512866959648E12
1.181019051383253E13	7.087881049481601E12
1.1805401278672734E13	7.092244609667094E12
1.1800604340571594E13	7.09660354229793E12
1.1795799698695822E13	7.100957842150932E12
1.1790987352212168E13	7.105307503997839E12
1.1786167300287332E13	7.109652522605298E12
1.178133954208795E13	7.113992892734807E12
1.1776504076780553E13	7.118328609142591E12
1.1771660903531633E13	7.122659666579611E12
1.1766810021507557E13	7.126986059791483E12
1.1761951429874578E13	7.131307783518396E12
1.1757085127798775E13	7.13562483249502E12
1.1752211114445904E13	7.139937201450472E12
1.1747329388981521E13	7.144244885108272E12
1.1742439950570816E13	7.148547878186301E12
1.1737542798378594E13	7.152846175396692E12
1.1732637931569227E13	7.157139771445844E12
