Europa X	Europa Y
-6.342942697619532E11	-5.0353196934971814E11
-6.095500906749159E11	-5.386667425967992E11
-5.749928243072577E11	-5.726999999235913E11
-5.4119856319372845E11	-6.030955712954219E11
-5.0924282110584796E11	-6.309362560584468E11
-4.7442286623567126E11	-6.531389363680878E11
-4.321554611479468E11	-6.737471236501405E11
-3.895003057147855E11	-7.034656402189635E11
-3.55936536030971E11	-7.179871936645789E11
-3.055440112401762E11	-7.32989534074723E11
-2.7051929658648633E11	-7.523737515119231E11
-2.1978697324994308E11	-7.580486053410665E11
-1.816866061269342E11	-7.740502347808066E11
-1.2824190112880606E11	-7.744642752067946E11
-9.110264273047736E10	-7.826570301528789E11
-3.3179989454588013E10	-7.838297543398895E11
2.3358413531187954E9	-7.787443604327052E11
5.292976857691871E10	-7.84250726990029E11
9.967340584648024E10	-7.653334055790459E11
1.3902910028448447E11	-7.617106939851576E11
1.9694803197581967E11	-7.514066283921884E11
2.319248237254064E11	-7.274973248780344E11
2.7254977888044626E11	-7.174244949828694E11
3.2823851074437054E11	-6.947315034574501E11
3.589809050267894E11	-6.648734476073645E11
3.9562613090093463E11	-6.463557365974991E11
4.472469934598582E11	-6.207889126685575E11
4.75995737285985E11	-5.786777524407277E11
5.046648606967671E11	-5.506390887104156E11
5.431586267776922E11	-5.2382050798809875E11
5.797469737515087E11	-4.742735051661857E11
5.980854186942886E11	-4.344222323151573E11
6.216894199042954E11	-4.0044561047700104E11
6.554294221166461E11	-3.639314426532911E11
6.753456011672308E11	-3.053812799000787E11
6.842855943168441E11	-2.61144983731408E11
6.97527595702634E11	-2.2154078268886578E11
7.185952725134409E11	-1.806327921012049E11
7.310310860441589E11	-1.1831506182795352E11
7.270194499900353E11	-6.875830199253294E10
7.261420191733473E11	-2.5513459681882416E10
7.301321715894932E11	1.614915081023236E10
7.408706797670115E11	7.01869864036911E10
7.241867717968392E11	1.287992040618E11
7.071784403099585E11	1.7414416862277374E11
6.933905035350316E11	2.1493276299736404E11
6.848989731224738E11	2.5492061416184048E11
6.777149533529005E11	3.1075533854001807E11
6.453410829935822E11	3.619756115730229E11
6.141584649714072E11	4.014363036471832E11
5.862755536029852E11	4.357560835329649E11
5.635854595353346E11	4.682387044340666E11
5.4530393912370044E11	5.129542706618746E11
5.017184010927754E11	5.584933586444305E11
4.573937507894989E11	5.895989577128477E11
4.1651910674539124E11	6.140229490175472E11
3.805300200286169E11	6.346766755494812E11
3.526296321637409E11	6.587665339965216E11
3.0898941262083105E11	6.971636327711862E11
2.5497988817820895E11	7.194473138100189E11
2.0409512093740634E11	7.32605619707869E11
1.5760955953177194E11	7.401173706036774E11
