Ganymede X	Ganymede Y
-6.353101645763916E11	-5.064454712498202E11
-6.092632514398469E11	-5.375713310705261E11
-5.76225644980243E11	-5.733480220080392E11
-5.4186531217039996E11	-6.041617483531165E11
-5.0799874105006525E11	-6.324036885978641E11
-4.733325540005124E11	-6.563987229202831E11
-4.330809259727016E11	-6.757376779468453E11
-3.869804127609469E11	-7.010598114358828E11
-3.516091190070936E11	-7.251681816478435E11
-3.113137237791161E11	-7.347687751346979E11
-2.6020687381696304E11	-7.545722641654407E11
-2.25015921814334E11	-7.66642240563381E11
-1.7108454681673178E11	-7.714171932263269E11
-1.3317520240265602E11	-7.851839131443118E11
-8.082070159102731E10	-7.806534850779895E11
-4.060024329131427E10	-7.91184522837119E11
1.2612552899456299E10	-7.808794765719116E11
5.107578609689276E10	-7.849363008354271E11
1.0714788916508676E11	-7.724119914870336E11
1.415188712295551E11	-7.654612901385266E11
1.9759421438504675E11	-7.550365527178953E11
2.324792202012565E11	-7.325443484596149E11
2.809350698336314E11	-7.245855621029874E11
3.264789811164883E11	-6.918953037049404E11
3.593467728604055E11	-6.774444752661769E11
4.1054594429604443E11	-6.514752409966967E11
4.392717132761654E11	-6.148042635960876E11
4.7771221180790546E11	-5.953289844876583E11
5.215360645670536E11	-5.542068878718474E11
5.413168264639121E11	-5.1866250482417346E11
5.784175492065653E11	-4.901836077054921E11
6.123103602186678E11	-4.3960362870014795E11
6.256046294258795E11	-4.023251282375299E11
6.565543658555282E11	-3.6727804659841394E11
6.821092289607054E11	-3.1135026839505707E11
6.87169423620007E11	-2.6949571345481592E11
7.088504419663489E11	-2.313358141277474E11
7.281852637762716E11	-1.7374454207284357E11
7.236475349046724E11	-1.249285080705833E11
7.331538166917145E11	-8.652423255570674E10
7.463077804433319E11	-3.211554482966381E10
7.350629434926348E11	2.5453872570142017E10
7.290685141117561E11	6.313134824110574E10
7.329797756355364E11	1.1027203036230945E11
7.226984406823414E11	1.721287562644016E11
6.986497174275369E11	2.1300652984822183E11
6.891543962064329E11	2.5143033650680048E11
6.800462323406622E11	3.038312277947823E11
6.470212321403672E11	3.560367874207722E11
6.200521768569817E11	3.8745089134955035E11
6.029506965544895E11	4.2576613548322205E11
5.768227806738888E11	4.77700444614022E11
5.315834066330444E11	5.120659802239067E11
5.019441579353751E11	5.375990880332535E11
4.759026468105762E11	5.741835069258909E11
4.30859527228408E11	6.168556750947374E11
3.834704052299879E11	6.345077170505221E11
3.4994189408451935E11	6.538969502832446E11
3.152647644617171E11	6.846197107463385E11
2.5922409740700928E11	7.12402495261138E11
2.1085664161556238E11	7.179830539015089E11
1.7374740397085577E11	7.283382811178369E11
1.3385249185073586E11	7.492384542156229E11
7.363341238915895E10	7.637685740981017E11
2.377107361336229E10	7.576778460487051E11
-1.4993685526362858E10	7.564958183753251E11
-5.5425063459206085E10	7.650600271152203E11
-1.146340744775971E11	7.699933308266843E11
-1.6614678014372617E11	7.524509021709146E11
-2.0448943298086453E11	7.382228884695604E11
-2.4156707389417798E11	7.330702937996566E11
-2.93627091654356E11	7.307795767720807E11
-3.469273964434317E11	7.045932662628195E11
-3.836199050755145E11	6.769768523086006E11
-4.151173180061164E11	6.575791753400006E11
