Halley's Comet X	Halley's Comet Y
-3.0565018047599033E12	3.9078167388552847E12
-3.055781044093817E12	3.9122569294363027E12
-3.0550224544236416E12	3.9166486883868936E12
-3.054226110925644E12	3.9209920459483594E12
-3.0533920877049243E12	3.9252870311889043E12
-3.052520457807939E12	3.929533672009439E12
-3.051611293234165E12	3.933731995149639E12
-3.0506646649477153E12	3.937882026194177E12
-3.0496806428879336E12	3.941983789579192E12
-3.048659295979494E12	3.9460373085975293E12
-3.047600692143524E12	3.950042605404617E12
-3.0465048983077983E12	3.9539997010254053E12
-3.045371980415728E12	3.9579086153602026E12
-3.044202003435694E12	3.9617693671903384E12
-3.0429950313699316E12	3.9655819741839824E12
-3.0417511272633955E12	3.969346452901749E12
-3.0404703532122075E12	3.9730628188030547E12
-3.0391527703706025E12	3.976731086251593E12
-3.0377984389582896E12	3.980351268519703E12
-3.0364074182683516E12	3.9839233777937856E12
-3.034979766673757E12	3.9874474251797095E12
-3.0335155416334805E12	3.990923420707352E12
-3.0320147996984775E12	3.9943513733350986E12
-3.0304775965171035E12	3.997731290953621E12
-3.028903986841013E12	4.0010631803898325E12
-3.0272940245301895E12	4.0043470474113804E12
-3.0256477625566484E12	4.0075828967297227E12
-3.023965253008806E12	4.0107707320023755E12
-3.022246547095992E12	4.0139105558358843E12
-3.020491695151921E12	4.0170023697884727E12
-3.0187007466379556E12	4.020046174372037E12
-3.0168737501457964E12	4.023041969053723E12
-3.015010753400048E12	4.025989752256631E12
-3.0131118032612715E12	4.028889521360461E12
-3.011176945728326E12	4.031741272702786E12
-3.009206225939517E12	4.0345450015787236E12
-3.007199688174466E12	4.0373007022396216E12
-3.005157375856229E12	4.0400083678923975E12
-3.0030793315527583E12	4.0426679906983335E12
-3.000965596978224E12	4.045279561771325E12
-2.9988162129941333E12	4.047843071175696E12
-2.99663121961022E12	4.0503585079230093E12
-2.994410655986295E12	4.0528258599686553E12
-2.992154560433898E12	4.055245114209057E12
-2.9898629704170566E12	4.057616256477899E12
-2.9875359225535146E12	4.0599392715410483E12
-2.9851734526170947E12	4.0622141430918657E12
-2.9827755955397373E12	4.064440853746754E12
-2.9803423854136206E12	4.0666193850399927E12
-2.9778738554935845E12	4.0687497174184697E12
-2.9753700381996973E12	4.0708318302359043E12
-2.972830965120694E12	4.0728657017466426E12
-2.9702566670183813E12	4.074851309100382E12
-2.967647173831516E12	4.0767886283371396E12
-2.9650025146797666E12	4.0786776343811265E12
-2.9623227178691714E12	4.0805183010347925E12
-2.959607810898302E12	4.082310600974061E12
-2.9568578204640757E12	4.0840545057438877E12
-2.954072772468096E12	4.085749985753663E12
-2.951252692023379E12	4.0873970102732695E12
-2.9483976034613506E12	4.088995547429272E12
-2.9455075303397095E12	4.0905455642019863E12
-2.9425824954503413E12	4.092047026423943E12
-2.939622520826188E12	4.0934998987787773E12
-2.93662762774823E12	4.0949041447996855E12
-2.9335978367532E12	4.096259726869019E12
-2.9305331676406772E12	4.0975666062196284E12
-2.927433639478595E12	4.098824742936208E12
-2.924299270608426E12	4.100034095956448E12
-2.9211300786497876E12	4.101194623073039E12
-2.917926080503816E12	4.1023062809357383E12
-2.9146872923559233E12	4.1033690250536045E12
-2.911413729677211E12	4.1043828097977515E12
-2.908105407223834E12	4.1053475884032505E12
-2.904762339035494E12	4.106263312969642E12
-2.901384538433821E12	4.107129934461305E12
-2.8979720180193955E12	4.1079474027080996E12
-2.894524789666651E12	4.108715666404096E12
-2.891042864518525E12	4.1094346731044507E12
-2.887526252981153E12	4.1101043692215635E12
-2.883974964717829E12	4.1107247000204253E12
-2.880389008642479E12	4.111295609612285E12
-2.8767683929133213E12	4.1118170409474575E12
-2.87311312492595E12	4.112288935806698E12
-2.8694232113068193E12	4.112711234790725E12
-2.8656986579080757E12	4.113083877309108E12
-2.861939469802709E12	4.113406801569476E12
-2.858145651279023E12	4.11367994456545E12
-2.8543172058360635E12	4.1139032420627866E12
-2.850454136180767E12	4.114076628585722E12
-2.846556444225478E12	4.114200037403927E12
-2.8426241310853755E12	4.1142734005188564E12
-2.838657197076757E12	4.114296648649646E12
-2.8346556417160015E12	4.1142697112191875E12
-2.830619463718783E12	4.114192516340192E12
-2.826548661000287E12	4.114064990801223E12
-2.8224432306760054E12	4.113887060053791E12
-2.8183031690620264E12	4.113658648199816E12
-2.814128471675194E12	4.113379677978169E12
-2.809919133234478E12	4.1130500707514E12
-2.805675147662976E12	4.112669746493899E12
-2.80139650808896E12	4.112238623780605E12
-2.797083206846528E12	4.1117566197748774E12
-2.7927352354769077E12	4.1112236502163594E12
-2.788352584730123E12	4.1106396294095923E12
-2.783935244566243E12	4.1100044702130664E12
-2.7794832041564517E12	4.109318084028212E12
-2.7749964518839604E12	4.108580380788609E12
-2.7704749753444673E12	4.1077912689492114E12
-2.7659187613465186E12	4.1069506554748945E12
-2.7613277959124233E12	4.10605844582951E12
-2.756702064278884E12	4.105114543965745E12
-2.75204155089641E12	4.104118852314737E12
-2.747346239428376E12	4.10307127177445E12
-2.7426161127509443E12	4.101971701697983E12
-2.7378511529530703E12	4.100820039882981E12
-2.7330513413352427E12	4.0996161825610684E12
-2.7282166584076733E12	4.0983600243861787E12
-2.723347083888733E12	4.097051458422463E12
-2.718442596703316E12	4.095690376132503E12
-2.7135031749808125E12	4.094276667365262E12
-2.708528796052737E12	4.092810220343781E12
-2.7035194364502383E12	4.091290921652806E12
-2.6984750719007646E12	4.0897186562261787E12
-2.6933956773242354E12	4.088093307332944E12
-2.688281226829943E12	4.086414756563322E12
-2.6831316937133306E12	4.084682883815499E12
-2.677947050451211E12	4.0828975672820664E12
-2.672727268696192E12	4.0810586834345933E12
-2.6674723192719766E12	4.0791661070075913E12
-2.6621821721688633E12	4.077219710983133E12
-2.656856796538063E12	4.0752193665754893E12
-2.6514961606850703E12	4.073164943214373E12
-2.646100232063264E12	4.071056308527434E12
-2.6406689772671562E12	4.068893328322437E12
-2.635202362025211E12	4.0666758665688213E12
-2.629700351192473E12	4.0644037853786055E12
-2.6241629087429653E12	4.0620769449870054E12
-2.6185899977611924E12	4.059695203732489E12
-2.6129815804329614E12	4.057258418035324E12
-2.607337618036624E12	4.0547664423749956E12
-2.601658070934672E12	4.0522191292678774E12
-2.5959428985644316E12	4.049616329244805E12
-2.5901920594275586E12	4.0469578908271343E12
-2.5844055110794214E12	4.0442436605008706E12
-2.5785832101194463E12	4.0414734826903076E12
-2.572725112181473E12	4.0386471997318076E12
-2.5668311719230547E12	4.035764651846834E12
-2.560901343014433E12	4.0328256771132837E12
-2.55493557812808E12	4.0298301114356724E12
-2.548933828928552E12	4.026777788514994E12
-2.5428960460622383E12	4.023668539817834E12
-2.5368221791472637E12	4.0205021945444927E12
-2.530712176763842E12	4.0172785795965566E12
-2.524565986444593E12	4.0139975195439395E12
-2.518383554664761E12	4.010658836590398E12
-2.512164826833688E12	4.00726235053799E12
-2.505909747287707E12	4.0038078787521597E12
-2.4996182592827505E12	4.000295236127205E12
-2.4932903049863926E12	3.9967242350504736E12
-2.4869258254709424E12	3.9930946853650713E12
-2.4805247607083535E12	3.9894063943329473E12
-2.474087049565806E12	3.9856591665992734E12
-2.467612629800566E12	3.9818528041568833E12
-2.4611014380551616E12	3.9779871063098037E12
-2.454553409853414E12	3.974061869636934E12
-2.447968479597025E12	3.970076887956568E12
-2.441346580561938E12	3.9660319522916924E12
-2.434687644894287E12	3.9619268508355522E12
-2.427991603605965E12	3.957761368917727E12
-2.421258386569287E12	3.9535352889706455E12
-2.414487922510373E12	3.949248390495914E12
-2.4076801390016777E12	3.9449004500303145E12
-2.4008349624538726E12	3.9404912411122334E12
-2.393952318105749E12	3.936020534248794E12
-2.387032130011296E12	3.9314880968819087E12
-2.3800743210244263E12	3.926893693352131E12
-2.3730788127828853E12	3.9222370848607573E12
-2.3660455256909424E12	3.9175180294314673E12
-2.358974378899507E12	3.91273628187102E12
-2.351865290283069E12	3.907891593726545E12
-2.344718176415516E12	3.9029837132390396E12
-2.3375329525457944E12	3.8980123852942446E12
-2.330309532572685E12	3.8929773513717773E12
-2.3230478290181606E12	3.8878783494912456E12
-2.3157477530001064E12	3.8827151141548022E12
-2.308409214205098E12	3.8774873762865664E12
-2.3010321208615425E12	3.872194863169295E12
-2.293616379712727E12	3.8668372983782134E12
-2.286161895991014E12	3.861414401711911E12
-2.278668573393189E12	3.855925889121783E12
-2.271136314055943E12	3.8503714726399346E12
-2.263565018531289E12	3.8447508603043657E12
-2.255954585763195E12	3.839063756081477E12
-2.248304913065926E12	3.8333098597874287E12
-2.2406158961036177E12	3.827488867009351E12
-2.232887428869378E12	3.82160046902611E12
-2.2251194036636934E12	3.8156443527266978E12
-2.2173117110736606E12	3.8096202005261426E12
-2.209464239953803E12	3.80352769028092E12
-2.20157687740731E12	3.79736649520466E12
-2.1936495087661853E12	3.7911362837832124E12
-2.1856820175705098E12	3.7848367196876436E12
-2.1776742855478027E12	3.778467461685063E12
-2.1696261925930374E12	3.7720281635486426E12
-2.1615376167480364E12	3.765518473967195E12
-2.1534084341797258E12	3.758938036452917E12
-2.1452385191580564E12	3.752286489247301E12
-2.137027744033351E12	3.745563465225722E12
-2.1287759792124404E12	3.7387685918000483E12
-2.1204830931339153E12	3.731901490818643E12
-2.1121489522433264E12	3.7249617784640317E12
-2.1037734209682856E12	3.7179490651495547E12
-2.0953563616919485E12	3.710862955414695E12
-2.0868976347240466E12	3.703703047817059E12
-2.0783970982711367E12	3.6964689348199307E12
-2.0698546084075117E12	3.689160202677381E12
-2.061270019045725E12	3.681776431318193E12
-2.052643181904962E12	3.6743171942277563E12
-2.0439739464770525E12	3.66678205832583E12
-2.0352621599913901E12	3.6591705838395005E12
-2.026507667380086E12	3.6514823241726206E12
-2.0177103112427368E12	3.643716825773344E12
-2.0088699318089785E12	3.63587362799879E12
-1.9999863668986714E12	3.627952262975023E12
-1.9910594518809856E12	3.619952255451919E12
-1.9820890196328333E12	3.6118731226539224E12
-1.9730749004962449E12	3.6037143741270522E12
-1.9640169222339392E12	3.5954755115816753E12
-1.9549149099832283E12	3.587156028730267E12
-1.9457686862087744E12	3.5787554111203423E12
-1.9365780706534534E12	3.570273135962888E12
-1.9273428802865745E12	3.5617086719547026E12
-1.918062929250798E12	3.553061479093888E12
-1.9087380288088591E12	3.544331008490056E12
