Io X	Io Y
-6.39346471317829E11	-5.030293182249109E11
-6.110616490582778E11	-5.358502856010186E11
-5.78819285087819E11	-5.62358915997587E11
-5.453602314149509E11	-6.006684846812109E11
-5.097590958372345E11	-6.1780682898282E11
-4.781935931564897E11	-6.445801608534689E11
-4.38379421006001E11	-6.763344677439161E11
-3.911499826674627E11	-6.903416854972366E11
-3.563746270065034E11	-7.028813953370189E11
-3.186727003269858E11	-7.179439289518706E11
-2.781724184756234E11	-7.333987274689746E11
-2.348033598082427E11	-7.487146714810876E11
-1.8794064518820416E11	-7.640220633964835E11
-1.3332313745484966E11	-7.806534496088163E11
-8.438405478446515E10	-7.677250099865421E11
-4.26345356032194E10	-7.575212064955399E11
-3.2445202660470986E8	-7.464969005610253E11
4.226089191827332E10	-7.334826661699733E11
8.485963205383711E10	-7.179823966674258E11
1.2721956466123642E11	-6.997034897803619E11
1.6908518473165973E11	-6.784444580452966E11
2.1019034057481302E11	-6.540559252828911E11
2.5025358029600836E11	-6.264249083396246E11
2.889748367731363E11	-5.954686309257711E11
3.260328959354909E11	-5.611330996602767E11
3.610834647450685E11	-5.2339453758313947E11
3.937578715826297E11	-4.822628471061368E11
4.236625829528022E11	-4.377867476211575E11
4.5037983178728217E11	-3.9006040842694165E11
4.7346977696366315E11	-3.392314311305985E11
4.924747363589115E11	-2.85509979892375E11
5.0692613651232477E11	-2.2917871049281763E11
5.163548647332382E11	-1.7060288711835287E11
5.20305692113535E11	-1.1023972637364331E11
5.183562440557183E11	-4.864559936387953E10
5.1014055421416504E11	1.352071817403215E10
4.953765146198771E11	7.550089920195938E10
4.738955598002911E11	1.3644821982687273E11
4.456717441836649E11	1.9544872964594965E11
4.108462512920549E11	2.5155302915733792E11
3.6974284569725433E11	3.0381746626669006E11
3.228701841806304E11	3.513513656778607E11
2.7090848222427045E11	3.93364955836741E11
2.146806533392941E11	4.2921166858586115E11
1.5511099455662668E11	4.5841898479930414E11
9.317686462909056E10	4.807039941325394E11
2.9859803510021873E10	4.95972706786534E11
-3.3898040004929394E10	5.0430504586237646E11
-9.72280846545121E10	5.059294845635626E11
-1.593582874858576E11	5.0119208085188257E11
-2.196251619743858E11	4.905243048008255E11
-2.7747651969668384E11	4.744130003953794E11
-3.3246727622091425E11	4.533745459579416E11
-3.8425070510461053E11	4.279340964307873E11
-4.325672182258104E11	3.986099251603572E11
-4.772322627784826E11	3.659023734036835E11
-5.181244205289749E11	3.302866463210441E11
-5.551743782411803E11	2.922086389663345E11
-5.883551109571458E11	2.5208303374685635E11
-6.176734032573806E11	2.1029301914329028E11
-6.431626928518843E11	1.6719111596317618E11
-6.64877134407738E11	1.2310071095295149E11
-6.828867516001643E11	7.831800622297156E10
-6.972735249985802E11	3.3114176671988018E10
-7.08128268859301E11	-1.226241069011502E10
-7.155481655288959E11	-5.758401167259334E10
-7.196348445907251E11	-1.0264141441280417E11
-7.204929082398356E11	-1.472419758008731E11
-7.182288160772358E11	-1.9120780267072153E11
-7.12950061897495E11	-2.3437408424024173E11
-7.047645860631864E11	-2.7658757424825604E11
-6.937803792666995E11	-3.1770521706338086E11
-6.801052418354774E11	-3.575929082905269E11
-6.638466704354663E11	-3.96124380296477E11
-6.451118500973386E11	-4.331802008474378E11
-6.240077306664974E11	-4.686468735695601E11
-6.00641175425124E11	-5.024160335798977E11
-5.751191744108406E11	-5.343837294628203E11
-5.4754911481367096E11	-5.64449783149183E11
-5.180391029371657E11	-5.925172200073811E11
-4.866983332488886E11	-6.184917640937181E11
-4.5363750495923016E11	-6.422813967805618E11
-4.189692868017651E11	-6.637959741000011E11
-3.8280883021146094E11	-6.829469024462963E11
-3.4527433555224615E11	-6.996468738465873E11
-3.0648767447442993E11	-7.138096608458134E11
-2.665750719273033E11	-7.25349974387659E11
-2.2566785271321725E11	-7.341833915325576E11
-1.839032594667305E11	-7.402263641444224E11
-1.41425350829305E11	-7.433963192614316E11
-9.838598484947832E10	-7.436118619924783E11
-5.494589209656391E10	-7.407931019551921E11
-1.127584547645891E10	-7.348621300488335E11
3.2442067962800682E10	-7.257436748500314E11
7.601307239675203E10	-7.13365974435999E11
