Jupiter X	Jupiter Y
-6.360631979426652E11	-5.042143113419775E11
-6.063922929545558E11	-5.380107181573584E11
-5.74770307482127E11	-5.700734582387474E11
-5.4129107745543494E11	-6.00291754323315E11
-5.060547976145917E11	-6.285604616228291E11
-4.691675841405685E11	-6.547762650263213E11
-4.3074240956544556E11	-6.788425442349241E11
-3.908975013461995E11	-7.006680542935496E11
-3.497546671605403E11	-7.201664595563766E11
-3.0744450832527075E11	-7.372576483424591E11
-2.6410154904618002E11	-7.518674479259214E11
-2.1986492269154742E11	-7.63929162054964E11
-1.748792531350734E11	-7.733830707182083E11
-1.2929391094042836E11	-7.801761436299478E11
-8.326100223225037E10	-7.842660792647412E11
-3.693857873247465E10	-7.856142367634486E11
9.513213266181381E9	-7.841945544023395E11
5.592967251893859E10	-7.799871115417373E11
1.0214418936097743E11	-7.729849011791207E11
1.4798874131809534E11	-7.631872170956069E11
1.9329133864907294E11	-7.506059993688625E11
2.3788232419012396E11	-7.35263422633025E11
2.8158861266414557E11	-7.171904469509595E11
3.2423822984508374E11	-6.964322425614675E11
3.6566274706892114E11	-6.730425887908977E11
4.056914437251567E11	-6.470872610143845E11
4.4415922622158514E11	-6.186455993646102E11
4.809046138755645E11	-5.878052547684259E11
5.1576781250146E11	-5.546674223403324E11
5.4859833908305585E11	-5.1934474762633453E11
5.792487835063745E11	-4.8195931069209283E11
6.075798964292797E11	-4.4264665670418207E11
6.334630780912084E11	-4.015504960589456E11
6.567741281321696E11	-3.588242274480512E11
6.774018919909133E11	-3.1463510171320807E11
6.952486079044365E11	-2.6915334063004883E11
7.102218994627568E11	-2.2255842152426532E11
7.222449562089622E11	-1.7504128304579193E11
7.312582981473126E11	-1.2679506966411932E11
7.372093941478925E11	-7.801559747155904E10
7.400614581321655E11	-2.890913708827624E10
7.39797360459109E11	2.0318212478698357E10
7.364092476409121E11	6.94624977612183E10
7.299049128863077E11	1.1831325237306288E11
7.203107393174081E11	1.66662003916059E11
7.076671193948456E11	2.1430798367798105E11
6.920239832056373E11	2.6104860680561176E11
6.734510599655171E11	3.0668357417052856E11
6.52035194436888E11	3.510236870394403E11
6.278683246159435E11	3.9388804641280634E11
6.010577079860151E11	4.350968605298316E11
5.717264962496171E11	4.7448103455467456E11
5.400082901645054E11	5.118864141811887E11
5.060416351413836E11	5.471660716878814E11
4.699776277438819E11	5.801819421760112E11
4.319783519133899E11	6.108094799984165E11
3.9220985148306573E11	6.389407355398539E11
3.5084194749538965E11	6.644748986130327E11
3.080535309034982E11	6.87323803472519E11
2.6402839054814496E11	7.074154512244243E11
2.1894923162213293E11	7.246923189085411E11
1.7300059718255017E11	7.391059802245997E11
1.2636987515957375E11	7.506209500411075E11
7.924586862485191E10	7.59215922644921E11
3.1814018537906784E10	7.648838549448158E11
-1.5743170017682518E10	7.676273821798622E11
-6.324434494422766E10	7.674599507336509E11
-1.105099420596863E11	7.644074526214293E11
-1.5736676623587576E11	7.585078044674071E11
-2.0364592827791412E11	7.498068338124396E11
-2.4918256197954163E11	7.383604366253853E11
-2.938173761889706E11	7.242341336841082E11
-3.373979644910893E11	7.075031557185983E11
-3.797784141353996E11	6.882486760394681E11
-4.2081918665623016E11	6.665599807029906E11
-4.603871735569855E11	6.425325106120873E11
-4.983556563313818E11	6.162693856123834E11
-5.346071564554895E11	5.878792211077769E11
-5.690306161565309E11	5.574753343718478E11
-6.015228839408008E11	5.2517562849804095E11
-6.319872377115215E11	4.9110255732006726E11
-6.603363167045646E11	4.553834390109715E11
-6.864895496757257E11	4.181466387176086E11
-7.103735696248413E11	3.7952484207554913E11
-7.319227462461176E11	3.3965341344701666E11
-7.510792307885493E11	2.986703148991642E11
-7.677943979421926E11	2.5671452574757928E11
-7.820247309800271E11	2.1392556250975253E11
-7.937351784051042E11	1.7044558454303485E11
-8.028978691290682E11	1.2641652033799597E11
-8.094920860579089E11	8.198222112472714E10
-8.135058567398171E11	3.728468893106986E10
-8.149317339009182E11	-7.533107970733849E9
-8.137714973140026E11	-5.232804510936903E10
-8.100331840899012E11	-9.695865573419131E10
-8.037316894942125E11	-1.412827581222517E11
-7.948906497573071E11	-1.851611726745683E11
-7.835377394792533E11	-2.2845617173754605E11
-7.697086827144847E11	-2.710300405944283E11
-7.534460475439487E11	-3.127482336494702E11
-7.347978159029452E11	-3.534770118178821E11
-7.138216895122899E11	-3.9308537627558417E11
-6.905791726655078E11	-4.314469067219242E11
-6.651384819951987E11	-4.6843572397853876E11
-6.375751821187897E11	-5.039300480814262E11
-6.079700281767222E11	-5.3781113679548724E11
-5.76412150118679E11	-5.699633697595869E11
-5.4299549659089966E11	-6.002777765894609E11
-5.0781897394291724E11	-6.286475761016184E11
-4.7098861646175824E11	-6.549704869579458E11
-4.32616317282894E11	-6.791493707219946E11
-3.9281998326455896E11	-7.010914461670765E11
-3.517244872390551E11	-7.207117221349651E11
-3.09457343733258E11	-7.379309371572832E11
-2.6615237914851123E11	-7.526744649164838E11
-2.2194921149767148E11	-7.648754040336208E11
-1.7699119110501535E11	-7.744738761382415E11
-1.3142773964343155E11	-7.814163755171766E11
-8.541175091793774E10	-7.856601766277574E11
-3.909869196001823E10	-7.8716830008048E11
7.350634243341593E9	-7.859125182903708E11
5.377261045935136E10	-7.818746047864773E11
1.0000185048236269E11	-7.75045137999223E11
1.4586891396521725E11	-7.654238795569136E11
1.91203937516888E11	-7.530232894836631E11
2.358371648947489E11	-7.378641935653529E11
2.795970445759045E11	-7.199780551258512E11
3.223130109188772E11	-6.994082169131587E11
3.638157769019553E11	-6.76207788665627E11
4.0393592678772833E11	-6.504413985009011E11
4.425079292257469E11	-6.221875213243026E11
4.793710492645756E11	-5.915341102117289E11
5.1436753679255786E11	-5.585802674273662E11
5.473450579437467E11	-5.2343716677819556E11
5.781581445603104E11	-4.8622671830510516E11
6.066673312218523E11	-4.4708078388403674E11
6.327411039216007E11	-4.061440163886494E11
6.562593705544569E11	-3.6357003724588513E11
6.771100443335642E11	-3.195200341206658E11
6.95191401208557E11	-2.7416573319521814E11
7.104142873793726E11	-2.2768653942794962E11
7.227013804521472E11	-1.8026790099524384E11
7.319871775972617E11	-1.3210297302794392E11
7.382218871764252E11	-8.339029510633795E10
7.413691522885657E11	-3.433092592270779E10
7.414063792133209E11	1.4870358384931135E10
7.383263925656128E11	6.4006756750670715E10
7.321372368545668E11	1.1287181085235214E11
7.228603150550892E11	1.612596523242926E11
7.105331080440541E11	2.0896443532499234E11
6.952095051570764E11	2.557854770297406E11
6.76955020030518E11	3.015268547440812E11
6.558500686373317E11	3.4599677226237396E11
6.31989242101829E11	3.890105873750096E11
6.054794404558452E11	4.3039265679111237E11
5.764382153036113E11	4.699744871183083E11
5.449963942548867E11	5.075968795508909E11
5.1129466641746344E11	5.4311259490551514E11
4.7548208508614886E11	5.763849082873385E11
4.3771653491667206E11	6.072882533636445E11
3.981637872099016E11	6.35709613223871E11
3.569950324003413E11	6.61549804350314E11
3.1438557972197217E11	6.847203169710455E11
2.7051689732933316E11	7.051460281730659E11
2.2557261635846487E11	7.227659510125271E11
1.7973792495862637E11	7.375315577420798E11
1.3319903243987784E11	7.494069687527366E11
8.614274794965103E10	7.583688045919482E11
3.875489273279018E10	7.644074264826923E11
-8.781948900480238E9	7.675236863016566E11
-5.628554463467722E10	7.677300351491494E11
-1.0357774525480971E11	7.650512643702719E11
-1.5048467580248737E11	7.595222104536704E11
-1.9683650518412646E11	7.51187700868819E11
-2.4246806253207834E11	7.40102407829167E11
-2.872193942603623E11	7.263309362216016E11
-3.30938138237712E11	7.099465935000522E11
-3.734769449799441E11	6.910291276098196E11
-4.1469508633906995E11	6.696672938647098E11
-4.544594719003342E11	6.459561739708702E11
-4.9264364101818774E11	6.199968372992188E11
-5.291280508028441E11	5.918963189553468E11
-5.638002357643638E11	5.617672976974385E11
-5.965556774677511E11	5.2972829068861755E11
-6.272986073081858E11	4.959009806198586E11
-6.559397632903748E11	4.60410660870537E11
-6.823977590057722E11	4.233862652664512E11
-7.065987024360769E11	3.84959591819617E11
-7.284761734016292E11	3.45265086961686E11
-7.479711723662733E11	3.044395102431523E11
-7.650320480686973E11	2.6262197394146423E11
-7.796157002938118E11	2.1995363693020975E11
-7.916865831231115E11	1.7657564850148077E11
-8.012166296652922E11	1.3262993125042831E11
-8.081845554215137E11	8.825857564832576E10
-8.125761375307814E11	4.360418067168996E10
-8.143842591617863E11	-1.190621181788769E9
-8.136086905390833E11	-4.598333891370195E10
-8.102562601264764E11	-9.063121456841925E10
-8.043424204216758E11	-1.3499227376949382E11
-7.958893448152599E11	-1.7892745731042477E11
-7.849250209404288E11	-2.222989069062827E11
-7.714841099242097E11	-2.6497002226020694E11
-7.556079751427458E11	-3.068059661107507E11
-7.373445071425663E11	-3.476739664917993E11
-7.167478543368615E11	-3.874433177889051E11
-6.938790222998176E11	-4.2598476211812634E11
-6.688074586587875E11	-4.631726542577539E11
-6.416079348245828E11	-4.988862774908483E11
-6.123606202363536E11	-5.3300779229640356E11
-5.811514852214966E11	-5.654226246674861E11
-5.480734731088031E11	-5.960195193441825E11
-5.132252870346232E11	-6.246924674066013E11
-4.767109748082771E11	-6.513392967346174E11
-4.386408833118478E11	-6.758614082112521E11
-3.9913337239843427E11	-6.981663435311602E11
-3.5831088279449554E11	-7.181692208499043E11
-3.1630034887016064E11	-7.357901365146981E11
-2.732340570654353E11	-7.509550892650444E11
-2.2924933597109622E11	-7.635966295122948E11
-1.8448818836211716E11	-7.73654229516883E11
-1.390969375056804E11	-7.810744209802626E11
-9.32263239692202E10	-7.858106403162043E11
-4.7032906694108505E10	-7.878242561764941E11
-6.764964041929497E8	-7.870879364464027E11
4.5681769495268974E10	-7.835824712637172E11
9.187781890516566E10	-7.772972684700206E11
1.3774528884533398E11	-7.682312697357102E11
1.8311621673771677E11	-7.563932670901771E11
2.2782159454906924E11	-7.418020047451692E11
2.7169160465647913E11	-7.244864177228643E11
3.145562293084783E11	-7.044860967941234E11
3.562449789759505E11	-6.818520018773075E11
3.9659032818947723E11	-6.566483607114043E11
4.3542823021133075E11	-6.28949291021525E11
4.725975098728141E11	-5.988398341169768E11
5.0794101108984436E11	-5.664162513821924E11
5.413065616669344E11	-5.3178585698958154E11
5.725475888500406E11	-4.95066808181931E11
6.015240854097349E11	-4.5638832904869586E11
6.281040139298698E11	-4.1589000445722943E11
6.521629733716385E11	-3.737212537859529E11
6.735867658683843E11	-3.300428672629486E11
6.922728651483224E11	-2.85023422276639E11
7.081296192738018E11	-2.388391240737621E11
7.210773126399065E11	-1.9167320352245145E11
7.310484122702927E11	-1.4371498889227008E11
7.379882409791632E11	-9.515973083203812E10
7.418562822254143E11	-4.620740687549828E10
7.426265120659343E11	2.9390122742303357E9
7.402869024536976E11	5.2074721012846245E10
7.348400294906829E11	1.0099277366159206E11
7.263047184667224E11	1.4948658289525064E11
7.147147376611752E11	1.9735194916019098E11
7.001181305548439E11	2.4438798568598392E11
6.825766582034048E11	2.9039744135084863E11
6.621664425623809E11	3.3518765868217346E11
6.389775486874442E11	3.785724280722296E11
6.131130114305428E11	4.2037327844755896E11
5.84687541715073E11	4.6042028445196533E11
5.538271232945083E11	4.985518631342933E11
5.20669422920508E11	5.3461648066815216E11
4.853619291067991E11	5.684744168516223E11
4.480599131195616E11	5.999978847577208E11
4.0892584937610724E11	6.29070321570977E11
3.681292771113002E11	6.555873752261833E11
3.258454027665976E11	6.794576465342548E11
2.8225388170377106E11	7.006029420041499E11
2.3753727086290158E11	7.189585513996654E11
1.918796802313857E11	7.344718902719658E11
1.454678065344405E11	7.471027816850911E11
9.84888440482162E10	7.568249320914797E11
5.112846695094062E10	7.636246714537501E11
3.5708697705206647E9	7.674997524048712E11
-4.400155048261576E10	7.684597443708324E11
-9.140932066563405E10	7.665257936385626E11
-1.3847663311418982E11	7.617300667108547E11
-1.850319100839797E11	7.541153738663701E11
-2.3090898630494412E11	7.43735074383576E11
