Mimas X	Mimas Y
1.5810987219032814E10	-1.5004546190923496E12
5.177092243863284E10	-1.4959000623101318E12
8.573307359059901E10	-1.4920611302299006E12
1.1848100096691139E11	-1.488531885837816E12
1.5024472563677942E11	-1.4852183290485864E12
1.8107424969024475E11	-1.4821878859083267E12
2.108894705676532E11	-1.4797254197573557E12
2.3938140449144318E11	-1.4788258442577283E12
2.776089112154486E11	-1.478684666011637E12
3.2218925638403125E11	-1.468002310064018E12
3.653073041980067E11	-1.4568732937336685E12
4.0779519376395496E11	-1.4451302883055505E12
4.4984073166109576E11	-1.432723870216455E12
4.9151008348259875E11	-1.4196355975510032E12
5.328278844027208E11	-1.4058594515658625E12
5.738006425363105E11	-1.3913957760389404E12
6.144258143526656E11	-1.376248763228373E12
6.546959846331348E11	-1.3604252308525269E12
6.946010356318534E11	-1.3439339504946929E12
7.341293775207639E11	-1.3267852394555645E12
7.732686964151571E11	-1.3089906889848542E12
8.120064350275872E11	-1.2905629679872883E12
8.503301152081903E11	-1.2715156708402542E12
8.882275616578462E11	-1.2518631920792766E12
9.256870608120651E11	-1.2316206184344915E12
9.626974749363055E11	-1.2108036325966655E12
9.992483239852808E11	-1.1894284249857246E12
1.0353298437389043E12	-1.1675116116699968E12
1.0709330256252224E12	-1.1450701574248333E12
1.1060496419630781E12	-1.1221213030155808E12
1.1406722595965234E12	-1.0986824962769214E12
1.1747942440849536E12	-1.0747713269168362E12
1.2084097560872266E12	-1.0504054648481548E12
1.2415137415356836E12	-1.0256026021791277E12
1.2741019166332786E12	-1.0003803990894432E12
1.3061707484216997E12	-9.747564334532994E11
1.337717431916058E12	-9.487481541990675E11
1.368739864606198E12	-9.223728386693345E11
1.3992366187056172E12	-8.956475539470159E11
1.4292069116861755E12	-8.685891219964252E11
1.4586505755873333E12	-8.412140886362333E11
1.4875680253693977E12	-8.135386961706698E11
1.515960226736782E12	-7.855788594763488E11
1.5438286638377585E12	-7.573501455134584E11
1.5711753069142405E12	-7.288677561035472E11
1.59800258006531E12	-7.001465135939573E11
1.6243133295442463E12	-6.712008492644371E11
1.6501107927162651E12	-6.420447943833752E11
1.6753985677220308E12	-6.126919736429965E11
1.7001805840308567E12	-5.831556007515872E11
1.7244610739789973E12	-5.534484760360258E11
1.748244545300781E12	-5.2358298580981775E11
1.7715357548402883E12	-4.935711033047702E11
1.7943396835121848E12	-4.6342439111357513E11
1.8166615123745815E12	-4.3315400494739233E11
1.8385065998549175E12	-4.0277069845082587E11
1.8598804602796052E12	-3.7228482897725977E11
1.8807887436491204E12	-3.4170636426855115E11
1.9012372165659514E12	-3.1104488985928314E11
1.921231744358418E12	-2.8030961708211523E11
1.940778274351491E12	-2.4950939160313187E11
1.9598828202198247E12	-2.1865270234990472E11
1.978551447469444E12	-1.8774769073888144E11
1.9967902600223994E12	-1.5680216019604776E11
2.0146053877349617E12	-1.2582358589313698E11
2.032002974830299E12	-9.481912455101572E10
2.048989169311255E12	-6.379562428787842E10
2.065570113266635E12	-3.275963451706557E10
2.0817519339620405E12	-1.7174158242530332E9
2.0975407357072346E12	2.9325050242103237E10
2.1129425924728325E12	6.036205147091168E10
2.1279635411690845E12	9.138813541859673E10
2.1426095755936462E12	1.2239810001859608E11
2.156886641027795E12	1.5338698434212024E11
2.170800629362629E12	1.843500595219359E11
2.184357374714933E12	2.1528281990347256E11
2.197562649570759E12	2.4618097443977994E11
2.2104221614247217E12	2.7704043828891345E11
2.2229415498091353E12	3.0785732462057745E11
2.2351263836968345E12	3.386279366774221E11
2.2469821592861396E12	3.6934876008048E11
2.258514298116564E12	4.0001645536965643E11
2.2697281454905293E12	4.3062785079345795E11
2.280628969198674E12	4.611799353402029E11
2.2912219585003896E12	4.9166985198731195E11
2.3015122233061875E12	5.2209489118775543E11
2.3115047935847144E12	5.524524846154768E11
2.32120461900284E12	5.827401991384573E11
2.3306165687405986E12	6.12955730994497E11
2.339745431440527E12	6.430969001837052E11
2.3485959153035244E12	6.731616450932295E11
2.3571726483399863E12	7.031480173346488E11
2.365480178738698E12	7.33054176775351E11
2.373522975339964E12	7.628783867699037E11
2.381305428210496E12	7.926190095805203E11
2.3888318492941826E12	8.222745019774863E11
2.3961064731309907E12	8.518434110269061E11
2.403133457656517E12	8.81324370062515E11
2.409916885076943E12	9.107160948198962E11
2.416460762783129E12	9.400173797164604E11
2.4227690242900347E12	9.692270942927559E11
2.428845530225565E12	9.983441798192644E11
2.434694069369682E12	1.0273676460469904E12
2.44031835971829E12	1.0562965680849567E12
2.445722049556012E12	1.0851300834087928E12
2.45090871854776E12	1.1138673890063486E12
2.455881878852213E12	1.142507738646966E12
2.4606449762420605E12	1.1710504402663271E12
2.4652013912351055E12	1.1994948534703276E12
2.4695544402371616E12	1.2278403871443757E12
2.4737073766782383E12	1.2560864971586807E12
2.4776633921376685E12	1.2842326841773416E12
2.481425617474868E12	1.312278491575578E12
2.4849971239712695E12	1.3402235034463484E12
2.4883809244574414E12	1.368067342679937E12
2.491579974416246E12	1.3958096691289788E12
2.4945971730817695E12	1.4234501778661191E12
2.497435364539083E12	1.4509885975190974E12
2.5000973388103457E12	1.4784246886724575E12
2.502585832922208E12	1.5057582423389004E12
2.5049035319607383E12	1.5329890785013757E12
2.507053070113709E12	1.5601170447177063E12
2.509037031691997E12	1.5871420147859412E12
2.5108579521385205E12	1.614063887475944E12
2.512518319029998E12	1.6408825853165063E12
2.5140205730576704E12	1.6675980534277346E12
2.515367108980694E12	1.6942102584051023E12
2.5165602765646055E12	1.720719187263176E12
2.5176023815149507E12	1.7471248464307573E12
2.5184956863947686E12	1.7734272607826624E12
2.5192424115144136E12	1.7996264727107664E12
2.5198447358018853E12	1.825722541243498E12
2.520304797662127E12	1.8517155412100745E12
2.5206246958216924E12	1.8776055624421077E12
2.520806490155566E12	1.903392709011404E12
2.520852202497226E12	1.929077098504479E12
2.5207638174334336E12	1.9546588613323008E12
2.5205432830818022E12	1.9801381400726028E12
2.520192511852059E12	2.0055150888474993E12
2.5197133811980713E12	2.0307898727366113E12
2.519107734359764E12	2.0559626672173794E12
2.5183773810877935E12	2.0810336576295447E12
2.517524098350685E12	2.1060030386682031E12
2.51654963103268E12	2.1308710139101226E12
2.5154556926288057E12	2.1556377953672473E12
2.514243965930477E12	2.1803036030565813E12
2.5129161036945884E12	2.2048686645878247E12
2.511473729301667E12	2.229333214774727E12
2.509918437409406E12	2.253697495266936E12
2.508251794598912E12	2.277961754194363E12
2.5064753400084556E12	2.302126245821854E12
2.5045905859554634E12	2.32619123021567E12
2.5025990185482764E12	2.350156972919216E12
2.5005020982835195E12	2.3740237446337266E12
2.4983012606266704E12	2.3977918209059727E12
2.495997916579719E12	2.4214614818250356E12
2.493593453235194E12	2.4450330117218765E12
2.49108923430837E12	2.468506698868686E12
2.4884866006452627E12	2.491882835184271E12
2.485786870712123E12	2.5151617159512603E12
2.482991341070829E12	2.538343639543399E12
2.480101286836477E12	2.561428907157405E12
2.4771179621118677E12	2.5844178225516777E12
2.4740426004031846E12	2.607310691799431E12
2.470876415023121E12	2.630107823057209E12
2.467620599482251E12	2.6528095263457773E12
2.4642763278677627E12	2.6754161133421836E12
2.4608447552098975E12	2.697927897184218E12
2.457327017838834E12	2.7203451922890957E12
2.4537242337343965E12	2.742668314184726E12
2.4500375028679287E12	2.764897579352345E12
2.4462679075381885E12	2.7870333050819995E12
2.4424165127040073E12	2.8090758093389434E12
2.438484366312083E12	2.831025410637234E12
2.43447249961724E12	2.852882427919699E12
2.4303819274960527E12	2.874647180447479E12
2.426213648758018E12	2.8963199877005283E12
2.421968646456015E12	2.9179011692844434E12
2.417647888190932E12	2.9393910448383315E12
2.413252326407275E12	2.9607899339466597E12
2.4087828986836055E12	2.9820981560597085E12
2.40424052802133E12	3.0033160304207695E12
2.399626123129993E12	3.0244438759954175E12
2.394940578705771E12	3.0454820114020737E12
2.3901847757031484E12	3.066430754846262E12
2.3853595816017705E12	3.0872904240595703E12
2.380465850668945E12	3.1080613362415596E12
2.3755044242163228E12	3.128743808004126E12
2.370476130851553E12	3.1493381553192163E12
2.3653817867258174E12	3.1698446934691553E12
2.3602221957758447E12	3.1902637369977256E12
2.354998149959027E12	3.210595599662869E12
2.349710429483113E12	3.2308405943930156E12
2.3443598030322856E12	3.2509990332473267E12
2.338947027990194E12	3.2710712273774985E12
2.333472850657463E12	3.2910574869887344E12
2.327938006461836E12	3.310958121301188E12
2.3223432201627812E12	3.3307734385156973E12
2.3166892060537554E12	3.3505037457835996E12
2.3109766681619087E12	3.3701493491772646E12
2.3052063004425684E12	3.3897105536594917E12
2.2993787869672334E12	3.409187663053512E12
2.2934948021068306E12	3.4285809800164136E12
2.287555010712712E12	3.447890806015595E12
2.281560068294448E12	3.4671174413052056E12
2.275510621192664E12	3.48626118490271E12
2.2694073067476484E12	3.505322334567237E12
2.2632507534647056E12	3.524301186779314E12
2.2570415811756846E12	3.543198036721117E12
2.250780401196321E12	3.56201317825791E12
2.244467816480487E12	3.580746903921547E12
2.2381044217721094E12	3.5993995048952437E12
2.2316908037541997E12	3.6179712709979604E12
2.225227541193104E12	3.636462490667871E12
2.2187152050782544E12	3.654873450947781E12
2.212154358759823E12	3.6732044374734907E12
2.2055455580852295E12	3.6914557344631724E12
2.1988893515327593E12	3.709627624705443E12
2.192186280340859E12	3.727720389546793E12
2.1854368786333591E12	3.745734308880097E12
2.178641673542408E12	3.763669661135895E12
2.1718011853304756E12	3.7815267232748794E12
2.1649159275101028E12	3.7993057707791445E12
2.1579864069596345E12	3.8170070776425835E12
2.1510131240355332E12	3.8346309163624927E12
2.1439965726827134E12	3.852177557932901E12
2.1369372405432246E12	3.869647271838523E12
2.1298356090626108E12	3.887040326048428E12
2.122692153593475E12	3.90435698700977E12
2.1155073434966736E12	3.9215975196424233E12
2.108281642240641E12	3.9387621873338633E12
2.1010155074980283E12	3.9558512519336255E12
2.0937093912393596E12	3.9728649737486646E12
2.0863637398251577E12	3.989803611540417E12
2.0789789940970862E12	4.0066674225223696E12
2.0715555894668528E12	4.023456662356492E12
2.0640939560018948E12	4.0401715851494175E12
2.0565945185083584E12	4.0568124434500537E12
2.0490576966128083E12	4.07337948824937E12
2.0414839048433926E12	4.089872968980936E12
2.0338735527092605E12	4.1062931335205757E12
2.0262270447768752E12	4.122640228185437E12
2.0185447807436353E12	4.138914497734722E12
2.010827155510362E12	4.155116185372792E12
2.00307455925321E12	4.1712455327536646E12
1.9952873774945085E12	4.1873027799856084E12
1.9874659911715317E12	4.2032881656355776E12
1.97961077670301E12	4.2192019267349946E12
1.9717221060545933E12	4.2350442987879062E12
1.9638003468040544E12	4.2508155157806357E12
1.9558458622055632E12	4.2665158101920513E12
1.9478590112527666E12	4.2821454130048604E12
1.939840148741245E12	4.297704553718575E12
1.9317896253307507E12	4.313193460363556E12
1.923707787606934E12	4.3286123595157856E12
1.915594978142478E12	4.3439614763125815E12
1.9074515355582178E12	4.359241034469772E12
1.8992777945849377E12	4.3744512562998613E12
1.8910740861258005E12	4.389592362729896E12
1.8828407373182937E12	4.404664573317995E12
1.8745780715953464E12	4.419668106269645E12
1.8662864087465515E12	4.434603178454741E12
1.8579660649803413E12	4.449470005424311E12
1.8496173529865503E12	4.46426880142535E12
1.8412405819982441E12	4.478999779412914E12
1.8328360578520295E12	4.493663151060036E12
1.8244040830469932E12	4.508259126766505E12
1.8159449568029739E12	4.522787915667093E12
1.8074589751184338E12	4.537249725637641E12
1.7989464308266206E12	4.551644763298173E12
1.7904076136489875E12	4.565973234013639E12
1.7818428102461511E12	4.580235341893861E12
1.7732523042669502E12	4.59443128979308E12
1.7646363763959824E12	4.608561279308813E12
1.7559953043989768E12	4.622625510779668E12
1.7473293631658289E12	4.63662418328239E12
1.7386388247513992E12	4.650557494629343E12
1.7299239584146082E12	4.664425641366447E12
1.7211850306559583E12	4.678228818771409E12
1.7124223052532205E12	4.691967220852585E12
1.7036360432958276E12	4.705641040349383E12
1.6948265032187026E12	4.719250468733796E12
1.6859939408354353E12	4.732795696212487E12
1.6771386093702974E12	4.746276911729229E12
1.6682607594891882E12	4.759694302968409E12
1.6593606393300227E12	4.773048056360167E12
1.650438494533248E12	4.786338357087104E12
