Neptune X	Neptune Y
4.290929781715922E12	-1.2845394079881667E12
4.296369950807015E12	-1.2656656374979116E12
4.3017282239177334E12	-1.246767767422904E12
4.3070038795973477E12	-1.2278460518178687E12
4.3121969738336895E12	-1.2089006711195532E12
4.317307283003438E12	-1.1899321362328508E12
4.32233470921663E12	-1.1709410695321672E12
4.3272797561942925E12	-1.1519276795743325E12
4.3321420598477915E12	-1.1328913765028926E12
4.3369204500676953E12	-1.1138339812541501E12
4.3416165857617544E12	-1.0947554027209155E12
4.346228998603835E12	-1.075655024977768E12
4.3507579524661562E12	-1.0565351733798197E12
4.3552040533294307E12	-1.037393742035325E12
4.3595658142909854E12	-1.0182337543408962E12
4.363844868005414E12	-9.990528893750874E11
4.3680393532050635E12	-9.798542643051746E11
4.3721507241769937E12	-9.606353921502766E11
4.376177912125762E12	-9.413994987997186E11
4.3801209121942734E12	-9.221442864165236E11
4.3839806189031963E12	-9.028721888117975E11
4.3877548580221313E12	-8.83582633224441E11
4.391446376493147E12	-8.642755968440507E11
4.3950523991404375E12	-8.449531967925336E11
4.398574574752624E12	-8.256130550207117E11
4.4020128014055625E12	-8.062580033703606E11
4.405365062883805E12	-7.868876283430465E11
4.40863416104978E12	-7.675011272870514E11
4.411818242527366E12	-7.481011263923323E11
4.414916575057107E12	-7.286861239944336E11
4.417931544997638E12	-7.092566857879545E11
4.420861018736694E12	-6.898148255755109E11
4.423704769601281E12	-6.703588411340619E11
4.426464900910557E12	-6.508896745128358E11
4.429139430416154E12	-6.314091351280613E11
4.431727854972461E12	-6.119158201368971E11
4.434232520641711E12	-5.924101541594435E11
4.436651729430688E12	-5.728941223651821E11
4.438984313463584E12	-5.533671109490895E11
4.441232827179994E12	-5.3382827239854333E11
4.443396208733522E12	-5.142799631651349E11
4.445472953009015E12	-4.947225754690081E11
4.447464442950123E12	-4.7515422552999225E11
4.449371376129972E12	-4.555769439977095E11
4.451192273005144E12	-4.35991847861271E11
4.452926346214098E12	-4.163981559452588E11
4.454576033674205E12	-3.9679536368095526E11
4.456140321385485E12	-3.7718561030919226E11
4.457618009243203E12	-3.575694782186395E11
4.45900934958654E12	-3.3794547217281287E11
4.4603161646273125E12	-3.183145101874529E11
4.461537168866325E12	-2.986781584808888E11
4.462671280042093E12	-2.790368132876104E11
4.463719321916519E12	-2.593888481162007E11
4.464682588481179E12	-2.397356923247436E11
4.465559876744252E12	-2.2007863257946902E11
4.466350208207123E12	-2.0041806263275333E11
4.467054289171263E12	-1.807524481885917E11
4.467673520848526E12	-1.6108305974678052E11
4.468206770877652E12	-1.414112157150003E11
4.468653197042361E12	-1.2173740832905408E11
4.469012817813825E12	-1.020604788669756E11
4.469287601756547E12	-8.238086388951256E10
4.469476544885219E12	-6.270019863738379E10
4.469578927742949E12	-4.3019054518765656E10
4.469594034233609E12	-2.333711679335942E10
4.469523917952459E12	-3.653423251159297E9
4.469368312100593E12	1.603005693200101E10
4.469126438065991E12	3.571259654891826E10
4.468797553761432E12	5.539380043295791E10
4.468382089664372E12	7.507493755371432E10
4.467881662100089E12	9.475515636422235E10
4.467295329021515E12	1.1443306278840784E11
4.466622529989941E12	1.3410811740326501E11
4.465862519323311E12	1.537802277004885E11
4.465016743679693E12	1.7345071527865042E11
4.464085768486664E12	1.9311790104903693E11
4.463068772450221E12	2.127808519289301E11
4.461965264893362E12	2.3243906836647925E11
4.460774594822507E12	2.5209266198039963E11
4.459498512875923E12	2.717427176631744E11
4.458137162553981E12	2.913874481722972E11
4.456689839628876E12	3.110260648063859E11
4.455156110642763E12	3.306580803891083E11
