Saturn X	Saturn Y
8.479689736551025E9	-1.5045064025913125E12
4.13387157436239E10	-1.5040425183619336E12
7.417543813248318E10	-1.502819789917334E12
1.0697458136703355E11	-1.5008386333395742E12
1.3971954038406696E11	-1.4980998371158008E12
1.723934737049521E11	-1.4946050744402046E12
2.049788805467399E11	-1.490355771428488E12
2.3745950949948154E11	-1.4853524125450996E12
2.69821201393653E11	-1.4795981375713665E12
3.0204511826896063E11	-1.4730975380173452E12
3.3411392603337616E11	-1.4658497734341409E12
3.6601544816175653E11	-1.457860432222189E12
3.977279039115043E11	-1.4491332222257615E12
4.2923997327268835E11	-1.4396691917699207E12
4.605317404419699E11	-1.4294768476200344E12
4.9158957849892163E11	-1.4185552602243823E12
5.223956404852653E11	-1.4069149452043892E12
5.529355696619598E11	-1.394554968004775E12
5.831913668277773E11	-1.3814866183374597E12
6.131503101369421E11	-1.367709958630311E12
6.427922171004827E11	-1.3532357914774666E12
6.72107393591491E11	-1.3380670563810781E12
7.01073388852057E11	-1.3222116079577876E12
7.296818123147274E11	-1.3056778917638137E12
7.579118622047574E11	-1.2884690509084446E12
7.85750869446809E11	-1.2705986679664863E12
8.131854119657114E11	-1.2520687351717625E12
8.401953852866995E11	-1.2328913082547349E12
8.66772840676261E11	-1.2130752106459792E12
8.928980701449487E11	-1.1926253224250437E12
9.185572327982577E11	-1.1715568525649736E12
9.437403170796661E11	-1.1498752352159707E12
9.684267171064819E11	-1.1275902815674395E12
9.92606495105732E11	-1.1047167992590076E12
1.016267141207133E12	-1.0812600169062826E12
1.0393893375694733E12	-1.0572328946612273E12
1.0619646589072542E12	-1.0326498602726448E12
1.083979804558613E12	-1.007517163475571E12
1.1054165708446975E12	-9.818492100840238E11
1.1262669581847366E12	-9.556611052673193E11
1.146518533408526E12	-9.289602985371215E11
1.1661535952742263E12	-9.017614518421357E11
1.1851638676429612E12	-8.740812517409563E11
1.2035390733586528E12	-8.459286385919658E11
1.2212619672360225E12	-8.173174940376732E11
1.2383230264576692E12	-7.882663093396084E11
1.254714746411737E12	-7.587864913175928E11
1.2704214377956902E12	-7.288904054461471E11
1.2854313083317812E12	-6.98597425313794E11
1.2997387767583828E12	-6.679227667942036E11
1.3133318735865718E12	-6.368777940111526E11
1.3261966469106455E12	-6.054806945541963E11
1.33832684491938E12	-5.737507302463002E11
1.3497156405462114E12	-5.417008878975219E11
1.3603495890215356E12	-5.093463548687674E11
1.3702192261882302E12	-4.767081204995373E11
1.3793207099736157E12	-4.4380384372392755E11
