Sun X	Sun Y
2.682236969520805E8	9.183504861751658E8
2.3074526820237434E8	9.486294340876243E8
1.9156068773929852E8	9.770570833624247E8
1.505816498784403E8	1.0037548656710135E9
1.0766155589133473E8	1.0284555520612717E9
6.288920447610624E7	1.0507813876794089E9
1.6665876334668465E7	1.0703510057760283E9
-3.0407096652034275E7	1.0872721817748332E9
-7.819116272235763E7	1.1019705246683664E9
-1.2689277276779051E8	1.1146430612583144E9
-1.7681612787844425E8	1.1251606861238673E9
-2.2802361982486814E8	1.1330031293072827E9
-2.8005852629807645E8	1.1377841323987942E9
-3.324465401966859E8	1.1395821011552985E9
-3.849926255630166E8	1.1385687286588619E9
-4.3765703957319725E8	1.1348456525551252E9
-4.9044837519664806E8	1.1283442343776832E9
-5.431562909191941E8	1.1188410218940063E9
-5.953773750574114E8	1.1063747453956964E9
-6.469295284623095E8	1.0912513114463992E9
-6.979262335964512E8	1.0736049398009883E9
-7.484748363735696E8	1.0533067907334801E9
-7.984648632065259E8	1.0300651149383985E9
-8.474966416836137E8	1.0036032362164754E9
-8.949475797049954E8	9.740034119713881E8
-9.404047144534409E8	9.417409320882423E8
-9.839346820299728E8	9.073095023200984E8
-1.0257744398578525E9	8.708346743041419E8
-1.0660103160141591E9	8.321607738888965E8
-1.1044521104901676E9	7.911273810491515E8
-1.1407535785473886E9	7.477014587037657E8
-1.1745648716582944E9	7.021167036367804E8
-1.2057541975367846E9	6.547116438494558E8
-1.2343965482345095E9	6.056891168108126E8
-1.260434841541087E9	5.55010571619316E8
-1.2835879233004827E9	5.027383110593574E8
-1.3035566792607338E9	4.4919892233797914E8
-1.3203244375151474E9	3.948494466738656E8
-1.334069717403645E9	3.3999768016580975E8
-1.3450270617240148E9	2.8471547262226266E8
-1.3532380628695357E9	2.2888950751610136E8
-1.3585133905250704E9	1.7242400124105993E8
-1.3604533704479995E9	1.1545756858410603E8
-1.358775573171819E9	5.846818885249496E7
-1.3535179297430055E9	2066788.6016741884
-1.3450763286405215E9	-5.332318283940344E7
-1.333832793237444E9	-1.0765938768304315E8
-1.3199331860685189E9	-1.6105569869331667E8
-1.3032748667733688E9	-2.1353832335838634E8
-1.2837482659670265E9	-2.648947575447976E8
-1.261370784106497E9	-3.1483941733227825E8
-1.2363085081396554E9	-3.630901356432329E8
-1.208788028943781E9	-4.0951687285004723E8
-1.1789404451295033E9	-4.540614206034708E8
-1.146815662656254E9	-4.9665767959502494E8
-1.1124125631292965E9	-5.370939153460331E8
-1.0758931825346074E9	-5.750519875787895E8
-1.0376028167094165E9	-6.102886491602347E8
-9.979992266383512E8	-6.427720781320732E8
-9.573762340410866E8	-6.727505568800507E8
-9.157285719214906E8	-7.004530647566999E8
