Titan X	Titan Y
9.061655955833992E9	-1.503131718253107E12
3.983533058534221E10	-1.5051319867271794E12
7.45744253899344E10	-1.5047602158492395E12
1.0761682859435806E11	-1.5029071484555928E12
1.389802415141189E11	-1.500247102605096E12
1.6976081833483325E11	-1.4950535891044333E12
2.0393442326982162E11	-1.4879811009522961E12
2.4031273935428082E11	-1.4849970018042964E12
2.690122137148753E11	-1.482190496047704E12
3.000511650710964E11	-1.4708366437908914E12
3.3726777406982684E11	-1.466490443367014E12
3.62911081171033E11	-1.4588790792276353E12
4.0000825966064197E11	-1.4469972475267312E12
4.276374012081997E11	-1.4423965665305168E12
4.614406523842646E11	-1.4264493463371733E12
4.907793220130461E11	-1.4217088210207144E12
5.2314585010047705E11	-1.4037130077186064E12
5.516233897460553E11	-1.3976917025834702E12
5.850399548982277E11	-1.378576158979563E12
6.103210165364067E11	-1.370060299490365E12
6.463189612388914E11	-1.351824500473238E12
6.680279037388918E11	-1.3381219464388591E12
7.047905088051516E11	-1.3238190317254795E12
7.27054078224718E11	-1.3026725465364138E12
7.582011099265142E11	-1.2922353725152947E12
7.877953757950858E11	-1.2673792581376287E12
8.091283959827563E11	-1.253352714354325E12
8.442779733595566E11	-1.2343269135293645E12
8.64553331581696E11	-1.2095573832400513E12
8.915182297067367E11	-1.1963865756109048E12
9.225544449226481E11	-1.1699567388323308E12
9.39483143735291E11	-1.1481155657432676E12
9.695034189848564E11	-1.131631773722792E12
9.954049672118605E11	-1.1015674551690146E12
1.011514110493015E12	-1.0808301965540616E12
1.0416094816835692E12	-1.0610458438943889E12
1.064186618558416E12	-1.0290042661887786E12
1.0790878478990076E12	-1.0073901815076696E12
1.1076501577887634E12	-9.857831355974711E11
1.1289289763709475E12	-9.521447240298873E11
1.1415578782383218E12	-9.281010435238539E11
1.1673072159071348E12	-9.061366418798867E11
1.1890587773676987E12	-8.714997266519596E11
1.199103270307476E12	-8.434655530590342E11
1.2201557236071638E12	-8.217417056997947E11
1.2433426760200745E12	-7.878617452690332E11
1.2523322731784592E12	-7.545703338096946E11
1.2664664482126726E12	-7.318434299676841E11
1.2897683138093052E12	-7.013281262806362E11
1.301206555453938E12	-6.634946740290397E11
