Uranus X	Uranus Y
2.6509112841384243E12	1.356633628322876E12
2.639475635455745E12	1.37727085352254E12
2.627867758815107E12	1.3978182363457205E12
2.6160882919885513E12	1.4182743738780627E12
2.604137883776112E12	1.43863786657941E12
2.592017194004742E12	1.458907318347874E12
2.579726893528852E12	1.4790813365885684E12
2.5672676642273574E12	1.4991585322800493E12
2.5546401990015376E12	1.5191375200486804E12
2.5418452017852617E12	1.5390169182407893E12
2.528883387540693E12	1.5587953489815066E12
2.5157554822462607E12	1.578471438244392E12
2.5024622228978267E12	1.5980438159254695E12
2.489004357505708E12	1.6175111159097434E12
2.475382645089229E12	1.6368719761403364E12
2.4615978556713345E12	1.6561250386833716E12
2.447650770261785E12	1.6752689497933328E12
2.4335421808503594E12	1.6943023599904978E12
2.4192728904068794E12	1.7132239241289233E12
2.404843712864394E12	1.7320323014558132E12
2.390255473100986E12	1.750726155681976E12
2.3755090069285723E12	1.7693041550520996E12
2.3606051610764287E12	1.787764972412845E12
2.3455447931781665E12	1.8061072852834045E12
2.330328771752972E12	1.8243297759178486E12
2.3149579761755166E12	1.842431131371602E12
2.299433296656424E12	1.8604100435810635E12
2.2837556342280967E12	1.878265209433961E12
2.2679259007153447E12	1.8959953308335005E12
2.2519450187039946E12	1.913599114771947E12
2.235813921512274E12	1.931075273406178E12
2.219533553158876E12	1.9484225241361016E12
2.203104868336087E12	1.9656395896882627E12
2.1865288323785784E12	1.982725198192541E12
2.169806421218934E12	1.9996780832639011E12
2.1529386213520103E12	2.0164969841024329E12
2.1359264298078896E12	2.0331806455926624E12
2.1187708541152883E12	2.0497278183994602E12
2.101472912262244E12	2.0661372590764324E12
2.0840336326631785E12	2.0824077301835164E12
2.066454054125497E12	2.098538000411678E12
2.048735225825799E12	2.114526844721898E12
2.0308782072934077E12	2.1303730444848032E12
2.0128840683885215E12	2.146075387623328E12
1.9947538892879822E12	2.1616326687756758E12
1.9764887604938015E12	2.1770436894693416E12
1.9580897828478123E12	2.1923072582871738E12
1.939558067548448E12	2.2074221910377876E12
1.9208947361820522E12	2.2223873109319697E12
1.902100920765385E12	2.2372014487552163E12
1.8831777637980925E12	2.25186344303718E12
1.8641264183298662E12	2.266372140212797E12
1.844948048028627E12	2.2807263947583047E12
1.8256438272394707E12	2.2949250693140483E12
1.8062149410515713E12	2.308967034803409E12
1.7866625853682014E12	2.322851170526397E12
1.7669879669586887E12	2.3365763642223423E12
1.747192303491085E12	2.3501415121196123E12
1.7272768235553052E12	2.3635455189749985E12
1.7072427666677693E12	2.3767872980961978E12
1.6870913832581045E12	2.3898657713596807E12
1.6668239346431172E12	2.40277986922069E12
1.6464416929759656E12	2.415528530711838E12
1.625945941172623E12	2.428110703450735E12
1.6053379728360742E12	2.4405253436663105E12
1.5846190921782532E12	2.4527714162238794E12
1.5637906139229812E12	2.4648478946480396E12
1.5428538632005696E12	2.4767537611661675E12
1.5218101754487646E12	2.488488006768753E12
1.5006608963143386E12	2.500049631274852E12
1.4794073815543745E12	2.511437643409175E12
1.4580509969450388E12	2.522651060889026E12
1.436593118189569E12	2.5336889105100405E12
1.4150351308230435E12	2.544550228245104E12
1.3933784301314712E12	2.555234059362285E12
1.3716244210831582E12	2.5657394585391226E12
1.349774518253553E12	2.576065489967366E12
1.3278301457463442E12	2.586211227470326E12
1.3057927371283823E12	2.5961757546343555E12
1.2836637353714E12	2.6059581649328354E12
1.261444592789405E12	2.615557561847966E12
1.239136770979812E12	2.624973058997396E12
1.2167417407657622E12	2.6342037802566855E12
1.1942609821334336E12	2.643248859882345E12
1.171695984173465E12	2.6521074426463296E12
1.1490482450326848E12	2.6607786839687715E12
1.1263192718601118E12	2.6692617500338364E12
1.1035105807406973E12	2.677555817908735E12
1.080623696634808E12	2.685660075678141E12
1.0576601533262449E12	2.6935737225756973E12
1.0346214933654318E12	2.7012959691027017E12
1.0115092680042882E12	2.708826037147625E12
9.883250371325897E11	2.7161631601121426E12
9.650703692138932E11	2.723306583033656E12
9.41746841217097E11	2.7302555627100425E12
9.18356038552461E11	2.7370093678291978E12
8.948995550075875E11	2.743567279088575E12
8.713789926733237E11	2.749928589308908E12
8.477959618643981E11	2.756092603557612E12
8.241520810467559E11	2.7620586392821177E12
8.004489767691959E11	2.7678260264332544E12
7.766882835848007E11	2.7733941075772246E12
7.528716439645879E11	2.7787622380152007E12
7.290007082142383E11	2.7839297859124224E12
7.050771343940542E11	2.788896132425298E12
6.811025882360657E11	2.7936606718222344E12
6.57078743056598E11	2.79822281160507E12
6.330072796686349E11	2.8025819726318833E12
6.088898862902413E11	2.8067375892362207E12
5.847282584492577E11	2.8106891093534697E12
5.605240988935338E11	2.814435994652895E12
5.3627911750333997E11	2.8179777206598784E12
5.119950311952376E11	2.821313776868832E12
4.876735638179452E11	2.8244436668652993E12
4.633164460543771E11	2.827366908461713E12
4.389254153322463E11	2.830083033825174E12
