Callisto X	Callisto Y
-6.362709899870762E11	-5.0234189965073395E11
-6.063460390108911E11	-5.398901899800614E11
-5.748669383898492E11	-5.681896066084575E11
-5.413480309695925E11	-6.021687184400756E11
-5.0604080613760004E11	-6.266713720595001E11
-4.693285100168475E11	-6.566431481653578E11
-4.306172443381378E11	-6.769538545030656E11
-3.91160811660143E11	-7.025183197051472E11
-3.495190994746866E11	-7.182825824246932E11
-3.0781109483819977E11	-7.390840940171143E11
-2.637573380804406E11	-7.499943160116495E11
-2.2033345171363962E11	-7.657257706781351E11
-1.744267485302682E11	-7.715260472998486E11
-1.2986247828027724E11	-7.819359556821051E11
-8.270253023898973E10	-7.82428751535629E11
-3.7606605805491035E10	-7.873283567195458E11
1.017442072617288E10	-7.823813254309802E11
5.516277341306496E10	-7.816490765287549E11
1.0290575411358296E11	-7.712003476115524E11
1.4712435091471326E11	-7.64789329005869E11
1.9414859517796475E11	-7.488540237327544E11
2.3692194553870126E11	-7.367987379766893E11
2.825364805845522E11	-7.154749427942876E11
3.231833606287368E11	-6.97894323591168E11
3.6669682429394904E11	-6.713667964030475E11
4.0454177705393317E11	-6.484692798026932E11
4.452729323340313E11	-6.170129249723575E11
4.7966074753995215E11	-5.891002716606792E11
5.1695355277122485E11	-5.530821026501732E11
5.472607902160658E11	-5.205470960601177E11
5.804983290005486E11	-4.8042485764938043E11
6.061483306990283E11	-4.4375094185243665E11
6.347663755416888E11	-4.000695756917959E11
6.552464497353715E11	-3.598272088534879E11
6.78750679386358E11	-3.132136035962183E11
6.936238440642847E11	-2.7004942787004657E11
7.116026923931897E11	-2.2120189244454037E11
7.205227671515742E11	-1.7583079475013147E11
7.326602486403716E11	-1.2550704057394246E11
7.353848594008153E11	-7.869747065412428E10
7.4147301771025E11	-2.7700043388097084E10
7.378709419582891E11	1.9743885505879604E10
7.378160479528768E11	7.058623921171239E10
7.278743505014634E11	1.178407324358215E11
7.217019587087338E11	1.676916397604574E11
7.055294670581415E11	2.139340979890277E11
6.933858186860073E11	2.619695418336913E11
6.712101282466576E11	3.063997475008577E11
6.533576661540464E11	3.518282413039959E11
6.255200529107809E11	3.936855855715058E11
6.02330562148541E11	4.357668490259579E11
5.692781236064247E11	4.743489699223634E11
5.412225579346207E11	5.124107625337843E11
5.0349452291246783E11	5.4709077243147076E11
4.7112868470900696E11	5.805427455133877E11
4.293416151629822E11	6.107792053673333E11
3.932908796166042E11	6.391242756766549E11
3.481236977460102E11	6.644711218398333E11
3.090664335130484E11	6.873126622136154E11
2.6124187710015823E11	7.074272760316965E11
2.1989171005425183E11	7.244729097478214E11
1.7015913178759427E11	7.391143239301313E11
1.2724867097820264E11	7.501771796728429E11
7.636886841186404E10	7.592082687910581E11
3.2633625293763733E10	7.642042446719956E11
-1.86375744618397E10	7.67588784784354E11
-6.2473502601549805E10	7.665324168468451E11
-1.1339840903463997E11	7.64325952232492E11
-1.566342189467668E11	7.573238230373861E11
-2.0650399696874905E11	7.496702562896678E11
-2.4847339050475696E11	7.369131620939847E11
-2.9661866040598413E11	7.240357321871205E11
-3.366980354685424E11	7.057901383860853E11
-3.824962183004512E11	6.879802010957056E11
-4.201105903328125E11	6.645795423286265E11
-4.629909153958743E11	6.421904296721132E11
-4.976199911890487E11	6.140257077513849E11
-5.370685058547127E11	5.874636315954353E11
-5.682495394463256E11	5.549746368486263E11
-6.038120989504725E11	5.246875723192786E11
-6.311410246767911E11	4.88355265548019E11
-6.624237770263539E11	4.548275375399623E11
-6.855581096406257E11	4.151654602001655E11
-7.122290223398059E11	3.789105422680009E11
-7.308873851050458E11	3.364577135799173E11
-7.526770345103011E11	2.9800850846485547E11
-7.666374496782759E11	2.5332400848764014E11
-7.83336627962914E11	2.1322967785339767E11
-7.924385823545367E11	1.6688524394536252E11
-8.038991046568901E11	1.2570519080726892E11
-8.080408085497885E11	7.828044828823798E10
-8.141748031145773E11	3.657689778261317E10
-8.133114769689186E11	-1.1344689610058018E10
-8.140880691500994E11	-5.3008089630115E10
-8.08233261264135E11	-1.0084530649252676E11
-8.036802696723367E11	-1.4190974640162265E11
-7.929024033824937E11	-1.8908707569828452E11
-7.831040114836288E11	-2.29003011326693E11
-7.675258320352491E11	-2.749541035413998E11
-7.526203711317992E11	-3.131833765956486E11
-7.324194066478799E11	-3.573562916311189E11
-7.126007447944978E11	-3.9337764810334283E11
-6.880061955239008E11	-4.352384672243177E11
-6.635217158896178E11	-4.6855155125289465E11
-6.348141100586528E11	-5.0758758811818713E11
-6.059622753576326E11	-5.3771578119734985E11
-5.73474122913522E11	-5.734412068755721E11
-5.4060585028125085E11	-5.99937179506586E11
-5.047176499370497E11	-6.31897418564853E11
-4.6823421671721936E11	-6.543479260074888E11
-4.293742787473499E11	-6.821234154673813E11
-3.8972363711403876E11	-7.001531181272369E11
-3.4836801822791846E11	-7.233657580540392E11
-3.060460742011889E11	-7.366436244726427E11
-2.6271232717370578E11	-7.549625837930302E11
-2.182585113837684E11	-7.632076281750981E11
-1.7350588282725037E11	-7.763538116224725E11
-1.2749836240113498E11	-7.793401008275087E11
-8.192403001859221E10	-7.870935359806213E11
-3.497882188004605E10	-7.846573905647798E11
1.0790787309083696E10	-7.868638763373475E11
5.802847220181575E10	-7.789099149352397E11
1.0333912295843526E11	-7.754857801927162E11
1.502008724923742E11	-7.619925143663894E11
1.9437977523760287E11	-7.529319546008302E11
2.401803676564997E11	-7.339579679376011E11
2.825476144827444E11	-7.193385686042673E11
3.2659723372562933E11	-6.950275598237029E11
3.664718056646676E11	-6.75013362189503E11
4.080863073554209E11	-6.455976394581868E11
4.447999701190672E11	-6.204438740422756E11
4.833117996472496E11	-5.862465316342479E11
5.162245557905212E11	-5.563010219949755E11
5.509991866727472E11	-5.1773697618901105E11
5.795088851480237E11	-4.8343746141841E11
6.099581298518403E11	-4.410107507071926E11
6.335180211140577E11	-4.028840824981637E11
6.591135450110067E11	-3.571827479098451E11
6.77248305458564E11	-3.1583764760564166E11
6.975393256566083E11	-2.675271682137381E11
7.098554577517115E11	-2.2364322621166284E11
7.244799928331017E11	-1.734543698881324E11
7.306819214329349E11	-1.277734510549339E11
7.393788836895627E11	-7.648884118332254E10
7.39279102409307E11	-2.979694242243076E10
7.418996368549443E11	2.1764454015176846E10
7.35424516568741E11	6.865477967340322E10
7.319359301913254E11	1.1965741408089807E11
7.191330499633369E11	1.6592241316778882E11
7.096224123475441E11	2.1553310569269998E11
6.906595222992406E11	2.6036201455674966E11
6.75333135811444E11	3.077692074396449E11
6.504939778851014E11	3.503830401702108E11
6.296704987189196E11	3.948178968969272E11
5.993500450579369E11	4.3448450560448474E11
5.734524889311986E11	4.752375306800797E11
5.381442424516445E11	5.1129363806214856E11
5.076882289472717E11	5.4772968964043835E11
4.679705143821195E11	5.795926744954957E11
4.33548405503858E11	6.111656991971526E11
3.9007076487479126E11	6.383417759345605E11
3.523365629921552E11	6.646018120369586E11
3.0580111003181757E11	6.866989724144895E11
2.654530858668268E11	7.072984864902255E11
