Enceladus X	Enceladus Y
8.340000822561704E9	-1.5042999752854065E12
4.152324993712026E10	-1.5042054619550789E12
7.401860269196782E10	-1.5026708780882078E12
1.070850686074094E11	-1.5010187464056748E12
1.395792409571297E11	-1.4978956849271147E12
1.7258498202290463E11	-1.494764439482191E12
2.0480063293304562E11	-1.4902146856829846E12
2.3758726639670444E11	-1.4855137965009524E12
2.696795702464877E11	-1.4793967639810964E12
3.022405241954991E11	-1.4732546949085437E12
3.339177046048491E11	-1.4657156428344111E12
3.661615312462248E11	-1.4580010321044639E12
3.9758303281256757E11	-1.44893719557729E12
4.294355750790347E11	-1.4398249803621167E12
4.6032052414977844E11	-1.4293451820050706E12
4.9175387903490247E11	-1.4186751894074211E12
5.222454701746861E11	-1.4067260397188406E12
5.531281284287827E11	-1.394709476847324E12
5.829713551016423E11	-1.3813504337912178E12
6.133236839993401E11	-1.3678176740647905E12
6.426456601134243E11	-1.3530479437539778E12
6.722839546163135E11	-1.3382270354896382E12
7.008566149596477E11	-1.3220600402556335E12
7.29853574239524E11	-1.3057840739029263E12
7.577735895531288E11	-1.2882776996226975E12
7.859070782239586E11	-1.2707664801407715E12
8.129740341485747E11	-1.2518964116236982E12
8.403695519100748E11	-1.2329982932989116E12
8.666326464023048E11	-1.2128830438041821E12
8.930413920443777E11	-1.1927927521986147E12
9.183452991591945E11	-1.1713751890955776E12
9.439258521529929E11	-1.149967893163019E12
9.682678144070524E11	-1.1274137159153687E12
9.927488743297811E11	-1.1048711881036633E12
1.0160486614019915E12	-1.0810725907590548E12
1.0395862688477853E12	-1.0573179009726484E12
1.0617871077438743E12	-1.0324831704707014E12
1.0841198798381732E12	-1.0076584081864653E12
1.105195471301379E12	-9.816589833643423E11
1.1264722645699048E12	-9.55734686496433E11
1.146319095634726E12	-9.288080104226886E11
1.166293447024461E12	-9.018888251828754E11
1.184942348331944E12	-8.738841042847747E11
1.2037468859248433E12	-8.459969164715917E11
1.221041822732414E12	-8.171797019897839E11
