Eris X	Eris Y
1.2934665100661107E13	5.519782134636795E12
1.2932250214970945E13	5.525360196592863E12
1.2929827843815387E13	5.530935060314328E12
1.292739798666958E13	5.536506721752372E12
1.2924960643007871E13	5.542075176855632E12
1.2922515812303945E13	5.547640421570007E12
1.2920063494030633E13	5.553202451838655E12
1.2917603687660031E13	5.558761263601993E12
1.2915136392663252E13	5.564316852797616E12
1.2912661608510572E13	5.569869215360191E12
1.291017933467127E13	5.575418347221519E12
1.2907689570613588E13	5.580964244310408E12
1.2905192315804803E13	5.586506902552683E12
1.2902687569710926E13	5.592046317871114E12
1.290017533179677E13	5.597582486185408E12
1.2897655601525861E13	5.603115403412201E12
1.2895128378360385E13	5.608645065464987E12
1.2892593661761096E13	5.614171468254142E12
1.2890051451187227E13	5.619694607686949E12
1.288750174609658E13	5.625214479667494E12
1.2884944545945172E13	5.630731080096765E12
1.2882379850187375E13	5.636244404872629E12
1.2879807658275775E13	5.641754449889887E12
1.2877227969661209E13	5.647261211040209E12
1.287464078379259E13	5.652764684212275E12
1.2872046100116957E13	5.658264865291769E12
1.2869443918079379E13	5.663761750161394E12
1.2866834237122992E13	5.669255334701008E12
1.286421705668897E13	5.67474561478762E12
1.2861592376216488E13	5.680232586295447E12
1.2858960195142746E13	5.685716245096041E12
1.2856320512903037E13	5.691196587058308E12
1.2853673328930688E13	5.69667360804862E12
1.2851018642657184E13	5.702147303930843E12
1.2848356453512184E13	5.707617670566439E12
1.2845686760923672E13	5.713084703814536E12
1.2843009564317867E13	5.718548399531974E12
1.2840324863119477E13	5.724008753573322E12
1.2837632656751807E13	5.729465761791048E12
1.2834932944636717E13	5.734919420035416E12
1.2832225726194758E13	5.740369724154605E12
1.2829511000845477E13	5.745816669994691E12
1.2826788768007328E13	5.751260253399651E12
1.2824059027097773E13	5.756700470211385E12
1.2821321777533541E13	5.762137316269668E12
1.2818577018730615E13	5.767570787412076E12
1.2815824750104287E13	5.773000879474021E12
1.2813064971069383E13	5.778427588288645E12
1.2810297681040137E13	5.783850909686772E12
1.2807522879430422E13	5.789270839496798E12
1.2804740565653596E13	5.794687373544635E12
1.2801950739122668E13	5.800100507653616E12
1.279915339925027E13	5.805510237644403E12
1.279634854544855E13	5.810916559334899E12
1.2793536177129264E13	5.816319468540141E12
1.2790716293703615E13	5.821718961072214E12
1.2787888894582395E13	5.827115032740187E12
1.2785053979175662E13	5.832507679349958E12
1.2782211546892805E13	5.837896896704315E12
1.277936159714244E13	5.843282680602713E12
1.2776504129332254E13	5.848665026841361E12
1.277363914286904E13	5.854043931213104E12
1.2770766637158562E13	5.859419389507392E12
1.2767886611605348E13	5.864791397510282E12
1.2764999065612717E13	5.870159951004384E12
1.2762103998582693E13	5.875525045768887E12
1.2759201409915887E13	5.880886677579619E12
1.2756291299011406E13	5.886244842208948E12
1.2753373665266826E13	5.891599535425877E12
1.2750448508078096E13	5.896950752996041E12
1.274751582683958E13	5.902298490681792E12
1.2744575620943898E13	5.907642744242211E12
1.2741627889782012E13	5.912983509433132E12
1.2738672632743207E13	5.918320782007183E12
1.2735709849214928E13	5.923654557713939E12
1.2732739538582906E13	5.928984832299807E12
1.2729761700231316E13	5.934311601508202E12
1.2726776333542553E13	5.9396348610795625E12
1.2723783437897297E13	5.94495460675141E12
1.2720783012674621E13	5.950270834258347E12
1.271777505725207E13	5.955583539332162E12
1.27147595710056E13	5.960892717701811E12
1.2711736553309854E13	5.966198365093505E12
1.2708706003537863E13	5.971500477230753E12
1.2705667921061414E13	5.97679904983432E12
1.2702622305250934E13	5.982094078622328E12
1.2699569155475629E13	5.987385559310203E12
1.2696508471103633E13	5.992673487610775E12
1.2693440251501887E13	5.99795785923421E12
1.2690364496036352E13	6.003238669888069E12
1.2687281204072074E13	6.008515915277258E12
1.2684190374973094E13	6.013789591104053E12
1.268109200810272E13	6.019059693068124E12
1.2677986102823418E13	6.02432621686645E12
1.267487265849702E13	6.029589158193323E12
1.2671751674484623E13	6.034848512740362E12
1.2668623150146777E13	6.040104276196424E12
1.2665487084843404E13	6.045356444247598E12
1.2662343477933893E13	6.050605012577206E12
1.2659192328777225E13	6.055849976865668E12
1.265603363673186E13	6.061091332790597E12
1.2652867401155795E13	6.066329076026589E12
1.2649693621406684E13	6.0715632022453125E12
1.2646512296841674E13	6.076793707115358E12
1.2643323426817707E13	6.082020586302232E12
1.2640127010691117E13	6.087243835468266E12
1.2636923047817906E13	6.092463450272621E12
1.2633711537553709E13	6.097679426371124E12
1.2630492479253658E13	6.102891759416337E12
1.2627265872272459E13	6.108100445057382E12
1.2624031715964357E13	6.113305478939932E12
1.2620790009683016E13	6.118506856706098E12
1.261754075278157E13	6.123704573994458E12
1.2614283944612459E13	6.128898626439945E12
1.2611019584527541E13	6.134089009673787E12
1.2607747671877904E13	6.139275719323441E12
1.2604468206013838E13	6.144458751012563E12
1.2601181186284748E13	6.149638100360964E12
1.2597886612039123E13	6.154813762984595E12
1.2594584482624379E13	6.159985734495446E12
1.2591274797386947E13	6.1651540105015205E12
1.2587957555672012E13	6.170318586606838E12
1.2584632756823492E13	6.175479458411403E12
1.2581300400183988E13	6.180636621511221E12
1.2577960485094693E13	6.185790071498268E12
1.257461301089529E13	6.19093980396042E12
1.2571257976923889E13	6.196085814481593E12
1.2567895382517035E13	6.201228098641677E12
1.2564525227009514E13	6.206366652016578E12
1.256114750973438E13	6.211501470178268E12
1.2557762230022873E13	6.216632548694788E12
1.2554369387204363E13	6.2217598831303545E12
1.2550968980606457E13	6.226883469045433E12
1.2547561009554773E13	6.23200330199668E12
1.2544145473373043E13	6.237119377537103E12
1.2540722371383178E13	6.242231691216153E12
1.253729170290517E13	6.247340238579731E12
1.2533853467257232E13	6.252445015170348E12
1.2530407663755719E13	6.257546016527078E12
1.2526954291715395E13	6.262643238185833E12
1.2523493350449283E13	6.267736675679227E12
1.2520024839268828E13	6.272826324536764E12
1.2516548757484166E13	6.277912180284877E12
1.2513065104403912E13	6.282994238446979E12
1.2509573879335492E13	6.2880724945435E12
1.2506075081585217E13	6.293146944091933E12
1.2502568710458379E13	6.298217582606845E12
1.2499054765259395E13	6.303284405599851E12
1.2495533245291791E13	6.308347408579707E12
1.2492004149858568E13	6.313406587052137E12
1.2488467478262127E13	6.318461936519949E12
1.2484923229804383E13	6.323513452482898E12
1.2481371403786834E13	6.328561130437625E12
1.2477811999510613E13	6.333604965877606E12
1.2474245016276604E13	6.338644954293049E12
1.2470670453385488E13	6.34368109117086E12
1.2467088310137594E13	6.348713371994465E12
1.246349858583307E13	6.353741792243774E12
1.2459901279771844E13	6.358766347395043E12
1.245629639125344E13	6.363787032920808E12
1.2452683919577186E13	6.368803844289751E12
1.2449063864041857E13	6.373816776966591E12
1.2445436223945787E13	6.378825826412053E12
1.2441800998586742E13	6.383830988082749E12
1.2438158187261898E13	6.388832257431132E12
1.2434507789267533E13	6.393829629905389E12
1.2430849803899166E13	6.398823100949446E12
1.2427184230451275E13	6.403812666002908E12
1.2423511068217322E13	6.408798320501022E12
1.2419830316489625E13	6.413780059874644E12
1.2416141974559182E13	6.418757879550274E12
1.2412446041715713E13	6.423731774950043E12
1.2408742517247484E13	6.428701741491748E12
1.2405031400441262E13	6.433667774588809E12
1.2401312690582322E13	6.438629869650369E12
1.2397586386954195E13	6.443588022081286E12
1.2393852488838975E13	6.44854222728221E12
1.2390110995516941E13	6.453492480649576E12
1.2386361906266736E13	6.458438777575742E12
1.2382605220365281E13	6.463381113448986E12
1.2378840937087926E13	6.468319483653555E12
1.237506905570815E13	6.473253883569727E12
1.2371289575497896E13	6.478184308573852E12
1.2367502495727457E13	6.483110754038458E12
1.2363707815665484E13	6.488033215332293E12
1.2359905534579217E13	6.492951687820326E12
1.2356095651734229E13	6.497866166863807E12
1.2352278166394766E13	6.502776647820373E12
1.2348453077823592E13	6.507683126043994E12
1.2344620385282297E13	6.512585596885126E12
1.2340780088031152E13	6.517484055690637E12
1.2336932185329203E13	6.522378497803865E12
1.233307667643447E13	6.527268918564673E12
1.2329213560603914E13	6.53215531330942E12
1.232534283709347E13	6.537037677371024E12
1.2321464505158281E13	6.541916006078909E12
1.23175785640526E13	6.546790294759083E12
1.2313685013029947E13	6.551660538734039E12
1.2309783851343244E13	6.556526733322815E12
1.2305875078244633E13	6.561388873840995E12
1.2301958692985787E13	6.566246955600643E12
1.2298034694817895E13	6.571100973910257E12
1.2294103082991637E13	6.575950924074788E12
1.2290163856757371E13	6.580796801395665E12
1.2286217015365059E13	6.585638601170597E12
1.2282262558064342E13	6.590476318693689E12
1.2278300484104568E13	6.595309949255301E12
1.2274330792734834E13	6.600139488142045E12
1.2270353483204031E13	6.604964930636689E12
1.226636855476082E13	6.609786272018181E12
1.226237600665359E13	6.614603507561515E12
1.2258375838130605E13	6.61941663253767E12
1.2254368048439926E13	6.624225642213617E12
1.225035263682928E13	6.629030531852196E12
1.2246329602546293E13	6.633831296712088E12
1.2242298944838207E13	6.638627932047713E12
1.223826066295205E13	6.643420433109192E12
1.223421475613452E13	6.64820879514225E12
1.2230161223631832E13	6.652993013388221E12
1.222610006468996E13	6.657773083083892E12
1.2222031278554242E13	6.66254899946155E12
1.2217954864469598E13	6.667320757748813E12
1.2213870821680275E13	6.672088353168621E12
