Europa X	Europa Y
-6.365980214592247E11	-5.037664363569413E11
-6.058086961400377E11	-5.3770516907731903E11
-5.747644697239673E11	-5.707214288968552E11
-5.4196184526707825E11	-6.001175281882097E11
-5.057374370729052E11	-6.279392339692083E11
-4.687157543182156E11	-6.552286209874443E11
-4.3135419094815674E11	-6.79068917707797E11
-3.909591567638233E11	-6.999518743715354E11
-3.4907727074068463E11	-7.202279867124084E11
-3.078108404039778E11	-7.377586712867267E11
-2.6441975148861057E11	-7.512394011335679E11
-2.1917854510640744E11	-7.6374510440729E11
-1.7507769569861316E11	-7.73965225643726E11
-1.2966999127674377E11	-7.795851878394329E11
-8.2574191866136E10	-7.840787299541472E11
-3.714411011644772E10	-7.861883982711854E11
9.168595381519388E9	-7.835678084138945E11
5.662589336126172E10	-7.798903703046108E11
1.0182684932494223E11	-7.734910144925896E11
1.477401999910643E11	-7.624839672478262E11
1.9395857840339594E11	-7.506778306410438E11
2.3741683305198105E11	-7.356425444514617E11
2.81402598683965E11	-7.16437633486191E11
3.248831993854243E11	-6.965129164216606E11
3.6515769792841473E11	-6.73358745145235E11
4.054638991135384E11	-6.463060247261713E11
4.448118631415379E11	-6.185865650152452E11
4.805274767084951E11	-5.881986824844437E11
5.153047628790285E11	-5.539746046852692E11
5.491915027147863E11	-5.188820253765555E11
5.792917275634126E11	-4.8241301678943835E11
6.068932784495114E11	-4.42275119032127E11
6.337233017375806E11	-4.007120740806743E11
6.572437309003584E11	-3.590087027457223E11
6.767403439098528E11	-3.146758851643278E11
6.95103255511611E11	-2.6822668721991315E11
7.107927411886555E11	-2.224279166239748E11
7.216662965217936E11	-1.7525075769545667E11
7.309151314360999E11	-1.2587742285860292E11
7.377212222067065E11	-7.780125691594785E10
7.394396732717649E11	-2.913014721785387E10
7.394313000949031E11	2.1270562605885933E10
7.368140888637374E11	6.957877580206505E10
7.290857205893242E11	1.1821709084966466E11
7.200381648523496E11	1.6763847247772687E11
7.078632442245277E11	2.1421196713844537E11
6.910083492899485E11	2.6111213639504843E11
6.73222418623141E11	3.076240974623611E11
6.519660911567028E11	3.5076429451077985E11
6.26693241987453E11	3.941412052250297E11
6.008408453145562E11	4.359495180079052E11
5.713926618368145E11	4.741017216606068E11
5.38718168743175E11	5.1221558246824274E11
5.057238603489349E11	5.4794598011349603E11
4.695958603024496E11	5.797707720096929E11
4.3056407947180316E11	6.109680271444512E11
3.91614004407187E11	6.397057409625958E11
3.5057882450328455E11	6.641640480237579E11
3.066574944756872E11	6.869888150208973E11
2.6294667806757053E11	7.080446812411417E11
2.1872139234108008E11	7.246981335558148E11
1.7198386484333905E11	7.383186968110822E11
1.2485810557950058E11	7.507873659467534E11
7.878496555813649E10	7.594118938906654E11
3.113015806425108E10	7.639583228158325E11
-1.7410865833468452E10	7.672625939733347E11
-6.3926324264319E10	7.675762530176176E11
-1.1111609686544333E11	7.633259754925022E11
-1.5906389906894308E11	7.578671100233734E11
-2.043177551667612E11	7.496719528029425E11
-2.4985023431691312E11	7.369941386265747E11
-2.954937006809016E11	7.234208418857404E11
-3.379075328117042E11	7.07024588316252E11
-3.80620708363608E11	6.865500286158928E11
-4.2237245710970667E11	6.657170173879729E11
-4.6069598871885693E11	6.41642422787242E11
-4.9935334386174603E11	6.143206003305833E11
-5.3591229475685913E11	5.869739354077468E11
-5.69144828970891E11	5.562017382121947E11
-6.025039967728573E11	5.23034678630633E11
-6.329890206400428E11	4.900691493864867E11
-6.602349611723843E11	4.537750767099679E11
-6.873039670558318E11	4.1581150213286835E11
-7.111511146532537E11	3.782709839629198E11
-7.315846728054949E11	3.379629969704803E11
-7.514243244749541E11	2.9608190567881146E11
-7.684443729898712E11	2.5512045806830984E11
-7.815299148270488E11	2.123524224228119E11
-7.933069200881692E11	1.677621421449109E11
-8.033144705527557E11	1.2422836670574448E11
-8.090175075347898E11	8.048456968744746E10
-8.123736424626912E11	3.4841182943706245E10
-8.147153583508628E11	-1.0272507242502962E10
-8.132689368432775E11	-5.3949466016673035E10
-8.084517400473223E11	-9.91610663347937E10
-8.028794443226815E11	-1.4417409856608313E11
-7.941407306277772E11	-1.8689263669969333E11
-7.815385727118174E11	-2.3057256289128262E11
-7.684455572321454E11	-2.73861012457595E11
-7.522260407174281E11	-3.143629394235799E11
-7.323570321281567E11	-3.5557252403452844E11
-7.12249717766943E11	-3.957187898623971E11
-6.88826463787261E11	-4.328336438254707E11
-6.622663420552878E11	-4.7045223741060187E11
-6.357287527222703E11	-5.0619647007970746E11
-6.056076049783104E11	-5.3886963689222784E11
-5.731507975181838E11	-5.71804962821552E11
-5.4079251340627454E11	-6.021425805735929E11
-5.049862416865128E11	-6.293418699943053E11
-4.6732164074393494E11	-6.564020825302362E11
-4.3000100020856757E11	-6.806304058193723E11
