Ganymede X	Ganymede Y
-6.359591278068282E11	-5.052944880035741E11
-6.073217520052031E11	-5.385645586331733E11
-5.756352033231962E11	-5.694493531126781E11
-5.410163724206578E11	-5.992677067650104E11
-5.049888074492119E11	-6.284554724167571E11
-4.686613216804608E11	-6.557265929728477E11
-4.314099020065208E11	-6.796811215135303E11
-3.919257779579161E11	-7.003826790028997E11
-3.498783256282903E11	-7.191005338855485E11
-3.065004486288198E11	-7.367338415643241E11
-2.6325031761234558E11	-7.525162489553451E11
-2.201012343726509E11	-7.649561436441417E11
-1.759152486715746E11	-7.735959071570889E11
-1.2994305343924532E11	-7.79310036391773E11
-8.276059827205913E10	-7.832850818928553E11
-3.5855937124985275E10	-7.856212993444633E11
9.958911215129019E9	-7.851314666673136E11
5.526862056149904E10	-7.807689180450475E11
1.0111100337997499E11	-7.727085288335562E11
1.4773558419034317E11	-7.620893797309777E11
1.941255351399017E11	-7.498509742120684E11
2.388686959824383E11	-7.356293626586544E11
2.816333178971484E11	-7.181743933547164E11
3.233046046776914E11	-6.96844849092379E11
3.6480210803963025E11	-6.723093330836621E11
4.0591298471780304E11	-6.459280281964102E11
4.4520663387153864E11	-6.183137664385815E11
4.815045074674482E11	-5.88554733154985E11
5.1518716320410974E11	-5.554349448289763E11
5.4751494369991064E11	-5.190266091564109E11
5.789747653454412E11	-4.8075079180221E11
6.084269343665857E11	-4.418747384585969E11
6.342865072126428E11	-4.019747860216377E11
6.564784848511759E11	-3.596719286931123E11
6.762676778920614E11	-3.1463103524032025E11
6.945414905707563E11	-2.6804686205467957E11
7.106801607118193E11	-2.2142367194579443E11
7.23165619497964E11	-1.7496712013142947E11
7.313915979156942E11	-1.2756934037960722E11
7.362319699510186E11	-7.846746572400851E10
7.388612387262648E11	-2.8244248263341557E10
7.394820093968004E11	2.166302628567128E10
7.370727915650631E11	7.028364215697502E10
7.305099210883049E11	1.1800927161028802E11
7.19877459780217E11	1.6588562148483023E11
7.06317608776739E11	2.1420108163601624E11
6.908306537596738E11	2.620341753016314E11
6.73300026002077E11	3.0799335105841486E11
6.52622586630536E11	3.5150482720272034E11
6.280304313713536E11	3.933013850174877E11
6.000724096757601E11	4.343640585844643E11
5.700815342140316E11	4.74667780773271E11
5.388976930635025E11	5.130354485744989E11
5.060427343670093E11	5.481831801028048E11
4.703233302749715E11	5.8007250365821E11
4.3144405397503876E11	6.098687709390135E11
3.905563183231339E11	6.384031448804525E11
3.491249384396491E11	6.650788787638108E11
3.0740574196134155E11	6.883647606580906E11
2.642018008776136E11	7.075511894459727E11
2.1860782954579855E11	7.236747459695562E11
1.7144078430223624E11	7.38063148679696E11
1.2435689252123186E11	7.506283173259696E11
7.807628696425201E10	7.599837340596876E11
3.1711647480844948E10	7.650973185423269E11
-1.5886703703863031E10	7.665976875450277E11
-6.445846009732742E10	7.659101040766759E11
-1.1258078614694638E11	7.63540543264374E11
-1.591274290185271E11	7.586583793150427E11
-2.042778905006917E11	7.50070560573285E11
-2.4914734930297156E11	7.376182544197456E11
-2.9429972837102496E11	7.224220393281102E11
-3.389720430273839E11	7.05629951957968E11
-3.81819862097115E11	6.872874570430409E11
-4.221611571684864E11	6.66413473951248E11
-4.605820371768805E11	6.421065342854768E11
-4.981869777876711E11	6.146850542671692E11
-5.351947276323825E11	5.854435983512136E11
-5.706148470321166E11	5.553192187413215E11
-6.032028295221349E11	5.240516586062104E11
-6.326569230613104E11	4.905405936021446E11
-6.599433455575507E11	4.541646782446735E11
-6.861188176058424E11	4.157155849043769E11
-7.109895184033231E11	3.766277182045154E11
-7.332708747896084E11	3.375024612276808E11
-7.519147181615602E11	2.9756104583813354E11
-7.67330094151E11	2.555871396095753E11
-7.809682858402244E11	2.1165072623992853E11
-7.933913024057148E11	1.6726776338505713E11
-8.035439388868677E11	1.2363063190521815E11
-8.100367510487041E11	8.036126071098088E10
-8.128055496731256E11	3.609977306243371E10
-8.132655637937126E11	-9.602032802153938E9
-8.124416996584484E11	-5.5490510341588234E10
-8.097260512526803E11	-1.0013167142524644E11
-8.037705020490461E11	-1.4340619568520694E11
-7.940322764741986E11	-1.8639359612118707E11
-7.814220129064526E11	-2.2998724094794733E11
-7.672633913750885E11	-2.736568083273338E11
-7.517672870000295E11	-3.159873621167474E11
-7.339608566319081E11	-3.5615007023295557E11
-7.128178259985579E11	-3.9457763642116876E11
-6.883987070560521E11	-4.3238875180289417E11
-6.619272144149955E11	-4.700129309102908E11
-6.344603440157783E11	-5.065159887570157E11
-6.057919315155854E11	-5.4058083830957153E11
-5.748385826777798E11	-5.71787361407685E11
-5.4084882856207574E11	-6.009294408842603E11
-5.043825171807292E11	-6.291210360427916E11
-4.6689847417719104E11	-6.563352251278386E11
-4.2911255510226904E11	-6.812702513239242E11
-3.903257654730474E11	-7.027975907554631E11
-3.49353683681258E11	-7.211020717945651E11
-3.059958408932452E11	-7.374721001022277E11
-2.616016234341556E11	-7.52703661306339E11
-2.1756752216039337E11	-7.658746124047993E11
-1.737019048132238E11	-7.754846152776929E11
-1.2873316392512949E11	-7.81223378923319E11
-8.198740971038118E10	-7.842546918086797E11
-3.446226641803951E10	-7.858051892030051E11
1.2197975463954058E10	-7.85485937073596E11
5.7651381132455925E10	-7.818341676748463E11
