Halley's Comet X	Halley's Comet Y
-3.056501766816026E12	3.907816690375944E12
-3.0557809682819194E12	3.9122568325084316E12
-3.0550223408175615E12	3.9166485430388843E12
-3.0542259595972104E12	3.920991852206229E12
-3.0533918987239956E12	3.9252867890763057E12
-3.052520231242407E12	3.9295333815476626E12
-3.051611029149959E12	3.933731656357594E12
-3.05066436340888E12	3.937881639088472E12
-3.049680303956563E12	3.9419833541741016E12
-3.048658919715763E12	3.946036824904952E12
-3.047600278605831E12	3.950042073434172E12
-3.046504447552621E12	3.9539991207844424E12
-3.045371492497735E12	3.957907986853721E12
-3.044201478407716E12	3.961768690421123E12
-3.0429944692829326E12	3.965581249152437E12
-3.04175052816671E12	3.96934567960602E12
-3.040469717153357E12	3.9730619972392466E12
-3.0391520973951436E12	3.976730216413396E12
-3.037797729110215E12	3.9803503503985205E12
-3.036406671589883E12	3.983922411378908E12
-3.0349789832053833E12	3.987446410458138E12
-3.033514721414083E12	3.990922357664069E12
-3.0320139427649365E12	3.99435026195281E12
-3.030476702904747E12	3.997730131212544E12
-3.0289030565838E12	4.0010619722683535E12
-3.027293057660085E12	4.004345790885862E12
-3.0256467591038936E12	4.0075815917740947E12
-3.0239642130020454E12	4.0107693785884834E12
-3.0222454705621753E12	4.013909153933326E12
-3.020490582116634E12	4.017000919364867E12
-3.018699597124892E12	4.020044675393181E12
-3.016872564176671E12	4.0230404214828804E12
-3.015009530995287E12	4.0259881560547896E12
-3.0131105444398086E12	4.028887876486927E12
-3.011175650507202E12	4.031739579114852E12
-3.009204894333911E12	4.0345432592314546E12
-3.0071983201977954E12	4.0372989110857607E12
-3.005155971520526E12	4.0400065278824956E12
-3.003077890868498E12	4.042666101781255E12
-3.000964119953779E12	4.04527762389393E12
-2.9988146996358774E12	4.0478410842823335E12
-2.9966296699230195E12	4.0503564719556333E12
-2.994409069973607E12	4.052823774867382E12
-2.9921529380971875E12	4.055242979912297E12
-2.989861311755346E12	4.0576140729214834E12
-2.987534227564168E12	4.0599370386580757E12
-2.985171721295984E12	4.062211860813379E12
-2.9827738278808354E12	4.0644385220017705E12
-2.980340581408761E12	4.0666170037553423E12
-2.9778720151322046E12	4.068747286518233E12
-2.975368161469481E12	4.0708293496410747E12
-2.972829052008043E12	4.0728631713761274E12
-2.9702547175074214E12	4.0748487288710703E12
-2.967645187903806E12	4.0767859981627954E12
-2.9650004923150605E12	4.078674954172199E12
-2.9623206590458223E12	4.080515570698959E12
-2.959605715593017E12	4.0823078204166445E12
-2.9568556886513457E12	4.0840516748674043E12
-2.9540706041203613E12	4.0857471044571455E12
-2.951250487111719E12	4.08739407845233E12
-2.9483953619557515E12	4.088992564976647E12
-2.9455052522088438E12	4.090542531007793E12
-2.942580180661052E12	4.0920439423752964E12
-2.9396201693439385E12	4.093496763758968E12
-2.93662523953821E12	4.0949009586888716E12
-2.933595411779978E12	4.096256489545222E12
-2.930530705867518E12	4.0975633175580815E12
-2.9274311408680034E12	4.098821402808986E12
-2.924296735122555E12	4.1000307042328667E12
-2.92112750625062E12	4.101191179620042E12
-2.917923471153144E12	4.102302785618381E12
-2.9146846460149644E12	4.1033654777349434E12
-2.9114110463067773E12	4.10437921033872E12
-2.9081026867845566E12	4.1053439366630107E12
-2.9047595814878506E12	4.106259608805976E12
-2.901381743737871E12	4.107126177731114E12
-2.897969186134112E12	4.1079435932670356E12
-2.8945219205502676E12	4.108711804106324E12
-2.8910399581287144E12	4.1094307578034087E12
-2.8875233092742847E12	4.110100400770011E12
-2.8839719836488657E12	4.1107206782700957E12
-2.8803859901649946E12	4.111291534414314E12
-2.876765336978805E12	4.111812912152263E12
-2.8731100314835596E12	4.112284753263529E12
-2.8694200803034043E12	4.112706998347508E12
-2.8656954892881523E12	4.113079586812577E12
-2.861936263507929E12	4.1134024568652017E12
-2.8581424072476875E12	4.113675545497085E12
-2.8543139240034565E12	4.113898788471646E12
-2.850450816479224E12	4.114072120311061E12
-2.8465530865840015E12	4.114195474282693E12
-2.8426207354295596E12	4.114268782385517E12
-2.8386537633282847E12	4.114291975335695E12
-2.8346521697927056E12	4.1142649825521953E12
-2.830615953535492E12	4.114187732143861E12
-2.826545112468751E12	4.114060150895946E12
-2.822439643704304E12	4.1138821642562812E12
-2.8182995435543574E12	4.1136536963221196E12
-2.8141248075327065E12	4.11337466982715E12
-2.8099154303560537E12	4.113045006129628E12
-2.805671405944402E12	4.1126646252000527E12
-2.801392727422352E12	4.112233445608125E12
-2.797079387121233E12	4.1117513845114424E12
-2.792731376580102E12	4.1112183576442837E12
-2.7883486865470234E12	4.1106342793062075E12
-2.7839313069798584E12	4.1099990623508555E12
-2.7794792270473867E12	4.109312618174235E12
-2.7749924351310376E12	4.1085748567042827E12
-2.7704709188250933E12	4.1077856863907056E12
-2.765914664936758E12	4.106945014193268E12
-2.761323659487077E12	4.106052745570959E12
-2.7566978877111772E12	4.1051087844713228E12
-2.752037334058508E12	4.104113033319888E12
-2.7473419821921743E12	4.103065393009694E12
-2.7426118149878564E12	4.1019657628894824E12
-2.737846814533897E12	4.1008140407524146E12
-2.7330469621303423E12	4.099610122825674E12
-2.728212238287104E12	4.098353903758833E12
-2.723342622722401E12	4.097045276611995E12
-2.7184380943608804E12	4.095684132843676E12
-2.7134986313321147E12	4.094270362298769E12
-2.708524210968159E12	4.0928038531971675E12
-2.7035148097999766E12	4.091284492120667E12
-2.6984704035548057E12	4.0897121639994785E12
-2.693390967153071E12	4.0880867520994023E12
-2.68827647470476E12	4.086408138008395E12
-2.683126899505267E12	4.084676201622854E12
-2.677942214030545E12	4.082890821132831E12
-2.672722389933E12	4.0810518730066895E12
-2.6674673980370796E12	4.0791592319769272E12
-2.6621772083331084E12	4.0772127710245684E12
-2.656851789971505E12	4.0752123613625273E12
-2.6514911112567554E12	4.0731578724188433E12
-2.6460951396412285E12	4.0710491718192456E12
-2.6406638417187393E12	4.0688861253700835E12
-2.6351971832164526E12	4.066668597039933E12
-2.629695128987372E12	4.0643964489394883E12
-2.624157643003264E12	4.062069541302387E12
-2.6185846883461562E12	4.059687732465218E12
-2.6129762271995815E12	4.0572508788464097E12
-2.6073322208392593E12	4.0547588349243457E12
-2.601652629623877E12	4.052211453213899E12
-2.595937412986533E12	4.049608584243564E12
-2.590186529424349E12	4.0469500765320566E12
-2.584399936487977E12	4.0442357765623076E12
-2.578577590771923E12	4.0414655287554595E12
-2.572719447904326E12	4.038639175444341E12
-2.5668254625367666E12	4.0357565568460405E12
-2.5608955883333604E12	4.0328175110339497E12
-2.5549297779596587E12	4.0298218739073477E12
-2.548927983073217E12	4.026769479160918E12
-2.542890154313515E12	4.0236601582547095E12
-2.536816241291326E12	4.020493740382023E12
-2.5307061925789736E12	4.0172700524365215E12
-2.524559955700838E12	4.013988918978552E12
-2.5183774771250234E12	4.0106501622011167E12
-2.512158702254812E12	4.0072536018963027E12
-2.505903575419586E12	4.0037990554195195E12
-2.4996120398678047E12	4.0002863376531387E12
-2.4932840377605923E12	3.996715260971064E12
-2.486919510165493E12	3.99308563520273E12
-2.4805183970506807E12	3.9893972675972393E12
-2.474080637279191E12	3.985649962786575E12
-2.4676061686049917E12	3.9818435227487896E12
-2.4610949276694497E12	3.977977746773236E12
-2.4545468499965396E12	3.974052431425062E12
-2.447961869989045E12	3.9700673705093804E12
-2.4413399209248477E12	3.966022355036402E12
-2.434680934953273E12	3.961917173186856E12
-2.4279848430909995E12	3.957751610279112E12
-2.4212515752157227E12	3.9535254487357466E12
-2.414481060059796E12	3.9492384680489985E12
-2.4076732252036304E12	3.9448904447482124E12
-2.400827997066225E12	3.9404811523670015E12
-2.3939453008942744E12	3.9360103614093843E12
-2.387025060749035E12	3.9314778393152905E12
-2.380067199491686E12	3.926883350424001E12
-2.373071638767939E12	3.92222665593791E12
-2.366038298988651E12	3.917507513884868E12
-2.3589670993085903E12	3.912725679076267E12
-2.351857957604806E12	3.907880903063676E12
-2.344710790452891E12	3.9029729340932075E12
-2.337525513102273E12	3.8980015170570093E12
-2.330302039449705E12	3.892966393442145E12
-2.323040282011934E12	3.887867301274606E12
-2.3157401518998823E12	3.8827039750612285E12
-2.3084015587918564E12	3.877476145730192E12
-2.3010244109059688E12	3.8721835405672085E12
-2.2936086149736714E12	3.8668258831489126E12
-2.2861540762138403E12	3.861402893273659E12
-2.278660698308482E12	3.8559142868904834E12
-2.2711283833784473E12	3.8503597760272744E12
-2.263557031958658E12	3.844739068715177E12
-2.255946542976026E12	3.839051868911124E12
-2.248296813728097E12	3.833297876420499E12
-2.2406077398617227E12	3.82747678681814E12
-2.2328792153521216E12	3.8215882913683384E12
-2.2251111324817817E12	3.8156320769425444E12
-2.217303381821245E12	3.8096078259357773E12
-2.2094558522102656E12	3.8035152161843228E12
-2.2015684307370703E12	3.7973539208811875E12
-2.1936410027185793E12	3.7911236084894644E12
-2.185673451680706E12	3.7848239426553237E12
-2.177665659338704E12	3.778454582119604E12
-2.1696175055772476E12	3.7720151806296772E12
-2.1615288684280396E12	3.76550538684879E12
-2.1533996240482798E12	3.7589248442620483E12
-2.145229646699828E12	3.7522731910832725E12
-2.1370188087260068E12	3.74555006016012E12
-2.1287669805279863E12	3.7387550788765083E12
-2.120474030540009E12	3.731887869053368E12
-2.1121398252042815E12	3.724948046845925E12
-2.1037642289465366E12	3.7179352226410806E12
-2.0953471041481948E12	3.710849000952847E12
-2.0868883111174978E12	3.7036889803124443E12
-2.078387708061617E12	3.696454753157018E12
-2.0698451510569246E12	3.6891459057162666E12
-2.0612604940186511E12	3.6817620178962754E12
-2.052633588668341E12	3.6743026631608467E12
-2.043964284499799E12	3.6667674084073096E12
-2.0352524287465322E12	3.6591558138402188E12
-2.0264978663466467E12	3.651467432843938E12
-2.017700439905187E12	3.6437018118494185E12
-2.0088599896562893E12	3.63585849019717E12
