Io X	Io Y
-6.358494702944995E11	-5.0455002411504193E11
-6.059411554928071E11	-5.3799677860502014E11
-5.744360314619773E11	-5.697594016599575E11
-5.4132369679552673E11	-5.998852621116637E11
-5.064480724726339E11	-6.284570950241179E11
-4.6953136244823315E11	-6.550267716265459E11
-4.308236047833291E11	-6.792523745880386E11
-3.9057192874235266E11	-7.008935185453793E11
-3.49341840383029E11	-7.199704334297667E11
-3.07256057385642E11	-7.368091882721736E11
-2.6427527878866602E11	-7.514741340945011E11
-2.2024588267774072E11	-7.639247441758547E11
-1.750827253727314E11	-7.737407181548729E11
-1.2916003816357933E11	-7.805704476893116E11
-8.286438819098383E10	-7.843614469393917E11
-3.6623898019801476E10	-7.852630901984578E11
9.49532390431893E9	-7.836824808844436E11
5.562881625592098E10	-7.79647856776086E11
1.0180342189061005E11	-7.730683583471964E11
1.4798046990275522E11	-7.635525967431958E11
1.936082357577817E11	-7.508718941304346E11
2.3831081632549506E11	-7.351766277061787E11
2.8176363045356165E11	-7.167188141147733E11
3.240202819324327E11	-6.959360846286495E11
3.652536995831953E11	-6.727960260624904E11
4.054052701627037E11	-6.472248883229288E11
4.44306278805345E11	-6.189124085807733E11
4.8131296294617596E11	-5.878659132814268E11
5.16161208746237E11	-5.543810892712009E11
5.485948255531259E11	-5.1878108405327075E11
5.788614706367079E11	-4.8152240373967957E11
6.070948112183572E11	-4.4250608493031714E11
6.332195787005344E11	-4.017013210035661E11
6.569691548545297E11	-3.589353233261904E11
6.777857967742169E11	-3.14418752343586E11
6.954862310828953E11	-2.6862970658343698E11
7.100287581756205E11	-2.219288302957247E11
7.216928114090688E11	-1.7470801593880804E11
7.307212841868102E11	-1.2677225758227739E11
7.36950897460664E11	-7.814920974668166E10
7.402026941153566E11	-2.8841258474123344E10
7.399838497339281E11	2.079015093013673E10
7.363516520852073E11	7.015831949314622E10
7.294186628250419E11	1.1894957204116629E11
7.195885719125623E11	1.66875469969683E11
7.070737720237982E11	2.1421657461837085E11
6.917115988060231E11	2.6091305856967368E11
6.734135027612332E11	3.068639556757114E11
6.518715938213038E11	3.516259546850158E11
6.273796344611216E11	3.94608943064482E11
6.002165622095753E11	4.3561713764207697E11
5.708080059343783E11	4.7450735583416583E11
5.393368245911974E11	5.116480168338096E11
5.0562709841386005E11	5.4697403068691907E11
4.696818200661665E11	5.803460090076627E11
4.3139694569640405E11	6.113276965253433E11
3.912520031162256E11	6.394462455791473E11
3.496346019703992E11	6.6466544927523E11
3.069304519822305E11	6.870470088834249E11
2.6326535513366327E11	7.069421702722172E11
2.1842673612816544E11	7.243526094596086E11
1.7245201062697003E11	7.390737909180054E11
1.2542421233054654E11	7.508125526945638E11
7.791378761531937E10	7.592335192865713E11
3.0368009156624714E10	7.645387328637231E11
-1.6952968077719482E10	7.668696445010156E11
-6.4020945443514145E10	7.666335974444349E11
-1.110949673241237E11	7.637731374522107E11
-1.5807914854383554E11	7.581356063224869E11
-2.0479053930829337E11	7.494746567901995E11
-2.5063198302046896E11	7.377127372766816E11
-2.952519294434157E11	7.231832293878826E11
-3.384686995235032E11	7.061475005560715E11
-3.804049869284183E11	6.869812923883376E11
-4.213206749331144E11	6.655498076491604E11
-4.610743010771716E11	6.41696563960316E11
-4.994402208794575E11	6.152995828218927E11
-5.358527415070868E11	5.864618724417809E11
-5.70101382479589E11	5.5567607048559E11
-6.021678917894883E11	5.232219353024304E11
-6.32231766360942E11	4.8938756969017725E11
-6.605518137085198E11	4.5397669181512396E11
-6.869162555298905E11	4.168250228207219E11
-7.110726607434686E11	3.779474140078467E11
-7.326043992569725E11	3.375771602491935E11
-7.514118056379579E11	2.962662617098328E11
-7.676852721770264E11	2.5432166669341507E11
-7.81628296994257E11	2.11867094127399E11
-7.934318904042516E11	1.6872285989950226E11
-8.028018062257527E11	1.2469496624640541E11
-8.0951428128314E11	7.995386221070012E10
-8.13304527272608E11	3.477679844210987E10
-8.142590063125896E11	-1.0219864137923193E10
-8.126764091559655E11	-5.4857139143421844E10
-8.08776120391027E11	-9.907912944245387E10
-8.026649955557515E11	-1.4311823330089297E11
-7.940262415396735E11	-1.8706007097117206E11
-7.826502139183553E11	-2.3067292711888663E11
-7.684301084173639E11	-2.735781849101095E11
-7.5160141319076E11	-3.152806650185498E11
-7.325995981932867E11	-3.55695026656516E11
-7.115935942521473E11	-3.948951675879929E11
-6.886219186346919E11	-4.330407364512728E11
-6.633597309407825E11	-4.701725762163982E11
-6.356385455165144E11	-5.059215443326924E11
-6.05546322827893E11	-5.3993202873613995E11
-5.734323512715311E11	-5.718307131971998E11
-5.3978259385114966E11	-6.016892704142214E11
-5.0470111919083887E11	-6.296717315250039E11
-4.6818375303384894E11	-6.558811870984135E11
-4.299188283403724E11	-6.802737902996014E11
-3.8987485272373486E11	-7.023534086767598E11
-3.48297045217073E11	-7.218788243646277E11
-3.0558716099645123E11	-7.386080946754589E11
-2.6223055081303375E11	-7.52806579126841E11
-2.1823693207833948E11	-7.646588961535168E11
-1.7360164467140305E11	-7.742483633678678E11
-1.2805161958434949E11	-7.813959483423026E11
-8.174575006118547E10	-7.856667059427218E11
-3.503970687078517E10	-7.868733416402844E11
1.1624376267885166E10	-7.849827935108167E11
5.7863278664172585E10	-7.803465847186068E11
1.0375973297853555E11	-7.732419830093108E11
1.493471903108456E11	-7.636716274268993E11
1.947474525292391E11	-7.514690598173105E11
2.3965173413609906E11	-7.361927545619352E11
2.836128672805951E11	-7.178749701839269E11
3.262705178717819E11	-6.965986981429044E11
3.673190570612436E11	-6.728728162878303E11
4.070133147917901E11	-6.469456850074172E11
4.453260101811385E11	-6.187916057184117E11
4.823014510769463E11	-5.882780389346255E11
5.174909318322657E11	-5.550883914134441E11
5.504515801925836E11	-5.194589287567835E11
5.808992933221334E11	-4.816163398242739E11
6.08746560172725E11	-4.421449923349644E11
6.343047740255778E11	-4.01209147024406E11
6.575761514269558E11	-3.588104876450299E11
6.785247735648835E11	-3.148281201421281E11
6.966801035925189E11	-2.6917109232932193E11
7.116613593171018E11	-2.222349971876274E11
7.233599103167052E11	-1.7442030338098596E11
7.318406673054653E11	-1.2620981297599962E11
7.375390849264071E11	-7.77424044390357E10
7.404594594588802E11	-2.8916944189459827E10
7.405626772237598E11	2.02306521404525E10
7.374175661350151E11	6.968037966744447E10
7.308010995604742E11	1.1883877413440622E11
7.208116731865723E11	1.673367267572883E11
7.07694122470535E11	2.1474601766119086E11
6.919306137142307E11	2.6108294137598456E11
6.735367032524413E11	3.0646834683928864E11
6.52455006894398E11	3.508764658565624E11
6.284001373876953E11	3.941124822474929E11
6.013545578122407E11	4.355995202257177E11
5.716138934804723E11	4.74965773473388E11
5.39565210769489E11	5.1199400357156384E11
5.05647191299745E11	5.46811076628781E11
4.6984443048566797E11	5.796575519826953E11
4.320852445798326E11	6.104399433626713E11
3.9227910741953107E11	6.389742241433112E11
3.505463610213695E11	6.646825162543365E11
3.0741981973921814E11	6.873661471764985E11
2.6322527528176498E11	7.069931755286079E11
2.183810532989898E11	7.238284097853247E11
1.727311877149526E11	7.381640429418008E11
1.2626136199888377E11	7.498886038696384E11
7.89500727661102E10	7.58813853452686E11
3.109646867636812E10	7.64501718331164E11
-1.6739079631062237E10	7.669342285162681E11
-6.421550704752557E10	7.662936569142983E11
