Jupiter X	Jupiter Y
-6.360612098963816E11	-5.0421300512271173E11
-6.063885575736503E11	-5.380071067346507E11
-5.747645354620748E11	-5.700683078373702E11
-5.4128341175923083E11	-6.002848921245436E11
-5.0604542852063153E11	-6.285510911863418E11
-4.691567697080435E11	-6.547642232525582E11
-4.3072975099083954E11	-6.788283482874005E11
-3.9088250456219434E11	-7.006508873398687E11
-3.497387638330381E11	-7.201464248282269E11
-3.074274327534395E11	-7.372339578162595E11
-2.6408308310819052E11	-7.518406415284822E11
-2.1984513180110843E11	-7.638986301513895E11
-1.7485821740084183E11	-7.733489129362958E11
-1.292712652901566E11	-7.801382476425632E11
-8.323777790376888E10	-7.842227654118594E11
-3.691455967436338E10	-7.855654678732932E11
9.537252229852867E9	-7.841397994377333E11
5.5953879320469955E10	-7.799265525903103E11
1.0216828284770206E11	-7.7291763439913E11
1.4801180843849283E11	-7.631131766808932E11
1.933136618237473E11	-7.505249210739717E11
2.379028673390867E11	-7.351738415473802E11
2.8160702208330554E11	-7.17093251971128E11
3.2425488817097284E11	-6.963258762581138E11
3.656754448753044E11	-6.729272349677548E11
4.057004076654153E11	-6.469627396870886E11
4.4416342139734216E11	-6.185106931595481E11
4.809027431647216E11	-5.876598038009271E11
5.1575976428668085E11	-5.545116184670162E11
5.485823385985849E11	-5.191775421765893E11
5.792236244096519E11	-4.8178141621261957E11
6.075452250314548E11	-4.424567895307842E11
6.334157855177054E11	-4.0134893135108105E11
6.567143093593005E11	-3.586120342388178E11
6.773284349623027E11	-3.144108548474981E11
6.951579142836941E11	-2.6891756889455875E11
7.101131101689673E11	-2.2231331400146878E11
7.221182801303562E11	-1.7478550683535876E11
7.311092436304641E11	-1.2652880346606824E11
7.370369829824031E11	-7.774186718376414E10
7.398653090586575E11	-2.8628319297478157E10
7.395740761079935E11	2.060634751276171E10
7.361567453574106E11	6.975426477788167E10
7.296234210352943E11	1.186076749399477E11
7.199975278229026E11	1.6695892519889575E11
7.073191449772079E11	2.1460331577013788E11
6.916416165604691E11	2.6133879401570135E11
6.730343104180588E11	3.069686449568178E11
6.515792528514447E11	3.513013651928015E11
6.273734427712319E11	3.941526034801159E11
6.005248114448693E11	4.353455818198732E11
5.711550393887689E11	4.7471295571170386E11
5.393952544360736E11	5.1209673454610455E11
5.0538853676512506E11	5.473500375184708E11
4.692857108604652E11	5.803368667695293E11
4.312473550436228E11	6.109331158744767E11
3.914392845063218E11	6.390269716156372E11
3.5003519083490796E11	6.645195299782465E11
3.0721210344275854E11	6.873246812434823E11
2.6315269194625864E11	7.073694191708474E11
2.180408563235913E11	7.245938006129717E11
1.7206390780092993E11	7.389507732835339E11
1.2540810925589333E11	7.504064149233362E11
7.826137298839505E10	7.589395747252346E11
3.0809137181601696E10	7.645416042993473E11
-1.6763380147520334E10	7.672154626546327E11
-6.427543244541158E10	7.669761064367708E11
-1.1154789003498055E11	7.638494428423385E11
-1.584073535660805E11	7.578724755168342E11
-2.046833689278376E11	7.490921245017433E11
-2.5021203613759845E11	7.375653757486205E11
-2.948335508373991E11	7.233575333056257E11
-3.383959099226597E11	7.065431686129276E11
-3.807517548723527E11	6.872042710642623E11
-4.217620408356447E11	6.654308938797992E11
-4.612930617009504E11	6.413193943000444E11
-4.99219595888974E11	6.149730295513943E11
-5.35422476701506E11	5.864998612151998E11
-5.697915202089045E11	5.560142297613403E11
-6.02222526415086E11	5.236343328492316E11
-6.326204276658989E11	4.894835903111583E11
-6.608962447974062E11	4.536883978646015E11
-6.86969986592541E11	4.1637927700505505E11
-7.107682490265995E11	3.7768856692700665E11
-7.322266304710391E11	3.377524096774764E11
-7.512869670826622E11	2.967079490369793E11
-7.67899941013911E11	2.546952757981133E11
-7.820224451712853E11	2.1185475315434915E11
-7.936200149510016E11	1.683288976384056E11
-8.026646815173336E11	1.2425969093198444E11
-8.091370163174352E11	7.979108821303326E10
-8.130235833809893E11	3.506597944621156E10
-8.143190825524393E11	-9.771683692385836E9
-8.130244812893257E11	-5.457978084521235E10
-8.091488294943566E11	-9.921532799678772E10
-8.027072725793046E11	-1.4353767737758713E11
-7.937228560025542E11	-1.8740578608517938E11
-7.822245028061985E11	-2.3068139031017102E11
-7.682485988005046E11	-2.732265921709527E11
-7.518377511107273E11	-3.149070193357969E11
-7.330419884817365E11	-3.5558867243275397E11
-7.119172253027343E11	-3.951415450405717E11
-6.88526641089075E11	-4.334366329889668E11
-6.62939192647866E11	-4.703493704540577E11
-6.352307278159264E11	-5.057570195282331E11
-6.054832440467065E11	-5.395419334053764E11
-5.737853972950106E11	-5.715883681997228E11
-5.4023161326761676E11	-6.017863147873815E11
-5.049228422969504E11	-6.300283380263937E11
-4.6796557665045087E11	-6.562133389833112E11
-4.294725157057773E11	-6.802437574717516E11
-3.8956218835558167E11	-7.020290006438492E11
-3.483588132132002E11	-7.214822326702905E11
-3.0599187386336884E11	-7.385243802831945E11
-2.6259617997182886E11	-7.53081062773214E11
-2.1831157751207788E11	-7.650864003459285E11
-1.7328273775686606E11	-7.74480099105717E11
-1.2765918233819008E11	-7.812110836443649E11
-8.159449332685434E10	-7.852343054776829E11
-3.524610042992316E10	-7.865147408792878E11
1.1225288758305931E10	-7.850246308692386E11
5.765537384705753E10	-7.807470019618016E11
1.0387754332623222E11	-7.736725765121064E11
1.497226804670211E11	-7.638036294207161E11
1.9502050181628387E11	-7.511508868316873E11
2.3959948921029047E11	-7.357372031601045E11
2.8328833939390686E11	-7.17594842729451E11
3.2591529555317487E11	-6.967686698255758E11
3.673104032478728E11	-6.733129819229645E11
4.0730499798874426E11	-6.472951184770966E11
4.4573383555738574E11	-6.187922913828613E11
4.8243467769469727E11	-5.878947614030328E11
5.172505301864872E11	-5.547029811005859E11
5.500287145261421E11	-5.193300890559035E11
5.806238592068567E11	-4.8189869603327673E11
6.088970314997609E11	-4.425437299485189E11
6.347184148388088E11	-4.014091784907404E11
6.57966392302876E11	-3.5865039185566956E11
6.785303381485637E11	-3.144308899681045E11
6.963092429846863E11	-2.689241118429268E11
7.112149808865964E11	-2.2230988460394122E11
7.231709111277627E11	-1.7477642298724768E11
7.321146335946904E11	-1.2651701610259926E11
7.379960549441359E11	-7.773121372364925E10
7.407805788702983E11	-2.862134213806755E10
7.40446883268193E11	2.060633307162359E10
7.369898761539656E11	6.974510065958716E10
7.304183374197314E11	1.1858680997914511E11
7.207574386730756E11	1.669249014435628E11
7.08045680790571E11	2.1455402744273975E11
6.923378406114341E11	2.6127328694479337E11
6.737018056609036E11	3.068854011395414E11
6.522209124986372E11	3.5119968228037177E11
6.279905415634922E11	3.940315183417623E11
6.011202953116158E11	4.352047870171833E11
5.717299673253375E11	4.7455162846830664E11
5.399521610834434E11	5.119148379555047E11
