Mimas X	Mimas Y
8.393914721538983E9	-1.504333885614636E12
4.149594100472086E10	-1.5039842507084314E12
7.435175518532874E10	-1.5029346786734473E12
1.0693557811722653E11	-1.5009794765577E12
1.3950672688442386E11	-1.498070151761876E12
1.7229285258899655E11	-1.494464035807445E12
2.0515894375431717E11	-1.4902777880617153E12
2.3765207186246088E11	-1.4854005380911184E12
2.6974571155619293E11	-1.4797355284580144E12
3.018384627541707E11	-1.4731351129180002E12
3.340465538513917E11	-1.4657029513591504E12
3.6616656430825433E11	-1.4577191859155867E12
3.978937333513754E11	-1.4491649086642898E12
4.2918793248749176E11	-1.4398368091932344E12
4.6036840036851746E11	-1.4295461717818643E12
4.915194775005205E11	-1.418382064280016E12
5.2247168087689417E11	-1.4067335350303076E12
5.530927391422711E11	-1.3946058032371506E12
5.832350571289072E11	-1.3816593048660996E12
6.130124027130056E11	-1.3677809180504424E12
6.42630662520033E11	-1.3530895379745422E12
6.720841887305941E11	-1.337885157821489E12
7.012631356676796E11	-1.322197709294866E12
7.298403158587622E11	-1.3057754430448167E12
7.578141845125426E11	-1.288574507656604E12
7.85527865510617E11	-1.2705724809082092E12
8.130889782156808E11	-1.251915825583054E12
8.403588165413917E11	-1.2327640960821719E12
8.669520877476522E11	-1.2130758829487585E12
8.928369799800701E11	-1.1927630738991667E12
9.183701601551115E11	-1.1716180499580557E12
9.436526187178713E11	-1.149707409045384E12
9.685242241032019E11	-1.1274008360112551E12
9.927605513096492E11	-1.1047196023407258E12
1.0162605162279662E12	-1.08141999066412E12
1.0392424103191809E12	-1.057304644663755E12
1.0618372013534973E12	-1.0324671449726628E12
1.0839944710056544E12	-1.0073127158281263E12
1.1055764223561504E12	-9.818699910007715E11
1.1263430378969956E12	-9.557979311977363E11
1.146359151997967E12	-9.290030042370059E11
1.1659532537172437E12	-9.016157770615994E11
1.185155019583671E12	-8.738921145370043E11
1.2037262720988345E12	-8.459062332108505E11
1.221365313594829E12	-8.174063575736385E11
1.2381386864890261E12	-7.883134655009739E11
1.2544849223224116E12	-7.587067143351515E11
1.270429174982865E12	-7.286991728159073E11
