Saturn X	Saturn Y
8.479745140180493E9	-1.5045050711602874E12
4.133860761612609E10	-1.5040413931392864E12
7.417521649367679E10	-1.502818010136557E12
1.069748312796146E11	-1.5008358854745217E12
1.3971924283521094E11	-1.4980967939847769E12
1.7239242505511984E11	-1.494600411693222E12
2.0497859721341382E11	-1.4903498970801782E12
2.3745951873912036E11	-1.485346356688404E12
2.6982050804667056E11	-1.4795916078513608E12
3.0204406517554297E11	-1.4730895542968342E12
3.341135114721045E11	-1.4658413586655952E12
3.660139043584255E11	-1.45785134161963E12
3.977270234689595E11	-1.4491228869275916E12
4.2923802279609125E11	-1.4396587284696143E12
4.605304267393847E11	-1.4294646293258394E12
4.9158707086983417E11	-1.4185435388915198E12
5.223937066322921E11	-1.4069007170499434E12
5.529326189816259E11	-1.3945418391519468E12
5.831886724808447E11	-1.3814707529521125E12
6.131466070264504E11	-1.3676947718357468E12
6.42789108609094E11	-1.3532189185641675E12
6.721024326856487E11	-1.3380493161317246E12
7.01069851855072E11	-1.3221938461401914E12
7.296759556292125E11	-1.3056577895093667E12
7.579067506733556E11	-1.2884497529882078E12
7.857452206757777E11	-1.2705770745069797E12
8.131779244977233E11	-1.2520468451759424E12
8.401894893698099E11	-1.2328689867823904E12
8.66764358591329E11	-1.2130505928735203E12
8.928896753269133E11	-1.1926013786455798E12
9.185491732255353E11	-1.1715311050397195E12
9.43729515084158E11	-1.1498480285297893E12
9.684168624190078E11	-1.1275638231101736E12
9.925957439691499E11	-1.1046876797437434E12
1.016254198973516E12	-1.081230268068577E12
1.0393771441875801E12	-1.0572036541938467E12
1.061951271813387E12	-1.0326174713616892E12
1.0839643308920015E12	-1.0074847702629835E12
1.105401337787428E12	-9.818169906315764E11
1.1262510202736624E12	-9.556256919138596E11
1.1464999024200168E12	-9.289249804289513E11
1.16613483647453E12	-9.01726115118905E11
1.185145134568725E12	-8.740432024919958E11
1.2035168307852751E12	-8.458899767090913E11
1.2212392273011335E12	-8.172789732635082E11
1.2383007922206438E12	-7.882260051921548E11
1.254688854730924E12	-7.587442180858306E11
1.2703941899755132E12	-7.288485647177814E11
1.2854044144137324E12	-6.98554992847291E11
1.2997094040860747E12	-6.678772074310721E11
1.313299772356668E12	-6.368323640069689E11
1.326163784453459E12	-6.054356843053745E11
1.338293551118597E12	-5.737028755544364E11
1.349678787338999E12	-5.4165186799169073E11
1.3603100909622153E12	-5.092977719751371E11
1.3701802805970566E12	-4.766587267332803E11
1.3792791179988535E12	-4.437520859666683E11
1.3875999531156082E12	-4.105943212025938E11
1.3951350135337366E12	-3.772049830501048E11
1.4018759236567854E12	-3.436007955357052E11
1.4078176633583323E12	-3.098005734190022E11
1.412952086113839E12	-2.7582368392386884E11
1.4172737779702114E12	-2.4168744853820132E11
1.420777748360301E12	-2.0741258583872083E11
1.423457100400592E12	-1.7301755257094473E11
1.425308873495411E12	-1.3852160748574194E11
1.4263275754925393E12	-1.0394583202368909E11
1.4265091515944148E12	-6.930851076962791E10
1.4258515121217854E12	-3.463104457348921E10
1.42434979069788E12	6.640524330154012E7
1.422002989867905E12	3.476428246052782E10
1.4188087273051628E12	6.944025489406139E10
1.414764575087048E12	1.0407498946494124E11
1.4098713247381946E12	1.3864687206181934E11
1.4041267314520051E12	1.7313424806036472E11
1.3975317159346914E12	2.0751734505341498E11
1.390087306526914E12	2.4177316337520325E11
1.381793094129415E12	2.758813263464715E11
1.372652636962057E12	3.0982041840913525E11
1.3626668572323276E12	3.435677008820058E11
1.351838641838268E12	3.77103236370743E11
1.340172543371514E12	4.1040400475460565E11
1.3276706499776648E12	4.4344873296998364E11
1.3143391205119202E12	4.7621654240752997E11
1.300182470097737E12	5.086841993453289E11
1.2852057001321873E12	5.408316726684996E11
1.2694168214145664E12	5.726365702948102E11
1.2528209113531033E12	6.040770505984442E11
1.2354265651261948E12	6.35133039208312E11
1.2172421261620413E12	6.657815322303638E11
1.1982749513071484E12	6.960025463135101E11
1.1785362851097708E12	7.257749159502897E11
1.158034623458148E12	7.550767491207306E11
1.136780865372026E12	7.838889937837396E11
1.1147871933915862E12	8.121896700338474E11
1.0920636083720521E12	8.399591000400332E11
1.0686242553155007E12	8.671778560143016E11
1.0444813253169146E12	8.938246834379562E11
1.0196479444048718E12	9.198817533100894E11
9.941399068763741E11	9.453288986588871E11
9.679701378864348E11	9.701471490401971E11
9.411552840884552E11	9.943192210776224E11
9.137112919278467E11	1.0178253023567935E12
8.856534839824032E11	1.0406490071069655E12
8.570008305850084E11	1.0627726930194677E12
8.27769372228598E11	1.0841786460723586E12
7.979778440099923E11	1.104852030091712E12
7.676457439329022E11	1.1247753191928657E12
7.367905881711846E11	1.1439338421668948E12
7.054339214891957E11	1.1623130578265103E12
6.735949317197733E11	1.179897177554982E12
6.412940435088942E11	1.196674025641325E12
6.085538395075605E11	1.2126291583621553E12
5.75394005422307E11	1.2277499608056514E12
5.418379620483579E11	1.2420253979129033E12
5.079078520734735E11	1.2554423370339294E12
4.736254305142271E11	1.2679914106385342E12
4.39015662060892E11	1.2796619172739128E12
4.041003084512622E11	1.290443711475778E12
3.6890393268197925E11	1.3003294830247693E12
3.3345119116082086E11	1.309309468338488E12
2.977648467176605E11	1.317377215797024E12
2.61871378425383E11	1.3245262238721814E12
2.257944021680542E11	1.3307492763619526E12
1.8955892145726596E11	1.3360428291688586E12
1.5319141970721844E11	1.3404010935379634E12
1.1671537388787976E11	1.343820626662516E12
8.015782432990175E10	1.346299338628085E12
4.35438556921296E10	1.3478334041113582E12
6.898286352468287E9	1.3484229338979773E12
-2.975145227090214E10	1.348066532970036E12
-6.638146566089282E10	1.3467638586751072E12
-1.029650935305296E11	1.3445171899945325E12
-1.3947635196321323E11	1.3413264914793381E12
-1.758911204621181E11	1.337195307116118E12
-2.121820161758456E11	1.3321268062631616E12
-2.4832505444799475E11	1.3261238385596973E12
-2.842948048045323E11	1.3191927734756975E12
-3.200651154186624E11	1.3113376365782588E12
-3.556129591732697E11	1.302565117769012E12
-3.909120130040477E11	1.2928828487766606E12
-4.2593859545721655E11	1.2822969467642632E12
-4.6066919101879004E11	1.2708174070062341E12
-4.950783286159802E11	1.2584523982946511E12
-5.291443606569693E11	1.2452114516499407E12
-5.628429548979279E11	1.231106292852595E12
-5.961512044273032E11	1.2161463371331255E12
-6.290479924737036E11	1.2003446181544802E12
-6.615094155245359E11	1.1837133070906926E12
-6.935154188602081E11	1.1662644861041423E12
-7.25044420371319E11	1.1480133856869136E12
-7.560748372003744E11	1.128972663886176E12
-7.865882192473779E11	1.1091577612287883E12
-8.165630727854003E11	1.0885844764954729E12
-8.459811136949445E11	1.0672671878695074E12
-8.748240396960289E11	1.0452238841253306E12
-9.030721885359949E11	1.0224702932804388E12
-9.307098543165668E11	9.99023655774392E11
-9.577186631171033E11	9.749028165000812E11
-9.840822866453412E11	9.50124222049842E11
-1.0097859690481685E12	9.247078034707185E11
-1.0348125674777797E12	8.986720401556937E11
-1.0591490530870792E12	8.720354516117147E11
-1.0827806838359271E12	8.448191860608628E11
-1.1056933036760608E12	8.170415413756444E11
-1.12787571418988E12	7.887235879266218E11
-1.149313831103926E12	7.598860917712272E11
-1.1699971588334294E12	7.305484444951345E11
-1.1899148551661086E12	7.007332675888937E11
-1.2090551904806904E12	6.704604673513837E11
-1.227410316134261E12	6.397515469638748E11
-1.2449696272992878E12	6.08628960319374E11
-1.2617250067057144E12	5.771126853697687E11
-1.277669522036042E12	5.4522597283608356E11
-1.2927941433768315E12	5.129900426306366E11
-1.307094012778848E12	4.804262738137206E11
-1.3205622560307617E12	4.4755811684346204E11
-1.333193021962139E12	4.144059417045296E11
-1.3449830565894624E12	3.809928534053215E11
-1.3559262856134578E12	3.4734101175048236E11
-1.3660204133168513E12	3.134712973054812E11
-1.3752623437098933E12	2.7940741878184106E11
-1.3836484523385144E12	2.4516999536155453E11
-1.3911787365431921E12	2.1078134137205627E11
-1.397850271881765E12	1.7626410192984158E11
-1.40366290957705E12	1.4163845402574918E11
-1.4086171692842441E12	1.0692764090738647E11
-1.412711688120592E12	7.21523808350902E10
-1.415949167932983E12	3.733372962756884E10
-1.4183299257407168E12	2.4942846909399204E9
-1.4198556346040554E12	-3.2346554201665043E10
-1.4205300798606226E12	-6.716666957743653E10
-1.4203542591308193E12	-1.0194544753446268E11
-1.4193330100270364E12	-1.3666337400939165E11
-1.4174698681443875E12	-1.712984822911623E11
-1.414768153288419E12	-2.0583215687949698E11
-1.4112344480451223E12	-2.4024394414056827E11
-1.4068722545866365E12	-2.7451361710400357E11
-1.401688070691721E12	-3.0862329771856683E11
-1.395688515584144E12	-3.425522235802059E11
-1.3888785597595073E12	-3.762825344426644E11
-1.3812670622043872E12	-4.0979578121843677E11
-1.3728601679470334E12	-4.430724398834646E11
-1.3636656933034275E12	-4.760961648854147E11
-1.353693058215535E12	-5.0884785602039325E11
-1.3429489746044617E12	-5.4131035493593463E11
-1.3314440039443284E12	-5.734673018537893E11
-1.3191869240006523E12	-6.053001915334227E11
-1.3061866117343208E12	-6.367939693066871E11
-1.2924547863598901E12	-6.679315186477179E11
-1.2779999613525767E12	-6.986963915155992E11
-1.2628337944436904E12	-7.290742267756321E11
-1.2469674897073103E12	-7.590478997925311E11
-1.230410823942184E12	-7.886034242886669E11
-1.2131771894742214E12	-8.177258917264501E11
-1.1952769333326729E12	-8.463997214064512E11
-1.176722324735238E12	-8.746123714115175E11
-1.1575266625965288E12	-9.023484917348748E11
-1.1377006273805442E12	-9.295950318985831E11
-1.1172586690550825E12	-9.563393873962759E11
-1.0962129841345289E12	-9.825671169084093E11
-1.0745761702566162E12	-1.0082672539519594E12
-1.0523632074219836E12	-1.0334265608230138E12
-1.0295858024382203E12	-1.0580328877008574E12
-1.0062589310847599E12	-1.082075867650481E12
-9.823965763666312E11	-1.1055425259696782E12
-9.580115793897616E11	-1.128423206271327E12
-9.331201110581249E11	-1.1507070016853372E12
-9.077350658196726E11	-1.1723827346787349E12
-8.818715328742672E11	-1.193442066591545E12
-8.555451001921345E11	-1.2138738239591506E12
-8.287689194417635E11	-1.2336694364512075E12
-8.015598308527168E11	-1.2528203986684841E12
-7.739320354454945E11	-1.2713166812983643E12
-7.459004830266632E11	-1.2891516765294297E12
-7.174820523253148E11	-1.3063163057958064E12
-6.886903763821897E11	-1.3228029562908208E12
-6.595424678337449E11	-1.338605441343999E12
-6.300538614467656E11	-1.3537151387482466E12
-6.002392826181614E11	-1.368126851609988E12
-5.70116482852864E11	-1.381833803774658E12
-5.3969978143118085E11	-1.3948293343439663E12
-5.0900596047341046E11	-1.407109361322325E12
-4.780517846851076E11	-1.4186669692991675E12
-4.46851827735847E11	-1.4294980974003423E12
-4.154242339470199E11	-1.439598355600254E12
-3.8378418749436786E11	-1.448962156610806E12
-3.519479753407443E11	-1.4575872202873127E12
-3.199333534765848E11	-1.465468628524781E12
-2.877549253792441E11	-1.4726032782907397E12
-2.554307541308141E11	-1.4789891108478748E12
-2.2297697827990887E11	-1.484621838221139E12
-1.9040929206337762E11	-1.489500651657656E12
-1.5774607983678018E11	-1.4936228576909329E12
-1.2500220914819304E11	-1.4969862634135127E12
-9.219525348736154E10	-1.499590955865533E12
-5.934227116346806E10	-1.5014342369731802E12
-2.6458419506852257E10	-1.502516473356073E12
6.437730172751043E9	-1.5028373182394885E12
3.933083220280829E10	-1.502395576316606E12
7.220408606727167E10	-1.501193200138578E12
1.0503969602759213E11	-1.499229383071158E12
1.378228645299282E11	-1.4965054625039666E12
1.705353004504981E11	-1.493023428003829E12
2.031610425111758E11	-1.488783288218414E12
2.3568419659401422E11	-1.4837885383930698E12
2.6808654611494345E11	-1.4780405218662097E12
3.003534186681291E11	-1.4715414677485872E12
3.3246722577780927E11	-1.4642955600288123E12
3.644113820818685E11	-1.4563042965988867E12
3.961708778882321E11	-1.447572413476662E12
4.277274987348676E11	-1.4381035683045798E12
4.590664674539357E11	-1.427900941794926E12
4.9017122360869543E11	-1.416970663154667E12
5.210246978855519E11	-1.4053160338370728E12
5.516126230072885E11	-1.3929428041141104E12
5.819172569202672E11	-1.3798569840581638E12
6.119235626063423E11	-1.3660628896761543E12
6.416161926867292E11	-1.351568287727298E12
6.709778879039698E11	-1.3363785668977317E12
6.999949097877406E11	-1.3205003827342385E12
7.286504474099895E11	-1.3039419979225833E12
7.569291700361328E11	-1.2867091382976565E12
7.848169841470046E11	-1.2688108987066934E12
8.122968566079055E11	-1.2502549554920935E12
8.393553639097694E11	-1.2310488928865806E12
8.659770062084337E11	-1.211203006436966E12
8.92146283446553E11	-1.1907247440978113E12
9.17850269107258E11	-1.1696242765560454E12
9.430726506117156E11	-1.1479116419636638E12
9.678001660257413E11	-1.1255955023018982E12
9.920188879706991E11	-1.1026878840508022E12
1.0157134310862283E12	-1.0791982501980483E12
1.0388718737698107E12	-1.0551376936451986E12
1.061479127790306E12	-1.030518544130144E12
1.0835220606459618E12	-1.0053507821399572E12
1.1049884363450774E12	-9.796478370971637E11
1.1258634130286912E12	-9.534213996022218E11
1.1461358939953389E12	-9.266834529571562E11
1.1657924687174534E12	-8.994484082685836E11
1.1848202547183782E12	-8.717278496344043E11
1.2032087007122002E12	-8.435363096152758E11
1.2209440313063025E12	-8.148877918176173E11
1.2380158474423486E12	-7.857952534837456E11
1.254412760982412E12	-7.562748701458333E11
1.2701224299395989E12	-7.263400963335281E11
1.2851358889092307E12	-6.960063434403613E11
1.299440988717024E12	-6.652898552075283E11
1.3130280050711108E12	-6.342047357886134E11
1.3258877840050503E12	-6.027685480454082E11
1.3380089635047751E12	-5.709968048977977E11
1.3493840345795134E12	-5.389056712547947E11
1.360002996043941E12	-5.065133981987301E11
1.3698569242499902E12	-4.738354495567233E11
1.3789389723633154E12	-4.40890394430571E11
1.3872393101343901E12	-4.0769585644532056E11
1.3947517813438525E12	-3.742687307924896E11
1.4014689598870388E12	-3.4062890375709766E11
1.407383007197648E12	-3.06793393264414E11
1.412489350095515E12	-2.7278143575554788E11
1.4167802848496316E12	-2.386126470835051E11
