Sun X	Sun Y
2.682213188270419E8	9.183490034885982E8
2.307408113182518E8	9.486230539560627E8
1.915605197048912E8	9.770554312630813E8
1.5057197839749673E8	1.0037519004727348E9
1.0765406548229145E8	1.0284606763631902E9
6.284008729839189E7	1.0507671590099906E9
1.6650452429434968E7	1.0702864950298812E9
-3.0400718588090394E7	1.087223109458249E9
-7.81371429364311E7	1.101928083610488E9
-1.2685406227768324E8	1.1147046772844718E9
-1.768895970928068E8	1.1252035972747846E9
-2.281273869316729E8	1.1329753059838696E9
-2.801302345280666E8	1.1376731844362333E9
-3.324186770257252E8	1.1394719438826065E9
-3.8493727404415184E8	1.1385427129782813E9
-4.376897753250506E8	1.134901698572595E9
-4.906062621433728E8	1.1282813867855043E9
-5.432143914209846E8	1.118624529108512E9
-5.952585493501136E8	1.1061746163189418E9
-6.466959745313057E8	1.091243738039663E9
-6.978623299096229E8	1.073834252142552E9
-7.487322229800543E8	1.0535068386975534E9
-7.989200170379422E8	1.0299147588036268E9
-8.477023522109246E8	1.0030683906250758E9
-8.9471148139996E8	9.734973802434744E8
-9.399591691594582E8	9.416004242318902E8
-9.837051064454476E8	9.075318202031481E8
-1.0259282581655482E9	8.71014053700138E8
-1.0663074093736777E9	8.320312857236695E8
-1.1045314552572694E9	7.907126387360767E8
-1.140509310327136E9	7.474269995394578E8
-1.1743739569832838E9	7.021727867327276E8
-1.2059558732710128E9	6.548371569658368E8
-1.2348503640382025E9	6.053599047954874E8
-1.2605355934992995E9	5.541975039910878E8
-1.2830338259931033E9	5.019666988869003E8
-1.3026513779449632E9	4.490662709846192E8
-1.31980520505416E9	3.9536846992960197E8
-1.334305196985476E9	3.405546772921723E8
-1.3457524885015833E9	2.8465194393015313E8
-1.3537192853302262E9	2.280625351983195E8
-1.3582938068298402E9	1.7136292180785882E8
-1.359676553687845E9	1.1475881956106652E8
-1.3579960762177722E9	5.832170357330604E7
-1.3530669687005217E9	2106419.5745977964
-1.3448191280561914E9	-5.3423117881050706E7
-1.3334698291832318E9	-1.079079422430697E8
-1.3194396614563994E9	-1.6114857962952504E8
-1.3029536431505408E9	-2.1344481951716623E8
-1.2837514637421165E9	-2.648960456596957E8
-1.2614929661235635E9	-3.1529817930677205E8
-1.2360626973214571E9	-3.639679435494988E8
-1.2079409621079667E9	-4.104116218856829E8
-1.1776474918293617E9	-4.545137507594277E8
