Titan X	Titan Y
8.841974417795277E9	-1.505543714032551E12
4.0252535148693016E10	-1.5034618767470977E12
7.534140962323827E10	-1.5026340102235625E12
1.0619165422099779E11	-1.5016469856116252E12
1.395982826731587E11	-1.4970040844546812E12
1.7321133747684418E11	-1.4954109400968687E12
2.0374192852082498E11	-1.4902040528232546E12
2.384025637023526E11	-1.4847200322065615E12
2.6950760576699518E11	-1.480627766605384E12
3.0142516153815625E11	-1.4721116360063284E12
3.3522783534639307E11	-1.4662644439144836E12
3.648446371824543E11	-1.4581648182944763E12
3.982638875141765E11	-1.4481754676197925E12
4.294536159794556E11	-1.4407260050171604E12
4.5952437234401404E11	-1.4287768768138867E12
4.927756468269506E11	-1.4184952738242598E12
5.214998892473696E11	-1.4076175739995176E12
5.529613972438373E11	-1.3934524923408801E12
5.838910497614419E11	-1.382364329044454E12
6.119312132546162E11	-1.3674188048289307E12
6.43816858000091E11	-1.352708747157042E12
6.716459689194791E11	-1.3390393780438513E12
7.005849453326838E11	-1.3211633792183694E12
7.307272618241677E11	-1.3062026824307185E12
7.566960786810773E11	-1.288634124491806E12
7.864117273349818E11	-1.2697042156077603E12
8.132433458403135E11	-1.2531259770278154E12
8.392780448258732E11	-1.2320830534440054E12
8.679561428020043E11	-1.213138882064101E12
8.918984194796757E11	-1.1932132432884565E12
9.187272190440997E11	-1.1704616383448508E12
9.443039968487892E11	-1.150810375949947E12
9.672403308323667E11	-1.127161747896502E12
9.936918561440994E11	-1.1043018166194014E12
1.0156609792178306E12	-1.0821590843109459E12
1.0390333891537145E12	-1.0561359446430085E12
1.062922488925336E12	-1.0332754115342955E12
1.08272987233313E12	-1.0075373201382449E12
1.1061871168796738E12	-9.81032327857766E11
1.1261650843820862E12	-9.566998078792346E11
1.1456963523697898E12	-9.280523707898743E11
1.1673105438242307E12	-9.019495887385656E11
1.1840710450344536E12	-8.745409567831633E11
1.203841454040613E12	-8.448566954212996E11
1.2216765125587683E12	-8.182947715607092E11
1.2371801782644146E12	-7.877036678597025E11
1.2558358234978843E12	-7.584888792892144E11
1.2696730749244614E12	-7.297020194960391E11
1.2852069499904888E12	-6.974659572924562E11
1.300584749884407E12	-6.686376180721959E11
1.3120594804831536E12	-6.367523130949873E11
1.3270565527380076E12	-6.047515531172643E11
1.338057445988319E12	-5.747552849240931E11
1.3489949205346584E12	-5.40705369219377E11
1.3614506407986777E12	-5.0965286626347955E11
