Triton X	Triton Y
4.2907129995480127E12	-1.284444456231062E12
4.2962869488672495E12	-1.2654528943112954E12
4.301799965926958E12	-1.2464921086040142E12
4.3072117871378496E12	-1.2275791921452974E12
4.312487477590077E12	-1.2087114372404036E12
4.3176075774322905E12	-1.1898680239151414E12
4.3225719923099243E12	-1.1710174444609304E12
4.3273977227072427E12	-1.1521265080644104E12
4.3321132439889023E12	-1.133167717984191E12
4.336752063197717E12	-1.1141241569037803E12
4.341346419868823E12	-1.0949923657117621E12
4.345921062157197E12	-1.075783600249335E12
4.350487181484706E12	-1.0565229483477653E12
4.355037821008636E12	-1.0372450423520876E12
4.35954744994072E12	-1.0179856830331875E12
4.363977984202159E12	-9.987712053197915E11
4.3682901604222217E12	-9.796101634642383E11
4.3724552733630083E12	-9.604915113785734E11
4.3764621244120864E12	-9.413894599139663E11
4.380317712932192E12	-9.222716070050792E11
4.3840436024796953E12	-9.031067775708701E11
4.387670487489346E12	-8.838710179384326E11
4.391232259382183E12	-8.645518295390626E11
4.3947596666442563E12	-8.451510098749188E11
4.39827346730771E12	-8.256857116675103E11
4.401778006508904E12	-8.061863440561652E11
4.405257836310721E12	-7.866899409496608E11
4.408680490583373E12	-7.672297114781516E11
4.412005923168984E12	-7.47824748049218E11
4.41519872538111E12	-7.284748528420961E11
4.418237520888471E12	-7.091623304499485E11
4.421118620428685E12	-6.898584726344056E11
4.423854748237584E12	-6.705311739237555E11
4.4264711017438125E12	-6.511515503216996E11
4.429000267781484E12	-6.316991961440306E11
4.431476278080194E12	-6.121663659392249E11
4.433927566126832E12	-5.925608459485925E11
4.436369318000425E12	-5.729061728187949E11
4.438797506997123E12	-5.532373096990378E11
4.441188210499678E12	-5.335913532031656E11
4.443504226419584E12	-5.13996251376648E11
4.445706607388129E12	-4.944627537012506E11
4.447765647620304E12	-4.749829256962187E11
4.449667226609936E12	-4.555343519475721E11
4.451414069092219E12	-4.360868410703096E11
4.453023666482106E12	-4.16609118789006E11
4.454524465057717E12	-3.970746904054452E11
4.455950791699863E12	-3.774670165005907E11
4.457336203537664E12	-3.5778392048388055E11
4.458705306234576E12	-3.380400486879633E11
4.460065798613515E12	-3.1826519468765546E11
4.461404446613741E12	-2.9849701073063574E11
4.462690266841702E12	-2.787698113171281E11
