Uranus X	Uranus Y
2.6509111109705845E12	1.3566335405883025E12
2.6394752897189746E12	1.377270676633976E12
2.6278672410971606E12	1.397817968875025E12
2.616087602866283E12	1.4182740143879915E12
2.604137023815657E12	1.4386374136231094E12
2.5920161637616455E12	1.4589067704685984E12
2.5797256935484746E12	1.4790806923191763E12
2.567266295044573E12	1.499157790142456E12
2.55463866114143E12	1.5191366785541897E12
2.5418434957640005E12	1.5390159758889856E12
2.5288815138642656E12	1.5587943042594236E12
2.5157534414113965E12	1.5784702896272483E12
2.5024600153926665E12	1.5980425618755144E12
2.489001983809083E12	1.6175097548761182E12
2.4753801056727783E12	1.636870506559253E12
2.4615951509979355E12	1.6561234589752383E12
2.447647900784271E12	1.6752672583646975E12
2.433539147015983E12	1.6943005552349688E12
2.4192696926559287E12	1.7132220044231184E12
2.4048403516284033E12	1.732030265160663E12
2.3902519488055947E12	1.7507240011425413E12
2.3755053199907407E12	1.7693018805957947E12
2.360601311907504E12	1.7877625763529429E12
2.3455407821866675E12	1.8061047659147544E12
2.3303245993375186E12	1.824327131513547E12
2.314953642727279E12	1.842428360189502E12
2.2994288025642344E12	1.860407143861541E12
2.2837509798750854E12	1.8782621793970115E12
2.2679210864804434E12	1.8959921686797273E12
2.251940044959952E12	1.913595818678892E12
2.2358087886232583E12	1.931071841531888E12
2.219528261488748E12	1.9484189546223198E12
2.2030994182470845E12	1.9656358806521133E12
2.1865232242243015E12	1.9827213477258552E12
2.1698006553470217E12	1.9996740894381357E12
2.152932698106967E12	2.0164928449688018E12
2.1359203495333303E12	2.033176359181195E12
2.118764617152362E12	2.0497233827142986E12
2.1014665189445044E12	2.0661326720953652E12
2.0840270833181284E12	2.0824029898633245E12
2.0664473490801628E12	2.0985331046897249E12
2.0487283654079326E12	2.1145217915120054E12
2.0308711918264807E12	2.1303678316722026E12
2.012876898186366E12	2.1460700130690798E12
1.9947465646635454E12	2.1616271303265374E12
1.9764812817653286E12	2.1770379849522134E12
1.9580821503321035E12	2.19230138550314E12
1.939550281559353E12	2.2074161477661226E12
1.9208867970317317E12	2.222381094933081E12
1.9020928287688423E12	2.237195057776814E12
1.8831695192822986E12	2.25185687481355E12
1.8641180216285972E12	2.266365392453095E12
1.8449394994748464E12	2.2807194651518574E12
1.8256351271762468E12	2.294917955542521E12
1.8062060898412012E12	2.308959734536925E12
1.7866535833908079E12	2.322843681414928E12
1.7669788146073333E12	2.336568683892688E12
1.7471830011721062E12	2.3501336381807124E12
1.7272673716965815E12	2.363537449021965E12
1.707233165723325E12	2.376779029704638E12
1.6870816337063435E12	2.38985730207805E12
1.666814036981932E12	2.4027711965657876E12
1.6464316477203896E12	2.415519652173116E12
1.6259357488643486E12	2.4281016164968086E12
1.6053276340477156E12	2.440516045732134E12
1.584608607500603E12	2.4527619046996016E12
1.5637799839620627E12	2.464838166887511E12
1.5428430885842231E12	2.4767438144898496E12
1.5217992568272441E12	2.488477838458682E12
1.5006498343589492E12	2.5000392385705103E12
1.479396176953016E12	2.511427023503334E12
1.458039650399362E12	2.52264021093037E12
1.4365816304176519E12	2.5336778276060996E12
1.4150235025604917E12	2.54453890946016E12
1.393366662131169E12	2.555222501714368E12
1.3716125141106377E12	2.565727658995217E12
1.3497624730833599E12	2.5760534454496045E12
1.3278179631700142E12	2.5861989348623037E12
1.3057804179550308E12	2.596163210771696E12
1.283651280421095E12	2.605945366603337E12
1.2614320028977932E12	2.6155445057978477E12
1.2391240469987876E12	2.6249597419255015E12
1.2167288835589143E12	2.6341901988145884E12
1.1942479925780906E12	2.643235010680134E12
1.171682863164159E12	2.6520933222534272E12
1.149034993482644E12	2.660764288911313E12
1.12630589069823E12	2.6692470767911846E12
1.103497070909849E12	2.6775408629189824E12
1.080610059097835E12	2.6856448353437363E12
1.0576463890685669E12	2.693558193258587E12
1.034607603393096E12	2.701280147122822E12
1.0114952533444921E12	2.7088099187824033E12
9.883108988298708E11	2.7161467415961274E12
9.650561083320251E11	2.7232898605693335E12
9.417324588488185E11	2.7302385324699805E12
9.18341535819474E11	2.7369920259455664E12
8.948849330548125E11	2.7435496216509893E12
8.713642526667874E11	2.749910612372119E12
8.477811049986354E11	2.7560743031524277E12
8.241371085538641E11	2.7620400114089155E12
8.004338899119015E11	2.76780706704791E12
7.766730836488591E11	2.7733748125995327E12
7.528563322653132E11	2.778742603341435E12
7.28985286102979E11	2.783909807415427E12
7.050616032611511E11	2.788875805950187E12
6.810869495085686E11	2.793639993180547E12
6.570629981944386E11	2.798201776579253E12
6.329914301693961E11	2.802560576983142E12
6.088739336928864E11	2.806715828702636E12
5.847122043348168E11	2.810666979649809E12
5.605079448868035E11	2.814413491468795E12
5.3626286526936426E11	2.8179548396583774E12
5.1197868243994745E11	2.8212905136976914E12
4.8765712029716736E11	2.82442001715999E12
4.6329990957528644E11	2.8273428678377603E12
4.3890878775136414E11	2.830058597878265E12
4.144854989524093E11	2.832566753898424E12
3.900317938511795E11	2.834866897101801E12
3.655494295658991E11	2.8369586034020776E12
3.4104016955798676E11	2.8388414635435854E12
3.165057835343494E11	2.840515083227516E12
2.919480473524583E11	2.841979083221457E12
2.6736874291203998E11	2.8432330994647407E12
2.4276965805000687E11	2.84427678319032E12
2.181525864424749E11	2.845109801035823E12
1.935193275021285E11	2.845731835148118E12
1.6887168627542963E11	2.8461425832833433E12
1.4421147333279608E11	2.846341758902496E12
1.1954050466001573E11	2.846329091279033E12
9.486060155977199E10	2.8461043255939683E12
7.017359054237933E10	2.845667223013675E12
4.548130321156973E10	2.8450175607759404E12
2.0785576151849113E10	2.8441551322721704E12
-3.9117491868538547E9	2.8430797471294067E12
-2.8608826598628914E10	2.8417912312855117E12
-5.330380524086994E10	2.840289427044864E12
-7.799482976382811E10	2.8385741931485205E12
-1.0268004042998878E11	2.8366454048454673E12
-1.2735757323708325E11	2.834502953945456E12
-1.5202556004806485E11	2.832146748872837E12
-1.7668212872265088E11	2.829576714712481E12
-2.01325403260326E11	2.826792793259574E12
-2.2595350393578287E11	2.8237949430785312E12
-2.505645474330984E11	2.8205831395370366E12
-2.7515664699807166E11	2.8171573748403755E12
-2.9972791258863153E11	2.8135176580790503E12
-3.242764510253805E11	2.809664015265832E12
-3.488003661469237E11	2.8055964893752593E12
-3.732977589639812E11	2.801315140372722E12
-3.9776672782897E11	2.7968200452383477E12
-4.222053686103633E11	2.7921112980125054E12
-4.4661177485724945E11	2.787189009831661E12
-4.7098403797632117E11	2.7820533089525605E12
-4.953202474166374E11	2.7767043407859424E12
-5.196184908592877E11	2.771142267929537E12
-5.438768544148111E11	2.7653672702121294E12
-5.680934228153567E11	2.759379544736041E12
-5.922662796193358E11	2.753179305905946E12
-6.163935074323353E11	2.7467667854777646E12
-6.404731881264801E11	2.7401422326184907E12
-6.645034030648925E11	2.733305913965573E12
-6.884822333313485E11	2.7262581136943E12
-7.124077599673391E11	2.7189991335841377E12
-7.362780642236564E11	2.7115292931075835E12
-7.60091227804038E11	2.7038489295373887E12
-7.838453331068612E11	2.695958398045872E12
-8.075384634768575E11	2.6878580718184116E12
-8.311687034521119E11	2.679548342182423E12
-8.547341390095073E11	2.6710296187465044E12
-8.782328577964856E11	2.662302329555299E12
-9.016629493455359E11	2.653366921230299E12
-9.250225052917911E11	2.6442238591122646E12
