Callisto X	Callisto Y
-6.362194163048435E11	-5.023381606801219E11
-6.063360455910796E11	-5.398903906434983E11
-5.748286657438555E11	-5.68189793696646E11
-5.4133007388168304E11	-6.021704229175005E11
-5.060143634141053E11	-6.266742795227454E11
-4.693036694213826E11	-6.566476560530034E11
-4.3060219761664026E11	-6.769586218791727E11
-3.911304652390135E11	-7.025264908391533E11
-3.4951378610960187E11	-7.182887891387311E11
-3.077775570318514E11	-7.390968077222484E11
-2.6376032261999725E11	-7.500016156907759E11
-2.2029736256848047E11	-7.657438499964463E11
-1.74437214894815E11	-7.715343141346593E11
-1.2982602174739964E11	-7.819598298561978E11
-8.271869585439886E10	-7.824386914488386E11
-3.757114877076766E10	-7.873586437160311E11
1.0154277142320755E10	-7.823931273673556E11
5.519652002300914E10	-7.816855765602513E11
1.028825340351764E11	-7.712144951500975E11
1.471547170285566E11	-7.64832369144428E11
1.9412459297198633E11	-7.488723843761755E11
2.3694908080696274E11	-7.36848280563967E11
2.8251357368859717E11	-7.154979536647759E11
3.23206076869953E11	-6.97949364915174E11
3.666756565045078E11	-6.713957463229193E11
4.045605366125113E11	-6.485301781836672E11
4.452562027317204E11	-6.170497061680507E11
4.796752253332109E11	-5.891649795049751E11
5.169423748666725E11	-5.531272039319226E11
5.472709489291157E11	-5.206143600905879E11
5.804940377505986E11	-4.804797097780882E11
6.061560136113103E11	-4.4381964619398206E11
6.347724489759978E11	-4.001364063205494E11
6.552496138471091E11	-3.598921516263302E11
6.787705061249395E11	-3.1329710851547833E11
6.936228321911277E11	-2.7010628790380087E11
7.116360915162136E11	-2.2130277202468118E11
7.20519542762175E11	-1.758766993500134E11
7.3270781077912E11	-1.2562729410345647E11
7.353815305438286E11	-7.872969780809927E10
7.415335564760051E11	-2.7839574301592846E10
7.378698159607908E11	1.972893896917917E10
7.378881616291658E11	7.042681225614333E10
7.278775268214818E11	1.1784457684750261E11
7.217838609672721E11	1.6751315716893646E11
7.055384501827401E11	2.139626799256966E11
6.934760985317449E11	2.6177117111154138E11
6.7123296711422E11	3.064406501665161E11
6.534474885363888E11	3.51632352340881E11
6.255568898229993E11	3.9372838280922974E11
6.024135220024801E11	4.3559808821371246E11
5.693402362835774E11	4.743292415554003E11
5.412937185778261E11	5.1233462885570996E11
5.035712982652619E11	5.470124221013209E11
4.7120206124059485E11	5.805097356115415E11
4.2942178288429407E11	6.10703388417909E11
3.9337074531380634E11	6.390993435345852E11
3.482053876556406E11	6.644346225789047E11
3.091534528705449E11	6.872057414646686E11
2.6133404486835248E11	7.075361060058022E11
2.1994571616118033E11	7.241499508679248E11
1.7032863612685745E11	7.395062405854675E11
1.2718105597935811E11	7.495814434305099E11
7.667962216330336E10	7.598472859380011E11
3.2394827177883797E10	7.63404963104768E11
-1.8131451821714546E10	7.68431871375575E11
-6.294990762301656E10	7.655555710275427E11
-1.126156693622832E11	7.653514393844565E11
-1.5744445597899347E11	7.562003197409785E11
-2.0539158184440356E11	7.508096083396414E11
-2.496312557764436E11	7.357442421870033E11
-2.9516652709272955E11	7.252007702194004E11
-3.3824048751274585E11	7.046496960646478E11
-3.8064268948921246E11	6.890853958395151E11
-4.220532738275864E11	6.63565832883888E11
-4.607560716247953E11	6.431379788155282E11
-4.999645961745848E11	6.132448403058995E11
-5.3443616668548737E11	5.881250236146206E11
-5.709565413579307E11	5.545407985955507E11
-6.008548040171362E11	5.249571915211765E11
