Ceres X	Ceres Y
-2.1498486899173483E11	3.1746920808787317E11
-2.6604796116744177E11	2.716478082556228E11
-3.0904870103045105E11	2.1763324644897028E11
-3.426067499497307E11	1.5700245130806244E11
-3.656798693549793E11	9.159603785083727E10
-3.7761914715939233E11	2.34266156521037E10
-3.781945781255416E11	-4.542486139738501E10
-3.6758924451887213E11	-1.1291304629174506E11
-3.4636530626656647E11	-1.771214700664493E11
-3.154086787401488E11	-2.3633703796336957E11
-2.758611409084532E11	-2.8910161920464935E11
-2.2904851512478757E11	-3.342404911463164E11
-1.7641199517012204E11	-3.708703419676209E11
-1.1944735925710866E11	-3.983912267759619E11
-5.965458363156094E10	-4.1646743739958014E11
1.5015653317136292E9	-4.250018085603297E11
6.262068001174786E10	-4.241072807078829E11
1.223869630347765E11	-4.140785766056714E11
1.7958224808559033E11	-3.953658518749848E11
2.3309352687387857E11	-3.685513067364297E11
2.819166688074006E11	-3.3432920421132635E11
3.251577938248841E11	-2.9348932169259E11
3.620335307631461E11	-2.4690357081566006E11
3.918711583344157E11	-1.9551536542757556E11
4.141094106725852E11	-1.4033122154345438E11
4.2830049381984064E11	-8.241396778346413E10
4.341137494434407E11	-2.2876851196762405E10
4.3134130065308105E11	3.712220504587112E10
4.199058471313918E11	9.638701628452437E10
3.9987062447763385E11	1.5369116425722256E11
3.714513692934723E11	2.0778868133615918E11
3.350298146642965E11	2.574285144961662E11
2.911678892851471E11	3.0137399919972424E11
2.4062133531842166E11	3.3842850875176544E11
1.8435081219394806E11	3.674682406065531E11
1.2352790052629637E11	3.874826614316985E11
5.953282038924911E10	3.976222993667421E11
-6.059792132772639E9	3.972522011120203E11
-7.151068649580916E10	3.8600779066419055E11
-1.3496406220982713E11	3.6384795440959875E11
-1.9451476747837476E11	3.310983198461835E11
-2.4829257933904004E11	2.884767621135744E11
-2.945578939953295E11	2.3709369436263467E11
-3.317996265664388E11	1.7842212560453275E11
-3.588238789153856E11	1.1423665079291821E11
-3.748220175941646E11	4.652589343182457E10
-3.794093993659121E11	-2.2612270851294575E10
-3.726307851055705E11	-9.108042518712532E10
-3.549339896173458E11	-1.5688373902646646E11
-3.2711809254950616E11	-2.1821449180528146E11
-2.902653349439595E11	-2.735130364355963E11
-2.456663483108449E11	-3.215037596780068E11
-1.947470251498064E11	-3.612082379612356E11
-1.3900290788222775E11	-3.919400852829348E11
-7.994438288295433E10	-4.132868771890591E11
-1.9053741323343884E10	-4.250843403997961E11
4.224643644957876E10	-4.2738707741228705E11
1.026151159532366E11	-4.204390195285862E11
1.6080677093686536E11	-4.04645767576424E11
2.156794276015047E11	-3.805499998495063E11
2.6619861604827975E11	-3.488104367376873E11
3.1143881188093225E11	-3.1018446488220435E11
3.5058359938253705E11	-2.6551418059533286E11
3.8292556627655054E11	-2.157153707524971E11
4.078667354472647E11	-1.617689083862741E11
4.2492012106985095E11	-1.0471393666409299E11
4.337128704857517E11	-4.564215831424015E10
4.3399134800110254E11	1.4307497324132214E10
4.256283748694684E11	7.395461819819704E10
4.086326962792071E11	1.3208438076671101E11
3.8316060718614813E11	1.8745693547057574E11
3.495293553160027E11	2.3882022844588806E11
3.082316608276978E11	2.8492749282703253E11
2.5995023804106866E11	3.2456064234153864E11
2.0557061531622183E11	3.565606678113455E11
1.4618982434064578E11	3.798657733712603E11
8.31178971535116E10	3.935573376501538E11
1.7868536271452156E10	3.969125833776079E11
-4.7864868076430046E10	3.894612372322802E11
-1.1225116212573268E11	3.7104152174965607E11
-1.7338302937817514E11	3.4184888367236096E11
-2.2935727430729242E11	3.0246935928086066E11
-2.7836925578889905E11	2.538893780717929E11
-3.1881308544058514E11	1.9747570258626752E11
-3.4937624764466504E11	1.3492303612707158E11
-3.6911650777545856E11	6.817222005479476E10
-3.7751094988600195E11	-6.925310760703272E8
-3.7447137780196814E11	-6.95550676842025E10
-3.6032613523689276E11	-1.3637422012028995E11
-3.357738255610436E11	-1.99274922842427E11
-3.0181785888874695E11	-2.5661634846788123E11
-2.5969185471700693E11	-3.070345508033841E11
-2.107849092378588E11	-3.4946118159522375E11
-1.5657337082572925E11	-3.8312245337426483E11
-9.856296318847058E10	-4.075237511080572E11
-3.824282855537347E10	-4.224253437913048E11
2.2948779262989098E10	-4.278137351740121E11
8.364855533369885E10	-4.238721124681644E11
1.4258386070245834E11	-4.109522621517364E11
1.9858208772351556E11	-3.895493644019461E11
2.505755387593602E11	-3.6028028622122687E11
2.9760345867434235E11	-3.2386554258680066E11
3.388125396032378E11	-2.8111473503432996E11
3.734569618742117E11	-2.3291505331635092E11
4.0089879112951776E11	-1.8022230688749054E11
4.206093907707035E11	-1.2405387584403401E11
4.3217233824807074E11	-6.54829270505217E10
4.352882300523658E11	-5.633180709725006E9
4.2978161656139685E11	5.4326545745300865E10
4.156101696035089E11	1.1318890400756265E11
3.928760423072775E11	1.6971668160080966E11
3.6183916679717175E11	2.2265466429898172E11
3.2293186720218915E11	2.7074587491383554E11
2.767737722069628E11	3.127534610384602E11
2.2418549615941913E11	3.474893785649725E11
1.6619883322546738E11	3.73850677920714E11
1.0406051005000941E11	3.9086364058845514E11
3.922603653240237E10	3.977350102134478E11
-2.6660106799413536E10	3.939079676637697E11
-9.180140487614328E10	3.791186873775833E11
-1.543054752249936E11	3.534473933785426E11
-2.1225921744727936E11	3.173562424238948E11
-2.6381935477979123E11	2.7170596209001758E11
-3.0731105536398883E11	2.177445144799721E11
-3.413241637325444E11	1.5706436206605194E11
-3.647952426053093E11	9.15297301249546E10
-3.7706483111887244E11	2.3180668926475246E10
-3.779029651977267E11	-4.587520085258684E10
-3.675014270982408E11	-1.1357053819081773E11
-3.464365127524056E11	-1.7797400314130383E11
-3.1561008822058777E11	-2.3736547190541348E11
-2.761784270337674E11	-2.902867630754241E11
-2.2947802110280933E11	-3.355681524602007E11
-1.7695566763351343E11	-3.723339748019638E11
-1.201075427788192E11	-3.999922639849067E11
-6.042952458125512E10	-4.182137565478337E11
6.209150080423204E8	-4.269050714726046E11
6.1652222427986885E10	-4.2617982767970526E11
1.2135740271929626E11	-4.1633035560515735E11
1.7852573563171515E11	-3.978017408547756E11
2.320494366948869E11	-3.71169109283021E11
2.8092694318599854E11	-3.3711845020357764E11
3.242642522420859E11	-2.964309110288895E11
3.6127543079976953E11	-2.499702267463209E11
3.912832109932873E11	-1.9867277469247116E11
4.137203808903405E11	-1.4353970483023822E11
4.2813247786371606E11	-8.56304877299082E10
4.341821685268501E11	-2.605716238590578E10
4.316555723437836E11	3.4021480424483665E10
4.204705809640372E11	9.34066289920355E10
4.0068710469031854E11	1.508680970566747E11
3.725190633643599E11	2.051558953693595E11
3.363476194801117E11	2.5501576301466013E11
2.927348149831334E11	2.9920968165392145E11
2.4243631559617087E11	3.365423116773261E11
1.864113879011358E11	3.658940717415382E11
1.2582758360731357E11	3.8626118129681396E11
6.205714377521861E10	3.968022801158673E11
-3.3382019604417095E9	3.9689001735330396E11
-6.863724284358589E10	3.861644627550622E11
-1.3200649479845245E11	3.6458340366285486E11
-1.9156529038321808E11	3.324631155091967E11
-2.4546672002235474E11	2.905022969280541E11
-2.9198919388372845E11	2.3978236146870306E11
-3.2963020942254065E11	1.8173943847939008E11
-3.571918724474492E11	1.1810721716434407E11
-3.738476415077223E11	5.083451137023704E10
-3.7918204326147174E11	-1.801413252812902E10
-3.731992152201602E11	-8.63636180899974E10
-3.563011828903125E11	-1.5222771109167175E11
-3.292412554225849E11	-2.1379300258514462E11
-2.93060648045547E11	-2.6948131458145078E11
-2.4901720686204694E11	-3.179885458607487E11
-1.9851426369386484E11	-3.583014977649629E11
-1.4303558496062857E11	-3.896964613354013E11
-8.408992068380424E10	-4.117244278984142E11
-2.3166610301757317E10	-4.241878449125692E11
3.829793682673896E10	-4.271131010356942E11
9.89441001422829E10	-4.2072197145600824E11
1.5750496164315247E11	-4.054042752224147E11
2.1281610570465436E11	-3.816931166768954E11
2.6382105985946124E11	-3.502433490382117E11
3.0957391530425653E11	-3.118134713530288E11
3.49240375587155E11	-2.6725076241518753E11
3.820982917889573E11	-2.174792714854564E11
4.0753850003044385E11	-1.634901808939657E11
4.250665825752945E11	-1.0633395654866585E11
4.3430599612650793E11	-4.711360931657828E10
4.3500293608581946E11	1.3021649025112171E10
4.270331402950224E11	7.288311936197557E10
4.104106808813177E11	1.3125056882642485E11
3.852986339559674E11	1.8688238852145053E11
3.5202130278004694E11	2.385290021174501E11
3.110772954376598E11	2.849505993468114E11
2.6315234335399588E11	3.249403152080289E11
2.091302911526003E11	3.5735382839684503E11
1.5010006132371896E11	3.811459657609257E11
8.73557889622074E10	3.954142675200636E11
2.238689075366547E10	3.994484687173636E11
-4.314529144083044E10	3.927833773352349E11
-1.0744718397603595E11	3.752509913825695E11
-1.6865053157858768E11	3.470260167428164E11
-2.248870641951738E11	3.086576658589698E11
-2.7437647337631522E11	2.6108049310115903E11
-3.1552055357442255E11	2.0559847968265775E11
-3.469936250247887E11	1.4383966377072266E11
-3.6781844330175934E11	7.768308127612672E10
-3.774180419780934E11	9.164677113551926E9
