Enceladus X	Enceladus Y
8.6241376022464E9	-1.5043226162699944E12
4.1312941055864525E10	-1.5037857068740632E12
7.393189523057683E10	-1.502650122247579E12
1.0718908364863657E11	-1.5010038088342942E12
1.401095031823799E11	-1.4981166580055908E12
1.7261477839809116E11	-1.494901936438314E12
2.0455554541286215E11	-1.4904794022889553E12
2.3764499826523627E11	-1.4850098399758801E12
2.697019403065066E11	-1.4792031125338772E12
3.017964472790345E11	-1.473132229588172E12
3.338271794643874E11	-1.4659113046156619E12
3.6631044710127563E11	-1.4577645035164236E12
3.975590039610356E11	-1.4497910596769011E12
4.284951932726725E11	-1.4395830544977979E12
4.600820620940276E11	-1.4299065661512524E12
4.9057970414330597E11	-1.4180428845126633E12
5.224389505586051E11	-1.406348230172514E12
5.532315381480897E11	-1.3941940028735217E12
5.83025352250374E11	-1.3801880827279614E12
6.132509501289858E11	-1.3678877992861702E12
6.433370589257853E11	-1.3519386955096492E12
6.726273528180732E11	-1.3380022627710422E12
7.018088767734229E11	-1.3201564492912468E12
7.304680178041368E11	-1.3034251947116436E12
7.594588498297327E11	-1.286317200226352E12
7.855464332608136E11	-1.270691920887666E12
8.153902453770062E11	-1.249895600870873E12
8.413929645290737E11	-1.2306797009650312E12
8.666993753685133E11	-1.2121922458103567E12
8.928578539165789E11	-1.1917620658626045E12
9.204743820708948E11	-1.1691482305526355E12
9.480173785294097E11	-1.146994752016178E12
9.731751376491023E11	-1.125920368184976E12
9.954608928586111E11	-1.102020148576574E12
1.0227093974562772E12	-1.0789073385006971E12
1.04408279561258E12	-1.0539871217238058E12
1.0683311194201869E12	-1.0314223777194027E12
1.0929550499974092E12	-1.0041137765582797E12
1.1120988012149258E12	-9.780912358441354E11
1.1306949492162742E12	-9.556615093754556E11
1.1575430494183442E12	-9.266813753982059E11
1.1795300422033635E12	-8.979581227621975E11
1.198569737064314E12	-8.694088375918036E11
1.2148464428840234E12	-8.411406153731638E11
1.227632943923662E12	-8.136618558165486E11
1.2451564978504397E12	-7.884381335922665E11
1.269831889758892E12	-7.576176671092318E11
1.291420320782709E12	-7.265396144542344E11
1.311228340047294E12	-6.951957251929863E11
1.3296446715888206E12	-6.635774659989698E11
1.3468514782543774E12	-6.316856815228729E11
1.3629514918270012E12	-5.995265338947687E11
1.3780089931840303E12	-5.671093160364567E11
1.3920669678244583E12	-5.344452941012919E11
1.405155512016666E12	-5.015470532467099E11
1.4172964177585942E12	-4.684281039195923E11
1.4285058775550684E12	-4.351026320433665E11
1.4387961788778628E12	-4.01585333551166E11
1.4481768175045872E12	-3.6789130059172986E11
1.4566552584282698E12	-3.3403594090973474E11
1.4642374730545063E12	-3.000349194362119E11
1.4709283289451929E12	-2.6590411494658206E11
1.4767318796088552E12	-2.316595872810231E11
1.481651584527679E12	-1.9731755222636465E11
1.4856904794876565E12	-1.628943619635542E11
1.488851310717632E12	-1.2840648983371085E11
1.491136641895594E12	-9.387051826987225E10
1.4925489408970957E12	-5.930312900405551E10
1.493090651156491E12	-2.4721095173004025E10
1.4927642509200833E12	9.858725163474516E9
1.4915723030740376E12	4.4419394423983475E10
1.489517497280138E12	7.894390011517453E10
1.486602686019954E12	1.134151590719806E11
1.4828309159658574E12	1.4781602137086102E11
1.47820545518235E12	1.82129273960961E11
1.4727298168391914E12	2.163376444141394E11
1.4664077801778044E12	2.5042380484043665E11
1.4592434090126594E12	2.8437037611978815E11
1.4512410683562778E12	3.181599326227489E11
1.4424054393438594E12	3.517750072603533E11
1.432741532344973E12	3.8519809714175134E11
1.4222546989348909E12	4.1841167007252277E11
1.4109506428439119E12	4.513981716686034E11
1.3988354297822996E12	4.841400332133018E11
1.3859154964409521E12	5.166196803350695E11
1.3721976585606506E12	5.488195424146442E11
1.3576891182562786E12	5.807220629892764E11
1.342397470939408E12	6.123097109872123E11
1.3263307114838367E12	6.435649925901373E11
1.309497239656351E12	6.744704639807732E11
1.291905865109831E12	7.050087449217627E11
1.2735658117836716E12	7.351625330519677E11
1.2544867218669185E12	7.649146189347256E11
1.2346786591553977E12	7.94247901604145E11
1.2141521116210037E12	8.231454047315406E11
1.1929179935229448E12	8.515902935255142E11
1.17098764697271E12	8.795658920514845E11
1.148372842780335E12	9.070557009688203E11
1.1250857806030266E12	9.340434156180509E11
1.1011390882502065E12	9.605129444322314E11
1.0765458203201499E12	9.864484277879731E11
1.0513194562148707E12	1.0118342569996687E12
1.0254738971278077E12	1.0366550932933868E12
9.990234621621978E11	1.0608958869942152E12
9.719828836130989E11	1.0845418967227355E12
9.443673013080193E11	1.1075787086021128E12
9.161922561800345E11	1.1299922554033926E12
8.874736827672927E11	1.1517688352658208E12
8.582279005831063E11	1.1728951303276826E12
8.284716047552228E11	1.1933582252324932E12
7.982218556988805E11	1.213145625095941E12
7.674960677305033E11	1.2322452730557834E12
7.36311996787056E11	1.250645567322348E12
7.046877270476167E11	1.2683353776024834E12
6.726416567232322E11	1.285304061186312E12
6.401924831288807E11	1.301541478241636E12
6.073591866765448E11	1.317038006154722E12
5.741610139997194E11	1.331784553308741E12
5.40617460402279E11	1.345772572019558E12
5.0674825150365643E11	1.3589940705812764E12
4.725733242831784E11	1.3714416244122773E12
4.381128074062441E11	1.3831083860159038E12
4.0338700081764276E11	1.3939880940401145E12
3.684163549626881E11	1.404075081488292E12
3.332214495759399E11	1.413364282663024E12
2.9782297199397473E11	1.4218512389854932E12
2.6224169512615308E11	1.429532103681732E12
2.2649845510235727E11	1.4364036453584883E12
1.906141288058297E11	1.4424632505988804E12
1.546096113860089E11	1.4477089252090842E12
1.1850579355803557E11	1.4521392941884377E12
8.232353892468813E10	1.4557536007073157E12
4.608366141864012E10	1.4585517039205095E12
