Eris X	Eris Y
1.2934665104403316E13	5.519782136231867E12
1.2932250222455371E13	5.525360199782996E12
1.2929827855042037E13	5.530935065099529E12
1.292739800163847E13	5.536506728132681E12
1.2924960661719027E13	5.542075184831019E12
1.2922515834757375E13	5.547640431140482E12
1.2920063520226367E13	5.553202463004256E12
1.2917603717598094E13	5.558761276362719E12
1.2915136426343656E13	5.564316867153465E12
1.2912661645933357E13	5.569869231311204E12
1.2910179375836496E13	5.575418364767713E12
1.290768961552137E13	5.580964263451809E12
1.2905192364455148E13	5.586506923289301E12
1.2902687622103842E13	5.592046340202978E12
1.2900175387932287E13	5.597582510112547E12
1.2897655661404086E13	5.603115428934642E12
1.2895128441981387E13	5.608645092582758E12
1.289259372912494E13	5.614171496967277E12
1.2890051522294086E13	5.619694637995475E12
1.2887501820946443E13	5.62521451157148E12
1.2884944624538139E13	5.630731113596251E12
1.2882379932523514E13	5.63624443996766E12
1.287980774435519E13	5.641754486580497E12
1.2877228059483969E13	5.647261249326454E12
1.287464087735882E13	5.652764724094192E12
1.2872046197426793E13	5.658264906769413E12
1.2869444019132938E13	5.663761793234828E12
1.2866834341920396E13	5.669255379370265E12
1.2864217165230273E13	5.674745661052764E12
1.2861592488501885E13	5.680232634156541E12
1.2858960311172385E13	5.685716294553148E12
1.2856320632677027E13	5.691196638111515E12
1.2853673452449217E13	5.696673660697984E12
1.2851018769920371E13	5.702147358176435E12
1.2848356584520193E13	5.707617726408331E12
1.2845686895676623E13	5.713084761252808E12
1.284300970281596E13	5.718548458566679E12
1.2840325005362902E13	5.724008814204557E12
1.2837632802740703E13	5.729465824018874E12
1.283493309437123E13	5.734919483859916E12
1.2832225879675129E13	5.740369789575867E12
1.2829511158071885E13	5.745816737012782E12
1.2826788928979969E13	5.751260322014657E12
1.282405919181683E13	5.75670054042338E12
1.2821321945999203E13	5.762137388078726E12
1.2818577190943033E13	5.767570860818304E12
1.2815824926063742E13	5.773000954477516E12
1.281306515077608E13	5.778427664889486E12
1.281029786449427E13	5.783850987885019E12
1.2807523066632193E13	5.789270919292563E12
1.2804740756603246E13	5.794687454938012E12
1.2801950933820432E13	5.80010059064469E12
1.2799153597696348E13	5.805510322233281E12
1.2796348747643186E13	5.810916645521686E12
1.2793536383072695E13	5.816319556324952E12
1.2790716503396148E13	5.821719050455135E12
1.2787889108024219E13	5.827115123721291E12
1.2785054196367006E13	5.832507771929395E12
1.2782211767833895E13	5.837896990882185E12
1.2779361821833535E13	5.843282776379119E12
1.277650435777362E13	5.848665124216446E12
1.2773639375060943E13	5.854044030186981E12
1.2770766873101186E13	5.859419490080186E12
1.2767886851299025E13	5.864791499682095E12
1.2764999309057734E13	5.87016005477535E12
1.2762104245779342E13	5.875525151139186E12
1.2759201660864414E13	5.880886784549352E12
1.2756291553712096E13	5.886244950778262E12
1.2753373923719967E13	5.89159964559492E12
1.275044877028401E13	5.896950864764961E12
1.274751609279855E13	5.90229860405074E12
1.2744575890656256E13	5.907642859211337E12
1.274162816324808E13	5.912983626002574E12
1.2738672909963275E13	5.918320900177111E12
1.2735710130189299E13	5.923654677484496E12
1.2732739823312014E13	5.928984953671151E12
1.2729761988715402E13	5.934311724480534E12
1.2726776625781932E13	5.939634985653023E12
1.2723783733892316E13	5.944954732926157E12
1.2720783312425615E13	5.950270962034558E12
1.2717775360759447E13	5.955583668709991E12
1.2714759878269773E13	5.960892848681444E12
1.2711736864331088E13	5.966198497675131E12
1.270870631831653E13	5.971500611414516E12
1.2705668239597883E13	5.976799185620414E12
1.2702622627545545E13	5.982094216010936E12
1.2699569481528814E13	5.987385698301522E12
1.2696508800915742E13	5.992673628204988E12
1.2693440585073297E13	5.997958001431508E12
1.2690364833367482E13	6.003238813688635E12
1.2687281545163271E13	6.008516060681292E12
1.2684190719824791E13	6.013789738111764E12
1.2681092356715303E13	6.019059841679697E12
1.2677986455197309E13	6.024326367082087E12
1.267487301463258E13	6.0295893100132295E12
1.2671752034382342E13	6.034848666164724E12
1.266862351380701E13	6.040104431225441E12
1.266548745226658E13	6.045356600881512E12
1.266234384912047E13	6.050605170816208E12
1.2659192703727629E13	6.055850136709992E12
1.2656034015446545E13	6.061091494240452E12
1.2652867783635191E13	6.066329239082201E12
1.2649694007651227E13	6.071563366906891E12
1.2646512686851838E13	6.076793873383129E12
1.2643323820593889E13	6.082020754176427E12
1.2640127408233775E13	6.087244004949117E12
1.2636923449127535E13	6.092463621360362E12
1.2633711942630748E13	6.097679599066021E12
1.2630492888098602E13	6.102891933718623E12
1.2627266284885691E13	6.108100620967265E12
1.2624032132346379E13	6.113305656457652E12
1.2620790429834346E13	6.118507035831918E12
1.2617541176702719E13	6.123704754728632E12
1.2614284372303906E13	6.128898808782723E12
1.2611020015989777E13	6.13408919362543E12
1.2607748107111453E13	6.139275904884191E12
1.2604468645019178E13	6.1444589381827E12
1.2601181629062387E13	6.149638289140777E12
1.2597887058589555E13	6.154813953374345E12
1.259458493294816E13	6.159985926495398E12
1.2591275251484582E13	6.165154204111927E12
1.2587958013543951E13	6.170318781827994E12
1.2584633218470305E13	6.175479655243599E12
1.2581300865606213E13	6.180636819954733E12
1.257796095429289E13	6.185790271553363E12
1.2574613483869979E13	6.190940005627402E12
1.2571258453675645E13	6.196086017760731E12
1.2567895863046389E13	6.201228303533275E12
1.256452571131703E13	6.20636685852095E12
1.2561147997820623E13	6.211501678295722E12
1.255776272188842E13	6.216632758425627E12
1.2554369882849803E13	6.221760094474928E12
1.2550969480032314E13	6.226883682004026E12
1.2547561512761627E13	6.232003516569607E12
1.2544145980361504E13	6.237119593724684E12
1.2540722882153795E13	6.242231909018698E12
1.253729221745857E13	6.247340457997567E12
1.2533853985594033E13	6.252445236203806E12
1.2530408185876596E13	6.257546239176502E12
1.2526954817620926E13	6.262643462451535E12
1.2523493880140041E13	6.267736901561529E12
1.2520025372745543E13	6.272826552036033E12
1.2516549294747395E13	6.277912409401436E12
1.251306564545429E13	6.282994469181175E12
1.2509574424173627E13	6.288072726895689E12
1.2506075630211764E13	6.293147178062452E12
1.250256926287401E13	6.298217818196035E12
1.2499055321464736E13	6.303284642808085E12
1.249553380528756E13	6.308347647407322E12
1.2492004713645424E13	6.313406827499516E12
1.2488468045840748E13	6.318462178587449E12
1.2484923801175393E13	6.323513696170864E12
1.2481371978950898E13	6.328561375746409E12
1.2477812578468402E13	6.333605212807565E12
1.2474245599028812E13	6.338645202844557E12
1.2470671039932775E13	6.343681341344297E12
1.2467088900480678E13	6.348713623790204E12
1.2463499179972648E13	6.353742045662182E12
1.2459901877708602E13	6.358766602436512E12
1.2456296992988107E13	6.363787289585724E12
1.2452684525110389E13	6.368804102578505E12
1.244906447337434E13	6.373817036879566E12
1.2445436837078252E13	6.378826087949638E12
1.2441801615519898E13	6.383831251245341E12
1.2438158807996451E13	6.388832522219151E12
1.2434508413804227E13	6.393829896319222E12
1.243085043223873E13	6.398823368989498E12
1.2427184862594434E13	6.40381293566959E12
1.2423511704164824E13	6.408798591794753E12
1.2419830956242213E13	6.413780332795848E12
1.2416142618117604E13	6.418758154099352E12
1.241244668908068E13	6.423732051127464E12
1.2408743168419719E13	6.428702019297921E12
1.2405032055421588E13	6.433668054024169E12
1.2401313349371469E13	6.438630150715349E12
1.2397587049552969E13	6.443588304776328E12
1.2393853155248113E13	6.448542511607742E12
1.239011166573726E13	6.453492766606063E12
1.238636258029901E13	6.45843906516367E12
1.2382605898210312E13	6.463381402668775E12
1.2378841618746416E13	6.468319774505661E12
1.2375069741180979E13	6.473254176054611E12
1.2371290264785842E13	6.478184602691994E12
1.2367503188831309E13	6.483111049790333E12
1.236370851258613E13	6.488033512718364E12
1.2359906235317371E13	6.492951986841056E12
1.2356096356290787E13	6.497866467519692E12
1.235227887477053E13	6.502776950111889E12
1.2348453790019459E13	6.507683429971641E12
1.234462110129909E13	6.512585902449397E12
1.234078080786969E13	6.517484362891992E12
1.2336932908990344E13	6.522378806642797E12
1.233307740391906E13	6.527269229041688E12
1.2329214291912803E13	6.532155625425029E12
1.2325343572227543E13	6.537037991125722E12
1.2321465244118383E13	6.541916321473228E12
1.2317579306839633E13	6.546790611793489E12
1.2313685759644773E13	6.551660857409084E12
1.2309784601786686E13	6.556527053639034E12
1.2305875832517588E13	6.56138919579889E12
1.2301959451089158E13	6.566247279200714E12
1.2298035456752578E13	6.571101299153041E12
1.2294103848758543E13	6.575951250960848E12
1.2290164626357395E13	6.580797129925516E12
1.2286217788799127E13	6.585638931344786E12
1.2282263335333336E13	6.59047665051275E12
1.2278301265209434E13	6.595310282719765E12
1.2274331577676486E13	6.600139823252456E12
1.227035427198337E13	6.604965267393625E12
1.2266369347378758E13	6.609786610422182E12
1.2262376803111094E13	6.614603847613111E12
1.2258376638428648E13	6.619416974237436E12
1.2254368852579398E13	6.624225985562137E12
1.2250353444811152E13	6.629030876850044E12
1.2246330414371436E13	6.633831643359828E12
1.2242299760507627E13	6.638628280345918E12
1.2238261482466707E13	6.643420783058462E12
1.2234215579495385E13	6.648209146743182E12
1.2230162050839906E13	6.65299336664137E12
1.222610089574619E13	6.657773437989859E12
1.2222032113459596E13	6.662549356020902E12
1.2217955703225068E13	6.667321115962153E12
1.2213871664286855E13	6.672088713036557E12
1.2209779995888578E13	6.676852142462364E12
1.2205680697273123E13	6.681611399453069E12
1.2201573767682531E13	6.686366479217333E12
1.2197459206358006E13	6.69111737695899E12
1.2193337012539713E13	6.6958640878770205E12
1.2189207185466889E13	6.700606607165514E12
1.2185069724377494E13	6.7053449300136455E12
1.2180924628508475E13	6.710079051605691E12
1.2176771897095373E13	6.714808967121004E12
1.2172611529372404E13	6.71953467173409E12
1.2168443524572506E13	6.724256160614569E12
1.2164267881927088E13	6.728973428927208E12
1.2160084600666014E13	6.733686471832035E12
1.2155893680017695E13	6.738395284484232E12
1.2151695119208934E13	6.74309986203438E12
1.2147488917465084E13	6.7478001996284E12
1.2143275074009768E13	6.752496292407609E12
1.213905358806513E13	6.757188135508857E12
1.2134824458851766E13	6.761875724064623E12
1.2130587685588809E13	6.766559053202983E12
1.21263432674939E13	6.771238118047817E12
1.212209120378337E13	6.775912913718774E12
1.2117831493672178E13	6.780583435331441E12
1.2113564136374299E13	6.785249677997371E12
1.210928913110238E13	6.789911636824102E12
1.2105006477068207E13	6.794569306915308E12
1.2100716173482707E13	6.799222683370767E12
1.2096418219556062E13	6.803871761286419E12
1.2092112614497836E13	6.808516535754353E12
1.2087799357517178E13	6.813157001862837E12
1.208347844782275E13	6.817793154696312E12
1.2079149884623127E13	6.822424989335362E12
1.2074813667126633E13	6.827052500856604E12
1.207046979454155E13	6.831675684332679E12
1.2066118266076299E13	6.836294534832231E12
1.2061759080939244E13	6.840909047419733E12
1.2057392238338967E13	6.845519217155448E12
1.2053017737484273E13	6.850125039095264E12
1.2048635577584121E13	6.854726508290643E12
1.204424575784762E13	6.859323619788474E12
1.2039848277483973E13	6.863916368630944E12
1.203544313570259E13	6.868504749855502E12
1.2031030331712812E13	6.873088758494615E12
1.2026609864724049E13	6.877668389575759E12
1.2022181733945492E13	6.882243638121261E12
1.2017745938586162E13	6.886814499148242E12
1.201330247785478E13	6.891380967668499E12
1.200885135095955E13	6.895943038688456E12
1.2004392557108145E13	6.900500707209101E12
1.1999926095507545E13	6.905053968225927E12
1.1995451965364006E13	6.909602816728883E12
1.1990970165882803E13	6.914147247702366E12
1.1986480696268303E13	6.918687256125216E12
1.1981983555723684E13	6.923222836970684E12
1.1977478743450969E13	6.92775398520648E12
1.1972966258650816E13	6.932280695794774E12
1.1968446100522672E13	6.93680296369219E12
1.196391826826445E13	6.941320783849898E12
1.1959382761072688E13	6.945834151213628E12
1.195483957814239E13	6.950343060723704E12
1.195028871866703E13	6.954847507315119E12
1.1945730181838533E13	6.959347485917572E12
1.1941163966847254E13	6.963842991455578E12
1.1936590072882088E13	6.968334018848465E12
1.1932008499130328E13	6.972820563010441E12
1.192741924477778E13	6.977302618850657E12
1.1922822309008807E13	6.981780181273298E12
1.1918217691006293E13	6.986253245177634E12
1.1913605389951775E13	6.990721805458023E12
1.190898540502542E13	6.995185857003999E12
1.1904357735406172E13	6.9996453947003545E12
1.1899722380271768E13	7.004100413427119E12
1.1895079338798738E13	7.0085509080596045E12
1.1890428610162602E13	7.012996873468484E12
1.1885770193537816E13	7.017438304519805E12
1.1881104088097908E13	7.021875196075013E12
1.1876430293015621E13	7.026307542990935E12
1.1871748807462855E13	7.030735340119828E12
1.1867059630610816E13	7.035158582309387E12
1.1862362761630031E13	7.039577264402782E12
1.1857658199690457E13	7.04399138123858E12
1.185294594396161E13	7.048400927650793E12
1.1848225993612465E13	7.05280589846884E12
1.1843498347811688E13	7.057206288517526E12
1.1838763005727588E13	7.061602092617071E12
1.1834019966528217E13	7.065993305583028E12
1.1829269229381352E13	7.070379922226264E12
1.1824510793454582E13	7.074761937352922E12
1.1819744657915486E13	7.079139345764409E12
1.181497082193138E13	7.083512142257316E12
1.1810189284669525E13	7.08788032162335E12
1.180540004529713E13	7.092243878649399E12
1.1800603102981387E13	7.09660280811731E12
1.1795798456889357E13	7.100957104803975E12
1.1790986106188178E13	7.105306763481157E12
1.1786166050044799E13	7.109651778915523E12
1.178133828762626E13	7.113992145868509E12
1.1776502818099383E13	7.118327859096319E12
1.177165964063094E13	7.122658913349809E12
1.1766808754387654E13	7.126985303374456E12
1.1761950158535918E13	7.131307023910239E12
1.1757083852242004E13	7.135624069691652E12
1.1752209834671945E13	7.139936435447618E12
1.17473281049914E13	7.144244115901389E12
1.1742438662365688E13	7.148547105770517E12
1.173754150595967E13	7.152845399766827E12
1.1732636634937703E13	7.1571389925963545E12
1.1727724048463541E13	7.161427878959275E12
1.1722803745700334E13	7.16571205354993E12
1.1717875725810467E13	7.169991511056689E12
1.1712939987955584E13	7.174266246162106E12
1.1707996531296404E13	7.178536253542729E12
1.1703045354992746E13	7.182801527869172E12
1.1698086458203438E13	7.187062063806164E12
1.16931198400862E13	7.191317856012465E12
1.1688145499797578E13	7.195568899140983E12
1.1683163436493156E13	7.199815187838723E12
1.1678173649327105E13	7.2040567167469375E12
1.1673176137452482E13	7.208293480501041E12
1.166817090002103E13	7.2125254737308E12
1.1663157936183273E13	7.216752691060306E12
1.1658137245088457E13	7.220975127108109E12
1.1653108825884562E13	7.225192776487277E12
1.1648072677718555E13	7.229405633805476E12
1.164302879973608E13	7.233613693665044E12
1.1637977191081887E13	7.237816950663119E12
1.1632917850899645E13	7.242015399391697E12
1.1627850778332148E13	7.246209034437701E12
1.1622775972521479E13	7.250397850383074E12
1.1617693432609006E13	7.254581841804864E12
1.161260315773571E13	7.258761003275228E12
1.160750514704203E13	7.262935329361499E12
1.1602399399668324E13	7.267104814626245E12
1.1597285914754709E13	7.271269453627245E12
1.1592164691441516E13	7.275429240917506E12
1.1587035728869115E13	7.279584171045228E12
1.1581899026178205E13	7.283734238553801E12
1.1576754582510021E13	7.287879437981707E12
