Europa X	Europa Y
-6.364376248137198E11	-5.036518344716424E11
-6.057739662331958E11	-5.38266725816774E11
-5.754502561851301E11	-5.699633379538767E11
-5.406414459738227E11	-6.004587683704508E11
-5.065582013887735E11	-6.280775802585671E11
-4.6919610649260266E11	-6.554437766059602E11
-4.300991972400238E11	-6.78556037423538E11
-3.912008378895456E11	-7.000402896868148E11
-3.50384825904589E11	-7.203991653632517E11
-3.074522050325589E11	-7.379361327944503E11
-2.6355356061998044E11	-7.523010338379763E11
-2.1916214707487115E11	-7.639921861549802E11
-1.7418006022567844E11	-7.732832218955907E11
-1.290701972268273E11	-7.794967021184052E11
-8.26832774567835E10	-7.846629096176362E11
-3.6985975167684975E10	-7.863078404469479E11
8.827566801635477E9	-7.843978035189938E11
5.6551188857442955E10	-7.802685682046241E11
1.0267208580272623E11	-7.724272968123258E11
1.4747795657784857E11	-7.625542622927648E11
1.9276213532637375E11	-7.499995409751437E11
2.3778813447068518E11	-7.344326682342185E11
2.8154521768501E11	-7.163513084434656E11
3.249511027643783E11	-6.966207671463785E11
3.65031234575372E11	-6.72871548856994E11
4.064926631970977E11	-6.469467292163492E11
4.435192261027078E11	-6.185089360769191E11
4.8161472051345386E11	-5.880960117802211E11
5.155227565776665E11	-5.539872763300546E11
5.482176943159624E11	-5.1995693618946655E11
5.797573689765116E11	-4.824466597242058E11
6.078806081111923E11	-4.4204620012625244E11
6.325755476287965E11	-4.0159767725866675E11
6.558059425111394E11	-3.588284414242051E11
6.76382191708785E11	-3.1444946327522974E11
6.942855114348165E11	-2.6859772572624472E11
7.104305649496948E11	-2.2179489149400577E11
7.21216893952211E11	-1.7490429667550003E11
7.316772543963628E11	-1.2618105042816129E11
7.366697393982966E11	-7.68227851022055E10
7.393193375633347E11	-2.7958946322557507E10
7.393450216981414E11	2.145815813449551E10
7.366305021417786E11	7.065779044440756E10
7.308280860182212E11	1.1862472435319249E11
7.202049417101553E11	1.6757423512710458E11
7.07125150426705E11	2.1493366223002368E11
6.928937878674574E11	2.6094126619817154E11
6.726084734100332E11	3.069857062410927E11
6.510073331345776E11	3.5104303483330164E11
6.282686507100854E11	3.9334599401594366E11
5.996296027841576E11	4.346020443452628E11
5.70111703355536E11	4.736017228232043E11
5.3845170974019995E11	5.121083020136489E11
5.04565482107215E11	5.458167658100329E11
4.694174785985209E11	5.79319802158595E11
4.309121765470188E11	6.097560657810789E11
3.894888793661694E11	6.383828546965391E11
3.504830711604049E11	6.646272684475378E11
3.0570340439642554E11	6.882766841054883E11
2.6165876158667285E11	7.085593571859788E11
2.1837179129724152E11	7.251823284032606E11
1.6973747848970844E11	7.398464323713903E11
1.248053393755904E11	7.498416364315315E11
7.818342045287265E10	7.605058424663788E11
3.083119382521521E10	7.662339696550137E11
-1.758253374006427E10	7.669379150736217E11
-6.612448447488836E10	7.695680618721733E11
-1.1080404252073677E11	7.647757783044049E11
-1.589449391215224E11	7.612794802782388E11
-2.0569298042460138E11	7.527706070282484E11
-2.5115196568603522E11	7.41407252892915E11
-2.952009093437991E11	7.274991499699282E11
-3.376860791372166E11	7.102901792068239E11
-3.809664025327514E11	6.868746287757734E11
-4.2200666537605194E11	6.699964952346556E11
-4.596195810855409E11	6.437738960939543E11
-4.989025666535113E11	6.199171985126945E11
-5.3617399449467926E11	5.868124751217495E11
-5.677185285141191E11	5.604524321589885E11
-6.009686865242211E11	5.290791508388159E11
-6.323340996384584E11	4.942260689685675E11
-6.613913661230277E11	4.567845067815451E11
-6.877336950195454E11	4.171380188994965E11
-7.095417098625732E11	3.777160143820985E11
-7.319275573611636E11	3.37337206837069E11
-7.518448066138395E11	2.9876631437981055E11
-7.673295551883295E11	2.590605349786255E11
-7.798995140479891E11	2.177302985701008E11
-7.899636181732312E11	1.7470996390699176E11
-7.979105120041519E11	1.2993750643326425E11
-8.049034467139371E11	8.266882499754118E10
-8.117797829922878E11	3.9650100010490906E10
-8.093491057111274E11	-2.9122301311470037E9
-8.073545203994232E11	-5.023401862361696E10
-8.067339932055908E11	-9.372209693881018E10
-7.95859182348411E11	-1.3676134029164436E11
-7.938398320075271E11	-1.8553795695429367E11
-7.744353949438308E11	-2.2316144431282565E11
-7.670790933079784E11	-2.6949384373335178E11
-7.426894809585288E11	-3.0768464409014984E11
-7.266973833216809E11	-3.476194434275176E11
-7.042715248116046E11	-3.9147727816455316E11
-6.771962547742924E11	-4.244675552831463E11
-6.546517806725249E11	-4.612849222182583E11
-6.298288770128325E11	-5.04373616760687E11
-5.917523963648811E11	-5.3136430192250555E11
-5.583235556511335E11	-5.60181120361625E11
-5.2661544752684576E11	-5.897405584167246E11
-4.969364913454081E11	-6.207423869373961E11
-4.603932917331199E11	-6.540483622813442E11
-4.1366204077659875E11	-6.718911335585359E11
-3.7070037315139465E11	-6.899618980593812E11
-3.292134708829514E11	-7.073406100931548E11
-2.888654378607038E11	-7.238834538729688E11
-2.4994572355538086E11	-7.399417841546328E11
-2.1381677331080225E11	-7.574103226148336E11
-1.621746847201621E11	-7.710266939626721E11
