Ganymede X	Ganymede Y
-6.359817110169971E11	-5.0527896862731903E11
-6.073413396979775E11	-5.385027232105495E11
-5.755910074575676E11	-5.693814472413862E11
-5.4095262977974066E11	-5.992682706983783E11
-5.0497986737157477E11	-6.285000532605154E11
-4.6874222846073254E11	-6.557516919912008E11
-4.31526969433759E11	-6.795568021597856E11
-3.9183487836940497E11	-7.001437095002084E11
-3.4956238172577203E11	-7.190949487309166E11
-3.063743412011788E11	-7.370985056448909E11
-2.6365082951849173E11	-7.5282421538007E11
-2.2067634439185583E11	-7.646019501704104E11
-1.757616496458642E11	-7.727552763301255E11
-1.2893419760652191E11	-7.791356764499137E11
-8.218287904609688E10	-7.843244663644249E11
-3.676595667416616E10	-7.866412160090762E11
8.519217811466088E9	-7.845503373163535E11
5.533664650537533E10	-7.79051440414623E11
1.0290158348011958E11	-7.72171680644503E11
1.488901298103207E11	-7.637277793821088E11
1.9287731302182663E11	-7.51540654771944E11
2.3683638846642508E11	-7.349459783228682E11
2.81638775845633E11	-7.160499936636919E11
3.253082174111836E11	-6.962839473553151E11
3.658829588026993E11	-6.740143907678115E11
4.0470767043515656E11	-6.474533888153362E11
4.434440628825511E11	-6.177389802007617E11
4.815035684648767E11	-5.868273416011278E11
5.16746982060995E11	-5.549416536788026E11
5.483897473976216E11	-5.2028809066828845E11
5.781334073073357E11	-4.818900566904325E11
6.071948170424805E11	-4.414902300007039E11
6.343291091542925E11	-4.008607977710604E11
6.573725167433873E11	-3.5951580002223254E11
6.765251068231184E11	-3.151941455656229E11
6.943939888205197E11	-2.682176180014941E11
7.107604702715533E11	-2.215179158448945E11
7.231173540252429E11	-1.7526866709935318E11
7.309563821619844E11	-1.2765118866125018E11
7.359987859024613E11	-7.79593228295277E10
7.394174899682404E11	-2.774169563001292E10
7.40278295207863E11	2.137023292101803E10
7.372254931873069E11	6.940056542799036E10
7.30109023821361E11	1.1756770917128725E11
7.195495683818036E11	1.6594693256680746E11
7.065278931482158E11	2.152464311460973E11
6.926570803224731E11	2.6175585176298538E11
6.736566524836737E11	3.0599012971727094E11
6.509578924493578E11	3.504013898906491E11
6.264535437712623E11	3.945057959228096E11
6.006646427041952E11	4.363397722145936E11
5.72190759445578E11	4.7510998608103265E11
5.4039910586807416E11	5.114829911778886E11
5.0557592703633264E11	5.46215497236735E11
4.685545635915911E11	5.795849947754763E11
4.303374717291522E11	6.112318180531077E11
3.9136083203298444E11	6.400092833014764E11
3.5091534656868945E11	6.651618076833765E11
3.083510149380742E11	6.870678155951561E11
2.6366657249073355E11	7.062901184978726E11
2.1734376502923422E11	7.237560021316975E11
1.711511317028872E11	7.392701652031398E11
1.2571574669412267E11	7.513470083880992E11
7.932064559448303E10	7.584784067702455E11
3.056481540011997E10	7.633975894288501E11
-1.7794482431652493E10	7.673809309182566E11
-6.357736677651075E10	7.67719205684049E11
-1.1110853912682018E11	7.627783657352009E11
-1.594871634833802E11	7.575840494903525E11
-2.0446298604031277E11	7.500837578992999E11
-2.495019904904447E11	7.367115569270002E11
-2.9580682353004016E11	7.227643098851992E11
-3.388527721923757E11	7.074959697812034E11
-3.7971432329195996E11	6.87243980240145E11
-4.221930303008729E11	6.643940615573247E11
-4.622598689879007E11	6.418894321774653E11
-4.9842101307403455E11	6.156348916054242E11
-5.3527741673549835E11	5.854393416717134E11
-5.708795017373568E11	5.557210975149381E11
-6.028168417490298E11	5.2458049846230005E11
-6.318530369797556E11	4.901823539539961E11
-6.601743085056184E11	4.52982203930419E11
-6.871729322186475E11	4.15354327184545E11
-7.11664895444262E11	3.7706599502802185E11
-7.333499217014539E11	3.379544103875762E11
-7.517614132662065E11	2.9773514367144055E11
-7.672849411482668E11	2.5556077810981714E11
-7.81054746564049E11	2.1161470173430222E11
-7.931646682262332E11	1.674431975294543E11
-8.028429565628052E11	1.2325891370361334E11
-8.098243350335293E11	7.900106591502278E10
-8.140273599054293E11	3.4667728693857254E10
-8.154247460519088E11	-9.689165990879223E9
-8.140177931470121E11	-5.404621546745795E10
-8.099039036023512E11	-9.837150978306384E10
-8.031277205592224E11	-1.424893238067231E11
-7.93705578304103E11	-1.8628843240435684E11
-7.820432627245016E11	-2.295884001709653E11
-7.678837461620869E11	-2.7218445466764606E11
-7.511995849270209E11	-3.1402815231663074E11
-7.321169577938844E11	-3.550691007876481E11
-7.108876148141455E11	-3.9506775626592175E11
-6.876084584845479E11	-4.338649281403529E11
-6.624367776518505E11	-4.712116827811953E11
-6.353889567356171E11	-5.06752732272298E11
-6.063087116593931E11	-5.40169288992871E11
-5.748613719080444E11	-5.715369602392491E11
-5.410402615956059E11	-6.010279120866831E11
-5.05033786370507E11	-6.289155005969902E11
-4.673818711489813E11	-6.552755356499374E11
-4.28465463975935E11	-6.79880451970105E11
-3.885977854604286E11	-7.024066211452646E11
-3.480264463059982E11	-7.22440310291464E11
-3.0644219851924347E11	-7.394400717187145E11
-2.6358660483923602E11	-7.534384060832148E11
-2.1930667787464267E11	-7.646465353343982E11
-1.737778197545468E11	-7.734916825445201E11
-1.2739165927887712E11	-7.801389078467787E11
-8.063563086402733E10	-7.84743272694205E11
-3.4258504984127033E10	-7.868536039660686E11
1.1676856069538641E10	-7.859479298010363E11
5.721510400713898E10	-7.81680236923733E11
1.028648483960019E11	-7.739690155210522E11
1.4890299825315857E11	-7.630934694477963E11
1.9503585825371207E11	-7.500561312133694E11
2.4053281626353775E11	-7.351807465153668E11
2.842148363776796E11	-7.18116949732571E11
3.2593332206149805E11	-6.978177370054028E11
3.664188893169408E11	-6.738694379463921E11
4.063782207390259E11	-6.467738482783291E11
4.45659391881483E11	-6.177162832637848E11
4.832994736673573E11	-5.872377885372098E11
5.1820154097484784E11	-5.552317832213704E11
5.498749355946163E11	-5.203913610578397E11
5.796080550176775E11	-4.8213976667309454E11
6.081626323742924E11	-4.418066209731136E11
6.34914470698941E11	-4.003646988890849E11
6.589850489303318E11	-3.5824120030250586E11
6.794921313769275E11	-3.1498011970048145E11
6.963847208611105E11	-2.7000958148430643E11
7.103432104830579E11	-2.228722703103371E11
7.223036813389094E11	-1.742691201270093E11
7.321653072159482E11	-1.2547963107920349E11
7.388757344949235E11	-7.706917531631047E10
7.418910576865973E11	-2.8910073156188667E10
7.40590386357921E11	1.949805213843703E10
7.360107978902334E11	6.954401906617021E10
7.302135414563827E11	1.1957713119773004E11
7.217916953949182E11	1.6740865110180902E11
7.088901202069683E11	2.137322541659158E11
6.917722028429126E11	2.6038786959519412E11
6.729193689572087E11	3.074194421651506E11
6.525894178722028E11	3.521915543651621E11
6.291543254983735E11	3.9425864140578906E11
6.021470595954417E11	4.346014002370231E11
5.725257258057134E11	4.7367357879994714E11
5.4038297972846643E11	5.108404443512951E11
5.0591836180275305E11	5.4603825632171814E11
4.6935899247129706E11	5.791704004528702E11
4.3096487418322003E11	6.101213139843008E11
3.910217849467787E11	6.387741175125052E11
3.498213746295133E11	6.648047720923307E11
3.074646836398908E11	6.879331104088811E11
2.64036304577207E11	7.079825563733853E11
2.1946193485721844E11	7.248266693580973E11
1.7371128810253378E11	7.385592790835215E11
1.268718683835325E11	7.493338373118857E11
7.915685340727527E10	7.574203447344658E11
3.0976598454038006E10	7.630239349540698E11
-1.7158502650980486E10	7.661881383085325E11
-6.4716737228660645E10	7.667538062354465E11
-1.1146664879636707E11	7.641748777615519E11
-1.576268743411528E11	7.582456171757327E11
-2.0332176589274036E11	7.490686158518734E11
-2.486168237356459E11	7.368937114426501E11
-2.93382537612004E11	7.220600738883835E11
-3.3740183409099207E11	7.047881960490792E11
-3.804367611608888E11	6.853405118432405E11
-4.2204810451740405E11	6.639207113072487E11
-4.617857015442958E11	6.404644340644495E11
-4.9941383570985956E11	6.147600044555547E11
-5.349126833798757E11	5.865792026775911E11
-5.684947593336328E11	5.558015739544268E11
-6.005393876544359E11	5.2265555258338E11
-6.31149988297999E11	4.8772231795631256E11
-6.600519599913304E11	4.5151416868541345E11
-6.868700481614552E11	4.1434431495385223E11
-7.110863613698568E11	3.7635583575362933E11
-7.323278426666714E11	3.37142511026554E11
-7.50789908969278E11	2.9647860528806494E11
-7.666078121271162E11	2.5438446408085608E11
-7.801535516697167E11	2.1093908014354657E11
-7.917133255166083E11	1.6663515262456198E11
-8.011927998901537E11	1.2200282228895132E11
-8.083036010683636E11	7.740705064008104E10
-8.127466954424427E11	3.300446006840967E10
-8.142680353086157E11	-1.116724961245867E10
-8.126612023713435E11	-5.5229158969413086E10
-8.079674140959128E11	-9.949585619452536E10
-8.006753059449882E11	-1.4414279875746545E11
-7.913658017969867E11	-1.8885019832669562E11
-7.802574590622214E11	-2.3284032889246103E11
-7.670322619609735E11	-2.7554661967910504E11
-7.512646810587389E11	-3.167719176361915E11
-7.326068367930555E11	-3.56603724454709E11
-7.109624098400162E11	-3.9541271844330225E11
-6.866469037755208E11	-4.3355501455714685E11
-6.603605715854021E11	-4.7107095361693555E11
-6.327546217722891E11	-5.073803216005123E11
-6.037591265472124E11	-5.415684595675874E11
-5.728418275858894E11	-5.733146282374435E11
-5.396519593783033E11	-6.027294717538971E11
-5.0406005162650275E11	-6.301023104864536E11
-4.6622233263733484E11	-6.55883191710486E11
-4.268829598827967E11	-6.804381615616527E11
-3.870598241525817E11	-7.03207302635403E11
-3.467385885376363E11	-7.230690198338579E11
-3.0524204052245215E11	-7.396718581144438E11
-2.6211223256672552E11	-7.532807302678125E11
-2.173123730245227E11	-7.644846376813036E11
-1.7130705298034735E11	-7.738392301557932E11
-1.2519641615982224E11	-7.815297021477036E11
-7.994987905719415E10	-7.864275091380691E11
-3.473443898212622E10	-7.87376046956108E11
1.1411405103682089E10	-7.848456988969388E11
5.848592836366857E10	-7.797858505319751E11
1.0571832666260228E11	-7.729396960237987E11
1.517220953171133E11	-7.642362873507476E11
1.958851753242752E11	-7.521915578965684E11
2.3949365079575323E11	-7.36110784006419E11
2.8326286426491223E11	-7.168995674937852E11
3.268826005859253E11	-6.957004680230752E11
