Io X	Io Y
-6.356485659001456E11	-5.0405726727821686E11
-6.060570394270701E11	-5.376914428516143E11
-5.744177124552728E11	-5.697246883176132E11
-5.4145589171683856E11	-5.998504675941859E11
-5.059588151896026E11	-6.290525677752736E11
-4.6941198526731226E11	-6.55199118949982E11
-4.3022214687849927E11	-6.78640178936454E11
-3.9035663296394666E11	-7.008594139374558E11
-3.501892020037889E11	-7.199084016227915E11
-3.0801912608942993E11	-7.372227666353529E11
-2.6395526841579675E11	-7.513236374288843E11
-2.2044081831332584E11	-7.639499421866241E11
-1.7532217954368805E11	-7.736067973314474E11
-1.2915119067236732E11	-7.79551239470872E11
-8.277843602544093E10	-7.84705728102815E11
-3.631898232719143E10	-7.855575851183246E11
1.0041407153990238E10	-7.844640747194003E11
5.599528091178192E10	-7.80586498220109E11
1.0142831978660838E11	-7.7275251515751E11
1.4752799886766205E11	-7.635524805394109E11
1.933814623142087E11	-7.497895622809912E11
2.372793207405893E11	-7.351378175626406E11
2.810781102550953E11	-7.172635328410176E11
3.238870398210538E11	-6.967442496926162E11
3.653358392969019E11	-6.725287805841484E11
4.064683077441706E11	-6.473027609794421E11
4.439113238846871E11	-6.181019434815326E11
4.80234300531839E11	-5.880144307646155E11
5.149894021114065E11	-5.547249516733892E11
5.4824022897161285E11	-5.187153830536223E11
5.792645815912256E11	-4.825653613898708E11
6.071565021738677E11	-4.418331522113497E11
6.325680956446191E11	-4.0094054329432544E11
6.558146825966046E11	-3.585669629709293E11
6.764883552677291E11	-3.141928058843323E11
6.948194937925803E11	-2.680593050743455E11
7.10800054579388E11	-2.2179790279363275E11
7.215683364849373E11	-1.750295447780483E11
7.31987249827923E11	-1.2611898721425702E11
7.372675850873696E11	-7.693797589339816E10
7.394144767849913E11	-2.8279010033461983E10
7.390333148363564E11	2.06013884253432E10
7.35987055045803E11	7.030452048291797E10
7.306706349483287E11	1.1841985522513914E11
7.196621923920895E11	1.6616393573578494E11
7.070296592972812E11	2.1498930283889496E11
6.92426041408177E11	2.6151560754450757E11
6.73088760931756E11	3.058349833725666E11
6.522859479333944E11	3.514802763268304E11
6.26666011108189E11	3.9347831785397345E11
6.00819589708474E11	4.342508863793734E11
5.719146769151598E11	4.743921722356159E11
5.397073914985915E11	5.125721201019209E11
5.051808031819586E11	5.479444890989156E11
4.689122204386364E11	5.809383616923524E11
4.309166435458567E11	6.115917526681274E11
3.9142915950358887E11	6.397343215421034E11
3.5064456000267255E11	6.647550246099774E11
3.071420658683907E11	6.865115656427898E11
2.621507195083463E11	7.071768198532269E11
2.1718876631192984E11	7.252900679107704E11
1.7237805322973102E11	7.398609844500579E11
1.2574630317684009E11	7.498613576925825E11
7.739888750477611E10	7.592444829212273E11
3.1048979450411594E10	7.656908402847042E11
-1.6230622073141321E10	7.667542009242456E11
-6.478478258524669E10	7.677815341771187E11
-1.1061069137808035E11	7.646213392554122E11
-1.5883732230839783E11	7.575467762412045E11
-2.0378714920615668E11	7.499871376655671E11
-2.505694089253908E11	7.371590164917246E11
-2.9355595679494293E11	7.2343967298987E11
-3.376453694924538E11	7.074278501311034E11
-3.811819235538896E11	6.875957789487919E11
-4.215221435468073E11	6.645577407946034E11
-4.6039137509413824E11	6.404819987245099E11
-4.9814474875809906E11	6.142032167631284E11
-5.34382199437817E11	5.856482764947496E11
-5.694634780711042E11	5.54854375671906E11
-6.028539652775328E11	5.23452389583322E11
-6.315421364573309E11	4.895393957596754E11
-6.60485307268354E11	4.5238039457637115E11
-6.8639150687501E11	4.1686601898610614E11
-7.111902616175132E11	3.765086162849957E11
-7.313425978678876E11	3.3682672024803705E11
-7.51976733286298E11	2.969176375453403E11
-7.682755144990878E11	2.533328161745816E11
-7.813979873146969E11	2.1080146268532617E11
-7.928182739170212E11	1.6813218112079807E11
-8.020690926009453E11	1.2452925471800699E11
-8.085360749666327E11	8.002928846776405E10
-8.123046891822689E11	3.48438062241501E10
-8.138725127018569E11	-1.0678345777138594E10
-8.13366037382689E11	-5.5874999271036194E10
-8.10392499989908E11	-1.0013101259331241E11
-8.040260959410737E11	-1.433243447334728E11
-7.932992493987805E11	-1.869633418431152E11
-7.832694398238826E11	-2.3169630438676422E11
-7.694582898702197E11	-2.7263894357699075E11
-7.518155083516317E11	-3.1581180011672174E11
-7.3464487218929E11	-3.5554614525017755E11
-7.114162306141365E11	-3.9471915444459845E11
-6.901284451053365E11	-4.3343259294134454E11
-6.625245783367991E11	-4.697149085586057E11
-6.368157554129012E11	-5.0541050756072284E11
-6.048685058018922E11	-5.394427228050481E11
-5.750888608411675E11	-5.705647831114807E11
-5.410524002667453E11	-6.023693448697999E11
-5.049237139646857E11	-6.287364249638004E11
-4.691868069995127E11	-6.550340483258547E11
-4.3076976245082794E11	-6.801272908227412E11
-3.8935071798582697E11	-7.025803698241742E11
-3.478144717321456E11	-7.20379094126233E11
-3.0592798229276965E11	-7.369195946567758E11
-2.6283318454383813E11	-7.513619727439058E11
-2.18687301948873E11	-7.633566984612932E11
