Mimas X	Mimas Y
8.313568242840313E9	-1.504333038187946E12
4.133093751316317E10	-1.5043258101010999E12
7.397438269069316E10	-1.5029694209150796E12
1.0691774524207307E11	-1.5010887384602898E12
1.3935841145268973E11	-1.498410136164308E12
1.7170804226095892E11	-1.4950892460143665E12
2.0430058538379395E11	-1.4907193494175935E12
2.362326718795956E11	-1.4852322894765815E12
2.695379044956936E11	-1.4785406447391636E12
3.0062428303243365E11	-1.4708823642027341E12
3.3276233477040936E11	-1.4650923917976272E12
3.648582141994057E11	-1.4572298703933884E12
3.954483781245249E11	-1.4444014236004949E12
4.2901368173872906E11	-1.4345699258113564E12
4.583125862653914E11	-1.4214214890446724E12
4.8878949228712695E11	-1.4128115727345757E12
5.231002946990001E11	-1.401304190441125E12
5.525729622897954E11	-1.3828435040064143E12
5.817823266974896E11	-1.3663215158960942E12
6.108118309310529E11	-1.3505219560558125E12
6.396645380926768E11	-1.335104407115274E12
6.68344386814746E11	-1.3199520382168765E12
6.968693679147587E11	-1.3050652560674763E12
7.252880483902434E11	-1.290557657738294E12
7.537287282130308E11	-1.2767453013174417E12
7.826787388627285E11	-1.2646667376292922E12
8.14506270222841E11	-1.2456640826817031E12
8.41108036857482E11	-1.2198747894398306E12
8.67084432767801E11	-1.1954531785899905E12
8.92573620769823E11	-1.1714229577818662E12
9.175908090320981E11	-1.147466714742223E12
9.421312373580859E11	-1.1234337127689556E12
9.661846013716217E11	-1.099241112495134E12
9.897388870172532E11	-1.0748406708058691E12
1.0127817489909971E12	-1.0502044619099895E12
1.0353011299362408E12	-1.0253178223093323E12
1.0572856109264633E12	-1.0001755528050228E12
1.0787246714387451E12	-9.747797952520405E11
1.0996089407710356E12	-9.491388831232999E11
1.1199304950360652E12	-9.232668461263765E11
1.1396832549075205E12	-8.971834465435814E11
1.1588635619277295E12	-8.70914759482617E11
1.1774710664726794E12	-8.444944490616881E11
1.1955101799086606E12	-8.179661085912856E11
1.212992617778901E12	-7.913874621545066E11
1.2299422561719617E12	-7.64838233961023E11
1.2464055548318757E12	-7.384362532787703E11
1.2624781178319956E12	-7.123755700879725E11
1.2783948768569849E12	-6.870420322223301E11
1.295124135879695E12	-6.636158500557903E11
1.3170511982613198E12	-6.320838944232347E11
1.3302164559161038E12	-5.940453040046353E11
1.3418891204155864E12	-5.57534130580663E11
1.3525784629629453E12	-5.217093807396541E11
1.3624024403807258E12	-4.8628475610293976E11
1.3714042724553496E12	-4.5112595951960223E11
1.3796025082648342E12	-4.161622383291541E11
1.387005510840871E12	-3.813556024350484E11
1.393617009553082E12	-3.466874075995562E11
1.3994386528981995E12	-3.1215166978676935E11
1.4044713684825742E12	-2.777514594647038E11
1.408716205636626E12	-2.434969012397028E11
1.4121749615236577E12	-2.0940412379765176E11
