Neptune X	Neptune Y
4.290929649903172E12	-1.2845394277771548E12
4.296369922588656E12	-1.2656658251517617E12
4.301727889063685E12	-1.2467679614682937E12
4.307003444090435E12	-1.2278461962332073E12
4.312196481862817E12	-1.2089008916363574E12
4.3173068960739463E12	-1.189932411446998E12
4.322334580431E12	-1.1709411201132234E12
4.3272794292900425E12	-1.1519273821969346E12
4.332141338208827E12	-1.1328915621267195E12
4.3369202043283647E12	-1.1138340241785757E12
4.341615926582121E12	-1.0947551325822021E12
4.346228405772096E12	-1.0756552516766302E12
4.350757544555206E12	-1.0565347460633733E12
4.355203247385163E12	-1.0373939807295415E12
4.359565420442047E12	-1.018233321134519E12
4.363843971569806E12	-9.990531332607078E11
4.3680388102368193E12	-9.798537836365704E11
4.372149847519319E12	-9.606356393384846E11
4.376176996109423E12	-9.413990679701721E11
4.3801201703506387E12	-9.221444376208445E11
4.3839792862937886E12	-9.028721167991794E11
4.3877542617649165E12	-8.835824743373617E11
4.391445016427564E12	-8.642758792637758E11
4.3950514718118096E12	-8.449527006465571E11
4.398573551279815E12	-8.25613307427473E11
4.402011179884546E12	-8.062580682879613E11
4.405364284085322E12	-7.868873516063245E11
4.408632791317571E12	-7.675015255851063E11
4.411816629466453E12	-7.481009586247947E11
4.414915726379727E12	-7.286860199770913E11
4.417930009643785E12	-7.092570806177644E11
4.420859406899346E12	-6.898145141262186E11
4.423703846940841E12	-6.70358697195859E11
4.426463261632961E12	-6.508900093040748E11
4.429137588281229E12	-6.314088311503103E11
4.431726771591717E12	-6.119155418516292E11
4.434230763968207E12	-5.924105155771799E11
4.436649523014618E12	-5.728941191066191E11
4.438983006079393E12	-5.533667122303661E11
4.441231163484591E12	-5.3382865229966925E11
4.443393933989545E12	-5.142803022324353E11
4.445471246522543E12	-4.947220384705154E11
4.447463029895674E12	-4.751542535155278E11
4.449369227220313E12	-4.5557734890723065E11
4.451189806541852E12	-4.3599171970220056E11
4.452924758029439E12	-4.1639773872656836E11
4.454574074448716E12	-3.9679575315862036E11
4.456137724775862E12	-3.771861013166081E11
4.457615641982698E12	-3.5756914237552875E11
4.459007741548725E12	-3.379452757656137E11
4.4603139628632705E12	-3.1831492798330457E11
4.461534299149184E12	-2.986785099578605E11
4.462668781551414E12	-2.79036380218181E11
4.463717420745666E12	-2.5938885530114346E11
4.464680159445761E12	-2.397362699320394E11
4.465556895764122E12	-2.2007902979066772E11
4.466347567767732E12	-2.0041758921641962E11
4.467052206351943E12	-1.807523637242768E11
4.467670879855717E12	-1.6108367663186728E11
4.468203579963255E12	-1.4141181993420245E11
4.468650195951082E12	-1.217371709556148E11
4.469010636254091E12	-1.0206020564300084E11
4.469284943753785E12	-8.238136577018657E10
