Phobos X	Phobos Y
-2.3422305819902686E11	-6.351224573594568E10
-1.939091228948261E11	-1.3810709522514667E11
-1.2941009989915712E11	-1.9525272747781503E11
-4.805071576067782E10	-2.2672642633861005E11
3.9747925540399666E10	-2.2756707617523053E11
1.2216941372660811E11	-1.9739322829536206E11
1.882748160102717E11	-1.4061926886629123E11
2.3001991115939856E11	-6.541664052407465E10
2.4333217969426904E11	1.8099805333654903E10
2.281192101418945E11	9.971537833329976E10
1.8755778516275146E11	1.7046821441520685E11
1.2713048639635478E11	2.2338731330223077E11
5.373105169342082E10	2.5375787682424338E11
-2.5038276564200882E10	2.591267108704068E11
-1.0139010683628876E11	2.3921769163512604E11
-1.6777206741719617E11	1.9585337312624237E11
-2.1727792424931076E11	1.3290947467367326E11
-2.441384629396494E11	5.626755090732552E10
-2.443530442549076E11	-2.632960119114757E10
-2.1645655913859665E11	-1.0567437719317874E11
-1.6229125222626428E11	-1.7192205772999475E11
-8.748066795481323E10	-2.1595048911135025E11
-1.186078216091465E9	-2.3110319654299512E11
8.514752130525645E10	-2.148054078233979E11
1.598910716371876E11	-1.6934444276960547E11
2.1347790089404703E11	-1.013800312869139E11
2.3996691250299573E11	-2.0390801473844143E10
2.3751511816996994E11	6.324729495617229E10
2.0793071199100522E11	1.3987730820334363E11
1.557692160084948E11	2.0157064037460196E11
8.738048177686076E10	2.425786525470431E11
1.0115528072359138E10	2.5942930032867703E11
-6.826931882272387E10	2.5086665787126984E11
-1.4006659757068323E11	2.177635406016885E11
-1.9802061766899396E11	1.63063456295868E11
-2.357729417711035E11	9.17440230542186E10
-2.4842723016251535E11	1.0733462804248367E10
-2.3326391531413837E11	-7.134973388819617E10
-1.9053796539715298E11	-1.448101285876503E11
-1.2413565768967737E11	-1.999954760419315E11
-4.1705730969363754E10	-2.2890792683408627E11
4.6125647282411125E10	-2.269589416020352E11
1.275289816015361E11	-1.9420729305866544E11
1.9175495511149323E11	-1.3546109144391858E11
2.310886822456297E11	-5.914461731112367E10
2.4182907179902454E11	2.454706696735291E10
