Saturn X	Saturn Y
8.479750852755603E9	-1.5045054494412693E12
4.133859283055149E10	-1.5040421620754297E12
7.417519837440913E10	-1.5028191400172844E12
1.0697482521301399E11	-1.5008374217571887E12
1.397191967083259E11	-1.4980987018116177E12
1.7239241267506216E11	-1.4946026901550364E12
2.049785564673032E11	-1.490352603411615E12
2.374594598480856E11	-1.485349405310255E12
2.698204994324789E11	-1.4795950849748662E12
3.0204398355237103E11	-1.4730934297985637E12
3.341134810635515E11	-1.4658455859358237E12
3.6601386757478784E11	-1.4578560509818965E12
3.9772693387829694E11	-1.4491279377658723E12
4.2923803675654706E11	-1.4396642155592249E12
4.605303498531625E11	-1.4294705746420806E12
4.9158704312748785E11	-1.4185498132764568E12
5.223937306722587E11	-1.406907528879457E12
5.529325461865333E11	-1.3945490219821309E12
5.831887573838512E11	-1.381478358309389E12
6.13146618016251E11	-1.367702921358594E12
6.427891418346869E11	-1.3532273827466228E12
6.721026100979302E11	-1.3380583561781294E12
7.010698967173728E11	-1.3222033227739019E12
7.296761969498037E11	-1.305667654180307E12
7.579069830712754E11	-1.2884602584545386E12
7.85745429550137E11	-1.27058790079317E12
8.131783883400641E11	-1.252058254189591E12
8.401898148302026E11	-1.2328809334286216E12
8.667648918903794E11	-1.2130628820447178E12
8.928903187579886E11	-1.1926143954045332E12
9.185497393062955E11	-1.171544483379735E12
9.437304497092366E11	-1.1498619555465034E12
9.68417700888404E11	-1.127578412712368E12
9.925967699646996E11	-1.104702568916659E12
1.0162555007706078E12	-1.0812459372166313E12
1.039378328894887E12	-1.0572197632405183E12
1.0619529175392799E12	-1.0326340548282704E12
1.0839659885269023E12	-1.007502148916763E12
1.105403134271899E12	-9.818346444939303E11
1.1262532903887063E12	-9.556441237244596E11
1.1465020494841619E12	-9.289439689725966E11
1.1661374970151384E12	-9.017454769498771E11
1.1851479878759243E12	-8.74063470755529E11
1.2035197599226848E12	-8.459105308389702E11
1.2212428290725054E12	-8.173002379947661E11
1.2383043278365098E12	-7.882479694235001E11
1.254692904688625E12	-7.587664445037906E11
1.2703986757516433E12	-7.288717594287992E11
1.2854089182866677E12	-6.98578527246156E11
1.2997147479587756E12	-6.679013191992711E11
1.3133051819044446E12	-6.368573256095675E11
1.326169662950639E12	-6.054608109759193E11
1.3383001499331514E12	-5.737289565411279E11
1.3496853812437102E12	-5.4167838620981116E11
1.3603176366208157E12	-5.093246823440686E11
1.3701881105700735E12	-4.766866115299259E11
1.379287335067836E12	-4.4378007060959955E11
1.3876091793598174E12	-4.106231527893675E11
1.395144269222748E12	-3.772343809907813E11
1.4018861669527744E12	-3.436303711749311E11
1.4078284845236663E12	-3.098311884153225E11
1.4129631994914053E12	-2.7585438044089606E11
1.4172861520596636E12	-2.4171878987856235E11
1.4207902650053093E12	-2.07444634045737E11
1.423470560063217E12	-1.7304956433200348E11
1.425323255213763E12	-1.385546328324538E11
1.426342168453617E12	-1.0397897156041377E11
1.4265251813195598E12	-6.934201264048282E10
1.4258678857462278E12	-3.46653742748857E10
1.424366993120236E12	3.2297161465832487E7
1.4220214679301934E12	3.472929911766523E10
1.4188273786790894E12	6.940507958505109E10
1.4147847344442422E12	1.0403978686869165E11
1.4098921125968276E12	1.3861077609020352E11
1.404148185011889E12	1.7309850669743777E11
1.3975547597376768E12	2.0748098373585834E11
1.390110552952236E12	2.417365036794419E11
1.3818178030920903E12	2.758449886570911E11
1.372678319031328E12	3.097832106086382E11
1.3626930251738008E12	3.4353091634107776E11
1.3518666262798972E12	3.7706619257965985E11
1.3402008432151528E12	4.103665559620754E11
1.3277002537842998E12	4.434119324320013E11
1.3143700610584912E12	4.761790115727229E11
1.3002137304730442E12	5.086470929229402E11
1.285238876179443E12	5.407947407536845E11
1.2694505097570742E12	5.72599159817597E11
1.2528556532575527E12	6.040405558161055E11
1.2354629741158835E12	6.350960793586852E11
1.2172787354006738E12	6.65744939761563E11
1.1983134253343442E12	6.959665916833303E11
1.178575536866649E12	7.257384773621514E11
1.15807461824069E12	7.550414091794313E11
1.1368227707361208E12	7.838535688834089E11
1.1148292497556208E12	8.121545182958628E11
1.0921073275013367E12	8.399250300278981E11
1.0686690511213071E12	8.671433937176753E11
1.0445265330986176E12	8.937914038098774E11
1.0196951724124788E12	9.198488524983616E11
9.941873203576708E11	9.452961686102527E11
9.680188787652526E11	9.701158773866907E11
9.412053878186058E11	9.942877590423162E11
9.137614978973015E11	1.0177950087933451E12
8.85705657328502E11	1.0406195953178572E12
8.570533029477324E11	1.0627433769665729E12
8.278227386224274E11	1.0841510613030524E12
7.980327927388431E11	1.1048245647759119E12
7.677005428602954E11	1.124748923256209E12
7.368471308230958E11	1.143908814888466E12
7.054909348281613E11	1.1622881094106157E12
6.736523532988787E11	1.1798741037523955E12
6.413531536787566E11	1.196651463783501E12
6.086126326104453E11	1.2126075077352708E12
