Sun X	Sun Y
2.6822242595251343E8	9.183498436212927E8
2.3074281044483745E8	9.486248712870829E8
1.9156332820107588E8	9.770578730773423E8
1.5057614115893698E8	1.003754760427556E9
1.0765983831396908E8	1.0284648205890987E9
6.28468009573378E7	1.0507724968181767E9
1.6658313923239637E7	1.0702932956525476E9
-3.039261989052781E7	1.0872309062086456E9
-7.81278074104521E7	1.1019364371675448E9
-1.2684371184580223E8	1.114713863245184E9
-1.7687735993453392E8	1.1252137699562888E9
-2.2811405366878885E8	1.1329871563138347E9
-2.801153313521568E8	1.1376866071883643E9
-3.324034667407939E8	1.1394873481747417E9
-3.849206100803107E8	1.138558981743903E9
-4.3767220068715984E8	1.1349203772860353E9
-4.905873852033365E8	1.128301374950548E9
-5.431947475961055E8	1.1186476884039059E9
-5.952386965680224E8	1.1061990675398583E9
-6.466751743881261E8	1.0912706269260714E9
-6.978405835398988E8	1.0738625516380258E9
-7.487090254930599E8	1.0535388544181668E9
-7.988970060680522E8	1.0299493103208541E9
-8.47679003422431E8	1.0031068277195944E9
-8.946895880067164E8	9.735375525597129E8
-9.399361010808252E8	9.41643524634276E8
-9.83683377109225E8	9.075776321813018E8
-1.0259057331824924E9	8.710630932199633E8
-1.0662873003873261E9	8.320837798713468E8
-1.1045115437673671E9	7.907675032081352E8
-1.140491923510796E9	7.474851870290215E8
-1.1743568622987533E9	7.022331306853582E8
-1.205941740161093E9	6.549017587565979E8
-1.234837839676551E9	6.05426318941648E8
-1.2605267782239196E9	5.542681257602195E8
-1.2830277489372249E9	5.0203766215306956E8
-1.3026480637607992E9	4.491407706850773E8
-1.3198048351436508E9	3.9544336708383995E8
-1.3343074408180304E9	3.4063348317420757E8
-1.3457592965552971E9	2.84731274862092E8
-1.3537294893747077E9	2.2814448150286803E8
-1.3583089561341772E9	1.714438097266228E8
-1.3596937130420835E9	1.1484150933447573E8
-1.3580186249234605E9	5.840383947236645E7
-1.3530917205270004E9	2189726.152508176
-1.3448506711054964E9	-5.334088850273088E7
-1.3335030198060467E9	-1.0782725321807447E8
-1.319478379993985E9	-1.6106883622736105E8
-1.3029936047023818E9	-2.1336699029673728E8
-1.2837972448138914E9	-2.6481823912490046E8
-1.261541138157047E9	-3.1522379642520034E8
-1.2361161428880281E9	-3.6389462671411866E8
-1.2079959025094733E9	-4.103434217512744E8
-1.1777057405274177E9	-4.5444590263517284E8
-1.1455929043073537E9	-4.9648053448289865E8
-1.1115057001322985E9	-5.3654764081379896E8
-1.075419445696445E9	-5.744499902360177E8
-1.0374472796580726E9	-6.098696605622069E8
-9.980367472330929E8	-6.427116259094304E8
-9.573082224439706E8	-6.731711887757387E8
-9.152099711390023E8	-7.012544724746264E8
-8.716011328643956E8	-7.266887664044875E8
-8.268361954837548E8	-7.489635834533271E8
-7.815288649752592E8	-7.680066453936641E8
-7.36237345870537E8	-7.841119924136128E8
-6.909764716594354E8	-7.978440153303131E8
-6.454541431949376E8	-8.092619523635948E8
-5.99527568938814E8	-8.18154074564421E8
-5.534372825488113E8	-8.240971599508777E8
-5.0769904142376345E8	-8.27134237518696E8
-4.625607349017659E8	-8.274721111311601E8
-4.180819005736286E8	-8.253619792597305E8
-3.742026480417725E8	-8.207046375136217E8
-3.3124093249451697E8	-8.134100953980511E8
-2.895454230530826E8	-8.035962706401975E8
-2.4938899684610522E8	-7.917162153759611E8
-2.1048807983265534E8	-7.781292037319739E8
-1.7259270836061734E8	-7.627476372990663E8
-1.3565415749258846E8	-7.452082847570735E8
-1.0022092388044006E8	-7.25240310506975E8
-6.681110191482983E7	-7.031588498763705E8
-3.565257187233912E7	-6.794823021903479E8
-6476758.703867135	-6.546562125076718E8
2.0928518989966366E7	-6.286049102553934E8
4.651252229069024E7	-6.012551150388074E8
6.999872181449527E7	-5.726177899794475E8
9.12821192878331E7	-5.431018485980836E8
1.1057368869783081E8	-5.1285131243589E8
1.2800119769130296E8	-4.818282034494717E8
1.4342739470100874E8	-4.497639077656461E8
1.563487205570057E8	-4.168118999664269E8
1.665503869728076E8	-3.834573929351742E8
1.7418054908465007E8	-3.5030668009052384E8
1.7979951645480508E8	-3.175074092665069E8
1.836234145168289E8	-2.8481456632360905E8
1.8556515586415777E8	-2.5194347895967206E8
1.8517114423843265E8	-2.189615199799034E8
1.8234956205205393E8	-1.8630189218179497E8
1.7721331729260495E8	-1.5426991647044075E8
1.700466602109753E8	-1.2296826710409981E8
1.6079497576054278E8	-9.228006464405017E7
1.493153964827041E8	-6.2423553733439766E7
1.3559384425976133E8	-3.3751283902501576E7
1.2002955331121482E8	-6648752.584547682
1.0306185092124568E8	1.9066186463980682E7
8.475929617004232E7	4.3690045929565415E7
6.478539853089367E7	6.745623775807877E7
4.273639362794231E7	8.994544817076744E7
1.8738121018202193E7	1.1062419363738438E8
-6778079.661884156	1.2911429394523236E8
-3.330497312891159E7	1.4556819766188207E8
-6.081947015028034E7	1.6020651696062797E8
-8.939786589238687E7	1.7305644432942003E8
-1.1910301500263762E8	1.8384874513129354E8
-1.495779341800405E8	1.9240653942726928E8
-1.806180985011118E8	1.9885193692041364E8
-2.1216554364927417E8	2.0335585695863026E8
-2.4450819927518076E8	2.0588108384091738E8
-2.7762249773564947E8	2.0594852562007064E8
