Titan X	Titan Y
8.79256910638899E9	-1.5055506731526274E12
4.0265092894457436E10	-1.5034254316128352E12
7.534313737087898E10	-1.5026824018306858E12
1.0611775396480373E11	-1.501593281875347E12
1.3966956005520438E11	-1.4970017474688982E12
1.731180714465713E11	-1.4954720935892666E12
2.0374798564323285E11	-1.4900965153043147E12
2.384667856804113E11	-1.4848172432939578E12
2.693439246698167E11	-1.4805774794448286E12
3.01559275284087E11	-1.4720553902115173E12
3.351390894039336E11	-1.4664136866779243E12
3.647823560548658E11	-1.4579870309845369E12
3.984319688022334E11	-1.4482828196528525E12
4.291996552301018E11	-1.4407384077654114E12
4.596789967979106E11	-1.428621372119258E12
4.927596265291589E11	-1.4187393656429082E12
5.213116604425226E11	-1.4074035974479114E12
5.532452158677777E11	-1.3935095399450603E12
5.835874666456864E11	-1.382499277654853E12
6.120359301373116E11	-1.3671416117713127E12
6.43942233258215E11	-1.3530168223550872E12
6.712988062753743E11	-1.3388546402036787E12
7.009561917104332E11	-1.321103523437106E12
7.304527105695468E11	-1.3064994576466555E12
7.566687269034353E11	-1.2882471088618103E12
7.867244193171326E11	-1.2700114347339756E12
8.127460904770055E11	-1.253054476922476E12
8.396701662239028E11	-1.2318521588280437E12
8.678103481462866E11	-1.2135987830650547E12
8.91664481213331E11	-1.1927667074177961E12
9.192350427485566E11	-1.1706824770823845E12
9.437130057131376E11	-1.1509347016361821E12
9.675590867883116E11	-1.1267328415813232E12
9.937718137656619E11	-1.1048806854074302E12
1.0151740184484642E12	-1.0817394763900206E12
1.0396960880744259E12	-1.05617919642679E12
1.0623443681878297E12	-1.0336553133304026E12
1.0828647946700889E12	-1.0069240758173132E12
1.106561833217056E12	-9.816400908796075E11
1.1254280310369937E12	-9.564205755650728E11
1.1464242538831099E12	-9.27841569610898E11
1.1668855610839358E12	-9.025967291877996E11
1.1839180684866624E12	-8.738061989968209E11
1.2045278942506707E12	-8.453720511158241E11
1.220756451611976E12	-8.182736510057761E11
1.23784574914125E12	-7.871975764047723E11
1.2557057885128997E12	-7.593525962309147E11
1.2691611208791475E12	-7.289548232954747E11
1.2861587447392085E12	-6.97761052935647E11
1.2996125970137588E12	-6.689667490477589E11
1.3125168066659966E12	-6.359593446628046E11
1.3273296129670498E12	-6.057207597716395E11
1.337172115141661E12	-5.741388614154797E11
1.3501044508717932E12	-5.40670768593293E11
1.3606041593761604E12	-5.103698765622264E11
1.36914793792987E12	-4.7602073218059045E11
1.3804670382126636E12	-4.436914074683052E11
