Triton X	Triton Y
4.290708152363763E12	-1.2844463315794966E12
4.296266311092733E12	-1.265461216817681E12
4.301754089272905E12	-1.2464976375883108E12
4.3071461221363306E12	-1.227558543889646E12
4.3124271569089805E12	-1.2086367580444028E12
4.3175917201909546E12	-1.1897201981475525E12
4.3226416541417764E12	-1.1707961330033223E12
4.327583081742434E12	-1.1518538333827385E12
4.332423768886756E12	-1.13288571212219E12
4.33717128853432E12	-1.113887377011387E12
4.341832008551236E12	-1.0948570714498723E12
4.3464107297116763E12	-1.0757948846000717E12
4.3509107438687656E12	-1.0567019763366958E12
4.35533410481083E12	-1.0375799397312211E12
4.359681958257443E12	-1.0184303377589032E12
4.363954833318905E12	-9.992544030764062E11
4.3681528417633745E12	-9.800528722150039E11
4.372275760760165E12	-9.608259280313097E11
4.3763229928354653E12	-9.415732375597513E11
4.380293409786751E12	-9.222940892791722E11
4.3841851022470938E12	-9.02987648062019E11
4.3879950795952905E12	-8.83653351479371E11
4.391718999637265E12	-8.642914602996489E11
4.395351052546293E12	-8.449037407835918E11
4.398884169023175E12	-8.254941903130074E11
4.402310746389841E12	-8.060696217980438E11
4.40562405292089E12	-7.8663981267654E11
4.4088203368540625E12	-7.672168423569979E11
4.411901398249778E12	-7.478132575497987E11
4.414876986236189E12	-7.284389062422054E11
4.417765950146742E12	-7.09096739300097E11
4.420594803123618E12	-6.897785842005774E11
4.423392555951723E12	-6.704626783823141E11
4.426181660106281E12	-6.511152244372892E11
4.428966779176187E12	-6.316978299439266E11
4.431725517157947E12	-6.121808831054484E11
4.434407060413282E12	-5.925596117079939E11
4.436944145234678E12	-5.728657317462783E11
4.439279139087821E12	-5.531655534482137E11
4.441396368736242E12	-5.3353830131431024E11
4.443343775972133E12	-5.140379445182391E11
4.445224665179542E12	-4.946552606507732E11
4.4471513568551875E12	-4.75305755030638E11
4.449176414563915E12	-4.558631672972026E11
4.451241883546305E12	-4.362335216152929E11
4.453192641967029E12	-4.164302364388825E11
4.45486949981035E12	-3.9659041404088983E11
4.456235002688495E12	-3.768947521961711E11
4.457431633335573E12	-3.5742577392676105E11
4.458693447167564E12	-3.3807526816181976E11
4.460148518185448E12	-3.186071570089533E11
4.461676152745496E12	-2.9886080036217303E11
4.462982736877115E12	-2.7892663927820245E11
4.463880198589641E12	-2.590964916734458E11
4.464512500276896E12	-2.3957642970920944E11
4.465244176756486E12	-2.2023502402955835E11
4.466256986026025E12	-2.007096194501248E11
4.467297689808464E12	-1.8082356203226196E11
4.4679422117528545E12	-1.608407175753702E11
4.46813987018986E12	-1.4117503093339154E11
4.468336226183796E12	-1.2183404273723802E11
4.468893228391854E12	-1.0235542212207657E11
4.469539307813982E12	-8.244032906917505E10
4.469713068611755E12	-6.2432045296490204E10
4.469421137585867E12	-4.284629216249684E10
4.469293220276657E12	-2.3543294107129375E10
4.469580868475547E12	-3.8941533734888306E9
4.469681033340608E12	1.6171231314284481E10
4.469132327575667E12	3.598406164995066E10
