Uranus X	Uranus Y
2.6509111977078296E12	1.356633584103449E12
2.639475463204621E12	1.3772707636700825E12
2.6278675013533984E12	1.3978180994439602E12
2.616087949926232E12	1.4182741885079421E12
2.604137457723172E12	1.4386376313188767E12
2.5920166845712153E12	1.4589070317718616E12
2.5797263013250947E12	1.4790809972687568E12
2.5672669898635596E12	1.4991581387845955E12
2.554639443088291E12	1.519137070942787E12
2.5418443649342446E12	1.5390164120858809E12
2.528882470363266E12	1.5587947843346582E12
2.515754485354206E12	1.578470813659314E12
2.5024611469038257E12	1.5980431299516223E12
2.489003203022489E12	1.6175103670924595E12
2.475381412731438E12	1.6368711630212407E12
2.4615965460538096E12	1.6561241597977798E12
2.447649383998096E12	1.675268003672453E12
2.433540718557078E12	1.694301345162593E12
2.4192713527019453E12	1.7132228391155144E12
2.404842100365172E12	1.7320311447732144E12
2.390253786426926E12	1.750724925841389E12
2.3755072466982026E12	1.7693028505580845E12
2.3606033279102134E12	1.78776359176705E12
2.345542887701061E12	1.806105826980548E12
2.3303267945871904E12	1.824328238442649E12
2.3149559279427285E12	1.8424295132054907E12
2.2994311779826714E12	1.8604083432002297E12
2.283753445740205E12	1.8782634253066584E12
2.267923643042221E12	1.8959934614212822E12
2.251942692474421E12	1.9135971585262205E12
2.2358115273522905E12	1.9310732287719893E12
2.2195310916998486E12	1.9484203895555547E12
2.2031023402131577E12	1.9656373635924197E12
2.1865262382234534E12	1.9827228790009424E12
2.1698037616623435E12	1.9996756693896926E12
2.1529358970263035E12	2.0164944739526558E12
2.1359236413490586E12	2.0331780375674827E12
2.1187680021611555E12	2.049725110887642E12
2.1014699974471167E12	2.0661344504549792E12
2.0840306556191362E12	2.0824048188231309E12
2.0664510154877146E12	2.0985349846784631E12
2.0487321262334834E12	2.1145237229733132E12
2.0308750473845183E12	2.1303698150646553E12
2.01288084879412E12	2.1460720488662346E12
1.994750610640647E12	2.1616292190169377E12
1.9764854234334822E12	2.177040127039389E12
1.9580863880147212E12	2.192303581505572E12
1.93955461558113E12	2.207418398217239E12
1.9208912277182449E12	2.2223834003811904E12
1.9020973564460898E12	2.237197418785117E12
1.8831741442762283E12	2.251859291960092E12
1.864122744264632E12	2.266367866330781E12
1.8449443200773516E12	2.280721996368483E12
1.82564004606803E12	2.2949205447208057E12
1.8062111073430166E12	2.3089623823146055E12
1.7866586998208496E12	2.322846388444867E12
1.766984030280758E12	2.336571450843024E12
1.7471883164005818E12	2.3501364657350024E12
1.7272727867878252E12	2.363540337879398E12
1.7072386809807417E12	2.3767819805802476E12
1.6870872494286492E12	2.3898603157029146E12
1.6668197534628162E12	2.402774273687242E12
1.6464374652482087E12	2.4155227935549487E12
1.6259416677218164E12	2.428104822919408E12
1.6053336545116458E12	2.4405193179926724E12
1.5846147298416226E12	2.452765243612153E12
1.5637862084443552E12	2.4648415732831826E12
1.5428494154652551E12	2.4767472892168267E12
1.5218056863574973E12	2.4884813823823086E12
1.5006563667816536E12	2.500042852573279E12
1.4794028125038552E12	2.5114307084849277E12
1.4580463893061758E12	2.5226439678076104E12
1.4365884729001228E12	2.533681657312944E12
1.4150304488298389E12	2.5445428129476147E12
1.3933737123897935E12	2.555226479950418E12
1.3716196685517878E12	2.5657317129647544E12
1.3497697318907773E12	2.5760575761543315E12
1.3278253265175576E12	2.5862031433206514E12
1.3057878860063418E12	2.5961674980186997E12
1.283658853329189E12	2.605949733690522E12
1.261439680804704E12	2.615548953793112E12
1.2391318300351816E12	2.624964271912971E12
1.2167367718436958E12	2.6341948118945107E12
1.1942559862180276E12	2.6432397079687197E12
1.1716909622534785E12	2.652098104882707E12
1.1490431981026624E12	2.660769158029006E12
1.1263142009169473E12	2.6692520335605293E12
1.1035054867815703E12	2.6775459085185894E12
1.0806185806627959E12	2.685649970967435E12
1.0576550163525509E12	2.693563420115265E12
1.0346163364070483E12	2.701285466436192E12
1.0115040920841326E12	2.708815331790874E12
9.883198432753263E11	2.7161522495526045E12
9.650651584474456E11	2.723295464741039E12
9.417416145820181E11	2.7302442341382324E12
9.183507971015713E11	2.736997826405587E12
8.948942997998431E11	2.743555522211691E12
8.713737247713639E11	2.7499166143558867E12
8.477906823415841E11	2.756080407894872E12
8.241467909958689E11	2.762046220258638E12
8.004436772951594E11	2.7678133813662847E12
7.766829757967345E11	2.7733812337604126E12
7.52866328981983E11	2.7787491327308965E12
7.289953871731074E11	2.783916446431515E12
7.050718084495447E11	2.788882556002629E12
6.810972585598535E11	2.7936468556904473E12
6.570734108327314E11	2.798208752978809E12
6.330019460979723E11	2.8025676687153076E12
6.088845525938629E11	2.8067230372208022E12
5.847229258688306E11	2.8106743064174927E12
5.605187686926962E11	2.8144209379592734E12
5.362737909638791E11	2.8179624073543403E12
5.119897096174055E11	2.8212982040908677E12
4.8766824852916583E11	2.8244278317507876E12
4.6331113841039417E11	2.8273508081348906E12
4.389201167148098E11	2.830066665398302E12
4.1449692754579443E11	2.832574950165478E12
3.9004332155217865E11	2.834875223647057E12
3.655610558279473E11	2.836967061763377E12
3.410518938100026E11	2.838850055265015E12
3.165176051804312E11	2.8405238098589717E12
2.919599657716027E11	2.8419879463182085E12
2.673807574578516E11	2.8432421005869775E12
2.4278176805040408E11	2.844285923902705E12
2.181647911994109E11	2.8451190829070522E12
1.9353162629132275E11	2.845741259750441E12
1.6888407834606967E11	2.846152152192126E12
1.442239579072885E11	2.8463514736957734E12
1.1955308093370888E11	2.846338953537021E12
9.487326870069434E10	2.8461143368986133E12
7.018634769099E10	2.8456773849481924E12
4.549414948049514E10	2.8450278749243433E12
2.0798510625638283E10	2.844165600218837E12
-3.898727451947845E9	2.8430903704586094E12
-2.8595718574888332E10	2.841802011580936E12
-5.329061192933142E10	2.8403003658891978E12
-7.79815521944842E10	2.838585292122966E12
-1.0266667966200282E11	2.8366566655293047E12
-1.2734413035895021E11	2.8345143779155977E12
-1.5201203617780396E11	2.832158337703335E12
-1.766685250079777E11	2.8295884699741045E12
-2.013117208788057E11	2.8268047165193594E12
-2.2593974409497327E11	2.8238070358993154E12
-2.505507113706801E11	2.8205954034770303E12
-2.751427359819522E11	2.817169811452684E12
-2.9971392791707086E11	2.8135302689112256E12
-3.242623940270614E11	2.8096768018594355E12
-3.4878623818103174E11	2.805609453265342E12
-3.73283561420278E11	2.8013282830874023E12
-3.977524621278283E11	2.7968333682983223E12
-4.2219103620281903E11	2.792124802930582E12
-4.4659737722500726E11	2.78720269811227E12
-4.709695766317471E11	2.7820671820912715E12
-4.953057239027559E11	2.7767184002689507E12
-5.196039067497486E11	2.7711565152332085E12
-5.4386221131381726E11	2.765381706802426E12
-5.680787223576162E11	2.7593941720680146E12
-5.922515234699539E11	2.753194125423199E12
-6.163786972867395E11	2.746781798611871E12
-6.40458325710298E11	2.7401574407884624E12
-6.644884901337904E11	2.7333213185772773E12
-6.884672716708894E11	2.7262737161398394E12
-7.12392751392814E11	2.7190149352412266E12
-7.362630105798904E11	2.7115452953389507E12
-7.600761309652123E11	2.7038651336900703E12
-7.838301949763025E11	2.695974805450588E12
-8.075232859868181E11	2.687874683788811E12
-8.311534885635917E11	2.679565160014436E12
-8.547188887120292E11	2.6710466437176504E12
-8.782175741078878E11	2.6623195629239336E12
-9.016476343117668E11	2.653384364234957E12
-9.250071609867E11	2.6442415129709023E12
-9.482942480995824E11	2.6348914933302993E12
-9.715069920968596E11	2.625334808530786E12
-9.946434920702166E11	2.615571980936599E12
-1.0177018499039039E12	2.6056035521691953E12
-1.0406801704161206E12	2.59543008319355E12
-1.0635765614939327E12	2.585052154402023E12
-1.0863891342022585E12	2.5744703656657646E12
-1.1091160028961013E12	2.563685336343557E12
-1.1317552853411562E12	2.552697705282021E12
-1.1543051028302278E12	2.541508130792667E12
-1.1767635803088572E12	2.530117290608625E12
-1.199128846502222E12	2.5185258818256826E12
-1.221399034053417E12	2.5067346208130786E12
-1.2435722796888938E12	2.4947442431294707E12
-1.2656467243849695E12	2.4825555034430054E12
-1.287620513539605E12	2.47016917543202E12
-1.3094917971634163E12	2.4575860516872197E12
-1.3312587300792126E12	2.444806943615584E12
-1.3529194721382825E12	2.4318326813520913E12
-1.3744721884376748E12	2.4186641136863203E12
-1.3959150495342542E12	2.4053021079763286E12
-1.4172462316783645E12	2.3917475500677393E12
-1.43846391705227E12	2.3780013442330327E12
-1.459566294005933E12	2.3640644131117935E12
-1.4805515572936475E12	2.3499376976573813E12
-1.5014179083059087E12	2.335622157077748E12
-1.5221635553139758E12	2.3211187687772534E12
-1.5427867137182356E12	2.306428528321052E12
-1.5632856062798809E12	2.2915524493917686E12
-1.5836584633584163E12	2.2764915637384634E12
-1.603903523151012E12	2.2612469211327285E12
-1.6240190319323193E12	2.245819589322034E12
-1.6440032442984805E12	2.230210653994548E12
-1.6638544233930518E12	2.214421218738275E12
-1.683570841136439E12	2.1984524049799373E12
-1.7031507784697983E12	2.1823053519394478E12
-1.7225925255866052E12	2.165981216586052E12
-1.741894382162511E12	2.149481173583673E12
-1.7610546575840728E12	2.1328064152380308E12
-1.780071671172915E12	2.115958151429231E12
-1.798943752426297E12	2.0989376095517812E12
-1.8176692412456694E12	2.0817460344645857E12
-1.836246488151163E12	2.0643846884169539E12
-1.8546738545109133E12	2.0468548509720996E12
-1.8729497127679663E12	2.0291578189362454E12
-1.891072446667055E12	2.0112949062814338E12
-1.9090404514794976E12	1.9932674440735186E12
-1.9268521342139165E12	1.975076780383994E12
-1.9445059138408152E12	1.9567242801929436E12
-1.9620002215229443E12	1.9382113253087388E12
-1.979333500828402E12	1.919539314277848E12
-1.9965042079455164E12	1.90070966228494E12
-2.01351081189612E12	1.8817238010496443E12
-2.0303517947531577E12	1.8625831787166372E12
-2.047025651864744E12	1.8432892597569397E12
-2.0635308920581968E12	1.823843524862013E12
-2.079866037845529E12	1.8042474708194429E12
-2.0960296256393088E12	1.7845026103956663E12
-2.1120202059620466E12	1.7646104722174512E12
-2.1278363436549817E12	1.7445726006513535E12
-2.1434766180749592E12	1.7243905556789055E12
-2.158939623289863E12	1.7040659127531528E12
-2.1742239682914478E12	1.6836002626651562E12
-2.189328277194232E12	1.6629952114157559E12
-2.2042511894240483E12	1.6422523800707063E12
-2.218991359912029E12	1.6213734046149954E12
-2.2335474592820796E12	1.6003599358007078E12
-2.2479181740486753E12	1.5792136389951292E12
-2.262102206804169E12	1.5579361940381045E12
-2.276098276386037E12	1.5365292950773364E12
-2.2899051180613374E12	1.5149946503978376E12
-2.3035214837104287E12	1.4933339822634382E12
-2.3169461419989375E12	1.4715490267488171E12
-2.330177878549998E12	1.4496415335715994E12
-2.343215496101795E12	1.4276132659157341E12
-2.356057814673118E12	1.405466000243262E12
-2.3687036717378564E12	1.383201526122237E12
-2.381151922371936E12	1.360821646047505E12
-2.393401439400998E12	1.3383281752445847E12
-2.4054511135534116E12	1.3157229414779277E12
-2.417299853607218E12	1.29300778485474E12
-2.428946586541514E12	1.2701845576321953E12
-2.440390257668216E12	1.247255124023795E12
-2.451629830757626E12	1.224221359985613E12
-2.4626642881810425E12	1.2010851530085452E12
-2.4734926310411655E12	1.177848401916442E12
-2.4841138792920386E12	1.1545130166539653E12
-2.494527071856513E12	1.1310809180721704E12
-2.5047312667374707E12	1.1075540377036926E12
