Voyager 1 X	Voyager 1 Y
-4.2418724107247876E12	-1.6708184008323398E13
-4.249337015698582E12	-1.6757361515731744E13
-4.2568008435119907E12	-1.6806535958360326E13
-4.2642638994992905E12	-1.6855707353668125E13
-4.27172618894124E12	-1.690487571896474E13
-4.2791877170658403E12	-1.6954041071412266E13
-4.2866484890489805E12	-1.700320342802675E13
-4.2941085100151465E12	-1.7052362805680008E13
-4.301567785038101E12	-1.710151922110123E13
-4.3090263191415103E12	-1.715067269087864E13
-4.3164841172996665E12	-1.7199823231460834E13
-4.3239411844380903E12	-1.7248970859158633E13
-4.331397525434151E12	-1.7298115590146523E13
-4.338853145117709E12	-1.7347257440464158E13
-4.346308048271756E12	-1.7396396426017752E13
-4.3537622396329785E12	-1.7445532562581814E13
-4.3612157238923457E12	-1.7494665865800209E13
-4.36866850569575E12	-1.7543796351188047E13
-4.376120589644544E12	-1.7592924034132695E13
-4.383571980296055E12	-1.764204892989545E13
-4.3910226821642373E12	-1.7691171053612703E13
-4.398472699720157E12	-1.7740290420297508E13
-4.405922037392525E12	-1.7789407044840688E13
-4.413370699568266E12	-1.783852094201232E13
-4.42081869059299E12	-1.7887632126462895E13
-4.428266014771466E12	-1.793674061272468E13
-4.435712676368256E12	-1.79858464152132E13
-4.443158679608035E12	-1.8034949548227977E13
-4.450604028676223E12	-1.808405002595429E13
-4.458048727719346E12	-1.813314786246408E13
-4.465492780845567E12	-1.8182243071717062E13
-4.472936192125144E12	-1.8231335667562242E13
-4.480378965590786E12	-1.828042566373904E13
-4.487821105238274E12	-1.8329513073878125E13
-4.495262615026684E12	-1.8378597911502844E13
-4.502703498879016E12	-1.842768019003026E13
-4.510143760682466E12	-1.8476759922772266E13
-4.517583404288951E12	-1.852583712293668E13
-4.52502243351544E12	-1.857491180362839E13
-4.532460852144397E12	-1.8623983977850406E13
-4.539898663924199E12	-1.8673053658504832E13
-4.547335872569496E12	-1.872212085839396E13
-4.554772481761622E12	-1.8771185590221457E13
-4.562208495148973E12	-1.8820247866593E13
-4.569643916347389E12	-1.8869307700017773E13
-4.577078748940535E12	-1.8918365102909125E13
-4.584512996480262E12	-1.896742008758558E13
-4.591946662486972E12	-1.9016472666272043E13
-4.5993797504500205E12	-1.9065522851100348E13
-4.606812263827979E12	-1.911457065411069E13
-4.6142442060491455E12	-1.9163616087252176E13
-4.62167558051174E12	-1.9212659162383797E13
-4.629106390584329E12	-1.926169989127556E13
-4.636536639606154E12	-1.931073828560933E13
-4.643966330887452E12	-1.9359774356979406E13
-4.651395467709841E12	-1.9408808116893684E13
-4.658824053326593E12	-1.9457839576774465E13
-4.666252090962963E12	-1.9506868747959316E13
-4.673679583816555E12	-1.955589564170185E13
-4.681106535057571E12	-1.960492026917263E13
-4.68853294782919E12	-1.9653942641459938E13
-4.695958825247851E12	-1.9702962769570484E13
-4.703384170403499E12	-1.9751980664430484E13
-4.710808986359988E12	-1.98009963368862E13
-4.718233276155335E12	-1.9850009797704742E13
-4.725657042801941E12	-1.9899021057574836E13
-4.733080289286955E12	-1.994803012710778E13
-4.740503018572539E12	-1.999703701683794E13
-4.747925233596184E12	-2.0046041737223613E13
-4.755346937270845E12	-2.009504429864773E13
-4.76276813248538E12	-2.014404471141852E13
-4.77018882210471E12	-2.0193042985770383E13
-4.777609008970117E12	-2.0242039131864492E13
-4.785028695899488E12	-2.0291033159789406E13
-4.792447885687555E12	-2.0340025079561902E13
-4.799866581106183E12	-2.03890149011275E13
-4.807284784904589E12	-2.043800263436133E13
-4.81470249980961E12	-2.048698828906872E13
-4.822119728525838E12	-2.0535971874985656E13
-4.829536473736028E12	-2.058495340177968E13
-4.836952738101148E12	-2.063393287905057E13
-4.844368524260765E12	-2.068291031633065E13
-4.85178383483314E12	-2.073188572308579E13
-4.859198672415559E12	-2.0780859108715797E13
-4.866613039584482E12	-2.0829830482554996E13
-4.874026938895769E12	-2.087879985387292E13
-4.881440372884854E12	-2.092776723187511E13
-4.888853344067037E12	-2.097673262570344E13
-4.896265854937659E12	-2.1025696044436715E13
-4.9036779079723E12	-2.1074657497091207E13
-4.911089505626958E12	-2.1123616992621547E13
-4.918500650338277E12	-2.117257453992106E13
-4.92591134452375E12	-2.1221530147822207E13
-4.933321590581859E12	-2.1270483825097406E13
-4.940731390892365E12	-2.131943558045934E13
-4.948140747816378E12	-2.136838542256159E13
-4.955549663696651E12	-2.1417333359999336E13
-4.962958140857696E12	-2.146627940130964E13
-4.970366181605987E12	-2.151522355497225E13
-4.977773788230201E12	-2.1564165829409707E13
-4.985180963001286E12	-2.1613106232988227E13
-4.99258770817273E12	-2.1662044774017914E13
-4.999994025980703E12	-2.1710981460753723E13
-5.00739991864423E12	-2.1759916301395363E13
-5.014805388365363E12	-2.180884930408829E13
-5.022210437329395E12	-2.1857780476923848E13
